row,column,ID,event,event_short,construct,construct2,block,H32,H144,D144,V144,R144,H298,D298,V298,R298,H334,D334,V334,R334,H356,D356,V356,R356,H384,D384,V384,R384,H419,D419,V419,R419,Aug_SPAD
3,3,LCOR-064,LC-102 2H,2H,LC-102,transgenic,large,812.8000001,823.5,6,29646,137.25,856.488,6,30833.568,142.748,1139.952,8.5,82361.532,134.112,1463.04,10,146304,146.304,1889.76,12,272125.44,157.48,2712.72,17,783976.08,159.5717647,48.9
4,3,LCOR-173,LC-102 1C,1C,LC-102,transgenic,large,736.6000001,732,5,18300,146.4,743.712,5,18592.8,148.7424,960.12,7.5,54006.75,128.016,1219.2,10,121920,121.92,1508.76,10,150876,150.876,2164.08,14,424159.68,154.5771429,41.5
5,3,LCOR-104,LC-102 16-20,16-20,Escape,control,large,876.3,1037,9,83997,115.2222222,1063.752,10,106375.2,106.3752,1371.6,10.3,145513.044,133.1650485,1767.84,16,452567.04,110.49,2225.04,17,643036.56,130.8847059,2804.16,19,1012301.76,147.5873684,37.83333333
6,3,LCOR-552,LC-102 7,7,LC-102,transgenic,large,1066.8,1113.25,7,54549.25,159.0357143,1130.808,8,72371.712,141.351,1463.04,10.1,149244.7104,144.8554455,1828.8,13,309067.2,140.6769231,2286,15,514350,152.4,2895.6,20,1158240,144.78,38.9
7,3,LCOR-395,LC-102 1C,1C,LC-102,transgenic,large,876.3,945.5,9,76585.5,105.0555556,963.168,9,78016.608,107.0186667,1219.2,10.2,126845.568,119.5294118,1539.24,13,260131.56,118.4030769,1950.72,15,438912,130.048,2438.4,17.5,746760,139.3371429,38.73333333
8,3,LCOR-228,LC-102 4A,4A,LC-102,transgenic,large,1193.8,1250.5,9,101290.5,138.9444444,1280.16,9,103692.96,142.24,1563.624,11.9,221424.7946,131.3969748,1859.28,14,364418.88,132.8057143,2255.52,15,507492,150.368,2819.4,20,1127760,140.97,41.66666667
9,3,LCOR-362,LC-102 1,1,LC-102,transgenic,large,762,884.5,8,56608,110.5625,954.024,8,61057.536,119.253,1347.216,10.9,160062.733,123.5977982,1737.36,14,340522.56,124.0971429,2194.56,15,493776,146.304,2910.84,19,1050813.24,153.2021053,39.9
10,3,LCOR-259,LC-102 4B,4B,LC-102,transgenic,large,1168.4,1403,11,169763,127.5454545,1463.04,11,177027.84,133.0036364,1889.76,14,370392.96,134.9828571,2194.56,17,634227.84,129.0917647,2636.52,19,951783.72,138.7642105,3322.32,23.5,1834751.22,141.3753191,35.7
11,3,LCOR-258,LC-102 4B,4B,LC-102,transgenic,large,1371.6,1586,11,191906,144.1818182,1615.44,11,195468.24,146.8581818,1615.44,14.1,321165.6264,114.5702128,2133.6,16,546201.6,133.35,2651.76,19,957285.36,139.5663158,3246.12,21.5,1500518.97,150.9823256,33.7
12,3,LCOR-188,LC-102 13-15B,13-15B,LC-102,transgenic,large,863.5999999,915,7,44835,130.7142857,899.16,6,32369.76,149.86,1005.84,7.9,62774.4744,127.321519,1005.84,8,64373.76,125.73,1097.28,8,70225.92,137.16,1554.48,10,155448,155.448,41.66666667
13,3,LCOR-294,LC-102 8-9D,8-9D,Escape,control,large,1181.1,1159,8,74176,144.875,1139.952,8,72956.928,142.494,1255.776,8,80369.664,156.972,1341.12,9,108630.72,149.0133333,1630.68,10,163068,163.068,2103.12,14,412211.52,150.2228571,43.86666667
14,3,LCOR-253,LC-102 4B,4B,LC-102,transgenic,large,990.6,960.75,7,47076.75,137.25,954.024,6,34344.864,159.004,1188.72,9.5,107281.98,125.1284211,1493.52,12,215066.88,124.46,1905,14,373380,136.0714286,2636.52,17.5,807434.25,150.6582857,38.63333333
15,3,LCOR-213,LC-102 2H,2H,LC-102,transgenic,large,825.4999999,793,7,38857,113.2857143,871.728,6,31382.208,145.288,1219.2,9,98755.2,135.4666667,1554.48,12,223845.12,129.54,2011.68,14,394289.28,143.6914286,2849.88,19,1028806.68,149.9936842,45.63333333
2,4,LCOR-087,LC-102 8-9D,8-9D,Escape,control,large,1498.6,1555.5,11,188215.5,141.4090909,1633.728,11,197681.088,148.5207273,1923.288,14.1,382368.8873,136.4034043,2316.48,17.5,709422,132.3702857,2758.44,19,995796.84,145.1810526,3429,22.5,1735931.25,152.4,39.36666667
3,4,LCOR-308,LC-102 13-15E,13-15E,LC-102,transgenic,large,1384.3,1601.25,11,193751.25,145.5681818,1615.44,12,232623.36,134.62,1923.288,14.1,382368.8873,136.4034043,2346.96,18,760415.04,130.3866667,2865.12,20,1146048,143.256,3550.92,24,2045329.92,147.955,40.26666667
4,4,LCOR-249,LC-102 5A,5A,LC-102,transgenic,large,952.5,1067.5,6,38430,177.9166667,1024.128,7,50182.272,146.304,1280.16,9.5,115534.44,134.7536842,1645.92,12,237012.48,137.16,2072.64,14,406237.44,148.0457143,2849.88,18,923361.12,158.3266667,36.33333333
5,4,LCOR-244,LC-102 5A,5A,LC-102,transgenic,large,533.4,1189.5,4,19032,297.375,502.92,4,8046.72,125.73,0,0,0,#DIV/0!,853.44,7,41818.56,121.92,1051.56,8,67299.84,131.445,1950.72,11.5,257982.72,169.6278261,41.83333333
6,4,LCOR-607,LC-102 13-15E,13-15E,LC-102,transgenic,large,419.1,1555.5,3,13999.5,518.5,466.344,3,4197.096,155.448,646.176,4.1,10862.21856,157.6039024,853.44,6,30723.84,142.24,1234.44,8,79004.16,154.305,2148.84,14,421172.64,153.4885714,52.06666667
7,4,LCOR-396,LC-102 1C,1C,LC-102,transgenic,large,952.5,915,8,58560,114.375,1139.952,8,72956.928,142.494,1414.272,11.1,174252.4531,127.4118919,1798.32,14,352470.72,128.4514286,2286,16,585216,142.875,3185.16,21,1404655.56,151.6742857,40.93333333
9,4,LCOR-054,LC-102 1,1,LC-102,transgenic,large,1447.8,1250.5,12,180072,104.2083333,1780.032,11,215383.872,161.8210909,2075.688,15.8,518174.7523,131.3726582,2560.32,19,924275.52,134.7536842,3108.96,22,1504736.64,141.3163636,3931.92,28,3082625.28,140.4257143,37.06666667
11,4,LCOR-268,LC-102 5C,5C,LC-102,transgenic,large,1397,427,11,51667,38.81818182,1648.968,11,199525.128,149.9061818,2011.68,15,452628,134.112,2438.4,18,790041.6,135.4666667,2926.08,20,1170432,146.304,3764.28,24.5,2259509.07,153.6440816,37.43333333
13,4,LCOR-107,LC-102 16-20,16-20,Escape,control,large,1041.4,991.25,7,48571.25,141.6071429,1103.376,8,70616.064,137.922,1405.128,10.1,143337.1073,139.1215842,1798.32,14,352470.72,128.4514286,2255.52,17,651845.28,132.6776471,3124.2,21,1377772.2,148.7714286,38.83333333
