"","row","column","ID","event","event_short","block"
"1",2,25,"LCOR-192","LC-102 13-15B","13-15B","large"
"2",12,3,"LCOR-188","LC-102 13-15B","13-15B","large"
"3",14,6,"LCOR-472","LC-102 13-15B","13-15B","large"
"4",13,8,"LCOR-469","LC-102 13-15B","13-15B","large"
"5",1,21,"LCOR-468","LC-102 13-15B","13-15B","large"
"6",1,22,"LCOR-470","LC-102 13-15B","13-15B","large"
"7",5,15,"LCOR-473","LC-102 13-15B","13-15B","large"
"8",4,18,"LCOR-475","LC-102 13-15B","13-15B","large"
"9",14,18,"LCOR-463","LC-102 13-15B","13-15B","large"
"10",8,6,"LCOR-191","LC-102 13-15B","13-15B","large"
"11",5,7,"LCOR-474","LC-102 13-15B","13-15B","large"
"12",4,25,"LCOR-606","LC-102 13-15E","13-15E","large"
"13",14,19,"LCOR-080","LC-102 13-15E","13-15E","large"
"14",8,26,"LCOR-300","LC-102 13-15E","13-15E","large"
"15",13,7,"LCOR-296","LC-102 13-15E","13-15E","large"
"16",13,24,"LCOR-084","LC-102 13-15E","13-15E","large"
"17",7,16,"LCOR-610","LC-102 13-15E","13-15E","large"
"18",10,18,"LCOR-306","LC-102 13-15E","13-15E","large"
"19",3,29,"LCOR-297","LC-102 13-15E","13-15E","large"
"20",10,13,"LCOR-077","LC-102 13-15E","13-15E","large"
"21",2,22,"LCOR-616","LC-102 13-15E","13-15E","large"
"22",3,4,"LCOR-308","LC-102 13-15E","13-15E","large"
"23",8,20,"LCOR-101","LC-102 16-20","16-20","large"
"24",9,25,"LCOR-506","LC-102 16-20","16-20","large"
"25",7,12,"LCOR-111","LC-102 16-20","16-20","large"
"26",4,7,"LCOR-510","LC-102 16-20","16-20","large"
"27",14,5,"LCOR-314","LC-102 16-20","16-20","large"
"28",13,22,"LCOR-514","LC-102 16-20","16-20","large"
"29",11,20,"LCOR-103","LC-102 16-20","16-20","large"
"30",5,23,"LCOR-319","LC-102 16-20","16-20","large"
"31",13,4,"LCOR-107","LC-102 16-20","16-20","large"
"32",14,24,"LCOR-309","LC-102 16-20","16-20","large"
"33",10,27,"LCOR-322","LC-102 16-20","16-20","large"
"34",2,12,"LCOR-180","LC-102 1C","1C","large"
"35",8,7,"LCOR-400","LC-102 1C","1C","large"
"36",2,7,"LCOR-177","LC-102 1C","1C","large"
"37",3,21,"LCOR-482","LC-102 1C","1C","large"
"38",2,24,"LCOR-178","LC-102 1C","1C","large"
"39",1,24,"LCOR-489","LC-102 1C","1C","large"
"40",8,17,"LCOR-394","LC-102 1C","1C","large"
"41",2,8,"LCOR-179","LC-102 1C","1C","large"
"42",4,3,"LCOR-173","LC-102 1C","1C","large"
"43",14,17,"LCOR-481","LC-102 1C","1C","large"
"44",9,24,"LCOR-182","LC-102 1C","1C","large"
"45",13,12,"LCOR-218","LC-102 2H","2H","large"
"46",7,20,"LCOR-059","LC-102 2H","2H","large"
"47",11,25,"LCOR-065","LC-102 2H","2H","large"
"48",2,13,"LCOR-066","LC-102 2H","2H","large"
"49",11,22,"LCOR-063","LC-102 2H","2H","large"
"50",15,4,"LCOR-211","LC-102 2H","2H","large"
"51",2,14,"LCOR-060","LC-102 2H","2H","large"
"52",3,6,"LCOR-069","LC-102 2H","2H","large"
"53",2,18,"LCOR-058","LC-102 2H","2H","large"
"54",10,9,"LCOR-217","LC-102 2H","2H","large"
