Sample,Label,ribitol..IS.,glycolic.acid,pyruvic.acid,Beta..alanine,benzoic.acid,phosphoric.acid,maleic.acid,glycine,succinic.acid,glyceric.acid,glyoxylic.acid,fumaric.acid,methyltartronic.acid,ribonic.acid.gamma.lactone,D.malic.acid,D.threitol,L.pyroglutamic.acid,ribose,threonic.acid,phenethylamine,tartaric.acid,arabinose,gluconic.acid.lactone,X4.hydroxycinnamic.acid,citric.acid,dehydroascorbic.acid,quinic.acid,fructose,D.glucose,galactitol,D.mannitol,L.ascorbic.acid,mucic.acid,myo.inositol,N.acetyl.D.glucosamine,caffeic.acid,D.ribose.5.phosphate,D.glucose.6.phosphate,lactobionic.acid,lactose,Sucrose,maltose,loganin,X....epicatechin,trans.coutaric.acid,taxifolin,galactinol,kaempferol,chlorogenic.acid,isoquercitrin,maltotriose,D.....melezitose,Raffinose
1,5C,2673016,2069.018519,262.537037,493.7037037,2585.018519,359031.5556,18229.57407,5948.314815,31891.22222,17693.22222,969.4814815,3990.092593,12971.51852,22865.37037,455264.0185,19899.35185,3300.962963,257.4074074,329225.7037,414.537037,29715.85185,7705.12963,837257.5,2071.851852,329355.963,608875.9444,2158720.111,310903.5185,475614.3148,31069.92593,6088.740741,32633.7963,5759.925926,2338417.722,79884.2037,17863.2037,3860.259259,19298.25926,3808.222222,89991.12963,2259676.648,17787.03704,52932.09259,690504.9815,9129.87037,18598.33333,165692.6852,38768.31481,2512219.574,229472,4447517.148,12793.77778,40338.83333
2,5C,2632469,1603.511905,198.3730159,915,3443.90873,305969.4444,14112.91667,3873.194444,20758.61111,12269.90079,1012.936508,1727.837302,13120.3373,27623.84921,309053.0754,19394.14683,4477.738095,631.6071429,121724.4841,192.5992063,22419.14683,5892.301587,746789.9405,2194.186508,340911.5476,527368.8492,2069679.94,218823.7698,298408.6905,13341.26984,2635,29370.95238,4682.003968,2137512.937,78934.26587,18681.40873,4966.388889,15162.32143,3911.071429,66495.45635,2218156.131,19580.79365,144108.9484,669610.377,11790.73413,7902.420635,140498.5913,35575.6746,2460809.008,203572.3413,5626786.052,15776.56746,31649.7619
3,8-9D,3477101,1969.557823,238.4353741,149.6768707,2380.782313,368534.2177,19852.05782,3950.204082,26889.55782,13309.84694,622.2108844,4712.704082,10863.41837,21943.96259,466465.6973,20786.9898,4325.034014,534.6938776,254581.5986,11202.10884,22109.16667,8335.561224,809861.0204,1568.044218,495983.5374,587673.0782,1809547.364,292961.9388,435857.432,12638.60544,6056.27551,79060.28912,6183.146259,2002541.054,80588.04422,17742.84014,3560.136054,16775.56122,4250.527211,64552.97619,2162696.48,19498.92857,93066.30952,589761.7177,9654.914966,10117.72109,186409.5068,36834.03061,2214227.925,224157.0238,3638016.395,8264.132653,56492.22789
4,13-15B,2888617,2025.915493,291.9517103,614.7082495,3289.396378,372702.1328,20157.48491,7251.368209,28566.33803,30777.94769,1493.863179,2883.843058,14165.15091,22886.92153,495194.4064,12785.69416,9244.426559,181.8511066,504566.8209,586.0362173,24492.45473,12142.67606,748485.8149,2185.27163,150005.0503,687899.6982,2128052.374,1168179.256,1388562.575,11922.77666,6419.617706,65906.84105,2710.342052,2630090.181,99791.87123,21107.02213,6421.649899,23391.67002,2604.929577,81791.67002,3003524.909,18065.91549,44804.10463,477488.2495,7355.372233,10453.1992,293829.1549,30446.96177,2651991.328,250200.6237,5427462.173,15054.24547,38761.12676
5,2H,2870898,5305.137615,239.3027523,375.0825688,2841.853211,168683.5046,12793.21101,9424.495413,30125.76147,26065.37615,1201.357798,1852.275229,7885.211009,19295.26606,256325.2294,11157.94495,4683.46789,191.266055,175935.3211,2085.889908,12227.3578,7550.697248,582450.6422,1738.53211,164116.1468,519948.8991,1880878.697,530723.7982,663481.2844,19803.76147,1474.53211,59162.77064,2793.504587,2199940.404,72894.77064,18456.77064,3542.825688,9266.53211,2226.53211,50123.81651,2555593.853,23307.98165,69089.98165,1018857.046,4740.587156,4661.431193,183112.4771,27887.44954,2378814.018,150877.2661,4097530.881,9470.715596,46130.62385
6,8-9D,3457240,2473.56564,242.0907618,565.834684,2611.410049,315640.7131,19885.4295,4644.440843,29213.11183,17079.7731,846.5802269,2066.790924,11042.99838,35067.86062,458617.9092,16318.07131,5362.933549,791.6045381,121517.3582,10323.4684,17521.5235,6943.225284,860065.7536,1842.544571,566471.1183,729296.1912,1962775.964,294339.9352,404299.7569,35186.69368,3594.927066,118503.7439,4890.923825,2133082.885,97705.29984,22739.43274,5426.807131,15534.52188,3631.166937,73980.24311,1978928.201,22030.12966,156385.9643,1031543.549,12849.17342,11966.5154,287815.2188,38629.5624,2429000.486,235874.4408,4195396.337,11213.16045,50105.59157
7,8-9D,2933818,2269.72028,268.6013986,973.6829837,3481.724942,214238.042,22863.61305,9253.846154,31471.79487,20458.85781,967.2261072,5053.519814,13239.51049,29198.1352,563751.5152,17201.67832,8183.100233,478.5547786,437413.7063,722.7272727,19114.21911,7861.165501,816450,1730.582751,480760.6061,867099.9534,2209310.746,502003.7063,681372.4242,12313.7296,6048.764569,101216.69,4192.097902,3005142.308,91447.94872,22681.42191,4105.361305,11138.27506,5836.083916,81052.47086,3196168.205,16981.70163,95164.91841,887600.3497,4438.414918,13751.35198,218868.9277,43524.47552,2866026.876,223678.5781,4584790.49,14704.54545,60305.75758
8,13-15E,2036263,1721.437309,412.7828746,1441.192661,3328.990826,130824.9235,14740.91743,4836.48318,19780.30581,16113.48624,2646.055046,2030.489297,12514.00612,9687.553517,344101.1621,11252.17125,4958.715596,331.4067278,209889.2355,1930.244648,17986.42202,5310.458716,539476.9725,1733.914373,208938.7156,501554.7095,2090248.379,348202.5076,376925.1682,19087.85933,2499.633028,49034.12844,1577.33945,2257950.183,65399.29664,21938.47095,2495.963303,11389.38838,2064.159021,33993.51682,3428980.275,21676.69725,79733.97554,816444.526,5070.550459,8415.688073,86533.45566,25148.2263,2270777.951,133530.4587,5362619.817,13027.82875,32875.99388
9,5C,3733489,4935.008787,259.1212654,860.4042179,2546.133568,344692.8295,19323.60281,9640.913884,51167.34622,28665.34271,557.486819,1956.080844,14935.81722,40129.84183,825890.9666,21111.63445,5793.989455,316.6080844,582078.7698,1320.123023,37453.81371,22769.77153,979010.1406,2299.420035,206534.8858,469076.7135,1992878.735,806133.2865,1001883.181,24697.50439,2543.655536,84539.70123,3974.622144,2377626.011,113495.2197,11842.72408,6588.383128,21271.30053,8480.56239,88521.33568,2509547.135,25060,79696.22144,567026.819,10014.55185,19671.72232,238433.1634,72250.24605,2713866.801,281443.2337,5574610.334,21069.45518,45291.95079
10,CT3,2332096,2659.710145,543.1884058,2083.65942,4891.195652,260962.1739,19174.56522,7882.971014,29581.44928,20955.03623,1131.449275,3515.797101,16053.76812,20178.26087,526480.6159,14644.96377,5942.5,655.2173913,600334.058,2231.630435,30734.63768,10014.81884,947266.4493,2384.710145,327573.3333,748598.8043,1939981.486,473715.471,590405.5435,17407.78986,3621.630435,75076.15942,1898.297101,3207116.232,106469.3116,28856.81159,6084.782609,19987.42754,2833.007246,55612.10145,4404744.601,34674.16667,91989.67391,756890.3261,4385.942029,6219.23913,119626.0507,39623.2971,3004566.159,216286.1957,5857216.775,18837.57246,53073.4058
