"","tree","Vcmax","Jmax","Rd","Jmax_Vcmax_ratio","A_A_410","A_A_400a","A_A_300","A_A_200","A_A_100","A_A_50","A_A_0","A_A_400b","A_A_400c","A_A_600","A_A_800","A_A_1000","A_A_1200","A_A_1500","A_A_2000","gsw_A_410","gsw_A_400a","gsw_A_300","gsw_A_200","gsw_A_100","gsw_A_50","gsw_A_0","gsw_A_400b","gsw_A_400c","gsw_A_600","gsw_A_800","gsw_A_1000","gsw_A_1200","gsw_A_1500","gsw_A_2000","Ci_A_410","Ci_A_400a","Ci_A_300","Ci_A_200","Ci_A_100","Ci_A_50","Ci_A_0","Ci_A_400b","Ci_A_400c","Ci_A_600","Ci_A_800","Ci_A_1000","Ci_A_1200","Ci_A_1500","Ci_A_2000","PhiPS2_A_410","PhiPS2_A_400a","PhiPS2_A_300","PhiPS2_A_200","PhiPS2_A_100","PhiPS2_A_50","PhiPS2_A_0","PhiPS2_A_400b","PhiPS2_A_400c","PhiPS2_A_600","PhiPS2_A_800","PhiPS2_A_1000","PhiPS2_A_1200","PhiPS2_A_1500","PhiPS2_A_2000","ETR_A_410","ETR_A_400a","ETR_A_300","ETR_A_200","ETR_A_100","ETR_A_50","ETR_A_0","ETR_A_400b","ETR_A_400c","ETR_A_600","ETR_A_800","ETR_A_1000","ETR_A_1200","ETR_A_1500","ETR_A_2000","PhiCO2_A_410","PhiCO2_A_400a","PhiCO2_A_300","PhiCO2_A_200","PhiCO2_A_100","PhiCO2_A_50","PhiCO2_A_0","PhiCO2_A_400b","PhiCO2_A_400c","PhiCO2_A_600","PhiCO2_A_800","PhiCO2_A_1000","PhiCO2_A_1200","PhiCO2_A_1500","PhiCO2_A_2000","Air_temp","Air_VPD","spad"
"1","LCOR-187",82.2682591584684,116.051214268385,1.45694997505793,1.4106438553032,20.58417858,20.27919163,14.42557178,8.634417905,2.541131044,-0.409658721,-3.58887787,16.76432862,18.56695386,21.6186442,23.20306237,24.33918744,23.89594416,22.9264566,23.93646311,0.27822427,0.320989338,0.318077262,0.340336284,0.348155398,0.319310071,0.369692632,0.362796458,0.374867693,0.385387331,0.387200442,0.35042197,0.379343105,0.39820333,0.365413041,279.0048027,286.7154521,218.7310635,153.5490493,86.24243476,51.74998447,23.80942691,313.2355355,308.5015177,494.1234192,682.2839997,861.9136721,1069.741407,1372.178648,1848.511142,"0.213593104","0.211914576","0.18798726","0.160290234","0.127615339","0.110145367","0.090788516","0.178676689","0.190043452","0.193296823","0.187389005","0.183865639","0.187351161","0.180950807","0.178945359","134.7046591","133.6353344","118.5425952","101.0657497","80.46634648","69.44856482","57.24716648","112.6835174","119.8424272","121.8850611","118.165342","115.9312201","118.1478294","114.0971289","112.8409034",0.017112369,0.016871926,0.012231093,0.007640091,0.002808023,0.00046814,-0.002052856,0.014084009,0.01551442,0.017935389,0.019190854,0.020093836,0.019739186,0.018972921,0.019772371,18.9666666666667,0.8695,34.2
"2","LCOR-243",78.663870934033,103.964050601035,1.29857003579936,1.32162388357698,18.06601232,18.12565824,13.43295507,7.777134175,2.33239527,-0.45054523,-3.329846954,16.0589075,17.19425423,19.66253877,20.59288844,20.46181356,21.19181965,22.19770642,21.03459128,0.216879279,0.244256951,0.259605784,0.257501276,0.281205673,0.370028372,0.331411735,0.299068601,0.341807319,0.360337976,0.372346541,0.362353123,0.348516376,0.307179235,0.33172567,264.3193397,269.7166279,209.0075976,146.6292438,84.6717611,51.49585867,23.80859703,299.5957864,306.4040627,494.801332,687.649735,881.5236918,1069.673592,1342.41784,1847.664327,"0.188849941","0.192167252","0.171324661","0.146268192","0.119481467","0.10252259","0.08776201","0.158637869","0.166574958","0.163972654","0.156905839","0.156941041","0.158783522","0.154453831","0.154995331","119.0898208","121.1841282","108.026769","92.23564704","75.34417066","64.65089918","55.3402487","100.047225","105.0437925","103.3916864","98.93312496","98.96920983","100.1204338","97.40977611","97.74547295",0.015117225,0.015164218,0.011444946,0.006959433,0.002642271,0.000435659,-0.001847408,0.013524557,0.014425922,0.016384738,0.017122932,0.017016602,0.017597283,0.018391248,0.017470163,20.25,1.0375,33.9
"3","LCOR-389",60.2020839055482,84.7037708188529,0.882033217018167,1.40699067746136,16.350836,16.25000868,11.95915626,7.250310797,2.168510274,-0.313324092,-2.729021986,13.30817264,13.90295459,15.8387887,16.86187052,18.77540164,17.82705697,17.89147041,17.04513674,0.307665501,0.373553389,0.365793176,0.377800366,0.367920706,0.347452691,0.412406467,0.412753545,0.417122473,0.413873302,0.415514731,0.354700997,0.350984884,0.367972078,0.361860102,310.9388199,318.952677,239.5213659,164.2426912,89.23192077,50.93156315,17.84226669,331.110989,330.4716069,515.7461984,703.749612,890.562044,1089.460707,1387.325366,1873.531318,"0.168945162","0.169629186","0.149530776","0.128359718","0.104652169","0.085426868","0.069574087","0.134198746","0.136730484","0.135085582","0.133775262","0.144016863","0.141640575","0.139711664","0.137412073","106.5434079","106.9584195","94.30496336","80.94864404","66.00215018","53.8688505","43.87789653","84.62254815","86.23050877","85.18966907","84.34704201","90.81543523","89.31338406","88.09414887","86.65623766",0.013756552,0.013678703,0.010274076,0.006541231,0.002511975,0.000544476,-0.001370794,0.011345314,0.011815355,0.013350666,0.014164554,0.015680106,0.014928755,0.01498033,0.01430722,21.5566666666667,1.18683333333333,28.6
"4","LCOR-392",92.3268211606188,111.959658943273,0.86259061615966,1.212645009715,20.19646073,20.31659707,14.42817616,8.756597359,2.586368172,-0.55648154,-3.562704044,17.91945108,18.84496813,22.16563338,22.71511143,22.9588649,23.03309894,22.91303761,21.84338974,0.255085279,0.302538049,0.303756879,0.30826218,0.31707022,0.296649574,0.334907563,0.341976221,0.362161825,0.353618953,0.365903395,0.332535894,0.361015635,0.36518438,0.350993793,267.6054109,279.3113061,214.8993956,148.186009,84.69563151,53.11557317,25.00896118,301.7269502,303.2290761,481.4314925,676.3385299,859.6617011,1064.553358,1358.474073,1848.329184,"0.217348552","0.219440214","0.192972002","0.165260281","0.136672823","0.120701145","0.104020148","0.193701692","0.198901967","0.195893318","0.183620354","0.17633681","0.179282175","0.176818781","0.169865604","137.0940663","138.3847922","121.6851921","104.2237923","86.19236055","76.10874624","65.59523014","122.1444519","125.4245374","123.5412868","115.7866162","111.1848467","113.0646175","111.4940186","107.1032107",0.016802405,0.01690113,0.012233231,0.007735172,0.002843402,0.000351689,-0.002031953,0.015001622,0.015735371,0.0183663,0.01880432,0.018999126,0.019054176,0.018961888,0.018114799,23.175,1.405,32.5
"5","LCOR-500",108.168203673445,146.099881879739,1.11788997477885,1.35067308985558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.94897059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.355142376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1821.222157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.20947832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"132.0964631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022953611,20.6016666666667,0.782,30
"6","LCOR-190",108.748561685951,139.02885086165,1.03234470881501,1.27844312335039,20.11867412,20.47333726,14.40927332,8.526276269,2.207567623,-1.065848967,-3.978260189,18.53936412,19.67314119,25.59749632,26.87356116,28.86809441,28.99909003,28.35569239,26.9069111,0.307028598,0.349750647,0.350631375,0.346051046,0.348523147,0.316723792,0.370036367,0.379837133,0.361602234,0.25665839,0.376584446,0.356579449,0.376666023,0.37496647,0.385221546,291.2009503,294.1907866,226.0057828,155.4311212,88.49890718,55.81922316,25.36214193,307.6616016,300.2995426,426.1989036,663.817301,841.4670291,1045.651435,1341.798568,1841.607142,"0.233174321","0.242553638","0.21234273","0.183248676","0.150087154","0.134034313","0.112780741","0.212579303","0.222653929","0.238336237","0.231164003","0.23449634","0.227360215","0.22438707","0.206251972","147.0655041","152.9485758","133.8874954","115.5514475","94.65209627","84.52449045","71.11682887","134.0644025","140.3927765","150.3091668","145.7878669","147.8904862","143.3717831","141.5062611","130.0593379",0.01674197,0.017026756,0.01221939,0.007553681,0.002543075,-5.22e-05,-0.002361539,0.015491302,0.016393137,0.021087028,0.022098423,0.023679545,0.023786408,0.023274722,0.022127805,21.775,0.9525,30.6
"7","LCOR-077",187.223225086905,203.453957576223,1.25310526237199,1.08669187533643,29.76767236,30.54486758,22.30549638,13.09229111,3.684550132,-1.16086076,-5.495319431,27.21417984,28.78078286,34.76868642,39.35598377,39.28918163,43.44607056,40.45418057,43.90796252,0.408249408,0.458158403,0.441364273,0.346961824,0.523251871,0.538410389,0.500550551,0.476537481,0.521290664,0.505427477,0.491484515,0.50616129,0.448730881,0.500702581,0.491864155,277.6434947,278.3747347,208.9473937,133.9158084,86.45146371,54.07705295,27.64541691,292.2572269,296.8168683,469.521839,643.9752939,846.5508536,1009.580984,1329.587884,1803.582458,"0.341620217","0.353178452","0.323960364","0.284620926","0.22221714","0.195251842","0.158589756","0.319045348","0.3259256","0.32542484","0.33228882","0.308391132","0.324035993","0.315370314","0.324327818","215.4289883","222.7102525","204.2925645","179.4870364","140.1136292","123.126895","99.99159451","201.2185672","205.535968","205.1846413","209.5110754","194.480931","204.3212032","198.8582809","204.5216084",0.024395182,0.025012247,0.018478541,0.0111734,0.003714797,-0.000127545,-0.003564858,0.022367724,0.023612216,0.028364743,0.032002705,0.031943559,0.035243838,0.032871193,0.035607244,23.55,1.2225,36.5
"8","LCOR-065",96.3474807510631,119.180257112583,0.967417602554828,1.23698363655728,18.72792795,18.59006079,13.11772811,7.504647737,1.923733104,-0.775283835,-3.522519858,16.43003799,17.66726348,22.78710133,22.93962684,24.33524273,24.69757774,24.61655566,25.66015557,0.302355229,0.339449244,0.332203092,0.346874089,0.342554065,0.356506139,0.369938305,0.356804649,0.38439264,-0.156525505,0.430121532,0.390809873,0.382507347,0.366661268,0.368938696,297.4334345,299.3315746,227.6846121,159.80319,89.47617953,53.70373069,23.00281568,311.4600469,313.0615106,814.8571057,694.758976,869.9457314,1062.288228,1350.635939,1834.479257,"0.212156019","0.211093146","0.184334046","0.156307112","0.12949211","0.113870273","0.096298467","0.183989347","0.188548738","0.209213714","0.197224686","0.193092488","0.191158891","0.189535154","0.185657532","133.7992379","133.1067568","116.2544597","98.57204756","81.66388165","71.806731","60.73160573","116.0177209","118.896685","131.9198746","124.3734374","121.7708429","120.5273631","119.5298808","117.0852197",0.015640592,0.015533875,0.011192594,0.006742971,0.00231804,0.000178176,-0.001999904,0.013820911,0.01480146,0.018862161,0.018981084,0.020087095,0.020378445,0.020309724,0.021136992,25.3,1.4925,31.8
"9","LCOR-292",59.931951475187,87.4158230691287,0.645171908586624,1.45858462668816,11.53042774,11.16505662,7.672546471,4.611649004,1.192855236,-0.643275224,-2.394382528,10.12594952,11.12480794,14.21446678,16.06680751,18.20699775,18.20579772,17.95927612,19.7774629,0.251454602,0.244696705,0.280425157,0.285311258,0.29717105,0.30067692,0.301680855,0.301288981,0.31615376,0.312162599,0.30308355,0.304774247,0.301640333,0.265382086,0.297351359,323.820092,313.54845,247.1446744,167.8142884,91.70715571,53.33381401,19.27693327,331.023126,330.0989978,507.7874261,689.171593,870.1537979,1064.954113,1344.259569,1831.039865,"0.127523498","0.127445411","0.120437803","0.106771253","0.088517493","0.075702702","0.062833858","0.123691792","0.132181071","0.142357682","0.147891133","0.150775545","0.149951846","0.149158398","0.148302769","80.42504022","80.37472316","75.93760054","67.32876677","55.81624956","47.740463","39.62734736","78.00594421","83.33302098","89.79426441","93.25415822","95.07799568","94.56426794","94.06951046","93.52117207",0.009934244,0.009644703,0.006877373,0.00444953,0.001738795,0.000282832,-0.001105479,0.00882105,0.009616057,0.012060326,0.013533067,0.015229315,0.015227447,0.015031094,0.016474105,27.545,1.914,20.3
"10","LCOR-212",100.767196568339,120.049465593954,0.594608598705888,1.19135462414635,20.59177759,20.76542349,14.73528909,8.595027464,2.419415868,-0.622926578,-3.418081874,18.02567367,19.14509027,22.48206703,22.74770224,24.22160794,25.7415891,25.51583798,24.83122558,0.373300194,0.425995924,0.42861071,0.432827387,0.443617992,0.429404028,0.394336107,0.43208159,0.430295653,0.445819679,0.450964792,0.457378625,0.40217993,0.447940945,0.454451504,308.9934699,309.3311372,236.6888109,163.2692921,90.02605288,52.80107196,23.50703619,319.1310818,316.2274538,502.1659165,697.8888765,888.3930071,1065.794132,1370.981185,1864.894897,"0.214961901","0.218982232","0.189167201","0.157946312","0.124714657","0.108137442","0.094149349","0.189452405","0.196847","0.198885283","0.190368648","0.190455907","0.193323118","0.190606135","0.185255991","135.570581","138.0794217","119.3010096","99.60781509","78.64049802","68.189784","59.36080653","119.4681467","124.1294741","125.4357349","120.0442707","120.1161221","121.9236223","120.1917111","116.8188155",0.017118056,0.017259056,0.012475169,0.007607331,0.002711397,0.000298987,-0.001917602,0.015085442,0.015973243,0.018616057,0.018829795,0.019995668,0.021200844,0.021025083,0.0204821,20.975,0.67,28.1
