obs,time,elapsed,date,hhmmss,averaging,instrument,row,column,spad1,spad2,spad,operator,temp,event,event_short,block,leaf,tree,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,ID,Duration,Fo,F1,F2,Fmax,T@HIR,T@F1,T@F2,T@Fmax,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1657678227,0,20220712 21:10:26,9:10:26,none,Carlos,11,9,32.6,31.9,32.3,CH,25,LC-102 4A,4A,large,10,LCOR-231,1657678227,0.004172778,4.172777515,18.61216128,387.774,257.6309414,25.98774614,39.11553563,0.261266156,1.909660144,0.242909148,0.153359903,241.758297,28.15654529,28.15654529,3.829609766,57.76512721,2.148139669,3.718748271,1.681470096,-184.0194884,-51.84179927,-5.911840689,-0.014831358,0,0,1,0,25601.08787,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.2825,18.61216128,#DIV/0!,0.014756537,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.08,1261.2825,0.840810157,0.161163603,6,0.5,0: Broadleaf,2,1657678227,387.774,409.84,21.2957,16.8412,381.709,20.2587,550.084,100.772,0.0999915,27.653,27.8825,999.9,0,0,4989.38,0,1123.15,-22.1174,396.225,416.86,4.617,409.84,16.8412,2.16239,1.69713,18.6864,14.8702,1500.08,0.972996,0.027004,0,2.498,0,19968.5,13304.3,38.125,39.75,38.812,38.562,38.125,1459.57,40.51,0,1657678227,0,2.344844,0.375807697,-1504.153848,20208.804,15,1657678256,21:10:56,1657678255,1657678256,1,-0.024,0.003,6.065,1.037,406,17,0.08,0.02,-21.4266825,-0.864449156,0.110550301,0,4.5976205,0.019528705,0.002329737,1,1,2,2-Jan,3.05973,2.76389,0.0970929,0.103045,0.107008,0.0940359,28582,22241.5,29722,24250.9,34684.1,32066.9,42692.7,39543.3,2.07277,1.97097,0.0811405,0,26.5561,999.9,51.9,29.9,21.8167,30.8047,36.5585,1,0.0738618,0.877729,20.265,5.22478,11.9081,4.9638,3.292,9999,9999,9999,992.1,1.87683,1.87515,1.87379,1.87295,1.87454,1.86945,1.87366,1.87875,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,6.065,1.037,4.010519812,0.006528983,-3.64E-06,7.29E-10,0.430982117,0.041963366,-0.000400017,9.93E-06,1,2008,1,25,1199.3,1203.2,0.780029,2.37915,1.42578,2.2876,1.54785,2.36328,32.9537,15.9358,18,567.579,487.894,25.001,28.0798,30.0017,27.8913,27.8299,15.6424,27.4946,0,25,410,16.7519,99.162,100.628
2,1657679039,812.5999999,20220712 21:23:59,9:23:59,none,Carlos,11,9,32.6,31.9,32.3,CH,25,LC-102 4A,4A,large,10,LCOR-231,1657679039,0.002770803,2.77080254,16.51129067,380.54,244.5841106,24.67118693,38.38505066,0.215437969,1.909191824,0.202785973,0.127816003,241.718835,28.9075048,28.9075048,4.000297282,70.8506466,2.667596603,3.765098458,1.332700679,-122.192392,-107.2930059,-12.29716171,-0.06372461,0,0,1,0,25571.37999,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.0803,16.51129067,#DIV/0!,0.013092973,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.84,1261.0803,0.840809886,0.161163081,6,0.5,0: Broadleaf,2,1657679039,380.54,399.697,26.4459,23.504,374.484,25.1839,550.16,100.77,0.0999497,27.8651,28.5761,999.9,0,0,4987.5,0,1225.32,-19.2529,390.833,409.318,3.07611,399.697,23.504,2.67849,2.3685,22.1537,20.15,1499.84,0.973001,0.0269989,0,2.285,0,18396.5,13302.2,38.875,40.937,39.625,39.75,38.875,1459.35,40.49,0,1657679040,0,2.393592,0.152953855,-349.0846161,18468.54,15,1657679061,21:24:21,1657679060,1657679061,2,0.02,-0.021,6.056,1.262,399,24,0.17,0.03,-19.2690675,-0.759195872,0.132156315,0,3.0282125,0.277194371,0.028113219,1,1,2,2-Jan,3.05798,2.76385,0.095284,0.100718,0.124173,0.118344,28541.1,22240.7,29628.4,24193.9,33901.9,31124.4,42557.7,39450.2,2.0558,1.95182,0.0897795,0,27.1099,999.9,61.4,31.7,28.6027,31.0665,35.8093,1,0.191712,1.20234,20.2629,5.22343,11.9081,4.9638,3.292,9999,9999,9999,992.3,1.87702,1.87534,1.87407,1.87318,1.87469,1.86966,1.87382,1.87897,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,6.056,1.262,3.986914258,0.006528983,-3.64E-06,7.29E-10,0.434471575,0.041963366,-0.000400017,9.93E-06,1,2008,1,25,13.1,13.1,1.00464,2.42798,1.42578,2.28394,1.54785,2.32666,35.7311,15.7781,18,571.64,489.777,24.9997,29.6363,30.0005,29.5801,29.5148,20.1136,22.5336,52.7271,25,400,23.4073,98.8491,100.391
3,1657679137,910.5999999,20220712 21:25:37,9:25:37,none,Carlos,11,9,32.6,31.9,32.3,CH,25,LC-102 4A,4A,large,10,LCOR-231,1657679137,0.003225615,3.225614892,12.17681225,285.585,200.9764655,20.27269044,28.80723514,0.260930895,1.913638696,0.242654412,0.153194264,241.733778,28.89435907,28.89435907,3.997253243,71.05375588,2.700890754,3.801193505,1.296362489,-142.2496167,-89.30839218,-10.21974653,-0.043977433,0,0,1,0,25668.87301,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.1562,12.17681225,#DIV/0!,0.009655277,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.93,1261.1562,0.840810038,0.161163373,6,0.5,0: Broadleaf,2,1657679137,285.585,299.869,26.7757,23.3522,280.019,25.3916,550.182,100.771,0.0999671,28.0287,28.7324,999.9,0,0,5006.25,0,1236.27,-14.2847,293.442,307.039,3.42356,299.869,23.3522,2.69823,2.35323,22.2743,20.0455,1499.93,0.973001,0.0269989,0,1.8986,0,17717.5,13302.9,38.125,39.812,38.75,38.687,38.187,1459.43,40.5,0,1657679138,0,2.306568,-0.264984624,-824.7538496,17812.6,15,1657679061,21:24:21,1657679060,1657679061,2,0.02,-0.021,6.056,1.262,399,24,0.17,0.03,-14.153055,-0.733265291,0.077149167,0,3.416989,-0.308147617,0.033312565,1,1,2,2-Jan,3.0579,2.76394,0.0753204,0.0801281,0.124854,0.117788,29163.6,22745.8,29621.4,24189.8,33866.4,31138.6,42547.3,39443.6,2.05487,1.94725,0.0854507,0,27.3373,999.9,61.8,31.9,29.1222,30.9365,35.7252,1,0.201123,1.34417,20.2619,5.22717,11.9081,4.9639,3.292,9999,9999,9999,992.3,1.87702,1.87541,1.87408,1.87325,1.8747,1.86966,1.87389,1.87897,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,5.566,1.3841,4.006514438,0.006528983,-3.64E-06,7.29E-10,0.413914613,0.041963366,-0.000400017,9.93E-06,1,2008,1,25,1.3,1.3,0.797119,2.42798,1.42578,2.28516,1.54785,2.33154,36.0113,15.7606,18,571.983,487.735,25.0012,29.7498,30.0005,29.6869,29.623,15.9554,25.7009,52.6781,25,300,23.3017,98.8252,100.374
4,1657679213,986.0999999,20220712 21:26:52,9:26:52,none,Carlos,11,9,32.6,31.9,32.3,CH,25,LC-102 4A,4A,large,10,LCOR-231,1657679213,0.003271087,3.271086743,7.074656273,191.447,142.3056418,14.354945,19.31203234,0.264387644,1.908351112,0.245594372,0.155073516,241.714626,28.89124128,28.89124128,3.996531582,70.91495577,2.69756349,3.803941582,1.298968092,-144.2549254,-87.46510715,-10.03701041,-0.042416922,0,0,1,0,25535.20949,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.0554,7.074656273,#DIV/0!,0.005610107,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.81,1261.0554,0.840810103,0.161163498,6,0.5,0: Broadleaf,2,1657679213,191.447,199.845,26.7419,23.2701,186.27,25.3591,550.195,100.774,0.10004,28.0411,28.7665,999.9,0,0,4983.75,0,1242.52,-8.47432,196.629,204.606,3.47178,199.845,23.2701,2.69489,2.34503,22.254,19.9891,1499.81,0.972996,0.027004,0,2.2854,0,17549.7,13301.9,37.687,39.375,38.312,38.312,37.812,1459.31,40.5,0,1657679213,0,2.294865385,0.735558968,118.0478631,17560.55,15,1657679230,21:27:09,1657679230,1657679061,3,0.034,-0.021,5.177,1.262,199,24,0.28,0.03,-8.489278293,-0.181357631,0.023056641,0,3.447336829,0.377197631,0.03957791,1,1,2,2-Jan,3.05781,2.76393,0.0527991,0.0565521,0.12472,0.117481,29866.9,23324.9,29614.7,24186,33863.1,31143.9,42537.2,39437.3,2.05387,1.9435,0.0820309,0,27.4274,999.9,62.2,32.1,29.6404,31.0565,35.4207,1,0.209644,1.39011,20.2617,5.22642,11.9083,4.9639,3.292,9999,9999,9999,992.4,1.87707,1.87546,1.87408,1.87329,1.87473,1.86966,1.87393,1.87897,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,5.177,1.3828,4.006514438,0.006528983,-3.64E-06,7.29E-10,0.413914613,0.041963366,-0.000400017,9.93E-06,1,2008,1,25,2.5,2.5,0.577393,2.44507,1.42578,2.28516,1.54785,2.28027,36.2224,15.7519,18,572.141,486.087,25.0016,29.8427,30.0006,29.7796,29.7145,11.5785,26.8231,51.5538,25,200,23.2351,98.8022,100.358
5,1657679306,1079.1,20220712 21:28:25,9:28:25,none,Carlos,11,9,32.6,31.9,32.3,CH,25,LC-102 4A,4A,large,10,LCOR-231,1657679306,0.003332342,3.332341632,1.766914244,97.6034,84.54054236,8.528366556,9.846134755,0.270538798,1.91594759,0.250967537,0.158494965,241.745529,28.8791918,28.8791918,3.993743604,70.8862884,2.698705295,3.807090702,1.295038309,-146.956266,-85.10189809,-9.727204371,-0.039839418,0,0,1,0,25724.15624,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.2153,1.766914244,#DIV/0!,0.001400962,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1261.2153,0.8408102,0.161163686,6,0.5,0: Broadleaf,2,1657679306,97.6034,99.8849,26.7519,23.2152,92.8534,25.3688,550.207,100.779,0.100014,28.0553,28.909,999.9,0,0,5015.62,0,1252.82,-2.41604,100.148,102.259,3.53677,99.8849,23.2152,2.69603,2.3396,22.2609,19.9517,1500,0.972996,0.027004,0,2.1996,0,17552.1,13303.5,37.312,39.125,37.937,38.062,37.5,1459.49,40.51,0,1657679306,0,2.341212,-0.117030773,1119.561541,17458.132,15,1657679327,21:28:47,1657679327,1657679061,4,0.122,-0.021,4.75,1.262,100,24,0.3,0.03,-2.418424,0.06210439,0.021469836,1,3.582163,-0.228455009,0.024393023,1,2,2,2-Feb,3.0577,2.76404,0.0273182,0.029502,0.124729,0.117268,30664.5,23989.9,29609.6,24182.7,33855.3,31146.5,42528.6,39431.9,2.05292,1.9391,0.0865087,0,27.497,999.9,62.7,32.3,30.217,30.6065,35.4167,1,0.21747,1.43089,20.2614,5.22463,11.9081,4.96375,3.292,9999,9999,9999,992.4,1.87713,1.87543,1.87408,1.87332,1.87479,1.86966,1.87393,1.87899,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,4.75,1.3831,4.040049447,0.006528983,-3.64E-06,7.29E-10,0.413914613,0.041963366,-0.000400017,9.93E-06,1,2008,1,25,1.3,4.1,0.350342,2.47192,1.42578,2.28394,1.54785,2.27783,36.4814,15.7344,18,572.407,484.084,24.9994,29.9511,30.0005,29.8803,29.8133,7.04156,28.6042,50.7071,25,100,23.1188,98.7835,100.344
6,1657679403,1176.6,20220712 21:30:03,9:30:03,none,Carlos,11,9,32.6,31.9,32.3,CH,25,LC-102 4A,4A,large,10,LCOR-231,1657679403,0.003647105,3.647104579,-0.912157636,50.7098,54.86081236,5.534289379,5.115540501,0.297778903,1.91594759,0.274251619,0.173365927,241.766277,28.60642963,28.60642963,3.931084733,69.78320028,2.633207369,3.773411593,1.297877364,-160.8373119,-72.66938125,-8.288596135,-0.029012306,0,0,1,0,25737.1849,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.3245,-0.912157636,#DIV/0!,-0.000723174,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.13,1261.3245,0.84081013,0.16116355,6,0.5,0: Broadleaf,2,1657679403,50.7098,49.9166,26.1027,22.2285,46.0648,24.7448,550.086,100.779,0.0997355,27.9029,28.6997,999.9,0,0,5015.62,0,1260.41,0.603611,51.8743,51.0514,3.87413,49.9166,22.2285,2.6306,2.24017,21.8579,19.2525,1500.13,0.972996,0.027004,0,2.4488,0,17283,13304.7,36.937,38.812,37.562,37.625,37.125,1459.62,40.51,0,1657679404,0,2.363153846,-0.731247848,126.0615374,17242.80385,15,1657679424,21:30:24,1657679424,1657679061,5,0.196,-0.021,4.645,1.262,50,24,0.39,0.03,0.6555555,-0.31418767,0.047222798,0,3.9442025,-0.544853583,0.057558611,0,0,2,0/2,3.05731,2.76375,0.0136377,0.0148641,0.122567,0.113774,31090.5,24348.8,29605,24180.1,33933.6,31267.7,42520.5,39428,2.05215,1.93342,0.0888929,0,27.2482,999.9,62.9,32.5,30.6581,30.5065,36.4704,1,0.223913,1.35411,20.2615,5.22403,11.9081,4.96335,3.29133,9999,9999,9999,992.4,1.87713,1.87546,1.87408,1.87332,1.87481,1.86968,1.87393,1.87905,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,4.645,1.3579,4.162351327,0.006528983,-3.64E-06,7.29E-10,0.413914613,0.041963366,-0.000400017,9.93E-06,1,2008,1,25,1.3,5.7,0.238037,2.47314,1.42578,2.28394,1.54785,2.38892,36.6943,15.7169,18,572.64,481.128,24.9997,30.0248,30.0001,29.9643,29.8937,4.80243,31.9316,48.6507,25,50,22.168,98.766,100.334
7,1657679500,1273.6,20220712 21:31:40,9:31:40,none,Carlos,11,9,32.6,31.9,32.3,CH,25,LC-102 4A,4A,large,10,LCOR-231,1657679500,0.003533706,3.533706109,-3.594694407,8.75329,29.45962104,2.971736924,0.882987431,0.292204848,1.916789026,0.269523316,0.170342964,241.725219,28.4196262,28.4196262,3.888668556,70.06748561,2.608696051,3.72311926,1.279972505,-155.8364394,-77.14447194,-8.776927817,-0.032620144,0,0,1,0,25778.13251,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.1139,-3.594694407,#DIV/0!,-0.002850412,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.88,1261.1139,0.840809865,0.161163039,6,0.5,0: Broadleaf,2,1657679500,8.75329,4.86675,25.8607,22.1066,3.88229,24.5122,550.17,100.775,0.0999203,27.6731,28.4995,999.9,0,0,5019.38,0,1271.76,3.39903,8.48521,4.97677,3.75401,4.86675,22.1066,2.6061,2.22779,21.7048,19.1636,1499.88,0.973006,0.0269938,0,2.5336,0,17247.8,13302.6,36.437,38.437,37.187,37,36.75,1459.39,40.49,0,1657679501,0,2.3044,-0.29261539,606.6153886,17228.45,15,1657679526,21:32:05,1657679526,1657679061,6,0.514,-0.021,4.871,1.262,5,24,0.23,0.03,3.429290488,-0.182498467,0.024126045,0,3.827151951,-0.537981951,0.053917269,0,0,2,0/2,3.05753,2.76396,0.00114435,0.00144347,0.121756,0.113334,31485.2,24682.4,29605.8,24182,33964.9,31284.9,42520.5,39430.5,2.05235,1.931,0.0977218,0,26.9032,999.9,62.9,32.7,31.0056,30.4265,35.7252,1,0.221288,1.2332,20.2627,5.22523,11.9081,4.9633,3.29158,9999,9999,9999,992.4,1.87714,1.87547,1.87417,1.87333,1.87485,1.86977,1.87393,1.8791,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,4.871,1.3485,4.35819427,0.006528983,-3.64E-06,7.29E-10,0.413914613,0.041963366,-0.000400017,9.93E-06,1,2008,1,25,1.3,7.3,0.0317383,4.99756,1.42578,2.28271,1.54785,2.35474,36.9317,15.6818,18,572.876,479.678,24.9992,30.0043,29.9999,29.9749,29.9044,0,32.6865,46.3133,25,0,22.1056,98.7671,100.341
8,1657679602,1375.1,20220712 21:33:21,9:33:21,none,Carlos,11,9,32.6,31.9,32.3,CH,25,LC-102 4A,4A,large,10,LCOR-231,1657679602,0.003625988,3.625988411,16.4373547,380.755,278.2948564,28.07244568,38.40791092,0.2954164,1.916765489,0.272254457,0.172088459,241.737987,28.20460246,28.20460246,3.840339289,68.92642243,2.539357508,3.684156842,1.300981781,-159.9060889,-73.51395471,-8.347528473,-0.029585114,0,0,1,0,25793.05352,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.1811,16.4373547,#DIV/0!,0.013033302,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.96,1261.1811,0.840809822,0.161162956,6,0.5,0: Broadleaf,2,1657679602,380.755,400.186,25.1738,21.3191,374.475,23.8518,550.192,100.773,0.100031,27.4932,28.5215,999.9,0,0,5019.38,0,1280.04,-18.8658,391.167,408.903,3.85471,400.186,21.3191,2.53683,2.14839,21.2648,18.5825,1499.96,0.973006,0.0269938,0,2.5287,0,17110.3,13303.2,36.062,38,36.812,36.625,36.25,1459.47,40.49,0,1657679603,0,2.305788,-1.282838479,845.5538434,17031.624,15,1657679619,21:33:39,1657679619,1657679061,7,-0.645,-0.021,6.28,1.262,400,24,0.12,0.03,-18.656815,-2.895917448,0.355432619,0,3.8676155,-0.050565253,0.006009195,1,1,2,2-Jan,3.0577,2.76407,0.095188,0.100707,0.11947,0.11052,28525.4,22232.3,29610.4,24185.5,34062.2,31393.8,42525.4,39436.9,2.05317,1.92997,0.119574,0,26.5677,999.9,62.6,32.9,31.2085,30.9265,36.4984,1,0.21345,1.09957,20.264,5.22732,11.9081,4.96385,3.292,9999,9999,9999,992.5,1.87714,1.87549,1.87414,1.87332,1.87485,1.86974,1.87394,1.87909,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,6.28,1.322,4.872361487,0.006528983,-3.64E-06,7.29E-10,0.413914613,0.041963366,-0.000400017,9.93E-06,1,2008,1,25,1.3,9,1.03271,2.44263,1.42578,2.28394,1.54785,2.40601,37.0747,15.6818,18,573,478.64,24.9989,29.9147,29.9995,29.9258,29.8557,20.6808,34.8188,42.8351,25,400,21.3654,98.7802,100.356
9,1657679695,1468.6,20220712 21:34:55,9:34:55,none,Carlos,11,9,32.6,31.9,32.3,CH,25,LC-102 4A,4A,large,10,LCOR-231,1657679695,0.003529255,3.529255095,16.95020938,380.154,270.3433151,27.27062644,38.3476755,0.282105177,1.912342621,0.260858211,0.164811784,241.745388,28.32954165,28.32954165,3.868356742,68.78543781,2.54698919,3.702802905,1.321367553,-155.6401497,-77.32795528,-8.810190902,-0.032907865,0,0,1,0,25674.58448,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.2228,16.95020938,#DIV/0!,0.013439504,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.01,1261.2228,0.840809595,0.161162518,6,0.5,0: Broadleaf,2,1657679695,380.154,400.103,25.2492,21.4974,373.955,24.0562,550.159,100.774,0.100055,27.5795,28.9546,999.9,0,0,5000.62,0,1286.07,-19.9491,390.056,408.893,3.8889,400.103,21.4974,2.55827,2.16638,21.4021,18.7158,1500.01,0.973011,0.026989,0,2.3527,0,17130.6,13303.7,37.437,40.062,38.25,38.125,37.687,1459.53,40.48,0,1657679696,0,2.338604,-0.643853855,-1205.384622,17212.136,15,1657679722,21:35:22,1657679619,1657679722,8,-0.645,0.007,6.28,1.193,400,22,0.12,0.02,-19.75128537,-0.577910801,0.067014292,0,3.926236829,-0.302108362,0.031605517,1,1,2,2-Jan,3.05769,2.76401,0.095095,0.100699,0.120193,0.11117,28530.2,22233,29612,24185.9,34035.1,31370.8,42527.4,39437.2,2.05382,1.92895,0.134513,0,26.7579,999.9,62.4,33.1,31.4591,30.6965,35.7973,1,0.210495,1.19305,20.2653,5.22747,11.9081,4.96395,3.292,9999,9999,9999,992.5,1.87714,1.87549,1.87411,1.87333,1.87485,1.86979,1.87393,1.87912,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,6.199,1.193,4.227626411,0.006528983,-3.64E-06,7.29E-10,0.413914613,0.041963366,-0.000400017,9.93E-06,1,2008,1,25,1.3,10.6,1.03027,2.45483,1.42578,2.28394,1.54785,2.30347,37.1702,15.6643,18,573.168,477.829,24.9999,29.8619,30.0002,29.895,29.8352,20.6266,34.6279,39.7948,25,400,21.492,98.785,100.358
10,1657679798,1571.6,20220712 21:36:38,9:36:38,none,Carlos,11,9,32.6,31.9,32.3,CH,25,LC-102 4A,4A,large,10,LCOR-231,1657679798,0.003781615,3.781614762,21.27219504,574.431,442.7223686,44.65919879,57.94518199,0.30294596,1.907463378,0.27853198,0.176111739,241.749159,28.44279251,28.44279251,3.893906994,68.51751784,2.568212989,3.748257482,1.325694006,-166.769211,-67.30484606,-7.700188949,-0.025087018,0,0,1,0,25534.41449,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.2399,21.27219504,#DIV/0!,0.016866097,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.03,1261.2399,0.840809784,0.161162883,6,0.5,0: Broadleaf,2,1657679798,574.431,600,25.4596,21.4403,567.095,24.1195,550.146,100.774,0.100051,27.7883,29.2661,999.9,0,0,4980,0,1295.61,-26.0121,588.984,613.146,4.01933,600,21.4403,2.56565,2.16061,21.4491,18.6732,1500.03,0.973006,0.0269939,0,1.7822,0,17372.1,13303.8,39.125,41.75,39.812,40.75,39.25,1459.54,40.49,0,1657679799,0,2.283669231,-1.420861533,-500.0752147,17479.68462,15,1657679817,21:36:57,1657679817,1657679722,9,0.365,0.007,7.336,1.193,600,22,0.07,0.02,-26.07186585,1.209326132,0.136508807,0,4.066430976,-0.044872056,0.026724489,1,1,2,2-Jan,3.05768,2.76392,0.129719,0.135615,0.120417,0.110966,27438.9,21369.6,29612.9,24186.1,34027.2,31379.5,42526.8,39437.5,2.05428,1.9272,0.144787,0,26.9024,999.9,62.3,33.2,31.5858,30.9165,36.234,1,0.209304,1.27476,20.2639,5.22283,11.9081,4.9633,3.29133,9999,9999,9999,992.5,1.87715,1.87546,1.87419,1.87333,1.87485,1.86979,1.87393,1.87912,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,7.336,1.3401,4.227626411,0.006528983,-3.64E-06,7.29E-10,0.421355123,0.041963366,-0.000400017,9.93E-06,1,2008,1,25,3,1.3,1.43311,2.45605,1.42578,2.28394,1.54785,2.28027,37.3138,15.6468,18,573.348,476.651,25.002,29.8404,30.0005,29.8806,29.8258,28.7101,34.6576,36.8468,25,600,21.6056,98.7856,100.358
