obs,time,elapsed,date,hhmmss,averaging,instrument,row,column,spad1,spad2,spad,operator,temp,event,event_short,block,leaf,tree,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1658767392,0,20220725 09:43:12,09:43:12,5,Gandalf,10,12,33.9,35.2,34.5,ch,30,LC-102 5C,5C,large,12,LCOR-561,1658767384,0.004435605,4.435604546,24.6452377,410.6325161,266.0031063,26.82387482,41.40837061,0.303378131,2.94248477,0.287010414,0.180778458,241.735243,30.48910242,30.48910242,4.381616672,66.73829749,2.879283908,4.31429032,1.502332764,-195.6101605,-42.87795416,-3.251472722,-0.004344372,24.6452377,4.435604546,25.42006672,447.9505243,421.9012121,-0.000285399,67.25749263,4.435940412,24.25486133,28.56369273,4.25392E-05,79.19474317,0,0,1,0,52702.61155,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-1-20220725-09_42_29,10154.7,915.0871538,1311.85,0.302445284,0.5,1261.201665,24.6452377,190.722248,0.027653525,1.458489919,833.3760365,-,0,833.3760365,0.364732221,0.829225572,0.799951848,-15.52665769,1.01353645,0.755181316,0.244818684,1499.989032,1261.201665,0.840807258,0.161158007,6,0.5,0: Broadleaf,2,FALSE,1658767384,410.6325161,437.0980645,28.55286452,24.2440871,411.7365161,28.55286452,600.0247742,100.7403871,0.100069968,30.21880968,29.90941613,999.9,0,0,9999.884516,0,1079.703226,1499.989032,0.972999871,0.027000039,0,915.1732258,4.99935,15700.14194,14584.82258,38.08641935,39.97354839,38.05429032,37.18519355,39.27403226,1454.627097,40.36258065,0,1658767401,0,915.0871538,-8.206017095,-258.5264953,15697.03462,15,1658767411,09:43:30,1658767411,0,1,0.712,0,-1.104,0,437,0,0.13,0,100,100,-1.104,0,-1.114748434,-0.001910337,7.34503E-07,-7.10469E-11,0,0,0,0,2,2150,-1,-1,27646123.2,27646123.2,1.04492,2.37427,1.5979,2.33643,1.59424,2.38281,34.4408,15.4629,18,623.25,383.294,31.0475,30.0126,30.0013,29.7515,29.7028,20.9564,37.8847,93.1571,31.1102,437.112,24.3232,99.8516,99.9171
2,1658767592,199.5,20220725 09:46:31,09:46:31,5,Gandalf,10,12,33.9,35.2,34.5,ch,30,LC-102 5C,5C,large,12,LCOR-561,1658767584,0.004369184,4.369184292,24.36967572,400.1185667,255.7631872,25.78768654,40.34252266,0.299800297,2.942000243,0.28380295,0.178742974,241.7656524,30.65654626,30.65654626,4.423782336,67.28934321,2.928138042,4.351562821,1.495644294,-192.6810273,-45.6238484,-3.465701969,-0.004925293,24.36967572,4.369184292,24.28720793,437.0536449,412.1537333,-0.000952565,67.03169185,4.36556401,24.79801176,29.03669333,1.369E-06,78.55,0,0,1,0,52662.31605,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-2-20220725-09_45_48,10139.9,880.89084,1260.71,0.301274012,0.5,1261.35977,24.36967572,190.0074594,0.027431594,1.558217195,812.4400383,-,0,812.4400383,0.35556945,0.847300048,0.814206327,-4.952419629,1.040626667,0.781459464,0.218540536,1500.177,1261.35977,0.840807298,0.161158085,6,0.5,0: Broadleaf,2,FALSE,1658767584,400.1185667,426.2357333,29.04137667,24.79919333,401.2275667,29.04137667,600.0161,100.7263333,0.100086687,30.36889667,30.03285,999.9,0,0,9998.524,0,1094.852667,1500.177,0.973000067,0.027000133,0,880.9343333,4.99935,15247.95333,14586.62667,40.5664,41.49153333,39.87473333,40.07893333,41.99133333,1454.808333,40.36966667,0,198.3,0,880.89084,-4.584923077,-231.3538453,15247.224,15,1658767630,09:47:10,1658767630,0,2,-0.054,0,-1.109,0,400,0,0.23,0,100,100,-1.109,0,-0.402338584,-0.001910337,7.34503E-07,-7.10469E-11,0,0,0,0,2,2150,-1,-1,3,27646126.5,1.02783,2.3877,1.59912,2.33398,1.59424,2.37305,34.6692,15.4192,18,628.429,380.703,29.1024,30.5366,30.0012,30.2968,30.2481,20.6043,35.5934,89.8922,29.1017,426.311,24.8758,99.7589,99.8232
3,1658767718,325.5,20220725 09:48:37,09:48:37,5,Gandalf,10,12,33.9,35.2,34.5,ch,30,LC-102 5C,5C,large,12,LCOR-561,1658767710,0.004655422,4.655421619,17.04174817,301.2182333,205.736301,20.74464504,30.37220608,0.321140848,2.941142613,0.302854527,0.190840207,241.7389824,30.40690596,30.40690596,4.361046429,66.54248214,2.866639368,4.307983827,1.494407061,-205.3040934,-33.86944786,-2.568153483,-0.002712341,17.04174817,4.655421619,17.13353793,327.1482566,309.6219515,-0.005987093,67.16888978,4.611736151,23.89567287,28.38166606,-0.000976792,79.55907094,0,0,1,0,52668.26654,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-3-20220725-09_47_54,10155.7,832.3340385,1133.46,0.265669685,0.5,1261.22251,17.04174817,167.5342937,0.021624401,1.845420218,757.6270847,-,0,757.6270847,0.331580219,0.801222962,0.847689411,-1.476515473,1.108034374,0.729308413,0.270691587,1500.014,1261.22251,0.840807159,0.161157817,6,0.5,0: Broadleaf,2,FALSE,1658767710,301.2182333,319.6621667,28.43007333,23.90703333,302.3512333,28.43007333,600.0036667,100.7311667,0.10006703,30.19330333,29.88547667,999.9,0,0,9993.168,0,1109.598667,1500.014,0.973005667,0.026994067,0,832.4503333,4.99935,14403.18,14585.07333,37.92886667,39.4498,37.99983333,37.8643,39.8435,1454.656,40.35833333,0,125.5,0,832.3340385,-14.65637605,-148.9299144,14402.31538,15,1658767754,09:49:14,1658767754,0,3,-0.18,0,-1.133,0,290,0,0.18,0,100,100,-1.133,0,-0.456896616,-0.001910337,7.34503E-07,-7.10469E-11,0,0,0,0,2,2150,-1,-1,1.5,27646128.6,0.800781,2.38525,1.5979,2.33276,1.59424,2.37305,34.8525,15.4016,18,630.481,377.388,30.6948,30.8877,30.0012,30.6501,30.598,16.0613,38.7726,87.9588,30.7353,318.756,23.8457,99.692,99.756
4,1658767840,447.5999999,20220725 09:50:39,09:50:39,5,Gandalf,10,12,33.9,35.2,34.5,ch,30,LC-102 5C,5C,large,12,LCOR-561,1658767832,0.004609375,4.609375334,9.710115917,201.5745333,146.6780393,14.79072432,20.32637855,0.322301156,2.942735816,0.303895882,0.191500924,241.7385991,30.48879402,30.48879402,4.381539334,67.21658659,2.90734456,4.325337998,1.474194774,-203.2734522,-35.75636896,-2.71179909,-0.003021179,9.710115917,4.609375334,9.784967723,217.0969644,207.0835576,-0.003480701,67.17512641,4.584048805,24.3373073,28.79027879,-0.000194475,78.55,0,0,1,0,52702.02536,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-4-20220725-09_49_56,10165.1,799.6964,1038.2,0.229727991,0.5,1261.217011,9.710115917,144.8684249,0.015811355,2.106501637,713.8462983,-,0,713.8462983,0.312419285,0.735319495,0.870843531,-0.797127964,1.158496127,0.65638047,0.34361953,1500.007,1261.217011,0.840807417,0.161158314,6,0.5,0: Broadleaf,2,FALSE,1658767832,201.5745333,212.2135,28.83182667,24.35546667,202.6055333,28.83182667,600.0159,100.738,0.10002854,30.26341333,29.97785,999.9,0,0,10001.54933,0,1118.126,1500.007,0.972995833,0.027004313,0,799.8186333,4.99935,13831.11,14584.95333,36.44563333,38.3936,36.5186,37.1559,38.46843333,1454.636,40.371,0,121.6999998,0,799.6964,-9.515846165,-150.5384618,13830.168,15,1658767880,09:51:20,1658767880,0,4,-0.065,0,-1.031,0,184,0,0.39,0,100,100,-1.031,0,-0.636771377,-0.001910337,7.34503E-07,-7.10469E-11,0,0,0,0,2,2150,-1,-1,1.4,27646130.7,0.570068,2.41089,1.5979,2.33154,1.59424,2.3584,34.9444,15.3841,18,631.826,376.043,30.768,31.1649,30.0008,30.9577,30.9045,11.4342,37.0395,86.2599,30.7583,211.018,24.2605,99.6438,99.7061
5,1658767969,576.5999999,20220725 09:52:48,09:52:48,5,Gandalf,10,12,33.9,35.2,34.5,ch,30,LC-102 5C,5C,large,12,LCOR-561,1658767961,0.004824522,4.824521553,2.429070482,101.1976667,86.66861664,8.739076158,10.20408713,0.334498659,2.94250986,0.314718383,0.198378624,241.7319605,30.43199752,30.43199752,4.367316826,66.52197903,2.877106351,4.325046238,1.490210475,-212.7614005,-26.93028275,-2.041991095,-0.001713806,2.429070482,4.824521553,2.446532953,106.2866499,103.7977515,-0.003877276,67.10038706,4.78209821,23.83448439,28.48349333,-0.000627836,78.55,0,0,1,0,52695.63135,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-5-20220725-09_52_05,10158.6,788.5399231,972.92,0.189512064,0.5,1261.185551,2.429070482,119.5049381,0.010038574,2.314938536,682.3656368,-,0,682.3656368,0.298641577,0.634580307,0.885734676,-0.505866517,1.193076678,0.549136172,0.450863828,1499.97,1261.185551,0.840807183,0.161157863,6,0.5,0: Broadleaf,2,FALSE,1658767961,101.1976667,104.1148667,28.53331667,23.84661667,102.2316667,28.53331667,600.0207333,100.7331667,0.10005875,30.26223667,30.01943333,999.9,0,0,10000.744,0,1125.388333,1499.97,0.973003567,0.026996213,0,788.5691667,4.99935,13739.43,14584.64,37.02686667,38.93313333,37.16846667,37.39976667,38.70806667,1454.611667,40.35833333,0,128.3,0,788.5399231,-4.498940166,-9.627350301,13739.37692,15,1658768008,09:53:27,1658768008,0,5,-0.189,0,-1.034,0,76,0,0.67,0,100,100,-1.034,0,-0.702044192,-0.001910337,7.34503E-07,-7.10469E-11,0,0,0,0,2,2150,-1,-1,1.5,27646132.8,0.325928,2.44141,1.59912,2.33154,1.59424,2.37305,35.0364,15.3666,18,632.856,374.209,30.2067,31.4256,30.0008,31.2471,31.1929,6.5631,38.8071,84.3242,30.1896,103.276,23.7703,99.5974,99.6611
6,1658768093,700.5999999,20220725 09:54:52,09:54:52,5,Gandalf,10,12,33.9,35.2,34.5,ch,30,LC-102 5C,5C,large,12,LCOR-561,1658768085,0.004896793,4.896793239,-1.356515009,51.01008065,56.40313562,5.687607881,5.143780279,0.342303021,2.942243001,0.321617839,0.202765382,241.7248145,30.41940975,30.41940975,4.364170154,66.65872403,2.884031992,4.326563452,1.480138162,-215.9485818,-23.96066349,-1.816926078,-0.001356926,-1.356515009,4.896793239,-1.11680047,50.84233488,51.99725152,-0.00244028,67.13688872,4.813304675,23.82714749,28.51331455,-0.00198536,78.55,0,0,1,0,52687.0089,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-6-20220725-09_54_09,10142.5,786.4199231,944.46,0.167333796,0.5,1261.146426,-1.356515009,105.5162093,0.007037183,2.414829638,668.2426824,-,0,668.2426824,0.292460578,0.572158467,0.891972949,-0.402195264,1.208152696,0.486178818,0.513821182,1499.923226,1261.146426,0.840807319,0.161158125,6,0.5,0: Broadleaf,2,FALSE,1658768085,51.01008065,49.90341613,28.60050323,23.84403871,51.99875806,28.60050323,600.0350645,100.7383548,0.100150303,30.26835484,30.03961613,999.9,0,0,9998.71129,0,1128.595484,1499.923226,0.972998968,0.0270011,0,786.4359677,4.99935,13783.83871,14584.14516,39.15896774,40.70545161,38.82848387,39.51583871,40.73358065,1454.560323,40.36387097,0,123.3,0,786.4199231,1.679111099,10.5538463,13783.08846,15,1658768008,09:53:27,1658768008,0,5,-0.189,0,-1.034,0,76,0,0.67,0,100,100,-0.988,0,-0.89132053,-0.001910337,7.34503E-07,-7.10469E-11,0,0,0,0,2,2150,-1,-1,1.4,27646134.9,0.206299,2.48169,1.5979,2.33276,1.59424,2.33398,35.1516,15.3404,18,633.602,373.109,29.1239,31.678,30.0009,31.5118,31.4606,4.15644,38.7837,82.3987,29.1065,48.9436,23.8199,99.5628,99.6223
7,1658768303,911.0999999,20220725 09:58:23,09:58:23,5,Gandalf,10,12,33.9,35.2,34.5,ch,30,LC-102 5C,5C,large,12,LCOR-561,1658768295,0.005214808,5.214808051,-2.740327619,25.86586,37.7131581,3.803207436,2.608459117,0.368308076,2.942276346,0.344478182,0.217311273,241.7436912,30.20324125,30.20324125,4.310440041,66.09929556,2.837917228,4.293415238,1.472522813,-229.973035,-10.94261144,-0.828327397,-0.000282701,-2.740327619,5.214808051,-2.646346739,23.70203058,26.41911818,-0.001901439,67.13730786,5.174487434,23.01996074,28.05795636,-0.001755271,78.55,0,0,1,0,52711.42483,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-7-20220725-09_57_40,10150.8,800.5468462,923.6,0.133232085,0.5,1261.24464,-2.740327619,84.01912664,0.005939455,2.491955392,657.7320219,-,0,657.7320219,0.287860522,0.462835557,0.896446193,-0.297370873,1.219202792,0.380267274,0.619732726,1500.04,1261.24464,0.840807338,0.161158163,6,0.5,0: Broadleaf,2,FALSE,1658768295,25.86586,23.26067,28.1412,23.07363333,26.78486,27.98966,600.0580667,100.7453667,0.10026991,30.13425667,29.80984333,999.9,0,0,9998.205,0,1061.132,1500.04,0.972999667,0.027000227,0,800.5277667,4.99935,13925.87,14585.31,38.52893333,40.2122,38.43516667,38.9957,40.41433333,1454.672667,40.368,0,209.7,0,800.5468462,5.505777789,-198.9162393,13928.20385,15,1658768343,09:59:03,1658768343,1658768257,7,-0.101,0.152,-0.919,0.152,0,23,0.82,0.03,100,100,-0.919,0.1516,-0.816525292,-0.001910337,7.34503E-07,-7.10469E-11,0.151535,0,0,0,2,2150,-1,-1,0.9,0.8,0.0317383,4.99634,1.59912,2.33154,1.59424,2.34863,35.4059,15.2791,18,634.222,370.517,30.6282,32.084,30.0008,31.9487,31.8933,0,41.1522,78.7674,30.6772,81.553,22.9864,99.4844,99.5447
8,1658768453,1060.6,20220725 10:00:52,10:00:52,5,Gandalf,10,12,33.9,35.2,34.5,ch,30,LC-102 5C,5C,large,12,LCOR-561,1658768445,0.005104902,5.104902398,21.63505263,398.0899667,283.8529975,28.62520705,40.14545495,0.345612044,2.942750258,0.324541608,0.204624465,241.7419908,30.49619476,30.49619476,4.383395535,65.47470105,2.854064526,4.359034071,1.529331009,-225.1261958,-15.44423143,-1.172127604,-0.00056398,21.63505263,5.104902398,21.6644048,432.2730132,410.0510424,0.009077205,67.04985544,5.080032878,23.45139044,28.38344606,0.000695801,78.55,0,0,1,0,52679.06812,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-8-20220725-10_00_09,10163,789.2784615,1053.89,0.251080794,0.5,1261.237701,21.63505263,158.3362819,0.025266043,2.060252968,721.2291581,-,0,721.2291581,0.31565044,0.795439394,0.867145087,-0.93332908,1.150184717,0.726858913,0.273141087,1500.032,1261.237701,0.840807196,0.161157889,6,0.5,0: Broadleaf,2,FALSE,1658768445,398.0899667,421.7565,28.30144667,23.34117333,399.4769667,28.14989333,600.0185,100.7451667,0.100014853,30.39884667,30.04508333,999.9,0,0,10000.92,0,838.9388,1500.032,0.973003333,0.026996493,0,789.2634,4.99935,13692.62,14585.23333,36.72473333,38.79546667,36.78733333,37.52066667,38.74973333,1454.671333,40.36066667,0,148.5,0,789.2784615,32.77148713,407.9487175,13692.08846,15,1658768491,10:01:30,1658768491,1658768257,8,0.181,0.152,-1.387,0.152,399,23,0.27,0.03,100,100,-1.387,0.1516,-0.917320545,-0.001910337,7.34503E-07,-7.10469E-11,0.151535,0,0,0,2,2150,-1,-1,1.8,3.3,1.04004,2.44019,1.59912,2.33154,1.59424,2.33521,35.4754,15.2791,18,635.22,371.519,30.7255,32.2608,29.9999,32.1809,32.1273,20.834,37.8886,75.8713,30.7604,423.139,23.6583,99.4569,99.5113
9,1658768578,1186.1,20220725 10:02:58,10:02:58,5,Gandalf,10,12,33.9,35.2,34.5,ch,30,LC-102 5C,5C,large,12,LCOR-561,1658768570,0.005295747,5.295747421,22.89594072,399.8863667,288.6878343,29.10938873,40.32191978,0.377266614,2.94275486,0.35230927,0.222297882,241.7403589,30.26883881,30.26883881,4.326683488,66.40087203,2.865053933,4.314783594,1.461629556,-233.5424613,-7.620818041,-0.57721671,-0.000137144,22.89594072,5.295747421,22.95057162,435.0760588,411.5839515,-0.000999189,67.04084892,5.266801794,23.16251104,28.2966303,-0.003158666,78.55,0,0,1,0,52709.87888,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-9-20220725-10_02_15,10168.3,816.5129615,1117.75,0.269503054,0.5,1261.228777,22.89594072,169.9525035,0.026265952,1.885412659,750.5756857,-,0,750.5756857,0.32849413,0.820419694,0.851622421,-1.371418286,1.116356378,0.754166931,0.245833069,1500.021333,1261.228777,0.840807227,0.161157947,6,0.5,0: Broadleaf,2,FALSE,1658768570,399.8863667,424.8992,28.41372667,23.26861667,401.2752333,28.26218,600.0193,100.7333333,0.100111227,30.22080333,29.93675,999.9,0,0,10002.121,0,508.1636667,1500.021333,0.973004433,0.02699585,0,816.5081,4.99935,14030.55667,14585.14667,35.89766667,38.16426667,35.9643,37.04753333,38.02063333,1454.663667,40.362,0,124.7,0,816.5129615,6.667179497,-9.545299129,14030.64615,15,1658768491,10:01:30,1658768491,1658768257,8,0.181,0.152,-1.387,0.152,399,23,0.27,0.03,100,100,-1.389,0.1516,-0.735936995,-0.001910337,7.34503E-07,-7.10469E-11,0.151535,0,0,0,2,2150,-1,-1,1.5,5.3,1.03638,2.4231,1.59912,2.33154,1.59424,2.38892,35.5218,15.2615,18,635.833,370.418,29.6355,32.444,30.0005,32.368,32.3165,20.774,40.5372,73.2914,29.6719,424.75,23.0014,99.4329,99.4889
10,1658768765,1373.1,20220725 10:06:05,10:06:05,5,Gandalf,10,12,33.9,35.2,34.5,ch,30,LC-102 5C,5C,large,12,LCOR-561,1658768757,0.005414066,5.414066401,32.15831693,599.2728065,441.8292585,44.54774927,60.42210699,0.377009627,2.942357448,0.35208194,0.22215337,241.7338867,30.21781628,30.21781628,4.314044551,65.39746295,2.818457541,4.309735292,1.49558701,-238.7603283,-2.764251966,-0.209324524,-1.8045E-05,32.15831693,5.414066401,32.23531248,649.5942727,616.6171455,-0.00122436,67.15128799,5.412577382,22.67776692,27.93952485,-0.000112756,78.55,0,0,1,0,52701.83749,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-10-20220725-10_05_22,10151.4,865.76276,1246.28,0.305322432,0.5,1261.19461,32.15831693,192.5355025,0.033610793,1.587837404,806.4229044,-,0,806.4229044,0.352936014,0.865092876,0.818146719,-4.175833839,1.048270621,0.805798935,0.194201065,1499.980645,1261.19461,0.840807256,0.161158004,6,0.5,0: Broadleaf,2,FALSE,1658768757,599.2728065,634.6743871,27.95375806,22.69121935,600.6928065,27.78698065,600.021,100.7256452,0.100066165,30.20039032,29.92182258,999.9,0,0,10000.62387,0,118.2104516,1499.980645,0.973000484,0.026999461,0,865.7480323,4.99935,14935.56774,14584.72258,38.34048387,40.4433871,38.37883871,38.65490323,39.79003226,1454.618387,40.36225806,0,186.3,0,865.76276,3.449000015,27.9461542,14936.436,15,1658768806,10:06:46,1658768806,1658768691,10,0.053,0.015,-1.42,0.167,611,24,0.12,0.05,100,100,-1.42,0.1667,-0.56190827,-0.001910337,7.34503E-07,-7.10469E-11,0.16677,0,0,0,2,2150,-1,-1,1.3,1.2,1.45386,2.40356,1.5979,2.33032,1.59424,2.36206,35.6148,15.2353,18,633.313,369.648,29.7948,32.7113,29.9999,32.6234,32.5783,29.1234,41.6659,69.811,29.8117,635.914,22.6459,99.4026,99.46
