obs,time,elapsed,date,hhmmss,averaging,instrument,row,column,spad1,spad2,spad,operator,temp,event,event_short,block,leaf,tree,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,ID,Duration,Fo,F1,F2,Fmax,T@HIR,T@F1,T@F2,T@Fmax,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1658933207,0,20220727 09:46:46,9:46:46,none,Carlos,2,6,44,43.7,43.8,jo,30,LC-102 5A,5A,large,15,LCOR-577,1658933207,0.006319822,6.31982215,34.56414959,411.025,262.7388714,26.59314009,41.60193483,0.422765292,2.950355035,0.391764713,0.247448523,241.7384411,30.06702802,30.06702802,4.276880195,62.36143176,2.700388397,4.330221935,1.576491798,-278.7041568,34.36831033,2.594630969,-0.002774438,0,0,1,0,52926.00418,-,0,0,0,#DIV/0!,-1,RECT-480-20220727-09_46_47,10409.9,952.4738462,1735.52,0.451188205,0.5,1261.219201,34.56414959,284.5236137,0.02819823,-1,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.451188205,#DIV/0!,#DIV/0!,#DIV/0!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1500.01,1261.219201,0.840807195,0.161157886,6,0.5,0: Broadleaf,2,1658933207,411.025,448.174,26.6797,20.5306,381.644,22.9557,600.206,101.115,0.100096,30.2831,29.9524,999.9,0,0,10007.5,0,1226.23,-38.0142,421.564,457.568,6.52242,448.174,20.5306,2.73547,2.07595,22.4997,18.0359,1500.01,0.973001,0.0269989,0,951.571,4.99931,19581.2,13259.3,36.437,38.125,36.75,37.812,38.187,1454.65,40.36,0,1658933207,0,952.4738462,-6.310358979,340.3111106,19632.75,15,1658933242,9:47:22,1658933231,1658933242,1,0.185,-0.003,29.381,3.724,443,21,0.04,0.02,-37.95049512,-0.003144251,0.126587918,1,6.500824146,0.23060216,0.02491679,1,5,5,5-May,3.17749,2.79712,0.0975466,0.110788,0.117384,0.108645,27896.9,22013.2,29022.2,24209.4,31940.7,31528.8,39789,39525.7,2.17283,1.86645,0.155099,0,27.4229,999.9,71.7,31.1,32.1745,62.3301,40.9816,1,0.0325279,-0.467154,20.2594,5.22777,11.9081,4.96425,3.292,9999,9999,9999,999.9,1.87712,1.87533,1.87407,1.87328,1.87478,1.86968,1.87392,1.87897,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,29.381,3.724,19.33875404,0.027347142,-9.10E-06,1.18E-09,4.097312314,0,0,0,-12,1956,-1,21,954.6,954.3,1.02051,2.39136,1.42578,2.27783,1.54785,2.39746,35.1055,15.7344,18,634.084,421.339,30.1806,27.6776,30.0007,27.4112,27.3267,20.4536,37.8755,82.8473,30.1003,449.744,20.5289,94.2276,100.534
2,1658933378,171,20220727 09:49:37,9:49:37,none,Carlos,2,6,44,43.7,43.8,jo,30,LC-102 5A,5A,large,15,LCOR-577,1658933378,0.006702401,6.702400955,34.12747441,400.347,268.5004769,27.17492255,40.5191039,0.474956011,2.949933664,0.436199566,0.275842817,241.7416331,29.83425696,29.83425696,4.220057544,63.25797928,2.718226261,4.297048834,1.501831282,-295.5758821,50.05573355,3.772635032,-0.005880467,0,0,1,0,52937.15813,-,0,0,0,#DIV/0!,-1,RECT-481-20220727-09_49_38,10409.7,936.2351538,1709.87,0.452452436,0.5,1261.236001,34.12747441,285.3246502,0.027851627,-1,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.452452436,#DIV/0!,#DIV/0!,#DIV/0!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1500.03,1261.236001,0.840807184,0.161157866,6,0.5,0: Broadleaf,2,1658933378,400.347,437.142,26.8573,20.3377,371.776,22.763,600.257,101.11,0.0999601,30.149,29.8466,999.9,0,0,10005.6,0,1241.23,-36.874,411.315,446.217,6.5196,437.142,20.3377,2.71553,2.05634,22.3794,17.8849,1500.03,0.973001,0.0269989,0,935.359,4.99931,19451.8,13259.5,36.437,38.125,36.687,37.937,38.25,1454.67,40.36,0,170.7,0,936.2351538,-6.559521375,49.11452965,19438.93077,15,1658933418,9:50:18,1658933418,1658933242,2,-0.265,-0.003,28.571,3.724,417,21,0.09,0.02,-36.88512927,-0.161036237,0.120343122,1,6.516512927,-0.125537561,0.025753936,1,5,5,5-May,3.1774,2.79696,0.0955286,0.108685,0.116641,0.107883,27952,22061.5,29015.4,24205.9,31961.8,31551.9,39780.5,39520.3,2.17038,1.86168,0.128545,0,27.7506,999.9,70.5,31.5,32.364,62.0001,40.7292,1,0.0423577,-0.426127,20.2599,5.22717,11.9081,4.96375,3.292,9999,9999,9999,999.9,1.87714,1.87537,1.87408,1.87326,1.8748,1.86973,1.87391,1.87897,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,28.571,4.0943,19.52318084,0.027347142,-9.10E-06,1.18E-09,4.094291063,0,0,0,-12,1956,-1,21,2.5,2.3,1.06567,2.39258,1.42578,2.27783,1.54785,2.39136,35.4754,15.7081,18,634.052,419.85,29.4971,27.8387,30.0002,27.5786,27.4917,21.3566,37.9537,74.3061,29.4987,437.582,20.2809,94.2067,100.52
3,1658933500,293,20220727 09:51:39,9:51:39,none,Carlos,2,6,44,43.7,43.8,jo,30,LC-102 5A,5A,large,15,LCOR-577,1658933500,0.006868935,6.868935436,24.27998108,300.934,210.2544724,21.27987113,30.45755301,0.495947682,2.946526528,0.453807945,0.287117082,241.7352491,29.60405073,29.60405073,4.164509293,63.14451854,2.684404967,4.251208227,1.480104326,-302.9200527,56.89313619,4.284063321,-0.00760415,0,0,1,0,52871.53188,-,0,0,0,#DIV/0!,-1,RECT-482-20220727-09_51_40,10408.4,872.7076923,1510.25,0.422143557,0.5,1261.202401,24.27998108,266.204234,0.020044349,-1,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.422143557,#DIV/0!,#DIV/0!,#DIV/0!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1499.99,1261.202401,0.840807206,0.161157907,6,0.5,0: Broadleaf,2,1658933500,300.934,327.273,26.5231,19.8384,275.03,22.4288,600.184,101.11,0.100076,29.9622,29.732,999.9,0,0,9986.25,0,1251.28,-26.1283,309.35,333.897,6.68473,327.273,19.8384,2.68174,2.00585,22.1737,17.4906,1499.99,0.973001,0.0269989,0,869.53,4.99931,18458.6,13259.1,36.375,38.062,36.562,38,38.25,1454.63,40.36,0,121.9000001,0,872.7076923,-24.3720342,-372.0239315,18503.98846,15,1658933540,9:52:19,1658933540,1658933242,3,-0.532,-0.003,25.904,3.724,315,21,0.09,0.02,-25.99603659,-1.120383972,0.131563711,1,6.695137317,-0.006339094,0.010156565,1,5,5,5-May,3.17717,2.79691,0.0748454,0.0867673,0.115419,0.106004,28588.7,22603.7,29013.1,24205.9,32003.2,31618.4,39776.5,39520,2.1701,1.8584,0.113793,0,27.8766,999.9,68.8,31.8,32.1261,62.3101,41.3862,1,0.046001,-1.48177,20.2536,5.22478,11.9081,4.9639,3.292,9999,9999,9999,999.9,1.87714,1.87542,1.87408,1.87332,1.87484,1.86973,1.87393,1.87903,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,25.904,4.0943,19.25811416,0.027347142,-9.10E-06,1.18E-09,4.094291063,0,0,0,-12,1956,-1,21,1.4,4.3,0.85083,2.40112,1.42578,2.27783,1.54785,2.41089,35.7078,15.6818,18,634.577,418.487,29.9911,27.906,30.0001,27.6469,27.5578,17.0483,39.0295,69.6558,30.0412,327.427,19.7493,94.198,100.52
4,1658933623,416,20220727 09:53:42,9:53:42,none,Carlos,2,6,44,43.7,43.8,jo,30,LC-102 5A,5A,large,15,LCOR-577,1658933623,0.006908969,6.908968568,14.06436933,200.992,148.2575681,15.00498153,20.342174,0.500543649,2.946398119,0.457653715,0.289580184,241.7208851,29.69424323,29.69424323,4.186196132,63.38759247,2.710353404,4.275842161,1.475842728,-304.6855139,58.54384841,4.412722711,-0.008057677,0,0,1,0,52850.25953,-,0,0,0,#DIV/0!,-1,RECT-483-20220727-09_53_43,10406.6,786.95336,1262.11,0.376477993,0.5,1261.126801,14.06436933,237.3932435,0.011945166,-1,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.376477993,#DIV/0!,#DIV/0!,#DIV/0!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1499.9,1261.126801,0.840807254,0.161158001,6,0.5,0: Broadleaf,2,1658933623,200.992,216.441,26.7798,20.0576,177.734,22.6856,600.156,101.109,0.099874,30.0628,29.9102,999.9,0,0,9985.62,0,1257.18,-15.401,206.572,220.871,6.72228,216.441,20.0576,2.70768,2.028,22.3318,17.6646,1499.9,0.973001,0.0269989,0,783.974,4.99931,17209,13258.4,36.437,38.187,36.687,38.062,38.25,1454.54,40.36,0,122.7,0,786.95336,-27.177,-397.3384615,17255.252,15,1658933659,9:54:18,1658933659,1658933242,4,-0.256,-0.003,23.258,3.724,210,21,0.1,0.02,-15.17950732,-1.047355401,0.104451465,1,6.677316098,0.152925784,0.020412123,1,5,5,5-May,3.1771,2.79671,0.0510767,0.0612574,0.116333,0.106812,29323.1,23235.5,29013.2,24206.3,31969,31589.4,39777.1,39521.1,2.16955,1.85685,0.11678,0,28.0065,999.9,67.5,32,31.8791,62.1601,40.8974,1,0.0461458,0.0975681,20.26,5.22493,11.9081,4.9635,3.2914,9999,9999,9999,999.9,1.87714,1.87543,1.87409,1.87332,1.87485,1.8698,1.87393,1.87902,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,23.258,4.0942,18.72652729,0.027347142,-9.10E-06,1.18E-09,4.094291063,0,0,0,-12,1956,-1,21,1.4,6.3,0.617676,2.42432,1.42578,2.27661,1.54785,2.39014,35.8711,15.6643,18,634.586,417.952,28.8109,27.9229,30.0004,27.6862,27.6045,12.3702,37.9491,64.837,28.7217,216.35,20.091,94.1989,100.522
5,1658933741,534.5999999,20220727 09:55:41,9:55:41,none,Carlos,2,6,44,43.7,43.8,jo,30,LC-102 5A,5A,large,15,LCOR-577,1658933741,0.007325216,7.325215531,3.762109054,101.4546,86.60369831,8.765252712,10.26832832,0.519489185,2.946764169,0.473455983,0.299705225,241.7400371,29.47442534,29.47442534,4.133512333,61.66788658,2.619838348,4.248302469,1.513673985,-323.0420049,75.60028054,5.688267035,-0.013420262,0,0,1,0,52880.48156,-,0,0,0,#DIV/0!,-1,RECT-484-20220727-09_55_41,10405,724.3182308,1039.21,0.303010719,0.5,1261.227601,3.762109054,191.082741,0.003775773,-1,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.303010719,#DIV/0!,#DIV/0!,#DIV/0!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1500.02,1261.227601,0.84080719,0.161157876,6,0.5,0: Broadleaf,2,1658933741,101.4546,105.959,25.8849,18.7507,80.4256,21.7285,600.118,101.111,0.100067,29.9503,29.7484,999.9,0,0,9987.5,0,1256.87,-4.922,103.722,107.984,7.1342,105.959,18.7507,2.61725,1.8959,21.7746,16.6008,1500.02,0.973006,0.0269938,0,722.591,4.99931,16360.2,13259.5,36.5,38.312,36.75,38.125,38.375,1454.66,40.36,0,118.3,0,724.3182308,-14.42714531,-145.6512822,16377.72692,15,1658933769,9:56:09,1658933769,1658933242,5,0.398,-0.003,21.029,3.724,102,21,0.37,0.02,-4.7940375,-0.95482334,0.095964351,1,7.11097225,0.088502026,0.010030838,1,5,5,5-May,3.17693,2.79691,0.0239669,0.0315525,0.112844,0.101853,30156.2,23967.8,29009,24203.6,32091.8,31763.5,39770.4,39517.7,2.16902,1.85053,0.125989,0,27.6938,999.9,66.4,32.2,31.7149,62.4101,41.3862,1,0.0536153,-1.68714,20.2505,5.22328,11.9081,4.9635,3.2913,9999,9999,9999,999.9,1.87714,1.87545,1.87408,1.87332,1.87485,1.86979,1.87393,1.87908,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,21.029,4.1564,18.47052554,0.027347142,-9.10E-06,1.18E-09,1.809130847,0.177652487,-0.005807236,0.000119788,-12,1956,-1,21,1.4,8.3,0.368652,2.46704,1.42578,2.27661,1.54785,2.27051,36.0347,15.6205,18,635.045,414.991,30.3101,27.9988,30.0003,27.7658,27.6853,7.39962,40.8285,58.5564,30.3217,105.731,18.8016,94.1841,100.513
6,1658933845,638.5999999,20220727 09:57:25,9:57:25,none,Carlos,2,6,44,43.7,43.8,jo,30,LC-102 5A,5A,large,15,LCOR-577,1658933845,0.006481406,6.4814064,-1.723888914,51.9776,57.17187193,5.7863902,5.260675662,0.452786695,2.941676479,0.417328653,0.263784393,241.7559971,29.75672383,29.75672383,4.201277284,62.91683732,2.682866048,4.264146392,1.518411236,-285.8300222,40.97630681,3.093758521,-0.003959811,0,0,1,0,52722.57572,-,0,0,0,#DIV/0!,-1,RECT-485-20220727-09_57_25,10404.8,712.04512,939.76,0.242311739,0.5,1261.311601,-1.723888914,152.8153038,-0.000573918,-1,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.242311739,#DIV/0!,#DIV/0!,#DIV/0!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1500.12,1261.311601,0.840807136,0.161157772,6,0.5,0: Broadleaf,2,1658933845,51.9776,50.5915,26.5078,20.2023,30.9876,22.8158,600.39,101.11,0.100438,30.0151,29.8908,999.9,0,0,9958.75,0,1279.02,0.103321,52.0967,51.6346,6.70776,50.5915,20.2023,2.72086,2.04264,22.4117,17.7788,1500.12,0.973006,0.0269938,0,712.841,4.99931,16265,13260.3,36.437,38.312,36.812,38,38.312,1454.76,40.36,0,103.3000002,0,712.04512,7.297769214,85.62307665,16245.648,15,1658933875,9:57:54,1658933862,1658933875,6,1.325,0.008,20.99,3.692,50,20,0.28,0.02,0.250161927,-0.495602718,0.06006649,1,6.649340488,0.118669547,0.018666129,1,5,5,5-May,3.1775,2.79704,0.00926561,0.0152202,0.116765,0.107318,30606.5,24370,29005.5,24201.8,31943.7,31564.3,39767,39514.3,2.16845,1.85102,0.114106,0,28.0308,999.9,65.5,32.4,31.6391,62.6601,40.7692,1,0.0562805,0.467854,20.2586,5.22313,11.9081,4.9632,3.29125,9999,9999,9999,999.9,1.87714,1.87546,1.8741,1.87332,1.87485,1.86981,1.87393,1.8791,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,20.99,3.692,18.86842704,0.027347142,-9.10E-06,1.18E-09,4.094291063,0,0,0,-12,1956,-1,21,1.3,10.1,0.244141,2.46826,1.42578,2.27661,1.54785,2.40601,36.1989,15.6205,18,635.169,415.643,28.3374,28.0417,30.0001,27.8177,27.7375,4.93669,37.1227,54.567,28.2869,50.4322,19.9597,94.1747,100.504
7,1658933951,744.0999999,20220727 09:59:10,9:59:10,none,Carlos,2,6,44,43.7,43.8,jo,30,LC-102 5A,5A,large,15,LCOR-577,1658933951,0.007338316,7.338315966,-4.96989411,10.5114,26.41283089,2.673186458,1.063836446,0.527479506,2.955066787,0.480208814,0.304023789,241.7320571,29.25037614,29.25037614,4.080410139,61.62243285,2.58472765,4.19445895,1.495682489,-323.6197341,76.17161422,5.702535307,-0.013527515,0,0,1,0,53158.95072,-,0,0,0,#DIV/0!,-1,RECT-486-20220727-09_59_11,10405.2,755.5988462,890.38,0.151374867,0.5,1261.185601,-4.96989411,95.45590111,-0.003147748,-1,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.151374867,#DIV/0!,#DIV/0!,#DIV/0!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1499.97,1261.185601,0.840807217,0.161157928,6,0.5,0: Broadleaf,2,1658933951,10.5114,5.62015,25.5388,18.3901,-10.8446,21.4051,600.185,101.108,0.0998739,29.7285,29.5971,999.9,0,0,10035,0,1291.54,3.4306,9.28795,5.72544,7.14876,5.62015,18.3901,2.58217,1.85937,21.5539,16.2951,1499.97,0.973001,0.0269989,0,759.786,4.99931,16904.9,13259,36.375,38.312,36.812,37.687,38.25,1454.61,40.36,0,105.3000002,0,755.5988462,33.04998291,393.4495731,16858.63077,15,1658933978,9:59:37,1658933978,1658933875,7,1.637,0.008,21.356,3.692,4,20,0.65,0.02,3.6178705,-1.018363227,0.099733805,1,7.1887335,-0.310728405,0.030617868,1,5,5,5-May,3.17697,2.79714,-0.00321625,0.00168433,0.111629,0.10044,30993.2,24704.7,29006.7,24201.6,32133.2,31810.4,39767.2,39514.2,2.168,1.84448,0.0973791,0,28.0092,999.9,65,32.6,31.755,62.5701,41.6306,1,0.0591768,-1.67456,20.2508,5.22732,11.9081,4.96395,3.292,9999,9999,9999,999.9,1.87722,1.87546,1.87421,1.87339,1.87485,1.86981,1.874,1.87912,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,21.356,4.1337,20.19295232,0.027347142,-9.10E-06,1.18E-09,1.817014706,0.177652487,-0.005807236,0.000119788,-12,1956,-1,21,1.5,1.3,0.0317383,4.99756,1.42578,2.27539,1.54785,2.37671,36.34,15.5768,18,635.269,412.291,29.5756,28.0776,30.0005,27.8586,27.7797,0,41.4314,48.7892,29.7311,50.7685,18.3888,94.1765,100.504
8,1658934098,891.0999999,20220727 10:01:37,10:01:37,none,Carlos,2,6,44,43.7,43.8,jo,30,LC-102 5A,5A,large,15,LCOR-577,1658934098,0.007069412,7.069411669,30.40084922,397.268,282.5569929,28.59555785,40.20463256,0.493720826,2.953223048,0.452027777,0.285969336,241.7288651,29.69376633,29.69376633,4.186081204,61.99370789,2.656846656,4.285671476,1.529234548,-311.7610546,65.12395221,4.898310833,-0.009926477,0,0,1,0,53039.97342,-,0,0,0,#DIV/0!,-1,RECT-487-20220727-10_01_38,10406.3,709.378,1120.65,0.366994155,0.5,1261.168801,30.40084922,231.4207892,0.024898213,-1,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.366994155,#DIV/0!,#DIV/0!,#DIV/0!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1499.95,1261.168801,0.840807227,0.161157949,6,0.5,0: Broadleaf,2,1658934098,397.268,430.469,26.2527,19.3706,368.352,22.0571,600.15,101.103,0.0997965,30.1028,29.8518,999.9,0,0,10025,0,1299.49,-31.389,409.839,438.972,6.88208,430.469,19.3706,2.65423,1.95843,22.0045,17.1122,1499.95,0.973001,0.0269989,0,711.188,4.99931,16208.2,13258.8,36.25,38.187,36.75,37.375,38.062,1454.59,40.36,0,146.7,0,709.378,11.56769233,116.1461542,16202.704,15,1658934124,10:02:03,1658934124,1658933875,8,-2.41,0.008,28.916,3.692,426,20,0.09,0.02,-31.62909512,1.668284321,0.167392248,1,6.913112683,-0.242082857,0.036472884,1,5,5,5-May,3.17694,2.79697,0.0947534,0.107332,0.114002,0.104176,27963.1,22089.5,29003.2,24200.8,32044.7,31679.3,39761.7,39513.1,2.1683,1.84553,0.125974,0,27.7978,999.9,63.4,32.9,31.5055,62.3601,41.1458,1,0.0609832,-1.56837,20.2463,5.22792,11.9081,4.96435,3.292,9999,9999,9999,999.9,1.87717,1.87546,1.87422,1.8734,1.87485,1.86981,1.87397,1.87911,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,28.916,4.1956,21.83027391,0.027347142,-9.10E-06,1.18E-09,1.817014706,0.177652487,-0.005807236,0.000119788,-12,1956,-1,21,2,3.7,1.09375,2.45117,1.42578,2.27661,1.54785,2.29492,36.5287,15.5417,18,635.75,413.058,31.4689,28.0528,29.9999,27.8826,27.8055,21.9173,37.7571,40.2732,30.5553,430.562,19.4236,94.1641,100.501
9,1658934245,1038.1,20220727 10:04:04,10:04:04,none,Carlos,2,6,44,43.7,43.8,jo,30,LC-102 5A,5A,large,15,LCOR-577,1658934245,0.006729458,6.729457772,33.02613555,399.547,274.7384861,27.80488651,40.43612217,0.487811356,2.953152461,0.447065436,0.282792594,241.7384411,29.88410089,29.88410089,4.232169461,64.0551543,2.761416724,4.310998473,1.470752737,-296.7690877,51.17006674,3.854445909,-0.00613401,0,0,1,0,53020.01504,-,0,0,0,#DIV/0!,-1,RECT-488-20220727-10_04_05,10406.1,790.10564,1334.2,0.407805696,0.5,1261.219201,33.02613555,257.1661871,0.026978764,-1,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.407805696,#DIV/0!,#DIV/0!,#DIV/0!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1500.01,1261.219201,0.840807195,0.161157886,6,0.5,0: Broadleaf,2,1658934245,399.547,435.242,27.2854,20.7432,371.082,23.1722,600.334,101.105,0.09992,30.2055,29.9397,999.9,0,0,10024.4,0,1301.63,-35.6951,410.754,444.461,6.54219,435.242,20.7432,2.75871,2.09725,22.6391,18.1983,1500.01,0.973006,0.0269938,0,792.798,4.99931,17420.7,13259.4,36.5,38.375,36.875,37.75,38.25,1454.65,40.36,0,146.5,0,790.10564,22.62730773,322.4692313,17390.86,15,1658934201,10:03:21,1658934197,1658934201,9,0.089,0.011,29.171,3.828,434,22,0.09,0.02,-35.32040488,-2.331577003,0.310501435,1,6.59194561,0.102087178,0.028324126,1,4,5,5-Apr,3.17728,2.7971,0.0952997,0.108228,0.118002,0.109282,27938.7,22061.6,28995.7,24194.8,31889.4,31488.7,39752,39503.5,2.16742,1.84667,0.126518,0,27.8771,999.9,62.1,33.1,31.2061,61.7301,40.7893,1,0.0654421,0.389581,20.2591,5.22777,11.9081,4.96415,3.292,9999,9999,9999,999.9,1.8772,1.87546,1.8742,1.87338,1.87485,1.86981,1.87395,1.87911,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,28.465,4.1132,19.50974549,0.027347142,-9.10E-06,1.18E-09,4.113265184,0,0,0,-12,1956,-1,21,0.8,0.7,1.10352,2.41943,1.42578,2.27661,1.54785,2.41699,36.6706,15.5505,18,635.698,414.124,28.6872,28.1148,30.0007,27.9393,27.8657,22.1089,34.0393,36.7435,28.5938,435.532,20.6548,94.1407,100.476
10,1658934337,1130.6,20220727 10:05:37,10:05:37,none,Carlos,2,6,44,43.7,43.8,jo,30,LC-102 5A,5A,large,15,LCOR-577,1658934337,0.006963355,6.963354875,46.25467195,600.499,430.0918986,43.52746609,60.77352291,0.505973204,2.94720937,0.462202224,0.29249284,241.7464211,29.49140141,29.49140141,4.137560294,62.98564024,2.664080886,4.229663897,1.473479408,-307.08395,60.75929416,4.569571556,-0.008663199,0,0,1,0,52906.55086,-,0,0,0,#DIV/0!,-1,RECT-489-20220727-10_05_37,10407.2,885.1079231,1616.47,0.452443953,0.5,1261.261201,46.25467195,285.3250018,0.037466206,-1,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.452443953,#DIV/0!,#DIV/0!,#DIV/0!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1500.06,1261.261201,0.840807168,0.161157834,6,0.5,0: Broadleaf,2,1658934337,600.499,650.905,26.3236,19.5476,566.423,22.2103,600.359,101.105,0.100036,29.8738,29.6107,999.9,0,0,9990.62,0,1291.17,-52.1889,614.903,663.883,6.77602,650.905,19.5476,2.66144,1.97635,22.049,17.2561,1500.06,0.973006,0.0269938,0,888.966,4.99931,18831.5,13259.8,36.75,38.562,37,38.187,38.5,1454.7,40.36,0,92.30000019,0,885.1079231,31.74413675,2191.757265,18605.01154,15,1658934365,10:06:05,1658934365,1658934201,10,0.88,0.011,34.076,3.828,651,22,0.07,0.02,-52.2754575,0.610348593,0.09352185,1,6.75216825,0.410929418,0.046299795,1,5,5,5-May,3.1772,2.79692,0.130562,0.144584,0.114519,0.104807,26845.3,21159.1,28991.8,24192.1,32014.8,31647,39745.9,39499,2.1662,1.84142,0.101406,0,27.9572,999.9,61.6,33.3,31.3028,62.5101,40.645,1,0.0738745,-1.02666,20.2562,5.22777,11.9081,4.964,3.292,9999,9999,9999,999.9,1.87723,1.87546,1.87421,1.87339,1.87485,1.86981,1.87399,1.87912,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,34.076,4.1133,19.50974549,0.027347142,-9.10E-06,1.18E-09,4.113265184,0,0,0,-12,1956,-1,21,2.3,2.3,1.53198,2.41211,1.42578,2.27661,1.54785,2.41943,36.7892,15.4804,18,635.806,411.897,28.9918,28.2557,30.0006,28.0355,27.9643,30.6754,37.4207,30.9833,29.0944,650.994,19.5443,94.127,100.465
