obs,time,elapsed,date,hhmmss,averaging,instrument,row ,column,spad1,spad2,spad,operator,temp,event,event_short,block,leaf,tree,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1658940423,0,20220727 09:47:02,9:47:02,5,Gandalf,14,18,39.4,37.2,38.3,ch,30,LC-102 13-15B,13-15B,large,12,LCOR-463,1658940415,0.006636634,6.636633547,25.73257335,410.3059,307.8204748,31.119149,41.47992574,0.472203944,2.946962757,0.433840654,0.274337,241.7315871,30.43723766,30.43723766,4.368627333,64.75561677,2.877558797,4.443720778,1.491068536,-292.6755394,47.34561506,3.593045136,-0.005292167,25.73257335,6.636633547,25.94629724,448.5426657,422.0241091,-0.000820114,67.10759015,6.636347804,22.01857183,28.46394545,1.49E-05,78.91281573,0,0,1,0,52747.07045,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-106-20220727-09_47_05,10127.5,912.0717692,1264.59,0.278760888,0.5,1261.18359,25.73257335,175.7843284,0.028516076,1.550368103,814.049605,-,0,814.049605,0.356273887,0.782434238,0.813140648,-4.841375332,1.038571328,0.698344477,0.301655523,1499.967667,1261.18359,0.840807184,0.161157865,6,0.5,0: Broadleaf,2,FALSE,1658940415,410.3059,438.7527,28.46387333,22.01814333,412.0229,28.18130667,600.1861,100.9951333,0.09999043,30.73524,30.06749667,999.9,0,0,10000.08667,0,386.3699667,1499.967667,0.973004,0.02699596,0,912.0564,4.99935,14620.50333,14584.63667,40.45393333,41.44146667,40.3664,38.83313333,41.5622,1454.61,40.35833333,0,1658940423,0,912.0717692,-4.904273508,7.825641041,14620.49615,15,1658940442,9:47:22,1658940442,1658858733,1,0.276,0.055,-1.717,0.212,435,27,0.08,0.04,100,100,-1.717,0.2826,-1.274428846,-0.001884053,5.78E-07,-2.32E-11,0.282568439,0,0,0,4,2111,2,24,1297.1,1361.5,1.10962,2.35718,1.5979,2.34741,1.59424,2.47803,32.9315,15.7606,18,619.287,414.172,30.2423,26.9455,30.0006,26.6517,26.6171,22.2381,30.5547,98.8507,30.2234,438.551,21.9683,100.271,100.42
2,1658940548,125,20220727 09:49:07,9:49:07,5,Gandalf,14,18,39.4,37.2,38.3,ch,30,LC-102 13-15B,13-15B,large,12,LCOR-463,1658940540,0.006847985,6.847985266,25.42344719,400.2494667,299.6842617,30.29869577,40.46604502,0.476461327,2.947099224,0.437435408,0.276636587,241.7404225,30.41953493,30.41953493,4.364201436,63.72784603,2.837837389,4.453057126,1.526364047,-301.9961502,55.99841696,4.249907211,-0.007403524,25.42344719,6.847985266,25.42989582,437.7119777,411.7319152,0.000393532,67.25807246,6.808931192,21.50117601,28.1138703,0.000520431,79.27882466,0,0,1,0,52744.76067,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-107-20220727-09_49_09,10145.5,909.3495,1264.55,0.280890831,0.5,1261.226791,25.42344719,177.1335205,0.028269999,1.550448776,814.0330295,-,0,814.0330295,0.356266633,0.788428679,0.813151648,-4.875534418,1.038592517,0.705786924,0.294213076,1500.018667,1261.226791,0.840807397,0.161158276,6,0.5,0: Broadleaf,2,FALSE,1658940540,400.2494667,428.4050333,28.06903667,21.41534333,401.8054667,27.78646333,600.1871667,101.0020333,0.100025237,30.77198333,30.05073667,999.9,0,0,10000.179,0,720.0464333,1500.018667,0.972996333,0.027003833,0,909.3519,4.99935,14443.32333,14585.07,37.9727,40.16013333,38.1872,37.9123,39.9643,1454.648333,40.37033333,0,123.9000001,0,909.3495,-3.472239301,-112.9846154,14442.9,15,1658940578,9:49:38,1658940578,1658858733,2,0.144,0.055,-1.556,0.212,427,27,0.14,0.04,100,100,-1.556,0.2825,-0.998330663,-0.001884053,5.78E-07,-2.32E-11,0.282568439,0,0,0,4,2111,2,24,1.8,1363.6,1.08887,2.38281,1.59912,2.34619,1.59424,2.29126,33.244,15.7256,18,619.967,412.328,30.6211,27.2002,30.0005,26.8968,26.8647,21.8297,32.3347,99.6218,30.6497,428.392,21.7139,100.229,100.374
3,1658940661,238,20220727 09:51:00,9:51:00,5,Gandalf,14,18,39.4,37.2,38.3,ch,30,LC-102 13-15B,13-15B,large,12,LCOR-463,1658940653,0.006805074,6.805074301,17.91445541,301.4272333,228.8514313,23.13890042,30.47695485,0.467321254,2.947200567,0.429716178,0.271698661,241.7415991,30.33294836,30.33294836,4.342609984,63.18408297,2.797969482,4.428282173,1.544640502,-300.1037767,54.24248017,4.112755651,-0.006941725,17.91445541,6.805074301,18.09452524,328.0921352,309.6309091,-0.003792795,67.21807904,6.807010019,21.17075934,27.78203818,0.000875198,79.45401973,0,0,1,0,52764.78098,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-108-20220727-09_51_02,10155.8,863.8208846,1140.97,0.242906575,0.5,1261.235731,17.91445541,153.1812261,0.022316121,1.826691324,760.9750846,-,0,760.9750846,0.333045492,0.729349536,0.845793483,-1.41090444,1.104056127,0.642513784,0.357486216,1500.029667,1261.235731,0.840807191,0.161157879,6,0.5,0: Broadleaf,2,FALSE,1658940653,301.4272333,321.3869333,27.67285,21.05807667,302.7922333,27.39028333,600.1800667,101.0088333,0.099996513,30.67433333,29.81570667,999.9,0,0,10000.08167,0,1293.123333,1500.029667,0.973004533,0.02699514,0,863.9519,4.99935,13651.77667,14585.21333,36.07476667,38.6059,36.3435,36.6041,38.25586667,1454.669333,40.36033333,0,112.5,0,863.8208846,-18.31798288,-304.5538457,13649.35385,15,1658940699,9:51:38,1658940699,1658858733,3,0.038,0.055,-1.365,0.212,321,27,0.17,0.04,100,100,-1.365,0.2826,-0.854760982,-0.001884053,5.78E-07,-2.32E-11,0.282568439,0,0,0,4,2111,2,24,1.4,1365.5,0.866699,2.36938,1.5979,2.34619,1.59424,2.45972,33.4681,15.6731,18,620.772,410.43,33.9689,27.3989,30.0008,27.1136,27.0805,17.381,32.5952,99.2535,34.0496,320.748,21.5841,100.184,100.328
4,1658940781,358.5,20220727 09:53:01,9:53:01,5,Gandalf,14,18,39.4,37.2,38.3,ch,30,LC-102 13-15B,13-15B,large,12,LCOR-463,1658940773,0.006827638,6.827637729,10.18461245,201.5544333,160.4064572,16.21836955,20.37875745,0.478140482,2.946998589,0.438849924,0.277541751,241.7314614,30.72973076,30.72973076,4.442322371,64.5878335,2.926605271,4.531202105,1.5157171,-301.0988238,55.16093618,4.199227528,-0.007198744,10.18461245,6.827637729,10.3660108,217.6249691,207.0406727,-0.002925743,67.17648961,6.751844937,22.31571815,28.87377455,-0.000836267,79.55273775,0,0,1,0,52689.10169,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-109-20220727-09_53_03,10146.8,835.0920769,1053.77,0.207519594,0.5,1261.18201,10.18461245,130.8599897,0.016188025,2.06060146,721.172956,-,0,721.172956,0.315625842,0.657486069,0.867173548,-0.770987221,1.150248284,0.567795079,0.432204921,1499.965667,1261.18201,0.840807252,0.161157996,6,0.5,0: Broadleaf,2,FALSE,1658940773,201.5544333,213.1094333,28.94535,22.31864,202.7324333,28.66277667,600.2987333,101.0079,0.10005936,31.07692,30.25604667,999.9,0,0,9999.026333,0,1416.32,1499.965667,0.973001133,0.02699884,0,835.1393,4.99935,13249.47667,14584.59,36.69973333,39.1248,36.75406667,37.76226667,38.65386667,1454.604333,40.36166667,0,119.9000001,0,835.0920769,-5.972991453,-29.68547012,13249.18846,15,1658940802,9:53:22,1658940802,1658858733,4,0.016,0.055,-1.178,0.212,212,27,0.22,0.04,100,100,-1.178,0.2826,-0.817274026,-0.001884053,5.78E-07,-2.32E-11,0.282568439,0,0,0,4,2111,2,24,1.4,1367.5,0.634766,2.3999,1.59912,2.33887,1.59424,2.33398,33.693,15.6906,18,621.365,408.138,29.836,27.6102,30.0007,27.3357,27.3069,12.7282,-30,-30,29.8213,212.206,23.2873,100.144,100.287
5,1658940881,458.5,20220727 09:54:41,9:54:41,5,Gandalf,14,18,39.4,37.2,38.3,ch,30,LC-102 13-15B,13-15B,large,12,LCOR-463,1658940873,0.006391796,6.391795818,2.530799591,101.4512903,90.03538629,9.1035169,10.2577839,0.473979107,2.947241353,0.435342804,0.275297642,241.7321696,30.23953604,30.23953604,4.319420878,65.9627902,2.887804968,4.377930283,1.43161591,-281.8781956,37.31741492,2.825329084,-0.003281926,2.530799591,6.391795818,2.456248276,106.647357,104.2077273,-0.015960522,67.19310825,6.37738406,22.35679674,28.54928485,-7.06E-05,79.5844053,0,0,1,0,52800.75205,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-110-20220727-09_54_43,10136.9,838.3469615,1007.29,0.167720357,0.5,1261.184437,2.530799591,105.7631521,0.010119244,2.201828669,699.0958608,-,0,699.0958608,0.305963664,0.548170835,0.877994816,-0.511772343,1.174869975,0.457118567,0.542881433,1499.968387,1261.184437,0.840807345,0.161158176,6,0.5,0: Broadleaf,2,FALSE,1658940873,101.4512903,104.6289032,28.5609,22.35486774,102.7612903,28.27832903,600.3101613,101.0104516,0.099981458,30.47439677,29.6601129,999.9,0,0,10000.15323,0,1411.42871,1499.968387,0.972999387,0.027000548,0,838.3637742,4.99935,13365.52258,14584.60968,38.26383871,40.75977419,37.73570968,39.29803226,40.19319355,1454.604194,40.36645161,0,99.5,0,838.3469615,-1.115931608,9.011965782,13365.69231,15,1658940902,9:55:02,1658940902,1658858733,5,-0.317,0.055,-1.31,0.212,104,27,0.68,0.04,100,100,-1.31,0.2825,-0.801295322,-0.001884053,5.78E-07,-2.32E-11,0.282568439,0,0,0,4,2111,2,24,1.3,1369.1,0.389404,2.41455,1.5979,2.33887,1.59424,2.45728,33.8509,15.6556,18,621.378,406.945,31.5557,27.8553,30.0011,27.5524,27.5225,7.8283,-30,-30,31.6748,103.874,23.2873,100.106,100.246
6,1658940978,555.5,20220727 09:56:18,9:56:18,5,Gandalf,14,18,39.4,37.2,38.3,ch,30,LC-102 13-15B,13-15B,large,12,LCOR-463,1658940970,0.006651444,6.651444166,-1.258794972,50.80262903,54.1023547,5.470535848,5.136885535,0.474814048,2.947973965,0.436056257,0.275753273,241.7365215,30.58534047,30.58534047,4.405808309,65.12837468,2.919310784,4.482394652,1.486497525,-293.3286877,47.94412802,3.642609764,-0.00542847,-1.258794972,6.651444166,-1.221260292,50.83081159,52.08560485,-0.001371331,67.24985514,6.662321067,22.41964476,28.88637818,-2.78E-06,79.33930934,0,0,1,0,52750.20506,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-111-20220727-09_56_20,10130.4,841.49212,987.62,0.14795962,0.5,1261.2099,-1.258794972,93.30406883,0.00711431,2.265598105,689.564139,-,0,689.564139,0.301792047,0.490270111,0.882451817,-0.417766463,1.185289697,0.401753836,0.598246164,1499.999032,1261.2099,0.840807142,0.161157785,6,0.5,0: Broadleaf,2,FALSE,1658940970,50.80262903,49.88219355,28.87131935,22.41505806,52.22262903,28.58874516,600.2924516,101.0145806,0.099980413,30.88700645,30.02372903,999.9,0,0,10003.90806,0,1419.953226,1499.999032,0.973006,0.026994,0,841.4695161,4.99935,13465.6871,14584.92581,39.62064516,41.80625806,39.27596774,40.46751613,41.29203226,1454.642581,40.35709677,0,96.4000001,0,841.49212,-0.398615389,9.315384649,13465.772,15,1658940998,9:56:38,1658940998,1658858733,6,-0.207,0.055,-1.42,0.212,50,27,0.39,0.04,100,100,-1.42,0.2826,-1.118206045,-0.001884053,5.78E-07,-2.32E-11,0.282568439,0,0,0,4,2111,2,24,1.3,1370.8,0.267334,2.4585,1.59912,2.33887,1.59424,2.31445,33.9639,15.6381,18,621.984,406.201,32.0464,28.0157,30.0008,27.7359,27.7043,5.38649,-30,-30,32.0306,49.7387,23.2873,100.074,100.218
7,1658941084,661,20220727 09:58:03,9:58:03,5,Gandalf,14,18,39.4,37.2,38.3,ch,30,LC-102 13-15B,13-15B,large,12,LCOR-463,1658941076,0.00661179,6.611790107,-4.965542705,4.887134839,22.60647934,2.285749401,0.494139992,0.473622581,2.946978654,0.435038709,0.275103388,241.7406811,30.60631357,30.60631357,4.411095792,65.33078007,2.930190802,4.485161203,1.48090499,-291.5799437,46.31371496,3.520478201,-0.005069437,-4.965542705,6.611790107,-4.920404553,-0.049076075,4.997647636,-0.003328382,67.12517283,6.595565894,22.56989544,28.9738497,-0.000421143,78.55,0,0,1,0,52719.63875,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-112-20220727-09_58_05,10143.9,859.73368,977.68,0.120638982,0.5,1261.2294,-4.965542705,76.07671549,0.004175205,2.298799198,684.703682,-,0,684.703682,0.299664837,0.402579706,0.884676165,-0.327880356,1.190555179,0.320619994,0.679380006,1500.021935,1261.2294,0.840807304,0.161158097,6,0.5,0: Broadleaf,2,FALSE,1658941076,4.887134839,-0.044003929,28.98012258,22.56266452,6.127802581,28.75364194,600.2544516,101.0106129,0.099753123,30.89781935,30.09647097,999.9,0,0,9998.644516,0,1430.919032,1500.021935,0.972999806,0.027000223,0,859.5819677,4.99935,13645.58065,14585.1129,37.96751613,40.54203226,38.01183871,38.65693548,40.12677419,1454.656774,40.36580645,0,104.8999999,0,859.73368,12.72500001,115.3923079,13647.308,15,1658941062,9:57:42,1658941050,1658941062,7,0.096,-0.056,-1.231,0.179,0,23,0.66,0.01,100,100,-1.241,0.2265,-1.229144448,-0.001884053,5.78E-07,-2.32E-11,0.226478912,0,0,0,4,2111,2,24,0.6,0.4,0.0317383,4.99634,1.59912,2.33643,1.59424,2.23633,34.1225,15.603,18,620.09,404.95,29.6625,28.2063,30.0007,27.9361,27.902,0,-30,-30,29.595,49.8961,23.2873,100.049,100.189
8,1658941198,775,20220727 09:59:57,9:59:57,5,Gandalf,14,18,39.4,37.2,38.3,ch,30,LC-102 13-15B,13-15B,large,12,LCOR-463,1658941190,0.006318451,6.318451212,23.15730079,398.6316452,307.6016009,31.10014936,40.30376847,0.480647408,2.948273704,0.440977714,0.278901885,241.742472,30.20794905,30.20794905,4.311604025,66.77060754,2.91470964,4.365258528,1.396894385,-278.6436985,34.30329318,2.5951629,-0.002770424,23.15730079,6.318451212,23.16704827,434.4659492,410.7579939,0.003169104,67.25565293,6.333951135,22.6984695,28.84672242,1.04E-05,79.16680885,0,0,1,0,52839.1708,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-113-20220727-09_59_59,10157,832.96496,1100.15,0.242862373,0.5,1261.237412,23.15730079,153.1535556,0.026472997,1.931572967,742.5982284,-,0,742.5982284,0.325002747,0.747262526,0.855975253,-1.126157743,1.125679566,0.666193483,0.333806517,1500.03129,1261.237412,0.840807402,0.161158286,6,0.5,0: Broadleaf,2,FALSE,1658941190,398.6316452,424.2954516,28.82845806,22.69508065,400.3486452,28.60198387,600.2859032,101.0053548,0.09993611,30.42376452,29.8374,999.9,0,0,10006.52581,0,1437.366129,1500.03129,0.972997742,0.027002277,0,832.5283226,4.99935,13160.14839,14585.17742,35.81229032,39.01374194,36.27796774,36.39683871,38.06222581,1454.661613,40.37096774,0,113.0999999,0,832.96496,38.254077,544.3769239,13166.368,15,1658941228,10:00:28,1658941228,1658941062,8,0.213,-0.056,-1.717,0.179,425,23,0.27,0.01,100,100,-1.717,0.2265,-1.229144448,-0.001884053,5.78E-07,-2.32E-11,0.226478912,0,0,0,4,2111,2,24,2.5,2.3,1.09131,2.41089,1.5979,2.33765,1.59424,2.33398,34.3269,15.5943,18,622.917,406.084,31.7567,28.3394,30.0004,28.0905,28.0593,21.8721,-30,-30,31.8277,425.179,23.2873,100.033,100.171
9,1658941333,910.5,20220727 10:02:13,10:02:13,5,Gandalf,14,18,39.4,37.2,38.3,ch,30,LC-102 13-15B,13-15B,large,12,LCOR-463,1658941325,0.006496357,6.496357103,24.60640549,399.6656333,304.2618847,30.76166642,40.40723309,0.486202131,2.947085047,0.445636742,0.281885022,241.7347682,30.38743081,30.38743081,4.356184984,66.38476107,2.935489949,4.421933441,1.420695035,-286.4893483,41.59603525,3.154462276,-0.004082539,24.60640549,6.496357103,24.3333142,436.2341003,411.3918,-0.010118181,67.1323584,6.501275246,22.73066782,29.04047273,-5.78E-05,78.55,0,0,1,0,52765.6871,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-114-20220727-10_02_15,10155.9,861.22744,1159.93,0.257517747,0.5,1261.19685,24.60640549,162.3902855,0.02762284,1.780486754,769.3626099,-,0,769.3626099,0.336716345,0.764791346,0.840961717,-1.683081136,1.094012511,0.683213096,0.316786904,1499.983,1261.19685,0.840807429,0.161158339,6,0.5,0: Broadleaf,2,FALSE,1658941325,399.6656333,426.8556,29.03476333,22.72999667,401.2491667,28.80949333,600.2826667,101.0026,0.09999607,30.64923333,30.05878333,999.9,0,0,10000.04233,0,1440.527667,1499.983,0.972994933,0.027004827,0,861.2196333,4.99935,13560.52,14584.73,35.48516667,38.66846667,36.11436667,35.28726667,37.41433333,1454.612333,40.371,0,134.5,0,861.22744,-0.928230753,62.06923075,13561.052,15,1658941300,10:01:40,1658941288,1658941300,9,0.097,-0.001,-1.621,0.183,426,23,0.12,0.03,100,100,-1.583,0.2253,-0.919143507,-0.001884053,5.78E-07,-2.32E-11,0.225274852,0,0,0,4,2111,2,24,0.8,0.6,1.09375,2.40967,1.59912,2.33765,1.59424,2.2998,34.5092,15.5768,18,622.721,405.471,31.9664,28.3403,30.0001,28.1787,28.1444,21.9088,-30,-30,31.9061,426.903,23.2873,100.028,100.168
10,1658941427,1004,20220727 10:03:46,10:03:46,5,Gandalf,14,18,39.4,37.2,38.3,ch,30,LC-102 13-15B,13-15B,large,12,LCOR-463,1658941419,0.00653237,6.532369505,31.98472457,598.0512667,472.6966191,47.79255793,60.46668974,0.488370168,2.947323324,0.447461503,0.283052808,241.7363793,30.430917,30.430917,4.367046642,66.38571479,2.944393464,4.435281707,1.422653178,-288.0774952,43.0692635,3.267474797,-0.00437757,31.98472457,6.532369505,31.66778916,649.0135083,616.5919515,0.006996274,67.1323584,6.509042017,22.78547405,29.10221394,-4.01E-05,78.55,0,0,1,0,52763.45322,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-115-20220727-10_03_48,10144,897.39632,1242.9,0.277981881,0.5,1261.205511,31.98472457,175.2961401,0.033472862,1.594874889,805.0063702,-,0,805.0063702,0.352316059,0.789012802,0.819064453,-3.655982214,1.050061097,0.707781298,0.292218702,1499.993333,1261.205511,0.840807411,0.161158302,6,0.5,0: Broadleaf,2,FALSE,1658941419,598.0512667,633.9251667,29.12179,22.78275,600.1972667,28.89650667,600.2929667,101.0062,0.09999793,30.70197,30.10391667,999.9,0,0,10001.04,0,1432.320667,1499.993333,0.9729975,0.02700248,0,897.3941333,4.99935,14238.72667,14584.84333,37.59146667,40.29146667,37.79973333,37.84966667,39.3122,1454.623,40.37033333,0,92.5,0,897.39632,0.151846143,65.97692293,14239,15,1658941461,10:04:20,1658941461,1658941300,10,-0.256,-0.001,-2.146,0.183,635,23,0.14,0.03,100,100,-2.146,0.2253,-0.919143507,-0.001884053,5.78E-07,-2.32E-11,0.225274852,0,0,0,4,2111,2,24,2.3,2.1,1.50146,2.3645,1.5979,2.33765,1.59424,2.48413,34.6235,15.5768,18,624.037,405.384,29.6753,28.3817,30.0005,28.2264,28.1985,30.0791,-30,-30,29.6397,634.689,23.2873,100.022,100.164
