Chaney Hart,,,,,
Date: 9/21/22,,,,,
Pre-Dawn Water Potential and Fluoresence  Sampling,,,,,
Leaf 10,,,,,
,,,,,
,,,,,
Row,Column,ID,A_amb,gsw,leaf
6,45,LCOR-494,,,
7,46,LCOR-492,,,
8,50,LCOR-501,,,
7,50,LCOR-440,,,
15,48,LCOR-447,,,
5,46,LCOR-446,,,
9,52,LCOR-183,,,
9,48,LCOR-466,,,
3,46,LCOR-190,,,
13,49,LCOR-615,,,
12,50,LCOR-081,,,
5,45,LCOR-304,,,
4,45,LCOR-100,,,
13,46,LCOR-102,,,
8,46,LCOR-311,,,
15,46,LCOR-490,,,
11,50,LCOR-172,,,
11,49,LCOR-477,,,
10,47,LCOR-453,,,
6,50,LCOR-457,,,
15,49,LCOR-456,,,
11,51,LCOR-225,,,
4,47,LCOR-232,,,
12,45,LCOR-234,,,
11,46,LCOR-025,,,
6,52,LCOR-430,,,
6,51,LCOR-431,,,
10,49,LCOR-531,,,
3,47,LCOR-521,,,
5,51,LCOR-532,,,
8,49,LCOR-578,,,
15,52,LCOR-576,,,
9,49,LCOR-586,,,
6,49,LCOR-029,,,
6,46,LCOR-032,,,
3,54,LCOR-038,,,
10,48,LCOR-547,,,
4,48,LCOR-153,,,
8,48,LCOR-549,,,
6,47,LCOR-419,,,
3,53,LCOR-288,,,
14,50,LCOR-417,,,
