flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00281_20220815164930,16:49:30,2022-08-15,PFA-00299,PSA-00311,PSF-00281,0.000000,0.000000,0.000000,0.609120,17.187595,-27.217104,1793.042236

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,0.376940,6980.787598,1
0.010000,0.605822,6980.787598,1
0.020000,0.598311,6980.787598,1
0.030000,0.595450,6980.787598,1
0.040000,0.605464,6980.787598,1
0.050000,0.600457,6980.787598,1
0.060000,0.607252,6980.787598,1
0.070000,0.604033,6980.787598,1
0.080000,0.601530,6980.787598,1
0.090000,0.598669,6980.787598,1
0.100000,0.605822,6980.787598,1
0.110000,0.602245,6980.787598,1
0.120000,0.597239,6980.787598,1
0.130000,0.590444,6980.787598,1
0.140000,0.594378,6980.787598,1
0.150000,0.607967,6980.787598,1
0.160000,0.599742,6980.787598,1
0.170000,0.601172,6980.787598,1
0.180000,0.601888,6980.787598,1
0.190000,0.600100,6980.787598,1
0.200000,0.604749,6980.787598,1
0.210000,0.602961,6980.787598,1
0.220000,0.596881,6980.787598,1
0.230000,0.607252,6980.787598,1
0.240000,0.602961,6980.787598,1
0.250000,0.599742,6980.787598,1
0.260000,0.605106,6980.787598,1
0.270000,0.605822,6980.787598,1
0.280000,0.605106,6980.787598,1
0.290000,0.599742,6980.787598,1
0.300000,0.603676,6922.618164,2
0.310000,0.590086,6864.448242,2
0.320000,0.606179,6806.278809,2
0.330000,0.606179,6748.108887,2
0.340000,0.597596,6689.939453,2
0.350000,0.595093,6631.769531,2
0.360000,0.602603,6573.600098,2
0.370000,0.595808,6515.430176,2
0.380000,0.600815,6457.260742,2
0.390000,0.587940,6399.090820,2
0.400000,0.601530,6340.921387,2
0.410000,0.592589,6282.751465,2
0.420000,0.600457,6224.582031,2
0.430000,0.595808,6166.412109,2
0.440000,0.590801,6108.242676,2
0.450000,0.602961,6050.072754,2
0.460000,0.601530,5991.903320,2
0.470000,0.591516,5933.733398,2
0.480000,0.597596,5875.563965,2
0.490000,0.600100,5817.394043,2
0.500000,0.588655,5759.224609,2
0.510000,0.595093,5701.054688,2
0.520000,0.592947,5642.885254,2
0.530000,0.592589,5584.715332,2
0.540000,0.593305,5526.545898,2
0.550000,0.601888,5468.375977,2
0.560000,0.586152,5410.206543,2
0.570000,0.601888,5352.036621,2
0.580000,0.604391,5293.867188,2
0.590000,0.597596,5235.697266,2
0.600000,0.604391,6980.787598,3
0.610000,0.598311,6980.787598,3
0.620000,0.586867,6980.787598,3
0.630000,0.600457,6980.787598,3
0.640000,0.601530,6980.787598,3
0.650000,0.601172,6980.787598,3
0.660000,0.596523,6980.787598,3
0.670000,0.594735,6980.787598,3
0.680000,0.594020,6980.787598,3
0.690000,0.598669,6980.787598,3
0.700000,0.599384,6980.787598,3
0.710000,0.597954,6980.787598,3
0.720000,0.601530,6980.787598,3
0.730000,0.594378,6980.787598,3
0.740000,0.600100,6980.787598,3
0.750000,0.597239,6980.787598,3
0.760000,0.601888,6980.787598,3
0.770000,0.598669,6980.787598,3
0.780000,0.597954,6980.787598,3
0.790000,0.597596,6980.787598,3
0.800000,0.595808,6980.787598,3
0.810000,0.605822,6980.787598,3
0.820000,0.595450,6980.787598,3
0.830000,0.599384,6980.787598,3
0.839999,0.604391,6980.787598,3
0.849999,0.599742,6980.787598,3
0.859999,0.590086,6980.787598,3
0.869999,0.605106,6980.787598,3
0.879999,0.590444,6980.787598,3
0.889999,0.597596,6980.787598,3
