SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Observation,ID,Leaf,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,10:09:17,8/15/22,Auto gsw+F,LI-COR Default,,1,LCOR-599,10,0.461795,2.916368,0.398668,4.503222,1.698165,1.571413,2.81485,1.116685,15.540699,16.79423,27.837831,0.441786,PSF-00336_20220815100917,0,0,0,122.62809,420.089081,0.70809,0.5,0.8,39.979179,51.55,47.7,25.59,22.97,101.12,156,154.7,0.9,141,4.098,9:58:13,8/15/22,-0.55,0.004,-0.002,0.014,-0.023,0.245,1.52,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,404.034363,25,-11.748643,403.399597,403.305115,0.094482,2.462091,2.455774,1.656234,0.926049,0.266334,-0.03124,0.136092,0.235338,122.62809,0.002231,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815100917,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
2,10:10:57,8/15/22,Auto gsw+F,LI-COR Default,,2,LCOR-599,13,0.52511,2.917335,0.445009,5.082206,1.67138,1.528405,2.800611,1.129231,15.11566,16.529663,27.697559,0.441786,PSF-00336_20220815101057,0,0,0,108.502869,397.979431,0.727366,0.5,0.8,33.075535,50.64,46.31,25.63,22.89,101.11,156.2,155.3,0.5,114,4.094,10:10:11,8/15/22,-0.46,0.004,0.002,-9999,-0.098,0.054,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,391.416199,25,-4.378376,399.083008,391.724518,7.35849,2.460174,2.454404,1.657256,0.927597,0.26601,-0.032566,0.146505,0.210319,108.502869,0.002207,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815101057,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
3,10:12:12,8/15/22,Auto gsw+F,LI-COR Default,,3,LCOR-316,11,0.371205,2.918392,0.329317,3.947835,1.647754,1.536765,2.832955,1.185201,15.199472,16.297209,28.019516,0.441786,PSF-00336_20220815101212,0,0,0,120.852112,429.220764,0.718438,0.5,0.8,35.476669,49.97,46.6,25.61,23.08,101.11,156.3,155.1,0.8,123,4.094,10:10:11,8/15/22,-0.46,0.001,-0.002,-9999,-0.03,0.213,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,408.509003,25,-14.806209,409.085144,408.068787,1.016357,2.460578,2.453477,1.658377,0.926994,0.266155,-0.030221,0.153907,0.219216,120.852112,0.002155,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815101212,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
4,10:12:46,8/15/22,Auto gsw+F,LI-COR Default,,4,LCOR-316,15,0.381473,2.918267,0.337372,5.709021,1.694734,1.534292,3.362877,1.668143,15.174931,16.761789,33.260582,0.441786,PSF-00336_20220815101246,0,0,0,124.822144,198.76622,0.372015,0.5,0.8,259.813049,51.51,46.63,25.58,25.94,101.11,156.3,155.2,0.7,1746,4.092,10:10:11,8/15/22,-0.46,-0.002,0.004,-9999,0.048,-2.363,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,186.127777,25,-9.001211,185.089233,185.907196,-0.817963,2.460624,2.455604,1.658245,0.927395,0.266544,0.003785,0.157334,1.697019,124.822144,0.002115,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815101246,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
5,10:14:15,8/15/22,Auto gsw+F,LI-COR Default,,5,LCOR-100,10,0.364272,2.915837,0.323818,5.689231,1.687992,1.527786,3.419528,1.731536,15.110323,16.694817,33.820293,0.441786,PSF-00336_20220815101415,0,0,0,216.551544,332.339752,0.348403,0.5,0.8,246.598099,51.2,46.34,25.61,26.23,101.11,156,155,0.6,1769,4.09,10:10:11,8/15/22,-0.46,0,0.001,-9999,-2.045,-0.891,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,308.609253,25,-19.724585,298.401825,304.161438,-5.759613,2.46022,2.455177,1.655674,0.926882,0.2662,0.006767,0.166238,1.718427,216.551544,0.002218,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815101415,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
6,10:15:28,8/15/22,Auto gsw+F,LI-COR Default,,6,LCOR-100,13,0.426283,2.915398,0.371904,4.558768,1.677764,1.54933,2.889189,1.211425,15.322987,16.593206,28.574287,0.441786,PSF-00336_20220815101528,0,0,0,93.273636,346.588989,0.730881,0.5,0.8,37.762825,50.68,46.8,25.68,23.4,101.11,155.9,155.2,0.5,129,4.089,10:10:11,8/15/22,-0.46,0,0.002,0.011,-0.024,0.079,0.683,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,324.094177,25,-15.231276,328.915009,324.829773,4.085236,2.460838,2.454445,1.655211,0.9273,0.26547,-0.027234,0.173177,0.224424,93.273636,0.002221,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815101528,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
7,10:16:20,8/15/22,Auto gsw+F,LI-COR Default,,7,LCOR-304,11,0.72403,2.917478,0.580073,6.598869,1.733044,1.547538,2.857197,1.124153,15.304918,17.139551,28.257254,0.441786,PSF-00336_20220815101620,0,0,0,99.851135,445.472931,0.775854,0.5,0.8,39.731842,52.2,46.62,25.73,23.22,101.11,156.2,155.6,0.4,128,4.088,10:10:11,8/15/22,-0.46,0.001,0.002,0.02,0.387,-0.563,0.197,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,437.254425,25,-5.210268,447.489746,438.029602,9.460144,2.460566,2.45652,1.657409,0.928203,0.264956,-0.029943,0.177966,0.223383,99.851135,0.002243,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815101620,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
8,10:17:21,8/15/22,Auto gsw+F,LI-COR Default,,8,LCOR-304,13,0.881679,2.91613,0.676993,8.640676,1.820564,1.57759,3.079968,1.259404,15.600548,18.003284,30.457338,0.441786,PSF-00336_20220815101721,0,0,0,192.627304,383.198242,0.497317,0.5,0.8,62.112465,54.64,47.34,25.79,24.47,101.12,156,155.6,0.3,312,4.086,10:10:11,8/15/22,-0.46,0,-0.001,-0.014,5.359,3.428,5.766,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,367.286682,25,-10.898508,368.374939,367.628754,0.746185,2.461552,2.459828,1.655983,0.928304,0.264294,-0.016186,0.183571,0.391163,192.627304,0.002205,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815101721,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
