flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00281_20220902122437,12:24:37,2022-09-02,PFA-00299,PSA-00311,PSF-00281,0.000000,0.000000,0.000000,330.030334,101.551292,0.692297,1577.018677

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,192.921280,6980.787598,1
0.010000,262.700928,6980.787598,1
0.020000,280.490753,6980.787598,1
0.030000,287.787079,6980.787598,1
0.040000,291.650177,6980.787598,1
0.050000,294.045563,6980.787598,1
0.060000,295.639526,6980.787598,1
0.070000,296.738159,6980.787598,1
0.080000,297.527802,6980.787598,1
0.090000,298.089630,6980.787598,1
0.100000,298.527008,6980.787598,1
0.110000,298.866394,6980.787598,1
0.120000,299.138916,6980.787598,1
0.130000,299.402832,6980.787598,1
0.140000,299.678558,6980.787598,1
0.150000,299.918884,6980.787598,1
0.160000,300.173157,6980.787598,1
0.170000,300.452484,6980.787598,1
0.180000,300.700653,6980.787598,1
0.190000,300.978546,6980.787598,1
0.200000,301.269653,6980.787598,1
0.210000,301.517853,6980.787598,1
0.220000,301.813599,6980.787598,1
0.230000,302.086121,6980.787598,1
0.240000,302.350769,6980.787598,1
0.250000,302.623260,6980.787598,1
0.260000,302.881134,6980.787598,1
0.270000,303.128601,6980.787598,1
0.280000,303.371429,6980.787598,1
0.290000,303.625702,6980.787598,1
0.300000,303.878906,6922.618164,2
0.310000,303.627838,6864.448242,2
0.320000,303.769104,6806.278809,2
0.330000,303.516998,6748.108887,2
0.340000,303.627502,6689.939453,2
0.350000,303.328857,6631.769531,2
0.360000,303.417206,6573.600098,2
0.370000,303.101074,6515.430176,2
0.380000,303.151489,6457.260742,2
0.390000,302.808167,6399.090820,2
0.400000,302.404755,6340.921387,2
0.410000,302.397614,6282.751465,2
0.420000,302.047852,6224.582031,2
0.430000,302.062500,6166.412109,2
0.440000,301.645508,6108.242676,2
0.450000,301.195618,6050.072754,2
0.460000,301.181671,5991.903320,2
0.470000,300.750031,5933.733398,2
0.480000,300.290100,5875.563965,2
0.490000,300.217865,5817.394043,2
0.500000,299.787292,5759.224609,2
0.510000,299.222595,5701.054688,2
0.520000,299.130676,5642.885254,2
0.530000,298.643951,5584.715332,2
0.540000,298.086395,5526.545898,2
0.550000,297.507050,5468.375977,2
0.560000,297.390106,5410.206543,2
0.570000,296.884766,5352.036621,2
0.580000,296.281097,5293.867188,2
0.590000,295.688873,5235.697266,2
0.600000,304.431091,6980.787598,3
0.610000,305.998566,6980.787598,3
0.620000,306.221375,6980.787598,3
0.630000,306.214935,6980.787598,3
0.640000,306.148041,6980.787598,3
0.650000,306.123718,6980.787598,3
0.660000,306.015381,6980.787598,3
0.670000,305.938477,6980.787598,3
0.680000,305.880554,6980.787598,3
0.690000,305.790070,6980.787598,3
0.700000,305.696716,6980.787598,3
0.710000,305.616608,6980.787598,3
0.720000,305.513977,6980.787598,3
0.730000,305.402039,6980.787598,3
0.740000,305.309418,6980.787598,3
0.750000,305.187469,6980.787598,3
0.760000,305.090179,6980.787598,3
0.770000,304.966797,6980.787598,3
0.780000,304.859528,6980.787598,3
0.790000,304.743286,6980.787598,3
0.800000,304.626343,6980.787598,3
0.810000,304.486145,6980.787598,3
0.820000,304.358826,6980.787598,3
0.830000,304.219360,6980.787598,3
0.839999,304.109558,6980.787598,3
0.849999,303.978333,6980.787598,3
0.859999,303.870331,6980.787598,3
0.869999,303.725494,6980.787598,3
0.879999,303.595306,6980.787598,3
0.889999,303.448334,6980.787598,3
