ID,soil moisture,S
LCOR-599,0.091,0.06
LCOR-316,0.063,0.041
LCOR-100,0.082,0.061
LCOR-304,0.085,0.077
LCOR-494,0.083,0.118
LCOR-439,0.119,0.118
LCOR-378,0.135,0.077
LCOR-595,0.117,0.115
LCOR-371,0.176,0.129
LCOR-234,0.182,0.182
LCOR-461,0.148,0.157
LCOR-519,0.122,0.2
LCOR-112,0.074,0.113
LCOR-190,0.069,0.06
LCOR-313,0.085,0.08
LCOR-446,0.072,0.082
LCOR-032,0.127,0.132
LCOR-492,0.131,0.13
LCOR-311,0.172,0.131
LCOR-523,0.124,
LCOR-432,0.178,0.121
LCOR-025,0.181,0.16
LCOR-102,0.123,0.176
LCOR-155,0.176,0.1
LCOR-490,0.11,0.086
LCOR-374,0.071,0.075
LCOR-521,0.114,0.102
LCOR-232,0.068,0.066
LCOR-315,0.073,0.122
LCOR-419,0.108,0.115
LCOR-365,0.096,0.103
LCOR-480,0.124,0.12
LCOR-433,0.106,0.16
LCOR-453,0.14,
LCOR-223,0.167,
LCOR-216,0.158,
LCOR-159,0.14,
LCOR-426,0.077,
LCOR-113,0.117,
LCOR-505,0.138,
LCOR-153,0.095,
LCOR-336,0.116,
LCOR-412,0.15,
LCOR-509,0.168,
LCOR-549,0.153,
LCOR-466,0.155,
LCOR-547,0.153,
LCOR-598,0.163,
LCOR-464,0.193,
LCOR-555,0.163,
LCOR-189,0.167,
LCOR-447,0.127,
LCOR-270,0.083,
LCOR-114,0.12,
LCOR-591,0.095,
LCOR-029,0.153,
LCOR-056,0.151,
LCOR-578,0.121,
LCOR-586,0.187,
LCOR-531,0.162,
LCOR-477,0.163,
LCOR-460,0.151,
LCOR-615,0.161,
LCOR-602,0.133,
LCOR-456,0.153,
LCOR-500,0.127,
LCOR-119,0.081,
LCOR-375,0.131,
LCOR-208,0.123,
LCOR-457,0.102,
LCOR-440,0.102,
LCOR-501,0.149,
LCOR-118,0.108,
LCOR-262,0.174,
LCOR-172,0.169,
LCOR-081,0.122,
LCOR-210,0.127,
LCOR-417,0.167,
LCOR-390,0.167,
LCOR-219,0.146,
LCOR-532,0.149,
LCOR-431,0.18,
LCOR-479,0.189,
LCOR-108,0.129,
LCOR-312,0.171,
LCOR-225,0.151,
LCOR-329,0.153,
LCOR-478,0.13,
LCOR-567,0.207,
LCOR-413,0.18,
LCOR-389,0.091,
LCOR-246,0.107,
LCOR-430,0.144,
LCOR-465,0.12,
LCOR-183,0.18,
LCOR-215,0.137,
LCOR-187,0.163,
LCOR-576,0.15,
LCOR-288,0.147,
LCOR-407,0.14,
LCOR-580,0.15,
LCOR-566,0.144,
LCOR-097,0.122,
LCOR-592,0.148,
LCOR-451,0.144,
LCOR-597,0.143,
LCOR-050,0.139,
LCOR-444,0.116,
LCOR-038,0.166,
