Obs#,Time,Date,configName,configAuthor,remark,Observation,ID,leaf,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
1,12:01:54,9/19/22,Auto gsw+F,LI-COR Default,,1,LCOR-599,14,0.024202,2.917527,0.024002,0.755048,1.397468,1.376329,4.462808,3.06534,13.71184,13.922439,44.461239,0.441786,PSF-00336_20220919120154,0,0,0,82.336662,108.159752,0.23875,0.5,0.8,184.913223,46.65,45.94,24,30.81,100.38,156.2,154.7,1,1936,4.094,23,-173,70,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:00:47,9/19/22,-0.31,0,-0.002,-9999,-2.763,-2.705,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,101.458672,25,-5.389963,99.089745,100.459709,-1.369965,2.460066,2.449066,1.65746,0.926042,0.283788,0.082718,0.18617,1.87033,82.336662,0.000563,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919120154,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
2,12:02:48,9/19/22,Auto gsw+F,LI-COR Default,,2,LCOR-316,12,0.280157,2.91577,0.255598,4.974292,1.49356,1.354244,3.399314,1.905754,13.492314,14.880321,33.867329,0.441786,PSF-00336_20220919120248,0,0,0,108.401299,157.27211,0.31074,0.5,0.8,207.478348,48.83,44.27,24.35,26.13,100.37,156,154.4,1,1669,4.093,7,-175,92,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:00:47,9/19/22,-0.31,0.001,0.002,-9999,-1.382,-2.031,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,148.880478,25,-6.347733,147.213928,148.203812,-0.989883,2.457657,2.452013,1.655603,0.925415,0.279868,0.020558,0.191171,1.627108,108.401299,0.000579,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919120248,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
4,12:03:48,9/19/22,Auto gsw+F,LI-COR Default,,4,LCOR-100,12,0.108556,2.91723,0.104661,2.640028,1.438498,1.364607,3.902806,2.464308,13.596371,14.332597,38.885933,0.441786,PSF-00336_20220919120348,0,0,0,101.714729,141.414597,0.280734,0.5,0.8,208.917877,46.22,43.85,24.64,28.48,100.37,156.1,154.6,1,1860,4.09,23,177,83,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:00:47,9/19/22,-0.31,0,-0.001,0.002,-1.661,-3.782,-12.321,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,134.997726,25,-4.651113,134.463425,134.770065,-0.306641,2.456998,2.448306,1.657146,0.925928,0.276671,0.045785,0.196569,1.801286,101.714729,0.000566,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919120348,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
5,12:04:21,9/19/22,Auto gsw+F,LI-COR Default,,5,LCOR-304,14,0.172184,2.917678,0.162589,3.759761,1.456293,1.351099,3.717757,2.261464,13.459473,14.507404,37.035812,0.441786,PSF-00336_20220919120421,0,0,0,112.159607,160.638779,0.30179,0.5,0.8,227.419189,46.39,43.04,24.79,27.65,100.38,156.2,154.8,0.9,1884,4.09,43,-165,88,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:00:47,9/19/22,-0.31,0,0.001,-9999,-2.276,-4.615,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,150.964737,25,-7.34655,149.01387,150.143585,-1.129715,2.455831,2.448501,1.65762,0.926221,0.275066,0.033802,0.199456,1.822651,112.159607,0.000569,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919120421,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
6,12:05:04,9/19/22,Auto gsw+F,LI-COR Default,,6,LCOR-494,12,0.265443,2.916406,0.243299,5.126855,1.481302,1.337765,3.543431,2.06213,13.328039,14.758079,35.302895,0.441786,PSF-00336_20220919120504,0,0,0,124.146942,176.778519,0.297726,0.5,0.8,231.368484,46.71,42.18,24.96,26.83,100.37,156,151.5,2.9,1943,4.09,20,-167,81,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:00:47,9/19/22,-0.31,0.002,0.003,0.015,-1.904,-3.868,-7.924,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,167.304047,25,-7.060132,165.771606,166.69249,-0.920883,2.45459,2.448902,1.656275,0.918075,0.273198,0.021814,0.203169,1.876276,124.146942,0.000561,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919120504,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
7,12:05:42,9/19/22,Auto gsw+F,LI-COR Default,,7,LCOR-439,12,0.398295,2.916457,0.350437,7.134925,1.587763,1.388242,3.578635,1.990872,13.831762,15.819691,35.655762,0.441786,PSF-00336_20220919120542,0,0,0,113.346573,156.720322,0.276759,0.5,0.8,224.096146,49.63,43.39,25.1,27,100.37,156.1,155.4,0.4,2024,4.089,25,-151,98,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:00:47,9/19/22,-0.31,0.001,0.003,0.008,-1.751,-2.791,2.837,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,146.251923,25,-8.271482,142.816544,144.903778,-2.087234,2.456254,2.452929,1.656328,0.927896,0.271616,0.022101,0.206458,1.950501,113.346573,0.000563,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919120542,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
8,12:07:03,9/19/22,Auto gsw+F,LI-COR Default,,8,LCOR-378,12,0.455926,2.918264,0.394321,7.402876,1.547517,1.340736,3.385263,1.837746,13.359867,15.420355,33.732708,0.441786,PSF-00336_20220919120703,0,0,0,229.887131,306.217957,0.24927,0.5,0.8,195.478149,47.65,41.28,25.35,26.06,100.36,156.3,155.6,0.4,1961,4.086,45,-160,91,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:00:47,9/19/22,-0.31,-0.001,-0.001,-9999,8.841,-1.159,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,289.599548,25,-13.921412,282.711639,286.329987,-3.618347,2.453239,2.450117,1.658242,0.928427,0.268896,0.007759,0.213535,1.892409,229.887131,0.000577,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919120703,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
9,12:07:53,9/19/22,Auto gsw+F,LI-COR Default,,9,LCOR-595,8,0.477335,2.917153,0.410212,8.40405,1.603299,1.368464,3.606059,2.002759,13.63532,15.9752,35.930607,0.441786,PSF-00336_20220919120753,0,0,0,86.28595,161.496155,0.465709,0.5,0.8,384.262299,49.05,41.87,25.46,27.13,100.36,156.1,155.1,0.7,2063,4.084,0,-150,93,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:00:47,9/19/22,-0.31,0.001,0.001,0.014,-0.711,-1.547,-2.908,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,145.959015,25,-10.817326,145.582077,146.042648,-0.460571,2.454033,2.452031,1.657064,0.927082,0.267734,0.019342,0.217751,1.985559,86.28595,0.000584,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919120753,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
10,12:09:18,9/19/22,Auto gsw+F,LI-COR Default,,10,LCOR-371,12,0.49162,2.917263,0.42072,6.387626,1.528547,1.349931,3.017848,1.489301,13.450117,15.229771,30.06851,0.441786,PSF-00336_20220919120918,0,0,0,81.725838,267.624207,0.694625,0.5,0.8,409.237213,46.13,40.74,25.69,24.13,100.37,156.2,155.8,0.2,1473,4.083,19,-169,101,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:00:47,9/19/22,-0.31,0.004,0.003,0.021,0.243,0.437,0.679,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,242.302887,25,-17.050127,246.684906,243.266586,3.41832,2.452398,2.447911,1.657181,0.928878,0.265297,-0.019023,0.224831,1.448269,81.725838,0.00061,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919120918,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
11,12:11:02,9/19/22,Auto gsw+F,LI-COR Default,,11,LCOR-234,12,0.309989,2.916523,0.280207,5.750126,1.506479,1.345539,3.51482,2.00834,13.404692,15.008026,35.015751,0.441786,PSF-00336_20220919121102,0,0,0,101.13752,243.89418,0.585322,0.5,0.8,156.105301,44.77,39.99,25.95,26.69,100.38,156.1,155.4,0.4,667,4.081,3,159,77,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:00:47,9/19/22,-0.31,0.002,0.003,0.031,0.183,1.154,2.708,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,212.844376,25,-21.711273,209.723358,212.877701,-3.154343,2.451274,2.445936,1.656399,0.927785,0.262555,0.008198,0.23329,0.714053,101.13752,0.000585,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919121102,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
