row,column,ID,event_short,H497,section,Water bag
8,5,LCOR-575,5A,5273.04,1,
2,6,LCOR-577,5A,3078.48,1,
8,8,LCOR-250,5A,4236.72,1,
15,7,LCOR-198,CT3,2773.68,2,
12,7,LCOR-094,8-9D,3596.64,2,yes
13,3,LCOR-294,8-9D,2103.12,2,
5,14,LCOR-046,1,3718.56,3,
2,14,LCOR-060,2H,3017.52,3,
4,13,LCOR-200,CT3,3505.2,3,
14,12,LCOR-002,4A,2529.84,4,
10,14,LCOR-147,7,3779.52,4,
13,13,LCOR-030,5C,3931.92,4,
6,17,LCOR-458,2H,3505.2,5,
3,22,LCOR-245,5A,2103.12,5,
3,17,LCOR-132,5,3688.08,5,
11,18,LCOR-392,7,3505.2,6,
9,20,LCOR-067,2H,3505.2,6,
13,24,LCOR-084,13-15E,4297.68,6,
6,28,LCOR-227,4A,3169.92,7,
5,29,LCOR-382,7,2194.56,7,
2,26,LCOR-293,8-9D,3870.96,7,
15,27,LCOR-429,4B,3444.24,8,
14,27,LCOR-388,7,3352.8,8,
15,26,LCOR-508,16-20,3840.48,8,
4,47,LCOR-232,4A,3048,9,
3,48,LCOR-505,16-20,3474.72,9,
7,46,LCOR-492,CT3,1920.24,9,
13,50,LCOR-210,CT3,2606.04,10,
14,48,LCOR-189,13-15B,2529.84,10,
10,49,LCOR-531,5,2956.56,10,
7,52,LCOR-465,13-15B,2560.32,11,
5,51,LCOR-532,5,3413.76,11,
7,51,LCOR-479,1C,3550.92,11,
15,51,LCOR-413,8-9D,2407.92,12,
14,53,LCOR-444,1,2087.88,12,
10,51,LCOR-312,16-20,2346.96,12,
13,12,LCOR-218,2H,3352.8,4,yes
11,4,LCOR-268,5C,3870.96,2,yes
9,6,LCOR-310,16-20,2895.6,2,yes
9,12,LCOR-588,5A,3413.76,4,yes
