,event,ID,event,x,percent
3,CT717 1,36,CT717 1,36,1
4,CT717 3,34,CT717 3,35,1.029411765
5,LC-102 1,35,LC-102 1,31,0.885714286
6,LC-102 13-15B,21,LC-102 13-15B,21,1
7,LC-102 13-15E,35,LC-102 13-15E,34,0.971428571
8,LC-102 16-20,36,LC-102 16-20,35,0.972222222
9,LC-102 1C,39,LC-102 1C,38,0.974358974
10,LC-102 2H,34,LC-102 2H,33,0.970588235
11,LC-102 4A,24,LC-102 4A,23,0.958333333
12,LC-102 4B,39,LC-102 4B,39,1
13,LC-102 5,31,LC-102 5,31,1
14,LC-102 5A,37,LC-102 5A,36,0.972972973
15,LC-102 5C,33,LC-102 5C,33,1
16,LC-102 7,35,LC-102 7,35,1
17,LC-102 8-9D,31,LC-102 8-9D,31,1
total,,500,,491,0.982
