"","Event","mean_Volume","var","n","se","tst","sd","upper_volume","lower_volume"
"1","1",1721.3857415625,1345701.24552429,32,205.068680989161,2.0369333434601,1160.04363949133,2139.0969755687,1303.6745075563
"2","13-15B",1604.85037714286,1723482.81079331,21,286.479685209574,2.07961384472768,1312.81484254,2200.61749673792,1009.0832575478
"3","13-15E",1703.27504727273,1392360.17185404,33,205.408696214219,2.03451529744934,1179.98312354628,2121.18218194968,1285.36791259577
"4","16-20",1751.97897,1424059.10933637,33,207.733739059225,2.03451529744934,1193.3394778253,2174.61643991234,1329.34150008766
"5","1C",2044.17789631579,1590566.08305491,38,204.589838911065,2.02439416391197,1261.17646784854,2458.34837220304,1630.00742042854
"6","2H",1538.167485,669345.942200756,32,144.627316554562,2.0369333434601,818.135650244356,1832.76368846515,1243.57128153485
"7","4A",2255.98010285714,1801056.72925888,21,292.855947788643,2.07961384472768,1342.03454845949,2865.00738638925,1646.95281932503
"8","4B",1913.41931846154,682851.982839111,39,132.321673209655,2.02269092003676,826.348584339025,2181.06516538678,1645.7734715363
"9","5",1736.92344774194,909601.621565481,31,171.295031429504,2.03951344639641,953.730371523042,2086.2819676433,1387.56492784057
"10","5A",2530.370352,4859107.46728851,35,372.60118346904,2.03010792825034,2204.33832868018,3286.79096863596,1773.94973536404
"11","5C",2302.21813090909,2683109.69378817,33,285.142691221811,2.03451529744934,1638.02005292615,2882.34529815574,1722.09096366244
"12","7",1839.88799647059,1264677.88527969,34,192.863704181422,2.03224450931772,1124.57898134355,2231.83420033996,1447.94179260122
"13","8-9D",1734.82205944839,1109547.71452693,31,189.18737209162,2.03951344639641,1053.35070822919,2120.67224871765,1348.97187017913
"14","CT3",1613.46014470588,558929.871309179,34,128.215107776091,2.03224450931772,747.616125634793,1874.02459349542,1352.89569591634
