row,column,ID,DBH,Height,event,construct,Comments,
1,1,LCOR-1143,N/A,N/A,NA,wt,,border tree
2,1,LCOR-1088,N/A,N/A,NA,wt,,border tree
3,1,LCOR-1141,N/A,N/A,NA,wt,,border tree
4,1,LCOR-1064,N/A,N/A,NA,wt,,border tree
5,1,LCOR-1145,N/A,N/A,NA,wt,,border tree
6,1,LCOR-1150,N/A,N/A,NA,wt,,border tree
7,1,LCOR-1071,N/A,N/A,NA,wt,,border tree
8,1,LCOR-1247,N/A,N/A,NA,wt,,border tree
9,1,LCOR-1024,N/A,N/A,NA,wt,,border tree
10,1,LCOR-1057,N/A,N/A,NA,wt,,border tree
11,1,LCOR-1060,N/A,N/A,NA,wt,,border tree
12,1,LCOR-1063,N/A,N/A,NA,wt,,border tree
13,1,LCOR-1081,N/A,N/A,NA,wt,,border tree
14,1,LCOR-1097,N/A,N/A,NA,wt,,border tree
15,1,LCOR-1199,N/A,N/A,NA,wt,,border tree
16,1,LCOR-1053,N/A,N/A,NA,wt,,border tree
1,2,LCOR-1101,N/A,N/A,NA,wt,,border tree
2,2,LCOR-1137,N/A,N/A,NA,wt,,border tree
3,2,LCOR-1075,N/A,N/A,NA,wt,,border tree
4,2,LCOR-1022,N/A,N/A,NA,wt,,border tree
5,2,LCOR-1061,N/A,N/A,NA,wt,,border tree
6,2,LCOR-1078,N/A,N/A,NA,wt,,border tree
7,2,LCOR-1080,N/A,N/A,NA,wt,,border tree
8,2,LCOR-1085,N/A,N/A,NA,wt,,border tree
9,2,LCOR-1091,N/A,N/A,NA,wt,,border tree
10,2,LCOR-1106,N/A,N/A,NA,wt,,border tree
11,2,LCOR-1163,N/A,N/A,NA,wt,,border tree
12,2,LCOR-1168,N/A,N/A,NA,wt,,border tree
13,2,LCOR-1183,N/A,N/A,NA,wt,,border tree
14,2,LCOR-1187,N/A,N/A,NA,wt,,border tree
15,2,LCOR-1198,N/A,N/A,NA,wt,,border tree
16,2,LCOR-1076,N/A,N/A,NA,wt,,border tree
1,3,LCOR-1001,N/A,N/A,NA,wt,,border tree
2,3,LCOR-125,17.5,8.45,CT717 1,CT717,,
3,3,LCOR-064,17,8.9,LC-102 2H,LC102,,
4,3,LCOR-173,14,7.1,LC-102 1C,LC102,,
5,3,LCOR-104,19,9.2,LC-102 16-20,LC102,,
6,3,LCOR-552,20,9.5,LC-102 7,LC102,,
7,3,LCOR-395,17.5,8,LC-102 1C,LC102,,
8,3,LCOR-228,20,9.25,LC-102 4A,LC102,,
9,3,LCOR-362,19,9.55,LC-102 1,LC102,,
10,3,LCOR-259,23.5,10.9,LC-102 4B,LC102,,
11,3,LCOR-258,21.5,10.65,LC-102 4B,LC102,insect,
12,3,LCOR-188,10,5.1,LC-102 13-15B,LC102,,
13,3,LCOR-294,14,6.9,LC-102 8-9D,LC102,,
14,3,LCOR-253,17.5,8.65,LC-102 4B,LC102,,
15,3,LCOR-213,19,9.35,LC-102 2H,LC102,,
16,3,LCOR-1047,,,NA,wt,,
1,4,LCOR-1002,,,NA,wt,,
2,4,LCOR-087,22.5,11.25,LC-102 8-9D,LC102,,
3,4,LCOR-308,24,11.65,LC-102 13-15E,LC102,,
4,4,LCOR-249,18,9.35,LC-102 5A,LC102,,
5,4,LCOR-244,11.5,6.4,LC-102 5A,LC102,,
6,4,LCOR-607,14,7.05,LC-102 13-15E,LC102,,
7,4,LCOR-396,21,10.45,LC-102 1C,LC102,,
8,4,LCOR-325,20.5,10.45,CT717 1,CT717,,
9,4,LCOR-054,28,12.9,LC-102 1,LC102,,
10,4,LCOR-109,,,LC-102 16-20,LC102,,dead
11,4,LCOR-268,24.5,12.35,LC-102 5C,LC102,,
12,4,LCOR-328,19.5,9.75,CT717 1,CT717,,
13,4,LCOR-107,21,10.25,LC-102 16-20,LC102,,
14,4,LCOR-201,25,12.1,CT717 3,CT717,,
15,4,LCOR-211,24,11.35,LC-102 2H,LC102,,
16,4,LCOR-1051,,,NA,wt,,
1,5,LCOR-082,21.5,10.4,LC-102 13-15E,LC102,,
