Douglas-fir Breeding Zone 7,,,,,,PS 2/2001,,,,,,,,,,,,,,,,,,,
Live Grafts & Progeny Testing,,,,,,rc 11/2023,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DNA,cloneID,nf,rd,sz,el,BH_Ramets_Planned,BH_Ramets_2000,FH_subunit,FH_Ramets_Planned,FH_Ramets_2000,TestSet1,TestSet2,age(y),ht(ft),dbh(in),SPGR,lat(d/m),lon(d/m),lat(dd),lon(dd),asp,siteIndex,treeIndex,,
sampled,2800,11,56,523,42,4,4,,,,5,8,103,133,30.7,0.448,39/57.7,121/04.0,39.9617,121.0667,6,110,130,,
sampled,2801,11,56,523,48,4,4,,,,5,8,120,136,28.9,0.447,39/52.6,120/47.0,39.8767,120.7833,8,115,125,,
sampled,2802,11,56,523,40,4,4,,,,5,8,72,93,16.5,0.471,40/02.5,120/57.3,40.0417,120.9550,6,95,110,,
missing,2803,11,56,523,44,,,,,,8,,104,134,26.2,0.475,39/58.9,120/51.4,39.9817,120.8567,3,110,130,,
sampled,2804,11,52,523,45,4,4,,,,8,,83,123,25,0.426,40/06.0,120/56.4,40.1000,120.9400,1,120,130,,
sampled,2805,11,52,523,46,4,3,,,,5,8,73,105,23.5,0.441,40/10.1,121/03.5,40.1683,121.0583,9,110,125,,
sampled,2806,11,52,523,47,4,3,,,,8,,44,86,22.1,0.412,40/10.2,121/06.4,40.1700,121.1067,2,140,140,,
sampled,2807,11,56,523,46,4,4,,,,8,,98,112,23.7,0.434,39/50.5,120/40.5,39.8417,120.6750,1,110,115,,
missing,2809,11,56,523,44,,,,,,8,9,62,95,17.3,0.000,39/57.2,,39.9533,0.0000,,,,,
missing,2811,11,56,523,37,,,,,,8,,,,,,,,,,,,,,
missing,2812,11,56,523,50,,,,,,8,9,,,,,,,,,,,,,
unsampled,2813,11,56,523,48,,,,,,9,,,,,,,,,,,,,,
missing,2814,11,56,523,48,,,,,,9,,,,,,,,,,,,,,
sampled,2815,11,54,524,31,4,4,Low,13,10,4,9,82,143,33.7,0.427,39/41.9,121/20.2,39.6983,121.3367,6,135,160,,
dead,2816,11,54,524,33,4,4,Low,13,13,,,102,119,28.8,0.461,39/40.9,121/18.2,39.6817,121.3033,4,105,120,,
dead,2817,11,54,524,23,4,4,Low,13,11,3,,97,162,34.3,0.486,39/43.2,121/21.6,39.7200,121.3600,1,150,165,,
sampled,2818,11,54,524,22,4,2,Low,13,12,4,,79,121,22.9,0.488,39/42.8,121/22.8,39.7133,121.3800,8,115,135,,
sampled,2819,11,54,524,36,4,4,Low,13,10,,,82,142,31.2,0.459,39/45.8,121/24.7,39.7633,121.4117,4,155,155,,
sampled,2820,11,54,524,33,4,3,Low,13,10,,,56,111,24.2,0.480,39/40.3,121/20.6,39.6717,121.3433,4,140,155,,
sampled,2821,11,54,524,34,4,4,Low,13,12,5,9,86,129,31.4,0.487,39/42.9,121/18.1,39.7150,121.3017,2,130,140,,
sampled,2822,11,54,524,34,4,3,Low,13,11,,,90,147,38.1,0.448,39/43.0,121/18.8,39.7167,121.3133,8,140,155,,
sampled,2823,11,54,524,33,4,3,Low,13,9,4,,66,110,23.4,0.000,39/44.6,121/17.8,39.7433,121.2967,3,130,140,,
sampled,2824,11,54,524,35,4,3,Low,13,12,3,,77,114,26.8,0.432,39/45.8,121/16.6,39.7633,121.2767,4,120,130,,
sampled,2825,11,54,524,47,4,4,High,12,12,,,75,145,30.9,0.426,39/50.8,121/27.3,39.8467,121.4550,4,170,170,,
sampled,2826,11,54,524,28,4,4,Low,13,9,,,65,112,23.3,0.483,39/52.3,121/30.9,39.8717,121.5150,4,130,140,,
dead,2827,11,54,524,29,4,4,Low,13,12,,,57,101,27.2,0.401,39/51.9,121/30.5,39.8650,121.5083,6,130,140,,
dead,2828,11,54,524,37,4,4,High,12,11,3,"8,9",63,122,25.9,0.000,39/50.0,121/28.1,39.8333,121.4683,8,135,155,,
sampled,2829,11,54,524,35,4,4,Low,13,13,3,,69,125,31.5,0.453,39/47.9,121/23.8,39.7983,121.3967,4,135,155,,
sampled,2830,11,54,524,39,4,4,High,12,11,4,9,83,116,27.2,0.511,39/46.5,121/25.3,39.7750,121.4217,2,120,130,,
sampled,2831,11,54,524,42,4,4,High,12,11,3,9,68,110,25.3,0.399,39/46.8,121/15.4,39.7800,121.2567,8,130,135,,
sampled,2832,11,54,524,36,4,4,Low,13,11,4,9,75,150,32.6,0.454,39/45.9,121/15.5,39.7650,121.2583,6,170,170,,
sampled,2833,11,54,524,34,4,4,Low,13,13,,,89,152,38.2,0.446,39/43.2,121/18.3,39.7200,121.3050,4,160,160,,
sampled,2834,11,54,524,37,4,3,High,12,11,3,9,79,136,30.1,0.437,39/45.7,121/17.0,39.7617,121.2833,4,150,155,,
sampled,2835,11,54,524,36,4,4,Low,13,11,5,,77,142,29.7,0.356,39/46.1,121/16.5,39.7683,121.2750,2,160,160,,
missing,2836,11,56,523,,,,,,,9,,,,,,,,,,,,,,
missing,2837,11,56,523,,,,,,,8,,,,,,,,,,,,,,
missing,2838,11,56,523,,,,,,,9,,,,,,,,,,,,,,
missing,2841,11,51,523,,,,,,,8,9,,,,,,,,,,,,,
missing,2842,11,51,523,,,,,,,9,,,,,,,,,,,,,,
missing,2843,11,51,523,,,,,,,9,,,,,,,,,,,,,,
missing,2844,11,51,523,,,,,,,9,,,,,,,,,,,,,,
missing,2845,11,51,523,,,,,,,9,,,,,,,,,,,,,,
missing,2848,11,51,523,,,,,,,9,,,,,,,,,,,,,,
missing,2850,11,56,523,,,,,,,8,,,,,,,,,,,,,,
missing,2852,11,56,523,,,,,,,9,,,,,,,,,,,,,,
missing,2853,11,56,523,,,,,,,9,,,,,,,,,,,,,,
missing,2854,11,56,523,,,,,,,9,,,,,,,,,,,,,,
missing,2855,11,56,523,,,,,,,8,,,,,,,,,,,,,,
missing,2856,11,56,523,,,,,,,8,,,,,,,,,,,,,,
missing,2857,11,56,523,,,,,,,9,,,,,,,,,,,,,,
missing,2858,11,51,523,,,,,,,9,,,,,,,,,,,,,,
missing,2859,11,51,523,,,,,,,8,,,,,,,,,,,,,,
missing,2860,11,51,523,,,,,,,9,,,,,,,,,,,,,,
missing,2862,11,51,523,,,,,,,9,,,,,,,,,,,,,,
missing,2863,11,51,523,,,,,,,9,,,,,,,,,,,,,,
missing,2864,11,51,523,,,,,,,9,,,,,,,,,,,,,,
missing,2865,11,56,523,,,,,,,8,,,,,,,,,,,,,,
missing,2866,11,56,523,,,,,,,9,,,,,,,,,,,,,,
missing,2867,11,56,523,,,,,,,8,,,,,,,,,,,,,,
missing,2868,11,56,523,,,,,,,8,,,,,,,,,,,,,,
missing,2869,11,56,523,,,,,,,9,,,,,,,,,,,,,,
missing,2870,11,56,523,,,,,,,8,,,,,,,,,,,,,,
missing,2871,11,56,523,,,,,,,8,,,,,,,,,,,,,,
missing,2872,11,56,523,,,,,,,8,,,,,,,,,,,,,,
missing,2874,11,56,523,,,,,,,8,,,,,,,,,,,,,,
missing,2875,11,56,523,,,,,,,8,,,,,,,,,,,,,,
missing,2877,11,52,523,,,,,,,9,,,,,,,,,,,,,,
missing,2878,11,52,523,,,,,,,8,,,,,,,,,,,,,,
missing,2879,11,56,523,,,,,,,8,,,,,,,,,,,,,,
missing,2880,11,56,523,,,,,,,8,,,,,,,,,,,,,,
missing,2881,11,56,523,,,,,,,8,,,,,,,,,,,,,,
missing,2885,11,52,523,,,,,,,8,,,,,,,,,,,,,,
missing,2886,11,52,523,,,,,,,8,9,,,,,,,,,,,,,
missing,2887,11,51,523,,,,,,,8,,,,,,,,,,,,,,
missing,2888,11,51,523,,,,,,,8,,,,,,,,,,,,,,
sampled,2890,17,54,525,42,4,3,High,12,10,1,9,63,94,18.7,0.439,39/03.2,120/39.3,39.0533,120.6550,8,105,120,,
unsampled,2891,17,54,525,43,4,4,High,12,11,2,9,54,89,20.3,0.464,39/04.2,120/37.4,39.0700,120.6233,8,120,125,,
sampled,2892,17,54,525,47,4,4,High,12,11,2,9,53,86,19.7,0.413,39/02.5,120/35.5,39.0417,120.5917,6,110,120,,
unsampled,2893,17,54,525,45,4,4,High,12,11,3,,76,111,28.8,0.403,39/03.1,120/36.8,39.0517,120.6133,9,110,135,,
missing,2894,17,54,525,36,,,Low,13,0,1,8,75,132,28.4,0.418,39/06.3,120/47.6,39.1050,120.7933,6,140,155,,
sampled,2895,17,54,525,49,4,4,High,12,8,1,,80,92,20.7,0.000,39/10.5,120/35.1,39.1750,120.5850,4,90,105,,
sampled,2896,17,54,525,47,4,4,High,12,12,3,9,81,114,23.5,0.000,39/08.3,120/35.3,39.1383,120.5883,4,115,125,,
sampled,2897,17,54,525,49,4,4,High,11,11,,,103,146,31.4,0.000,39/09.8,120/34.0,39.1633,120.5667,9,135,145,,
unsampled,2898,17,54,525,39,4,4,High,12,11,2,8,40,105,22.1,0.000,39/07.5,120/45.5,39.1250,120.7583,9,150,185,,
sampled,2899,17,54,525,43,4,3,High,24,16,2,9,70,106,22.7,0.000,39/07.2,120/41.5,39.1200,120.6917,2,115,130,,
unsampled,2900,17,54,525,35,4,4,Low,13,13,,,75,138,27.4,0.000,39/01.9,120/41.0,39.0317,120.6833,2,135,160,,
sampled,2901,17,54,525,47,4,3,High,12,12,,,65,84,16.3,0.000,39/02.6,120/39.7,39.0433,120.6617,8,100,110,,
dead,2902,17,55,525,39,4,3,High,12,12,1,,83,118,28.4,0.504,39/19.0,120/55.4,39.3167,120.9233,4,125,130,,
unsampled,2903,17,55,525,37,4,4,High,12,12,2,8,90,126,30.4,0.489,39/17.8,120/55.9,39.2967,120.9317,1,125,140,,
unsampled,2904,17,55,525,39,4,4,High,12,8,3,8,95,132,30.4,0.475,39/20.3,120/49.3,39.3383,120.8217,3,135,135,,
sampled,2905,17,55,525,44,4,3,High,12,11,1,,64,106,25.8,0.475,39/18.9,120/46.9,39.3150,120.7817,5,145,135,,
unsampled,2906,17,55,525,42,4,4,High,12,8,2,,65,121,25,0.354,39/18.2,120/48.5,39.3033,120.8083,5,130,150,,
missing,2907,17,55,525,49,,,High,12,0,1,9,87,126,31.5,0.420,39/26.3,120/45.4,39.4383,120.7567,8,130,135,,
sampled,2908,17,55,525,44,4,4,High,12,9,4,,84,134,26.4,0.501,39/25.2,120/50.5,39.4200,120.8417,1,150,150,,
sampled,2909,17,55,525,37,4,3,High,12,11,4,8,50,108,23.6,0.000,39/24.2,120/55.3,39.4033,120.9217,5,145,160,,
sampled,2910,17,55,525,32,4,4,Low,13,10,,,73,120,23.9,0.448,39/24.4,120/58.3,39.4067,120.9717,2,135,140,,
unsampled,2911,17,53,525,34,4,3,Low,13,10,1,,75,152,28,0.463,39/29.4,121/01.2,39.4900,121.0200,1,155,175,,
unsampled,2912,17,53,525,41,4,4,High,12,11,3,8,75,134,28.5,0.493,39/30.3,120/58.2,39.5050,120.9700,6,155,155,,
sampled,2913,17,53,525,32,4,2,Low,13,9,1,,64,135,25.3,0.452,39/29.6,121/04.4,39.4933,121.0733,4,165,170,,
sampled,2914,17,53,525,33,4,2,Low,13,10,2,,82,125,32.9,0.445,39/30.0,121/03.8,39.5000,121.0633,5,140,140,,
sampled,2915,17,53,525,36,4,3,Low,13,12,4,,80,120,24.3,0.493,39/30.6,121/06.1,39.5100,121.1017,8,130,135,,
sampled,2916,17,53,525,32,4,3,Low,13,11,2,,78,132,26.9,0.563,39/31.7,121/00.2,39.5283,121.0033,3,140,150,,
unsampled,2917,17,53,525,43,,,High,12,0,1,9,75,97,20.3,0.385,39/33.1,120/59.3,39.5517,120.9883,4,100,110,,
sampled,2930,11,53,525,28,4,4,Low,13,11,,,64,104,20.5,0.487,39/27.8,121/10.6,39.4633,121.1767,3,135,135,,
sampled,2931,11,53,525,31,4,4,Low,13,13,3,8,71,92,19.8,0.399,39/30.7,121/11.5,39.5117,121.1917,1,105,110,,
sampled,2933,11,53,525,22,4,3,Low,13,12,1,,67,112,23.5,0.400,39/25.3,121/09.6,39.4217,121.1600,8,130,140,,
unsampled,2940,3,56,526,39,4,3,High,12,11,,,78,121,23.2,0.407,38/42.4,120/33.2,38.7067,120.5533,8,130,140,,
sampled,2941,3,56,526,43,4,3,High,12,11,,,61,130,27.7,0.375,38/37.3,120/29.4,38.6217,120.4900,8,150,170,,
unsampled,2942,3,56,526,38,4,2,High,12,9,,,93,141,33.1,0.000,38/43.0,120/30.3,38.7167,120.5050,6,140,145,,
sampled,2943,3,55,526,46,4,2,High,12,11,,,52,87,21.4,0.476,38/49.8,120/30.5,38.8300,120.5083,5,125,125,,
