3/8/23,Leaf area Living Carbon,,,,,,
,,,,,,,
row,column,ID,Leaf1_cm2,leaf2_cm2,leaf3_cm2,average_LA,
1,1,LCOR-1143,,,,,
2,1,LCOR-1088,,,,,
3,1,LCOR-1141,,,,,
4,1,LCOR-1064,,,,,
5,1,LCOR-1145,,,,,
6,1,LCOR-1150,,,,,
7,1,LCOR-1071,,,,,
8,1,LCOR-1247,,,,,
9,1,LCOR-1024,,,,,
10,1,LCOR-1057,,,,,
11,1,LCOR-1060,,,,,
12,1,LCOR-1063,,,,,
13,1,LCOR-1081,,,,,
14,1,LCOR-1097,,,,,
15,1,LCOR-1199,,,,,
16,1,LCOR-1053,,,,,
1,2,LCOR-1101,,,,,
2,2,LCOR-1137,,,,,
3,2,LCOR-1075,,,,,
4,2,LCOR-1022,,,,,
5,2,LCOR-1061,,,,,
6,2,LCOR-1078,,,,,
7,2,LCOR-1080,,,,,
8,2,LCOR-1085,,,,,
9,2,LCOR-1091,,,,,
10,2,LCOR-1106,,,,,
11,2,LCOR-1163,,,,,
12,2,LCOR-1168,,,,,
13,2,LCOR-1183,,,,,
14,2,LCOR-1187,,,,,
15,2,LCOR-1198,,,,,
16,2,LCOR-1076,,,,,
1,3,LCOR-1001,,,,,
2,3,LCOR-125,98.583,110.079,no scan,104.331,
3,3,LCOR-064,92.027,93.685,no scan,92.856,
4,3,LCOR-173,90.004,94.986,93.352,92.78066667,
5,3,LCOR-104,96.676,110.981,104.487,104.048,
6,3,LCOR-552,92.146,107.724,113.03,104.3,
7,3,LCOR-395,94.353,77.628,90.003,87.328,
8,3,LCOR-228,137.907,138.014,109.919,128.6133333,
9,3,LCOR-362,111.995,122.824,116.286,117.035,
10,3,LCOR-259,129.543,131.126,148.258,136.309,
11,3,LCOR-258,97.736,100.805,87.585,95.37533333,
12,3,LCOR-188,23.388,no scan,no scan,23.388,
13,3,LCOR-294,70.273,70.993,73.455,71.57366667,
14,3,LCOR-253,121.918,90.78,110.493,107.7303333,
15,3,LCOR-213,98.635,89.164,104.452,97.417,
16,3,LCOR-1047,,,,,border
1,4,LCOR-1002,,,,,border
2,4,LCOR-087,138.846,99.517,124.855,121.0726667,
3,4,LCOR-308,100.731,136.82,no scan,118.7755,
4,4,LCOR-249,118.658,136.82,107.934,121.1373333,
5,4,LCOR-244,69.782,57.097,66.844,64.57433333,
6,4,LCOR-607,80.035,84.643,74.61,79.76266667,
7,4,LCOR-396,131.521,111.378,111.092,117.997,
8,4,LCOR-325,98.709,117.777,129.394,115.2933333,
9,4,LCOR-054,140.905,141.16,138.632,140.2323333,
10,4,LCOR-109,36.163,52.201,107.584,65.316,
11,4,LCOR-268,126.276,152.306,145.655,141.4123333,
12,4,LCOR-328,106.091,97.992,103.433,102.5053333,
13,4,LCOR-107,121.03,109.028,113.536,114.5313333,
14,4,LCOR-201,147.013,110.215,118.659,125.2956667,
15,4,LCOR-211,99.732,127.41,103.429,110.1903333,
16,4,LCOR-1051,,,,,border
1,5,LCOR-082,no scan,,,,
2,5,LCOR-344,111.214,119.428,125.245,118.629,
3,5,LCOR-070,135.346,122.313,121.92,126.5263333,
4,5,LCOR-282,150.746,145.864,173.568,156.726,
5,5,LCOR-027,139.922,133.316,173.43,148.8893333,
6,5,LCOR-573,120.419,137.005,123.062,126.8286667,
7,5,LCOR-068,120.504,150.842,no scan,135.673,
