Sample,Event,Construct,Block,Weight,Mass 44 = CO2,d13C,Ci ,iWUE,Mass 28 = N2,d15N,wt% C,wt%N,Spad_Sep,Spad1,GreenessScore,
LCOR-032,5C,LC102,small,1.2768,7325,-28.96,288.44,78.63,2053,-1.246628995,47.25588492,4.14,46.9,46.9,5,
LCOR-034,5C,LC102,large,1.2645,7339,-28.48,279.64,84.13,1755,1.871112717,47.35369337,3.51,40.9,40.9,1,
LCOR-038,5C,LC102,small,1.2891,7160,-31.45,334.08,50.1,1122,-0.064267568,45.7271739,2.3,33.23,33.23333333,4,
LCOR-039,5C,LC102,large,1.2757,7182,-31.51,335.18,49.42,1197,0.000916709,46.09648049,2.41,38.87,38.86666667,2,
LCOR-040,5C,LC102,large,1.2672,6955,-29.13,291.55,76.68,1356,1.947694019,44.86826337,2.75,39.53,39.53333333,4,
LCOR-075,13-15E,LC102,large,1.283,6504,-31.9,342.32,44.95,998,1.46431663,43.72306594,2.33,33.53,33.53333333,3,
LCOR-076,13-15E,LC102,large,1.2941,6912,-28.45,279.09,84.47,1751,1.526254062,46.09948888,3.78,52.63,52.63333333,3,
LCOR-079,13-15E,LC102,large,1.2847,7044,-27.89,268.82,90.89,1222,1.145423906,47.31080877,2.78,47.6,47.6,2,
LCOR-081,13-15E,LC102,small,1.2658,6828,-27.03,253.06,100.74,1129,1.56627825,46.83434358,2.72,47.67,47.66666667,4,
LCOR-083,13-15E,LC102,large,1.2688,7180,-26.8,248.85,103.37,1638,0.995465987,46.41849941,3.31,51.2,51.2,2,
LCOR-084,13-15E,LC102,large,1.299,7071,-29.73,302.55,69.81,1567,0.298111832,47.08961676,3.36,43.87,43.86666667,3,
LCOR-103,16-20,escape,large,1.2861,7042,-31.07,327.11,54.46,1265,-0.959729534,44.93157192,2.61,37.1,37.1,3,
LCOR-104,16-20,escape,large,1.2898,7147,-28.63,282.39,82.41,1693,2.13043339,45.39918019,3.4,45.6,45.6,2,
LCOR-105,16-20,escape,large,1.2685,7097.5,-30.64,319.23,59.38,1145,2.986736376,46.06823561,2.42,37.7,37.7,2,avg
LCOR-106,16-20,escape,large,1.3024,7305,-28.68,283.3,81.83,1186,2.032935523,46.36134441,2.39,41.1,41.1,2,
LCOR-107,16-20,escape,large,1.3016,7310,-30.03,308.05,66.37,1157,0.648186106,46.71776274,2.38,38.9,38.9,3,
LCOR-109,16-20,escape,large,1.2817,6805,-31.92,342.69,44.72,1005,-0.174552041,43.61971179,2.11,52.43,52.433,3,
LCOR-128,5,LC102,large,1.2693,6707,-30.09,309.15,65.68,1073,0.560870631,45.5426551,2.41,37.47,37.46666667,2,
LCOR-134,5,LC102,large,1.2903,6934,-28.51,280.19,83.78,1182,0.55646797,46.46521635,2.55,42.13,42.13333333,2,
LCOR-138,5,LC102,large,1.3004,6836,-30.73,320.88,58.35,1440,-1.732715501,45.33414478,3.07,41.1,41.1,3,
LCOR-271,5C,LC102,large,1.2661,7085,-27.25,257.09,98.22,1756,0.737507917,45.76045295,3.53,50.1,50.1,3,
LCOR-275,5C,LC102,large,1.2918,7240,-29.25,293.75,75.31,1376,0.812073921,45.90562343,2.73,43.5,43.5,3,
LCOR-276,5C,LC102,large,1.2705,6997,-31.94,343.06,44.49,855,0.566207636,44.9675344,1.75,29.1,29.1,2,
LCOR-295,13-15E,LC102,large,1.2786,7074,-30.97,325.28,55.6,1055.5,1.132984173,45.41966481,2.18,35,35,2,
LCOR-296,13-15E,LC102,large,1.2924,6875,-29.6,300.17,71.3,1364,2.717774158,45.96095824,3.01,42.67,42.66666667,3,
LCOR-297,13-15E,LC102,large,1.2708,7099,-27.4,259.84,96.5,1349,2.058535377,45.72321847,2.73,52.4,52.4,2,
LCOR-300,13-15E,LC102,large,1.2566,6975,-29.4,296.5,73.59,1279,1.518435668,45.43491533,2.62,44.33,44.33333333,3,
LCOR-301,13-15E,LC102,large,1.2858,6824,-29.54,299.07,71.98,1707,-0.086920863,45.92171901,3.8,43.1,43.1,3,
LCOR-303,13-15E,LC102,large,1.2824,6869,-30.42,315.2,61.9,1144,0.885066559,46.09220055,2.61,37.13,37.13333333,3,
LCOR-304,13-15E,LC102,small,1.2958,6521,-32.17,347.27,41.85,1166,-0.620343237,43.32655091,2.69,38.63,38.63333333,5,
LCOR-306,13-15E,LC102,large,1.2964,6947,-29.62,300.53,71.07,1317,0.584184721,46.49342948,2.97,41.93,41.93333333,2,
LCOR-309,16-20,escape,large,1.284,7345,-28.16,273.77,87.79,1557,0.987630524,47.22309195,3.15,45.13,45.13333333,3,
LCOR-315,16-20,escape,small,1.273,7355,-28.2,274.51,87.33,2156.5,-1.843976288,47.42423619,4.34,52.1,52.1,4,avg
LCOR-316,16-20,escape,small,1.2892,7078.5,-29.53,298.88,72.1,1845.5,-0.936075615,44.85166391,3.67,51.8,51.8,5,avg
LCOR-318,16-20,escape,large,1.2575,7041,-27.97,270.29,89.97,1814,0.408836835,45.90536209,3.72,54.37,54.36666667,1,
LCOR-319,16-20,escape,large,1.2992,7324,-30.11,309.51,65.45,872,1.734647992,46.53930334,1.78,35.37,35.36666667,2,
LCOR-322,16-20,escape,large,1.2856,7230,-29.51,298.52,72.33,1206,0.066395557,46.34339562,2.46,41.6,41.6,2,
LCOR-367,5,LC102,large,1.2801,6807,-30.19,310.98,64.54,1092,0.410679863,45.77283591,2.41,34.63,34.63333333,2,
LCOR-368,5,LC102,large,1.28985,6798.5,-29.1,291,77.02,1377,1.045763677,45.50752222,3.04,41.73,41.73333333,3,avg
LCOR-372,5,LC102,large,1.2758,6812,-29.23,293.39,75.53,1405,1.25869236,46.07463575,3.02,43.93,43.93333333,3,
LCOR-374,5,LC102,small,1.2577,6849,-27.86,268.27,91.23,2212,-1.347182504,46.90608946,4.76,51.27,51.26666667,5,
LCOR-376,5,LC102,large,1.2826,6742,-26.69,246.83,104.63,1603,0.531352792,45.33183956,3.41,50.76,50.76,4,
LCOR-377,5,LC102,large,1.282,6850,-27.24,256.91,98.33,1697,0.280401129,46.13097039,3.61,#N/A,#N/A,2,
LCOR-506,16-20,escape,large,1.2812,7068,-31.52,335.36,49.3,903,1.030785318,45.28849593,1.87,31.77,31.76666667,2,
LCOR-510,16-20,escape,large,1.2789,7108,-31.07,327.11,54.46,1143,0.711719552,45.81925833,2.39,39.83,39.83333333,2,
LCOR-511,16-20,escape,large,1.2959,7126,-31.29,331.14,51.94,1209,0.839186026,45.25301007,2.48,38.57,38.56666667,2,
LCOR-514,16-20,escape,large,1.27975,7181,-29.94,306.4,67.4,1188.5,0.204251147,46.24623024,2.44,42.93,42.93333333,2,avg
LCOR-518,16-20,escape,large,1.2748,7052,-30.45,315.75,61.56,1054,0.94427594,45.63293439,2.18,34.47,34.46666667,2,
LCOR-529,5,LC102,large,1.2761,6839,-28.06,271.94,88.94,1414,0.329931062,46.41008915,3.03,44.1,44.1,2,
LCOR-531,5,LC102,small,1.2788,6930,-27.29,257.83,97.76,1830,-1.135854787,46.85965496,3.94,52.6,52.6,4,
LCOR-532,5,LC102,small,1.2646,6888,-29.59,299.98,71.41,1527,-0.157363435,47.02713705,3.36,46.53,46.53333333,4,
LCOR-567,5C,LC102,small,1.2732,7206,-26.45,242.43,107.38,1937,0.570867101,46.57717889,3.94,51.23,51.23333333,5,
LCOR-568,5C,LC102,large,1.2553,6824,-29.76,303.1,69.46,1425,-0.978517839,44.34850593,2.92,43.03,43.03333333,5,
