"","row","column","ID","Leaf1_cm2","leaf2_cm2","leaf3_cm2","average_LA","X","Leaf.1","Leaf.2","Leaf.3","avg_mass","SLA","LMA"
"1",2,11,"LCOR-164","125.735","116.051","114.941",118.909,"",1.132,0.994,"1.202",1.109333333,107.189603397593,0.00932926299102675
"2",3,11,"LCOR-529","129.315","120.989","125.079",125.1276667,"",1.173,0.985,"1.063",1.073666667,116.542378138298,0.00858056971184615
"3",4,11,"LCOR-386","124.853","126.317","106.325",119.165,"",0.833,0.997,"1.001",0.943666667,126.278700061364,0.00791899187680947
"4",5,11,"LCOR-028","107.347","105.703","134.326",115.792,"",0.808,0.77,"1.087",0.888333333,130.34746721589,0.00767180230931325
"5",6,11,"LCOR-527","148.365","137.441","118.887",134.8976667,"",0.963,1.23,"1.346",1.179666667,114.35235941951,0.00874490045571708
"6",7,11,"LCOR-141","no scan","128.916","146.327",137.6215,"",1.078,1.281,"1.056",1.138333333,120.897364603484,0.00827147889682935
"7",2,12,"LCOR-180","89.855","87.52","62.584",79.98633333,"",0.821,0.561,"0.802",0.728,109.871336991758,0.00910155484933266
"8",3,12,"LCOR-403","128.661","133.816","134.372",132.283,"",1.2,1.164,"1.402",1.255333333,105.37679238061,0.00948975554682008
"9",4,12,"LCOR-364","146.725","126.357","151.361",141.481,"",1.015,1.267,"1.342",1.208,117.120033112583,0.00853824895215612
"10",5,12,"LCOR-277","117.532","117.603","115.337",116.824,"",1.181,1.185,"1.184",1.183333333,98.7245070700632,0.0101291971940697
"11",6,12,"LCOR-115","117.155","107.708","91.392",105.4183333,"",0.891,0.96,"1.053",0.968,108.903236880165,0.00918246352126685
"12",7,12,"LCOR-111","141.822","114.647","148.014",134.8276667,"",1.412,0.991,"1.308",1.237,108.995688520614,0.0091746748295541
"13",8,12,"LCOR-303","122.492","101.389","109.575",111.152,"",0.979,0.859,"1.095",0.977666667,113.691101222744,0.00879576316215633
"14",9,12,"LCOR-588","153.108","123","123.424",133.1773333,"",1.052,0.998,"1.332",1.127333333,118.134831466036,0.00846490393722278
"15",10,12,"LCOR-561","145.917","118.95","130.278",131.715,"",1.233,1.055,"1.409",1.232333333,106.882607548521,0.00935605916562274
"16",11,12,"LCOR-035","149.204","104.384","138.28",130.6226667,"",1.378,0.914,"1.481",1.257666667,103.86111847234,0.00962824216327227
"17",12,12,"LCOR-241","129.661","135.994","126.91",130.855,"",1.145,1.31,"1.221",1.225333333,106.79134932176,0.00936405435787704
"18",13,12,"LCOR-218","95.654","99.358","94.644",96.552,"",0.954,1.02,"0.967",0.980333333,98.4889493704485,0.0101534233677189
"19",14,12,"LCOR-002","108.545","119.051","124.802",117.466,"",1.076,1.09,"0.928",1.031333333,113.897220463444,0.00877984551274411
"20",15,12,"LCOR-026","139.255","139.448","111.16",129.9543333,"",1.148,1.548,"1.479",1.391666667,93.3803592351185,0.0107088900513024
"21",2,13,"LCOR-066","131.682","131.712","150.341",137.9116667,"",1.038,1.27,"1.34",1.216,113.414199588816,0.00881723808505028
"22",3,13,"LCOR-423","128.243","143.952","149.613",140.6026667,"",1.024,1.111,"1.178",1.104333333,127.319046250323,0.00785428440952891
"23",4,13,"LCOR-200","113.813","130.855","130.459",125.0423333,"",0.992,0.839,"0.956",0.929,134.598851776103,0.00742948388343934
"24",5,13,"LCOR-332","100.565","119.092","131.743",117.1333333,"",0.763,1.069,"0.866",0.899333333,130.244625659839,0.00767785998795613
"25",6,13,"LCOR-137","124.171","127.073","123.721",124.9883333,"",0.872,0.923,"0.85",0.881666667,141.763705012566,0.00705399171044071
"26",7,13,"LCOR-338","129.889","101.45","108.097",113.1453333,"",0.97,0.746,"1.044",0.92,122.984057934783,0.00813113517957174
"27",8,13,"LCOR-544","137.584","105.347","143.476",128.8023333,"",0.733,1.088,"0.972",0.931,138.348370891514,0.00722812992705312
"28",9,13,"LCOR-320","37.679","35.047","48.066",40.264,"",0.3,0.285,"0.353",0.312666667,128.776119265697,0.00776541493641963
"29",10,13,"LCOR-077","150.001","163.821","132.01",148.6106667,"",0.87,1.134,"1.268",1.090666667,136.256723705301,0.0073390873698301
"30",11,13,"LCOR-593","149.457","136.45","140.369",142.092,"",1.051,1.15,"0.952",1.051,135.196955280685,0.00739661627677842
"31",12,13,"LCOR-088","142.018","154.63","157.584",151.4106667,"",0.7,1.036,"1.179",0.971666667,155.825728968842,0.00641742545738358
"32",13,13,"LCOR-030","118.186","148.981","151.221",139.4626667,"",1.316,1.211,"1.268",1.265,110.247167351779,0.0090705278332384
"33",14,13,"LCOR-156","158.424","143.182","139.385",146.997,"",1.256,1.075,"1.068",1.133,129.741394527802,0.00770764029197875
"34",15,13,"LCOR-051","156.045","119.129","141.239",138.8043333,"",1.367,1.299,"1.046",1.237333333,112.180226296385,0.00891422698112552
"35",2,14,"LCOR-060","131.168","137.243","154.628",141.013,"",1.58,1.475,"1.334",1.463,96.3861927546138,0.0103749299709956
"36",3,14,"LCOR-604","170.389","142.536","163.275",158.7333333,"",1.409,1.174,"1.612",1.398333333,113.516090587251,0.00880932381327369
"37",4,14,"LCOR-368","139.902","110.725","123.653",124.76,"",0.9,0.797,"1.093",0.93,134.150537634409,0.00745431227957679
"38",5,14,"LCOR-046","177.138","173.573","164.33",171.6803333,"",1.211,1.014,"1.353",1.192666667,143.946618154291,0.006947019755116
"39",6,14,"LCOR-031","146.855","140.867","159.899",149.207,"",1.088,0.975,"0.957",1.006666667,148.218874123106,0.00674677908543165
"40",7,14,"LCOR-347","114.218","127.76","134.832",125.6033333,"",0.993,0.965,"0.985",0.981,128.036017635066,0.00781030227642852
"41",8,14,"LCOR-176","128.609","116.464","119.537",121.5366667,"",0.864,0.809,"0.9",0.857666667,141.706179540728,0.00705685527082174
"42",9,14,"LCOR-269","127.582","133.16","144.862",135.2013333,"",1.018,0.929,"0.798",0.915,147.76102,0.00676768473850546
"43",10,14,"LCOR-147","163.448","146.143","152.271",153.954,"",1.081,0.957,"0.973",1.003666667,153.39156421342,0.00651926333190433
"44",11,14,"LCOR-257","143.995","160.436","136.494",146.975,"",0.935,1.161,"0.982",1.026,143.250487329435,0.00698077904405511
"45",12,14,"LCOR-256","169.684","138.657","176.764",161.7016667,"",1.226,1.028,"0.812",1.022,158.22080890411,0.00632028117493733
"46",13,14,"LCOR-014","186.362","196.613","159.141",180.7053333,"",1.257,1.358,"1.024",1.213,148.973893899423,0.00671258549954486
"47",14,14,"LCOR-091","129.363","131.654","162.029",141.0153333,"",0.912,0.892,"1.192",0.998666667,141.2036047259,0.00708197217727669
"48",15,14,"LCOR-264","114.028","116.9","100.897",110.6083333,"",0.745,0.819,"0.848",0.804,137.572553855721,0.00726889173729191
"49",1,15,"LCOR-116","82.434","70.667","71.681",74.92733333,"",0.47,0.463,"0.582",0.505,148.370957089109,0.00673986351250277
"50",2,15,"LCOR-486","160.652","157.593","132.397",150.214,"",1.123,1.084,"1.05",1.085666667,138.361068425434,0.00722746659432543
"51",4,15,"LCOR-357","144.875","124.881","115.617",128.4576667,"",1.082,0.928,"0.826",0.945333333,135.886107276406,0.00735910403236368
"52",5,15,"LCOR-473","144.332","155.983","131.477",143.9306667,"",0.962,1.102,"0.868",0.977333333,147.268758610937,0.00679030643995482
"53",8,15,"LCOR-550","119.068","114.059","134.83",122.6523333,"",1.034,0.947,"0.921",0.967333333,126.794279816263,0.00788679111904021
"54",9,15,"LCOR-307","116.293","121.899","113.298",117.1633333,"",0.917,0.914,"0.939",0.923333333,126.891696760611,0.00788073629345948
"55",10,15,"LCOR-449","180.322","149.878","160.784",163.6613333,"",1.471,1.638,"1.106",1.405,116.484934733096,0.00858480113579766
"56",11,15,"LCOR-507","144.413","123.258","135.657",134.4426667,"",1.255,0.951,"1.092",1.099333333,122.2947241426,0.00817696762481728
"57",12,15,"LCOR-154","182.658","152.479","181.102",172.0796667,"",1.55,1.166,"1.733",1.483,116.034839312205,0.00861810130412113
"58",13,15,"LCOR-562","126.278","132.598","181.102",146.6593333,"",1.121,1.162,"1.41",1.231,119.138369861901,0.00839360150016446
"59",14,15,"LCOR-334","134.421","137.426","137.471",136.4393333,"",1.91,1.463,"1.194",1.522333333,89.625136849053,0.0111575840791652
"60",15,15,"LCOR-393","151.225","132.677","145.419",143.107,"",1.468,1.457,"1.22",1.381666667,103.575633268136,0.00965478045797899
"61",1,16,"LCOR-442","137.604","111.814","133.471",127.6296667,"",1.136,1.025,"0.862",1.007666667,126.658617258796,0.00789523856838529
"62",2,16,"LCOR-247","166.903","122.843","149.274",146.34,"",1.272,0.931,"1.438",1.213666667,120.576764591987,0.00829347182588493
"63",3,16,"LCOR-611","117.482","101.401","112.437",110.44,"",0.85,0.858,"0.798",0.835333333,132.210694386357,0.00756368465229989
