row,column,ID,SPAD 1,SPAD 2,SPAD 3,Aug_avg_SPAD,Comments
1,1,LCOR-1143,37.4,39.2,40.2,38.93333333,
2,1,LCOR-1088,34.8,36.6,32.2,34.53333333,
3,1,LCOR-1141,36.9,34.4,32.4,34.56666667,
4,1,LCOR-1064,33.9,37.8,38.1,36.6,
5,1,LCOR-1145,30.8,31.2,26.1,29.36666667,
6,1,LCOR-1150,28.1,22.4,21.9,24.13333333,
7,1,LCOR-1071,45.5,42.4,39.7,42.53333333,small
8,1,LCOR-1247,27.2,24,26.2,25.8,
9,1,LCOR-1024,33.6,36.2,37.9,35.9,
10,1,LCOR-1057,35.4,38.2,41.1,38.23333333,
11,1,LCOR-1060,34.1,32.4,39.1,35.2,
12,1,LCOR-1063,30.5,36.3,32.6,33.13333333,
13,1,LCOR-1081,40.4,44.6,47.6,44.2,
14,1,LCOR-1097,33.8,36.4,39.4,36.53333333,
15,1,LCOR-1199,46.2,41.5,38,41.9,
16,1,LCOR-1053,15.3,16,17.9,16.4,
1,2,LCOR-1101,34.3,35.9,36.7,35.63333333,small
2,2,LCOR-1137,37.9,41.4,40.6,39.96666667,
3,2,LCOR-1075,38.3,39.7,39.7,39.23333333,
4,2,LCOR-1022,31.1,33.2,34.2,32.83333333,
5,2,LCOR-1061,36.6,36.6,40.9,38.03333333,
6,2,LCOR-1078,35,34.6,40.9,36.83333333,
7,2,LCOR-1080,31.7,38.5,43.2,37.8,
8,2,LCOR-1085,43.4,46.6,44.4,44.8,
9,2,LCOR-1091,38.5,35.4,32.2,35.36666667,
10,2,LCOR-1106,41.3,43.2,39.3,41.26666667,
11,2,LCOR-1163,35.1,39.8,36.4,37.1,
12,2,LCOR-1168,,,,,dead
13,2,LCOR-1183,41.6,38,36.6,38.73333333,
14,2,LCOR-1187,32.9,36.5,39.3,36.23333333,
15,2,LCOR-1198,34.9,36.6,35.3,35.6,
16,2,LCOR-1076,34.9,37.8,32.5,35.06666667,
1,3,LCOR-1001,28.5,31.3,32.6,30.8,
2,3,LCOR-125,49.8,35.2,44.6,43.2,leaf damage
