row,column,ID,SPAD_June,SPAD_July
1,1,LCOR-1143,0,29.13333333
2,1,LCOR-1088,0,25.03333333
3,1,LCOR-1141,0,27.76666667
4,1,LCOR-1064,0,27.7
5,1,LCOR-1145,0,26.4
6,1,LCOR-1150,0,21.9
7,1,LCOR-1071,0,34.06666667
8,1,LCOR-1247,0,22.4
9,1,LCOR-1024,0,20.3
10,1,LCOR-1057,0,25.93333333
11,1,LCOR-1060,0,26.43333333
12,1,LCOR-1063,0,25.3
13,1,LCOR-1081,0,22.03333333
14,1,LCOR-1097,0,25.8
15,1,LCOR-1199,0,21.73333333
16,1,LCOR-1053,0,19.76666667
1,2,LCOR-1101,0,35.23333333
2,2,LCOR-1137,0,32.8
3,2,LCOR-1075,0,26.43333333
4,2,LCOR-1022,0,23.03333333
5,2,LCOR-1061,0,22.96666667
6,2,LCOR-1078,0,33.53333333
7,2,LCOR-1080,0,28.3
8,2,LCOR-1085,0,26.16666667
9,2,LCOR-1091,0,27.06666667
10,2,LCOR-1106,0,29.6
11,2,LCOR-1163,0,27.5
12,2,LCOR-1168,0,0
13,2,LCOR-1183,0,21.6
14,2,LCOR-1187,0,23.23333333
15,2,LCOR-1198,0,21.5
16,2,LCOR-1076,0,20.83333333
1,3,LCOR-1001,34.7,30.7
2,3,LCOR-125,27.76666667,29.36666667
3,3,LCOR-064,26.5,32.63333333
4,3,LCOR-173,28.3,27.4
5,3,LCOR-104,30.66666667,18.2
6,3,LCOR-552,30.73333333,25.56666667
7,3,LCOR-395,27.1,24.4
8,3,LCOR-228,27.8,30.46666667
9,3,LCOR-362,36.13333333,24.1
10,3,LCOR-259,33.93333333,33.26666667
11,3,LCOR-258,32.96666667,31.6
12,3,LCOR-188,27.46666667,25.56666667
13,3,LCOR-294,22.96666667,24.8
14,3,LCOR-253,27.63333333,27.46666667
15,3,LCOR-213,34.73333333,25.03333333
16,3,LCOR-1047,0,27.93333333
1,4,LCOR-1002,30.7,29.93333333
2,4,LCOR-087,29.86666667,31.33333333
3,4,LCOR-308,34.3,30.03333333
4,4,LCOR-249,34.23333333,30.76666667
5,4,LCOR-244,28,28.73333333
6,4,LCOR-607,33.8,32.06666667
7,4,LCOR-396,32.03333333,28.53333333
8,4,LCOR-325,30.73333333,28.8
9,4,LCOR-054,34.06666667,30.53333333
10,4,LCOR-109,#N/A,20.06666667
11,4,LCOR-268,34.23333333,29.53333333
12,4,LCOR-328,22.36666667,24.3
13,4,LCOR-107,33.13333333,30.26666667
14,4,LCOR-201,31.23333333,28.43333333
15,4,LCOR-211,31.5,26.6
16,4,LCOR-1051,0,29.53333333
1,5,LCOR-082,30.86666667,30.4
2,5,LCOR-344,33.06666667,25.5
3,5,LCOR-070,29.4,32.03333333
4,5,LCOR-282,30.96666667,28.06666667
5,5,LCOR-027,33.1,29.06666667
6,5,LCOR-573,34,26.96666667
7,5,LCOR-068,36.16666667,28.2
8,5,LCOR-575,38.13333333,28.36666667
9,5,LCOR-346,36,22.83333333
10,5,LCOR-092,30.43333333,29.45
11,5,LCOR-142,29.4,29.2
12,5,LCOR-563,32.7,30.3
13,5,LCOR-353,0,0
14,5,LCOR-314,36.53333333,28.36666667
15,5,LCOR-042,32.93333333,21.16666667
16,5,LCOR-1059,0,20.56666667
1,6,LCOR-1003,32.66666667,37.5
2,6,LCOR-577,30.6,31.66666667
3,6,LCOR-069,33.53333333,33.73333333
4,6,LCOR-043,37.1,28
5,6,LCOR-062,26.03333333,29.6
6,6,LCOR-135,31.06666667,31.56666667
7,6,LCOR-003,33.76666667,28.86666667
8,6,LCOR-191,30.6,28.33333333
9,6,LCOR-310,28.76666667,29.33333333
10,6,LCOR-251,36.9,32.43333333
11,6,LCOR-358,39.7,31.23333333
12,6,LCOR-363,39.6,24.66666667
13,6,LCOR-355,33.13333333,29.16666667
14,6,LCOR-472,32.9,28.63333333
15,6,LCOR-421,35.4,27.16666667
16,6,LCOR-1102,0,22.5
1,7,LCOR-1004,33.43333333,30.66666667
2,7,LCOR-177,33.66666667,33.73333333
3,7,LCOR-073,33.4,30.06666667
4,7,LCOR-510,32.23333333,21.83333333
5,7,LCOR-474,32.4,23.03333333
6,7,LCOR-181,30.06666667,32.26666667
7,7,LCOR-148,32.5,29.8
8,7,LCOR-400,38.4,29.33333333
9,7,LCOR-530,32.23333333,28
10,7,LCOR-587,#N/A,#N/A
11,7,LCOR-005,0,0
12,7,LCOR-094,29.06666667,28.7
13,7,LCOR-296,35.83333333,28.73333333
14,7,LCOR-265,35,25.4
15,7,LCOR-198,32.5,23.46666667
16,7,LCOR-1111,0,20.9
1,8,LCOR-1005,32.93333333,23.5
2,8,LCOR-179,34.26666667,26.26666667
3,8,LCOR-036,35.1,28.63333333
4,8,LCOR-279,32.93333333,23.7
5,8,LCOR-078,36.23333333,24.43333333
6,8,LCOR-582,32.43333333,29.43333333
7,8,LCOR-385,38.86666667,28.7
8,8,LCOR-250,35.96666667,24.93333333
9,8,LCOR-034,36.13333333,28.86666667
10,8,LCOR-255,37.83333333,28.33333333
11,8,LCOR-238,33.43333333,25.66666667
12,8,LCOR-254,23.73333333,32.9
13,8,LCOR-469,31.1,27.7
14,8,LCOR-167,32.83333333,27.1
15,8,LCOR-274,29.86666667,32.06666667
16,8,LCOR-1114,0,29.73333333
1,9,LCOR-1006,37,28.26666667
2,9,LCOR-581,38.23333333,34.76666667
3,9,LCOR-001,40.96666667,29.56666667
4,9,LCOR-342,35.9,26.73333333
5,9,LCOR-471,40.33333333,30.33333333
6,9,LCOR-380,36.2,25.46666667
7,9,LCOR-076,34.26666667,28.5
8,9,LCOR-163,37.03333333,27.9
9,9,LCOR-609,28.7,28.83333333
10,9,LCOR-217,34.9,31.03333333
11,9,LCOR-231,34.13333333,30.43333333
12,9,LCOR-075,32.3,27.13333333
13,9,LCOR-504,32.46666667,27.23333333
14,9,LCOR-511,34.13333333,29.23333333
15,9,LCOR-041,33.26666667,27.2
16,9,LCOR-1121,0,22.6
1,10,LCOR-1007,30.93333333,21.23333333
2,10,LCOR-1029,30.56666667,21.66666667
3,10,LCOR-023,34.06666667,28.7
4,10,LCOR-020,35.13333333,27.46666667
5,10,LCOR-010,32.1,28.13333333
6,10,LCOR-292,33.93333333,18.16666667
7,10,LCOR-420,33.9,26
8,10,LCOR-157,34.83333333,36.4
9,10,LCOR-226,34.46666667,30.56666667
10,10,LCOR-263,33.4,32.93333333
11,10,LCOR-018,38.5,31.53333333
12,10,LCOR-286,28.43333333,24.96666667
13,10,LCOR-133,31.53333333,29.8
14,10,LCOR-039,35.76666667,30.33333333
15,10,LCOR-203,35.46666667,20.56666667
16,10,LCOR-1131,0,22.73333333
1,11,LCOR-1008,34.6,22.93333333
2,11,LCOR-164,33.06666667,27.3
3,11,LCOR-529,29.06666667,26.03333333
4,11,LCOR-386,34,30.86666667
5,11,LCOR-028,32,23.93333333
6,11,LCOR-527,31.5,24.96666667
7,11,LCOR-141,34.8,28.86666667
8,11,LCOR-150,34.8,31.26666667
9,11,LCOR-233,31.83333333,32.03333333
10,11,LCOR-161,32.1,31
11,11,LCOR-019,33.73333333,30.6
12,11,LCOR-360,32.6,27
13,11,LCOR-289,31.1,24.23333333
14,11,LCOR-040,31.03333333,27.9
15,11,LCOR-324,33.7,24.06666667
16,11,LCOR-1139,0,25.76666667
1,12,LCOR-1009,31.36666667,28.2
2,12,LCOR-180,35.6,33.1
3,12,LCOR-403,36.96666667,28.03333333
4,12,LCOR-364,33.76666667,27.26666667
5,12,LCOR-277,32.16666667,26.73333333
6,12,LCOR-115,33.3,23.76666667
7,12,LCOR-111,33.96666667,27.2
8,12,LCOR-303,31.5,28.9
9,12,LCOR-588,31.56666667,30.16666667
10,12,LCOR-561,29.66666667,33.43333333
11,12,LCOR-035,30.9,28.06666667
12,12,LCOR-241,31.3,26.7
13,12,LCOR-218,25.9,26.76666667
14,12,LCOR-002,30.16666667,24.9
15,12,LCOR-026,32.26666667,31.26666667
16,12,LCOR-1201,0,24.56666667
1,13,LCOR-1010,31.7,30.56666667
2,13,LCOR-066,31.26666667,30.7
3,13,LCOR-423,33.56666667,30.4
4,13,LCOR-200,36.13333333,25.13333333
5,13,LCOR-332,31.86666667,25.4
6,13,LCOR-137,26.63333333,31.43333333
7,13,LCOR-338,30.3,27.1
8,13,LCOR-544,29.4,29.7
9,13,LCOR-320,27.16666667,29.53333333
10,13,LCOR-077,34.7,29.26666667
11,13,LCOR-593,32.63333333,22.36666667
12,13,LCOR-088,28.76666667,26.23333333
13,13,LCOR-030,31.13333333,31.8
14,13,LCOR-156,31.5,32.36666667
15,13,LCOR-051,28.83333333,29
16,13,LCOR-1203,0,30.5
1,14,LCOR-1011,29.4,28.56666667
2,14,LCOR-060,26.4,32
3,14,LCOR-604,32.2,32.3
4,14,LCOR-368,29.36666667,35.13333333
5,14,LCOR-046,32.63333333,35.4
6,14,LCOR-031,29.8,32.03333333
7,14,LCOR-347,28.9,26.86666667
8,14,LCOR-176,30.6,31.16666667
9,14,LCOR-269,30.23333333,31.53333333
10,14,LCOR-147,28.53333333,31
11,14,LCOR-257,33.23333333,33.13333333
12,14,LCOR-256,34.66666667,31.66666667
13,14,LCOR-014,38.36666667,31.83333333
14,14,LCOR-091,33.8,24.36666667
15,14,LCOR-264,33.63333333,31.6
16,14,LCOR-1206,0,23.36666667
1,15,LCOR-116,28.16666667,23.53333333
2,15,LCOR-486,28.13333333,22.63333333
3,15,LCOR-174,0,0
4,15,LCOR-357,31.73333333,31.6
5,15,LCOR-473,31.26666667,28.36666667
6,15,LCOR-525,33.16666667,25.86666667
7,15,LCOR-437,35.83333333,27.8
8,15,LCOR-550,33.7,29.63333333
9,15,LCOR-307,31.1,34.23333333
10,15,LCOR-449,33.83333333,34.5
11,15,LCOR-507,29.8,26.36666667
12,15,LCOR-154,37.2,29.73333333
13,15,LCOR-562,32.5,30.76666667
14,15,LCOR-334,32.06666667,26.73333333
15,15,LCOR-393,29.76666667,32.33333333
16,15,LCOR-1070,0,22.56666667
1,16,LCOR-442,35.3,30.23333333
2,16,LCOR-247,27.36666667,30.86666667
3,16,LCOR-611,34.16666667,31.4
4,16,LCOR-327,25.36666667,27.4
5,16,LCOR-528,26.73333333,23.33333333
6,16,LCOR-072,32.66666667,25.66666667
7,16,LCOR-610,34.93333333,27.73333333
8,16,LCOR-516,30.8,25.46666667
9,16,LCOR-280,32.76666667,28
10,16,LCOR-033,27.73333333,31.13333333
11,16,LCOR-331,26.2,26.13333333
12,16,LCOR-372,33.76666667,33.66666667
13,16,LCOR-105,32.13333333,33.8
14,16,LCOR-352,32.26666667,24.73333333
15,16,LCOR-614,32.83333333,27.66666667
16,16,LCOR-1035,0,28.5
1,17,LCOR-376,32.66666667,26.8
2,17,LCOR-016,34.23333333,29.06666667
3,17,LCOR-132,31.56666667,32.56666667
4,17,LCOR-574,32.36666667,33.16666667
5,17,LCOR-079,28.16666667,35.46666667
6,17,LCOR-458,30.63333333,30.23333333
7,17,LCOR-411,35.23333333,24.03333333
8,17,LCOR-394,33.36666667,29.26666667
9,17,LCOR-275,31.9,26.56666667
10,17,LCOR-601,31.93333333,32.9
11,17,LCOR-252,31.23333333,33.03333333
12,17,LCOR-134,26.6,32.6
13,17,LCOR-502,27.73333333,33.46666667
14,17,LCOR-481,32.7,32.66666667
15,17,LCOR-271,35.86666667,33.23333333
16,17,LCOR-1062,0,21.73333333
1,18,LCOR-377,35,25.76666667
2,18,LCOR-058,33.16666667,30.56666667
3,18,LCOR-052,29.7,31.03333333
4,18,LCOR-475,29.13333333,28.83333333
5,18,LCOR-085,31.7,24.73333333
6,18,LCOR-351,30.9,31.43333333
7,18,LCOR-053,0,dead
8,18,LCOR-302,0,dead
9,18,LCOR-1069,23.06666667,21.6
10,18,LCOR-306,33.56666667,31.4
11,18,LCOR-392,32.3,30.66666667
12,18,LCOR-243,32.36666667,31.33333333
13,18,LCOR-572,31.73333333,36.3
14,18,LCOR-463,31.8,28.8
15,18,LCOR-260,35.76666667,30.03333333
16,18,LCOR-1077,0,28.43333333
1,19,LCOR-548,25.73333333,25.93333333
2,19,LCOR-057,31.76666667,24.86666667
3,19,LCOR-406,29.7,26.5
4,19,LCOR-089,30.86666667,23.03333333
5,19,LCOR-491,30.4,27.93333333
6,19,LCOR-121,31.03333333,26.2
7,19,LCOR-585,32.66666667,31.4
8,19,LCOR-554,34.46666667,30.06666667
9,19,LCOR-152,28.13333333,32.1
10,19,LCOR-558,30.7,31.26666667
11,19,LCOR-138,30.8,30.06666667
12,19,LCOR-383,32.46666667,28.73333333
13,19,LCOR-568,34.93333333,29.5
14,19,LCOR-080,32.2,25.56666667
15,19,LCOR-391,28.53333333,30.83333333
16,19,LCOR-1086,0,29.76666667
1,20,LCOR-553,32.06666667,29.03333333
2,20,LCOR-162,34.93333333,28.93333333
3,20,LCOR-242,29.3,30.5
4,20,LCOR-330,30.06666667,32.1
5,20,LCOR-166,31.23333333,33.46666667
6,20,LCOR-512,25.66666667,25.33333333
7,20,LCOR-059,24.86666667,26.56666667
8,20,LCOR-101,33.46666667,27.53333333
9,20,LCOR-067,30.76666667,30.66666667
10,20,LCOR-1100,20.53333333,18.83333333
11,20,LCOR-103,31.63333333,30.8
12,20,LCOR-230,30.26666667,33.5
13,20,LCOR-534,37.66666667,29.13333333
14,20,LCOR-261,37.83333333,33.73333333
15,20,LCOR-493,33.4,29.2
16,20,LCOR-1087,0,31.5
1,21,LCOR-468,27.16666667,26.93333333
2,21,LCOR-098,30.7,26.8
3,21,LCOR-482,27.96666667,34.8
4,21,LCOR-350,29.96666667,33.4
5,21,LCOR-129,30.36666667,31.46666667
6,21,LCOR-012,32.1,33.8
7,21,LCOR-248,34.16666667,28.83333333
8,21,LCOR-476,32.33333333,38.2
9,21,LCOR-584,28.96666667,32.76666667
10,21,LCOR-518,32.6,28.1
11,21,LCOR-450,31.93333333,36.2
12,21,LCOR-017,30.36666667,29.46666667
13,21,LCOR-495,32.26666667,28.33333333
14,21,LCOR-144,29.26666667,27.26666667
15,21,LCOR-204,32.13333333,31.2
16,21,LCOR-1142,0,22.6
1,22,LCOR-470,26.13333333,30.53333333
2,22,LCOR-616,28.9,32
3,22,LCOR-245,31.73333333,27.73333333
4,22,LCOR-165,26.33333333,30.63333333
5,22,LCOR-209,26.23333333,35
6,22,LCOR-340,22.5,26.93333333
7,22,LCOR-326,29,33.46666667
8,22,LCOR-149,25.1,35.6
9,22,LCOR-1015,22.06666667,19.43333333
10,22,LCOR-169,32.93333333,27.26666667
11,22,LCOR-063,28.36666667,29.76666667
12,22,LCOR-483,31.76666667,21.93333333
13,22,LCOR-514,33.56666667,30.13333333
14,22,LCOR-266,31.86666667,28.66666667
15,22,LCOR-122,26.9,27.53333333
16,22,LCOR-1148,0,24.63333333
1,23,LCOR-485,32.7,33.06666667
2,23,LCOR-398,23.6,29.93333333
3,23,LCOR-171,26.06666667,30.13333333
4,23,LCOR-422,31.2,30.6
5,23,LCOR-319,23.7,37.53333333
6,23,LCOR-106,27.76666667,33.43333333
7,23,LCOR-445,30.56666667,32.06666667
8,23,LCOR-401,32.63333333,29
9,23,LCOR-291,33.03333333,29.73333333
10,23,LCOR-207,31.8,25.63333333
11,23,LCOR-090,34.3,27.36666667
12,23,LCOR-015,32.23333333,24.73333333
13,23,LCOR-202,33.36666667,22.76666667
14,23,LCOR-290,32.46666667,28.6
15,23,LCOR-333,30.13333333,23.5
16,23,LCOR-1155,0,22.76666667
1,24,LCOR-489,31.3,31.53333333
2,24,LCOR-178,30.76666667,27.1
3,24,LCOR-367,29.06666667,30.53333333
4,24,LCOR-608,31.23333333,27.4
5,24,LCOR-229,31.26666667,34.86666667
6,24,LCOR-503,28.93333333,32.86666667
7,24,LCOR-339,30.1,26.16666667
8,24,LCOR-348,31.93333333,27.83333333
9,24,LCOR-182,29.13333333,38.2
10,24,LCOR-546,29.6,30.83333333
11,24,LCOR-212,32.23333333,29.16666667
12,24,LCOR-404,32.73333333,24.03333333
13,24,LCOR-084,34.46666667,29.96666667
14,24,LCOR-309,33.7,26.83333333
15,24,LCOR-318,34.1,24.33333333
16,24,LCOR-1162,0,21.4
1,25,LCOR-214,32.06666667,32.16666667
2,25,LCOR-192,31.6,28.9
3,25,LCOR-130,27.86666667,28.1
4,25,LCOR-606,29.83333333,28.6
5,25,LCOR-022,30.26666667,34.2
6,25,LCOR-434,38.9,29.6
7,25,LCOR-160,32.93333333,30.8
8,25,LCOR-199,27.6,29.03333333
9,25,LCOR-506,31.36666667,29.23333333
10,25,LCOR-049,32.7,33.06666667
11,25,LCOR-065,30.03333333,29.96666667
12,25,LCOR-055,34.8,29.26666667
13,25,LCOR-448,32.3,29.33333333
14,25,LCOR-379,30.16666667,33.23333333
15,25,LCOR-301,33.6,25.63333333
16,25,LCOR-1180,0,26.86666667
1,26,LCOR-462,31.33333333,32.83333333
2,26,LCOR-293,33.33333333,32
3,26,LCOR-605,29.26666667,30.6
4,26,LCOR-170,34.9,37
5,26,LCOR-487,34.03333333,30.23333333
6,26,LCOR-278,33.13333333,30.86666667
7,26,LCOR-613,29.16666667,30.26666667
8,26,LCOR-300,29.23333333,27.86666667
9,26,LCOR-341,30.7,26.66666667
10,26,LCOR-095,32.03333333,21.9
11,26,LCOR-361,29.66666667,35.26666667
12,26,LCOR-387,34.5,33
13,26,LCOR-356,31.8,26.33333333
14,26,LCOR-484,28.6,29.5
15,26,LCOR-508,28.23333333,27.33333333
16,26,LCOR-1178,0,29
1,27,LCOR-533,36.33333333,31.33333333
2,27,LCOR-441,32.7,30.26666667
3,27,LCOR-126,31.2,23.86666667
4,27,LCOR-399,29.1,28.86666667
5,27,LCOR-323,23.46666667,30.5
6,27,LCOR-061,24.7,24.6
7,27,LCOR-197,31.6,25.2
8,27,LCOR-373,28.46666667,27.3
9,27,LCOR-206,26.96666667,25.66666667
10,27,LCOR-322,27.53333333,28
11,27,LCOR-048,28.6,32.43333333
12,27,LCOR-175,35.36666667,23.9
13,27,LCOR-295,28.13333333,32.03333333
14,27,LCOR-388,30.1,21.1
15,27,LCOR-429,31.83333333,31.5
16,27,LCOR-1016,0,24.03333333
1,28,LCOR-537,28.93333333,33.2
2,28,LCOR-276,28.86666667,30.6
3,28,LCOR-086,25.43333333,23.66666667
4,28,LCOR-425,30.8,31.8
5,28,LCOR-596,27.73333333,30.73333333
6,28,LCOR-227,28,35.06666667
7,28,LCOR-335,30.3,26.63333333
8,28,LCOR-128,28.43333333,29.23333333
9,28,LCOR-551,34.03333333,28.6
10,28,LCOR-337,30.06666667,29.2
11,28,LCOR-096,28.13333333,33.86666667
12,28,LCOR-405,39.6,34.43333333
13,28,LCOR-559,32.63333333,28.3
14,28,LCOR-1018,20.33333333,19.23333333
15,28,LCOR-083,29.23333333,31
16,28,LCOR-1020,0,31.63333333
1,29,LCOR-024,30.1,28.76666667
2,29,LCOR-557,33.8,32.3
3,29,LCOR-297,28,23.6
4,29,LCOR-381,29.63333333,26.3
5,29,LCOR-382,35.76666667,29.1
6,29,LCOR-185,26.5,34.6
7,29,LCOR-044,28.33333333,32.66666667
8,29,LCOR-600,24.56666667,30.8
