row,column,ID,SPAD1,SPAD2,SPAD3,SPADavg
1,1,LCOR-1143,,,,
2,1,LCOR-1088,,,,
3,1,LCOR-1141,,,,
4,1,LCOR-1064,,,,
5,1,LCOR-1145,,,,
6,1,LCOR-1150,,,,
7,1,LCOR-1071,,,,
8,1,LCOR-1247,,,,
9,1,LCOR-1024,,,,
10,1,LCOR-1057,,,,
11,1,LCOR-1060,,,,
12,1,LCOR-1063,,,,
13,1,LCOR-1081,,,,
14,1,LCOR-1097,,,,
15,1,LCOR-1199,,,,
16,1,LCOR-1053,,,,
1,2,LCOR-1101,,,,
2,2,LCOR-1137,,,,
3,2,LCOR-1075,,,,
4,2,LCOR-1022,,,,
5,2,LCOR-1061,,,,
6,2,LCOR-1078,,,,
7,2,LCOR-1080,,,,
8,2,LCOR-1085,,,,
9,2,LCOR-1091,,,,
10,2,LCOR-1106,,,,
11,2,LCOR-1163,,,,
12,2,LCOR-1168,,,,
13,2,LCOR-1183,,,,
14,2,LCOR-1187,,,,
15,2,LCOR-1198,,,,
16,2,LCOR-1076,,,,
1,3,LCOR-1001,,,,
2,3,LCOR-125,45.3,40.8,46,44.03333333
3,3,LCOR-064,40.5,45.8,45.5,43.93333333
4,3,LCOR-173,45.8,43.6,45.6,45
5,3,LCOR-104,51.4,44.6,47.3,47.76666667
6,3,LCOR-552,42.8,45.2,42.7,43.56666667
7,3,LCOR-395,45.8,39.8,43.2,42.93333333
8,3,LCOR-228,50.8,47.4,49.8,49.33333333
9,3,LCOR-362,45.3,45.1,44.6,45
10,3,LCOR-259,50.7,41.3,46.5,46.16666667
11,3,LCOR-258,42.7,43.7,50,45.46666667
12,3,LCOR-188,43.3,45.4,43.6,44.1
13,3,LCOR-294,45.4,44.7,43.1,44.4
14,3,LCOR-253,51.1,47,50.8,49.63333333
15,3,LCOR-213,41.8,39.5,47,42.76666667
16,3,LCOR-1047,,,,#DIV/0!
1,4,LCOR-1002,,,,#DIV/0!
2,4,LCOR-087,47.5,46.2,42.1,45.26666667
3,4,LCOR-308,42.8,44.4,46,44.4
4,4,LCOR-249,45.4,44.4,45.9,45.23333333
5,4,LCOR-244,37.2,37,41.1,38.43333333
6,4,LCOR-607,36,46.7,38.3,40.33333333
7,4,LCOR-396,37,46,50.2,44.4
8,4,LCOR-325,38.9,51.6,45.2,45.23333333
9,4,LCOR-054,41.3,45.9,47.3,44.83333333
10,4,LCOR-109,34,31,52.5,39.16666667
11,4,LCOR-268,45,48.6,43.6,45.73333333
12,4,LCOR-328,45.1,43.8,46,44.96666667
13,4,LCOR-107,45.9,43.9,45.3,45.03333333
14,4,LCOR-201,46.4,48,46.9,47.1
15,4,LCOR-211,47.9,39.3,44.7,43.96666667
16,4,LCOR-1051,,,,#DIV/0!
1,5,LCOR-082,,,,#DIV/0!
2,5,LCOR-344,45,42.8,45.9,44.56666667
3,5,LCOR-070,41.8,45,39.4,42.06666667
4,5,LCOR-282,44.2,48.7,46.4,46.43333333
5,5,LCOR-027,46.2,43.3,39.3,42.93333333
6,5,LCOR-573,43.8,43.7,41.5,43
7,5,LCOR-068,41.5,46.3,47.2,45
8,5,LCOR-575,42.2,37.6,45.2,41.66666667
9,5,LCOR-346,44.1,43.6,44.2,43.96666667
10,5,LCOR-092,47.9,41.2,43.8,44.3
11,5,LCOR-142,45.2,43.4,45.2,44.6
12,5,LCOR-563,44.8,47.8,46,46.2
