ID,Event,Event_short,construct,construct2,PLGG1_2021,GDH_2021,MS_2021,PLGG1_2022,GDH_2022,MS_2022,PLGG1_avg,GDH_avg,MS_avg,transgene_avg
LCOR-202,CT717 3,CT3,Control,control,1.3,0,0,1.14,0,0,1.22,0,0,0
LCOR-200,CT717 3,CT3,Control,control,1.49,0,0,0.99,0,0,1.24,0,0,0
LCOR-340,CT717 3,CT3,Control,control,0.87,0,0,1,0,0,0.935,0,0,0
LCOR-210,CT717 3,CT3,Control,control,#N/A,#N/A,#N/A,0.95,0,0,#N/A,#N/A,#N/A,#N/A
LCOR-493,CT717 3,CT3,Control,control,0.71,0,0.01,1.02,0,0,0.865,0,0.005,0.0025
LCOR-338,CT717 3,CT3,Control,control,0.98,0,0,1.12,0,0,1.05,0,0,0
LCOR-191,LC-102 13-15B,13-15B,LC-102,transgenic,1.02,0.91,1.01,0.45,0.71,1.01,0.735,0.81,1.01,0.91
LCOR-303,LC-102 13-15E,13-15E,LC-102,transgenic,0.13,1.74,1.06,0.1,0.97,0.86,0.115,1.355,0.96,1.1575
LCOR-304,LC-102 13-15E,13-15E,LC-102,transgenic,#N/A,#N/A,#N/A,0.14,1.47,0.84,#N/A,#N/A,#N/A,#N/A
LCOR-081,LC-102 13-15E,13-15E,LC-102,transgenic,#N/A,#N/A,#N/A,0.11,2.09,1.05,#N/A,#N/A,#N/A,#N/A
LCOR-614,LC-102 13-15E,13-15E,LC-102,transgenic,0.19,1.51,0.75,0.15,1.26,0.91,0.17,1.385,0.83,1.1075
LCOR-075,LC-102 13-15E,13-15E,LC-102,transgenic,0.26,3.14,1.54,0.16,1.2,1.09,0.21,2.17,1.315,1.7425
LCOR-615,LC-102 13-15E,13-15E,LC-102,transgenic,#N/A,#N/A,#N/A,0.13,1.8,1.02,#N/A,#N/A,#N/A,#N/A
LCOR-107,LC-102 16-20,16-20,Escape,control,0.68,0,0,1.11,0,0,0.895,0,0,0
LCOR-506,LC-102 16-20,16-20,Escape,control,#N/A,#N/A,#N/A,0.88,0,0,#N/A,#N/A,#N/A,#N/A
LCOR-106,LC-102 16-20,16-20,Escape,control,1.05,0,0,0.81,0,0,0.93,0,0,0
LCOR-310,LC-102 16-20,16-20,Escape,control,0.13,0,0,0.72,0,0,0.425,0,0,0
LCOR-105,LC-102 16-20,16-20,Escape,control,1.1,0.01,0.01,0.82,0,0,0.96,0.005,0.005,0.005
LCOR-108,LC-102 16-20,16-20,Escape,control,#N/A,#N/A,#N/A,0.88,0,0,#N/A,#N/A,#N/A,#N/A
LCOR-101,LC-102 16-20,16-20,Escape,control,0.11,1.37,1.05,0.92,0,0,0.515,0.685,0.525,0.605
LCOR-169,LC-102 1C,1C,LC-102,transgenic,0.91,0.86,1.24,1.26,1.19,1.96,1.085,1.025,1.6,1.3125
LCOR-398,LC-102 1C,1C,LC-102,transgenic,0.68,1.23,0.96,0.75,1.06,1,0.715,1.145,0.98,1.0625
LCOR-482,LC-102 1C,1C,LC-102,transgenic,1.02,1.05,1,0.82,0.96,1.17,0.92,1.005,1.085,1.045
LCOR-484,LC-102 1C,1C,LC-102,transgenic,0.85,0.75,0.87,1.03,1.08,1.39,0.94,0.915,1.13,1.0225
LCOR-066,LC-102 2H,2H,LC-102,transgenic,0.27,1.84,1.21,0.27,1.33,1.52,0.27,1.585,1.365,1.475
LCOR-219,LC-102 2H,2H,LC-102,transgenic,#N/A,#N/A,#N/A,0.12,1.32,1.48,#N/A,#N/A,#N/A,#N/A
LCOR-057,LC-102 2H,#N/A,#N/A,#N/A,0.19,3.11,1.82,0.13,1.84,1.6,0.16,2.475,1.71,2.0925
LCOR-451,LC-102 2H,2H,LC-102,transgenic,#N/A,#N/A,#N/A,0.1,1.36,1.56,#N/A,#N/A,#N/A,#N/A
LCOR-458,LC-102 2H,2H,LC-102,transgenic,0.19,0.97,0.87,0.15,2.01,1.68,0.17,1.49,1.275,1.3825
LCOR-211,LC-102 2H,2H,LC-102,transgenic,0.17,0.94,0.91,0.14,1.04,1.54,0.155,0.99,1.225,1.1075
LCOR-065,LC-102 2H,2H,LC-102,transgenic,0.12,1.64,1.16,0.13,1.18,1.25,0.125,1.41,1.205,1.3075
LCOR-213,LC-102 2H,2H,LC-102,transgenic,0.19,0.96,0.73,0.14,1.31,1.72,0.165,1.135,1.225,1.18
LCOR-058,LC-102 2H,2H,LC-102,transgenic,0.15,1.62,1.21,0.2,0.87,1.39,0.175,1.245,1.3,1.2725
LCOR-234,LC-102 4A,4A,LC-102,transgenic,#N/A,#N/A,#N/A,0.53,0.66,1.18,#N/A,#N/A,#N/A,#N/A
LCOR-225,LC-102 4A,4A,LC-102,transgenic,#N/A,#N/A,#N/A,0.4,0.68,1.42,#N/A,#N/A,#N/A,#N/A
LCOR-533,LC-102 4A,4A,LC-102,transgenic,0.53,0.69,0.71,0.61,0.67,1,0.57,0.68,0.855,0.7675
LCOR-230,LC-102 4A,4A,LC-102,transgenic,0.69,1.07,1.08,0.36,0.68,1.21,0.525,0.875,1.145,1.01
LCOR-546,LC-102 4A,4A,LC-102,transgenic,0.68,0.77,0.63,0.72,0.74,1.35,0.7,0.755,0.99,0.8725
LCOR-582,LC-102 5A,5A,LC-102,transgenic,0.38,0.66,0.45,0.51,0.77,0.88,0.445,0.715,0.665,0.69
LCOR-245,LC-102 5A,5A,LC-102,transgenic,0.76,1.39,0.84,0.47,1.28,0.66,0.615,1.335,0.75,1.0425
LCOR-159,LC-102 5A,5A,LC-102,transgenic,#N/A,#N/A,#N/A,0.39,0.82,0.75,#N/A,#N/A,#N/A,#N/A
LCOR-241,LC-102 5A,5A,LC-102,transgenic,0.65,1.08,0.91,0.26,0.77,0.53,0.455,0.925,0.72,0.8225
LCOR-161,LC-102 5A,5A,LC-102,transgenic,0.68,1.4,1.27,0.49,0.92,0.85,0.585,1.16,1.06,1.11
LCOR-246,LC-102 5A,5A,LC-102,transgenic,#N/A,#N/A,#N/A,0.34,0.95,0.65,#N/A,#N/A,#N/A,#N/A
LCOR-411,LC-102 8-9D,8-9D,Escape,control,1.1,0,0,0.6,0,0,0.85,0,0,0
LCOR-085,LC-102 8-9D,8-9D,Escape,control,0.64,0,0,0.81,0,0,0.725,0,0,0
LCOR-502,CT717 3,CT3,Control,control,1.01,0,0,0.88,0,0,0.945,0,0,0
LCOR-471,LC-102 13-15B,13-15B,LC-102,transgenic,0.19,1.35,0.75,0.14,0.89,0.85,0.165,1.12,0.8,0.96
LCOR-465,LC-102 13-15B,13-15B,LC-102,transgenic,#N/A,#N/A,#N/A,0.09,0.27,0.33,#N/A,#N/A,#N/A,#N/A
LCOR-476,LC-102 13-15B,13-15B,LC-102,transgenic,0.61,0.86,0.9,0.1,0.95,1.11,0.355,0.905,1.005,0.955
LCOR-192,LC-102 13-15B,13-15B,LC-102,transgenic,0.17,0.87,0.47,0.08,0.83,0.96,0.125,0.85,0.715,0.7825
LCOR-185,LC-102 13-15B,13-15B,LC-102,transgenic,0.72,0.11,0.09,0.09,0.92,1.11,0.405,0.515,0.6,0.5575
LCOR-190,LC-102 13-15B,13-15B,LC-102,transgenic,#N/A,#N/A,#N/A,0.4,0.61,0.65,#N/A,#N/A,#N/A,#N/A
LCOR-183,LC-102 13-15B,13-15B,LC-102,transgenic,#N/A,#N/A,#N/A,0.08,1.14,0.72,#N/A,#N/A,#N/A,#N/A
LCOR-301,LC-102 13-15E,13-15E,LC-102,transgenic,0.11,1.58,1.38,0.17,1.08,1.24,0.14,1.33,1.31,1.32
LCOR-604,LC-102 13-15E,13-15E,LC-102,transgenic,0.12,1.32,0.78,0.18,1.03,1.15,0.15,1.175,0.965,1.07
LCOR-314,LC-102 16-20,16-20,Escape,control,0.85,0,0,1.37,0,0,1.11,0,0,0
LCOR-508,LC-102 16-20,16-20,Escape,control,1.01,0.02,0.03,0.8,0,0,0.905,0.01,0.015,0.0125
LCOR-505,LC-102 16-20,16-20,Escape,control,#N/A,#N/A,#N/A,1.3,0,0,#N/A,#N/A,#N/A,#N/A
LCOR-481,LC-102 1C,1C,LC-102,transgenic,1.14,1.05,0.8,1.24,1.16,1.71,1.19,1.105,1.255,1.18
LCOR-170,LC-102 1C,1C,LC-102,transgenic,0.45,0.47,0.65,1.27,1.39,1.95,0.86,0.93,1.3,1.115
LCOR-404,LC-102 1C,1C,LC-102,transgenic,1.07,1.31,1.51,1.05,1.12,1.65,1.06,1.215,1.58,1.3975
LCOR-182,LC-102 1C,1C,LC-102,transgenic,0.98,1.22,0.86,1.21,1.13,2.01,1.095,1.175,1.435,1.305
LCOR-063,LC-102 2H,2H,LC-102,transgenic,0.16,1.55,1.43,0.11,1.11,1.94,0.135,1.33,1.685,1.5075
LCOR-233,LC-102 4A,4A,LC-102,transgenic,1.11,0.82,1.2,0.59,0.75,1.24,0.85,0.785,1.22,1.0025
LCOR-001,LC-102 4A,4A,LC-102,transgenic,1.09,0.83,1.01,1.01,0.97,2,1.05,0.9,1.505,1.2025
LCOR-534,LC-102 4A,4A,LC-102,transgenic,0.95,0.74,0.97,0.93,0.92,1.75,0.94,0.83,1.36,1.095
LCOR-012,LC-102 4A,4A,LC-102,transgenic,0.74,0.72,0.73,1.04,0.93,1.48,0.89,0.825,1.105,0.965
LCOR-003,LC-102 4A,4A,LC-102,transgenic,0.95,0.88,1.06,0.65,0.56,1.32,0.8,0.72,1.19,0.955
LCOR-232,LC-102 4A,4A,LC-102,transgenic,#N/A,#N/A,#N/A,0.65,0.75,1.26,#N/A,#N/A,#N/A,#N/A
