file_name,ribitol,L-(+) lactic acid,glycolic acid,pipecolic acid 2,pyruvic acid,Beta- alanine  2,benzoic acid,L-serine 1,phosphoric acid,L-threonine 1,nicotinic acid,maleic acid,glycine,succinic acid,catechol,glyceric acid,glyoxylic acid,fumaric acid,methyltartronic acid,4-Acetoxyphenol,aspartic acid 1,ribonic acid-gamma-lactone 2,D-malic acid,D-threitol,L-pyroglutamic acid,ribose,L-glutamic acid 1,threonic acid,phenethylamine,alpha ketoglutaric acid,2-isopropylmalic acid,3-phenyllactic acid,tartaric acid,phloroglucinol,arabinose,xylose 1,D-sphingosine  3,rhamnose 2,gluconic acid lactone 2,isopropyl beta-D-1-thiogalactopyranoside ,D-sorbitol,4-hydroxycinnamic acid,shikimic acid,citric acid,dehydroascorbic acid  1,myristic acid,quinic acid,fructose 1,D-glucose 1,galactitol,galacturonic acid 2,D-mannitol,L-ascorbic acid,gluconic acid 2,galactonic acid 2,D-saccharic acid,mucic acid,myo-inositol,N-acetyl-D-glucosamine 1,caffeic acid,D-ribose-5-phosphate 1,D-glucose-6-phosphate 1,lactobionic acid 1,cellobiose 2,phenyl-beta-glucopyranoside,lactose 2,Sucrose,maltose  2,loganin,(-)-epicatechin,trans coutaric acid,D-(+) trehalose,taxifolin ,galactinol 2,kaempferol 2,chlorogenic acid 2,isoquercitrin 1,maltotriose 1,D-(+)-melezitose,Raffinose,petunidin-3-glucoside 2,gallocatechin,D-lyxose 1
QC1-1.FIN,2591847,0.000964089,0.000635996,0.000125227,0.000140876,0.000153573,0.001276633,0.001753692,0.07674346,0.000647638,0.000186843,0.004995805,0.002764097,0.014195018,0.000713843,0.009138154,0.000258636,0.001398276,0.004045677,7.39304E-05,0.002663633,0.009341095,0.165151082,0.005463086,0.002944637,0.000103075,0.009764331,0.176737755,0.000984794,0.000589539,0.000184256,0.001603237,0.009329795,1.72707E-05,0.008407373,0.004272191,3.73352E-05,0.001326075,0.212733562,0.033877311,0.001325118,0.000512225,0.049900858,0.067356589,0.210619689,0.002898994,0.700680303,0.376649405,0.53758241,0.007340458,0.000975814,0.000999978,0.021382576,0.000870202,0.020175259,0.007881262,0.000975997,0.942815753,0.034323147,0.010133484,0.001871776,0.006334569,0.001842216,0.001278362,0.021950729,0.017476378,1.038053447,0.009841853,0.022784419,0.181104565,0.002525684,0.00201982,0.002519638,0.090830937,0.0113372,0.863261606,0.055388523,1.727312799,0.006558738,0.016185311,0.0028469,,
QC1-2.FIN,2145313,0.000542371,0.000644421,0.000171339,9.34996E-05,0.000238914,0.001342358,0.001983351,0.088424468,0.000692532,0.000316311,0.005167403,0.003096278,0.013524018,0.002049062,0.009182611,0.000398557,0.000730237,0.004664479,9.20023E-05,0.002625983,0.00827935,0.154930852,0.005103105,0.003485117,0.000249094,0.008231974,0.172751821,0.000901566,0.000284859,0.000161028,0.001634383,0.00892283,7.65776E-05,0.0083856,0.00166511,0.015376184,0.001382003,0.209332492,0.002756632,0.001417852,0.000797407,0.041840642,0.068066223,0.195119135,0.004747978,0.741776509,0.371425456,0.54863613,0.005497877,8.68231E-05,0.001056247,0.020042565,0.000661635,0.018902386,0.007325361,0.000852297,1.036654504,0.032114435,0.011202067,0.001732393,0.007816834,0.000746914,0.001264368,0.021123107,0.017112297,1.397764025,0.008905964,0.026519226,0.188946515,0.001572269,0.001675902,0.003330945,0.067710946,0.011095271,0.876219748,0.052913915,1.76728783,0.00466365,0.013873477,0.002709115,0.000307261,
QC2-1.FIN,2379374,0.000331916,0.000409047,0.001020683,0.000159737,0.000312539,0.001198952,0.001838244,0.065863467,0.001053679,0.000266955,0.006679948,0.002539807,0.012808382,0.093978813,0.011061305,0.000421175,0.000935219,0.005010941,7.35018E-05,0.002250555,0.004664644,0.197470377,0.006335465,0.00159003,0.000121432,0.008368988,0.1689415,0.000741161,0.003688513,0.000286259,0.002303116,0.010762397,7.35123E-05,0.009370722,0.002184281,2.85435E-05,0.000921495,0.207295427,0.000190398,0.000672842,0.000407441,0.050949448,0.058949081,0.231521653,0.002476025,0.842563526,0.401134983,0.610313144,0.004672904,6.8496E-05,0.000582435,0.018115812,0.000880624,0.020021791,0.004371377,0.000502853,1.099188409,0.028815021,0.000222351,0.001145807,0.005462558,0.000943854,0.011464481,0.019148259,0.012347702,1.518777419,0.00882461,0.028880858,0.036734603,0.002532424,0.001413992,0.00231974,0.051210792,0.010463175,0.378113497,0.050139676,0.842669138,0.003060264,0.013422458,0.003008361,,0.000142175
QC2-2.FIN,2445593,0.000229337,0.000483339,0.00039921,9.99238E-05,0.000126384,0.000951584,0.001627168,0.07136132,0.000842207,0.000241209,0.007436233,0.002122919,0.011802732,0.077806321,0.011852299,0.000453725,0.001158771,0.004079715,5.70726E-05,0.001786992,0.005725671,0.183152106,0.00472477,0.002186063,0.000119648,0.003210486,0.152544424,0.001457592,0.00244263,0.000282119,0.002247148,0.009213356,4.02176E-05,0.00803746,0.000264634,0.012677144,0.000943357,0.18666253,0.026205464,0.001391725,0.000690027,0.044624552,0.072053739,0.183366993,0.001419579,0.683006347,0.360577647,0.535367925,0.003905898,0.005233405,0.001684815,0.011614313,0.001031028,0.019077069,0.006062895,0.000587719,0.893176586,0.026313545,0.000311719,0.001159852,0.00678903,0.000697935,0.011130911,0.014383853,0.014637322,1.124225252,0.008553338,0.02475153,0.022705165,0.002419967,0.001903826,0.001198947,0.035072919,0.009021056,0.268616311,0.05104935,0.788891997,0.002622982,0.015650199,0.003249962,,
QC3-1.FIN,2088718,0.000209212,0.000348114,0.000372242,9.07921E-05,0.000258964,0.000840946,0.002098,0.076041937,0.000684051,0.000197226,0.005655413,0.002524064,0.009392449,0.018361098,0.007175605,0.000200484,0.000992672,0.00337926,8.25822E-05,0.002034248,0.003762633,0.130879808,0.003860123,0.002737148,0.000150266,0.004967464,0.124851807,0.001017068,0.00125263,0.000109018,0.001486152,0.007445328,1.90036E-05,0.006319666,0.0004091,2.45863E-05,0.000567083,0.184861368,0.002832434,0.001141909,0.000691302,0.03549315,0.049898225,0.149535155,0.001665359,0.593818844,0.286475094,0.44633447,0.00309431,5.41244E-05,0.002136888,0.016679984,0.000474554,0.016597558,0.006314343,0.000642129,0.807824685,0.024735562,0.007167136,0.001241378,0.005151191,0.001155468,0.009253115,0.01017946,0.014888876,1.198513393,0.008059311,0.022492093,0.15530579,0.001738141,0.002385188,0.001998523,0.052427103,0.012045796,0.726833423,0.054462293,1.327905771,0.004301759,0.012706065,,3.68924E-05,0.000152789
QC3-2.FIN,2151997,0.000292164,0.000455023,0.000366545,7.15285E-05,0.0002116,0.001228899,0.001345705,0.082852876,0.000516309,0.00020508,0.006978796,0.001608248,0.011192545,0.078012962,0.01077889,0.000371967,0.001146478,0.003484375,6.13807E-05,0.001780212,0.006716276,0.16548963,0.004635453,0.0023259,0.000281593,0.004303176,0.15688838,0.001549813,0.001717852,0.000286851,0.001892152,0.009362604,2.47936E-05,0.00793473,0.00026201,0.015501183,0.000624135,0.213746772,0.000172403,0.001410949,0.000759442,0.047917358,0.069561264,0.145007349,0.001540716,0.645159198,0.349127139,0.511365301,0.003758053,6.59413E-05,0.002109324,0.019504343,0.00111924,0.018251568,0.007416101,0.000920099,0.855001137,0.029553937,0.006145913,0.000947306,0.00647196,0.000976488,0.000931234,0.012881059,0.017949209,1.403865832,0.00950719,0.027311579,0.064725543,0.002387696,0.000970854,0.001978546,0.056545909,0.013404781,0.559742861,0.062358323,1.248881563,0.003185496,0.016078708,0.002623,,
QC4-1.FIN,2020429,0.000386324,0.000573849,0.00049568,9.1173E-05,7.34199E-05,0.00082349,0.002947996,0.091894815,0.000950819,0.000304228,0.005682831,0.001917336,0.013710198,0.091183978,0.012230152,0.000292008,0.000817079,0.002496947,4.72108E-05,0.002345645,0.00937632,0.190882958,0.006901493,0.001984526,0.000238022,0.009995698,0.174013399,0.002654994,0.002196789,0.000330294,0.002236489,0.01158209,2.13075E-05,0.009479045,0.00185865,0.000102754,0.000857888,0.236903938,0.020365376,0.00167853,0.000611705,0.054813945,0.078515714,0.186820525,0.000130358,0.744388939,0.390653234,0.592999668,0.00409706,0.007327107,0.001497771,0.021782646,0.000641794,0.014223135,0.002932765,0.001177356,0.978620216,0.030143375,0.008841169,0.001402948,0.006943468,0.000783455,0.001129524,0.035846997,0.015832545,1.464714026,0.010733548,0.032468944,0.080211901,0.002909394,0.001826517,0.003757134,0.101929622,0.013909208,0.688137477,0.062964379,1.317213518,0.004765015,0.016926888,0.003512777,,0.000273825
QC4-2.FIN,2230245,0.000426122,0.000519492,0.000617453,7.2499E-05,9.76724E-05,0.000828053,0.001731787,0.113757393,0.000726196,0.000282352,0.007593325,0.001461221,0.014338741,0.027752941,0.01439719,0.00075644,0.001253909,0.002584138,5.11368E-05,0.002681405,0.011052021,0.194382765,0.006756134,0.003113474,0.000274303,0.007308358,0.194424059,0.0003471,0.001817492,0.000188929,0.001839409,0.011620643,3.27212E-05,0.009857715,0.002055977,0.000316216,0.000995577,0.2442935,0.004920002,0.0011138,0.000852768,0.065081607,0.084905299,0.190323271,0.000199722,0.805130666,0.416563075,0.634846449,0.011008069,9.97221E-05,0.000781005,0.05534488,0.00599474,0.026201776,0.00811633,0.001179253,1.100591468,0.036628797,0.012597847,0.002343475,0.007037354,0.001808524,0.000601749,0.032472014,0.02098201,1.82414566,0.010935805,0.029215208,0.205299823,0.002002204,0.002984383,0.002711468,0.103683484,0.012618953,1.057348632,0.05742412,1.936817565,0.006580347,0.023500536,0.002842534,0.001668288,
QC5-1.FIN,1773761,0.000372024,0.000371285,0.000764263,2.89672E-05,0.000253886,0.000610339,0.002373286,0.103085491,0.000500054,0.000245188,0.005488794,0.000853701,0.011421829,0.067635756,0.011892191,0.000196784,0.00058654,0.002590715,2.61886E-05,0.002152837,0.00749646,0.208745442,0.00619429,0.001157562,0.000128634,0.006943814,0.196015201,0.000461677,0.002703846,0.000203576,0.002078728,0.011394701,,0.009038516,0.001951503,6.98274E-05,0.000893353,0.251720846,,0.000414656,0.000402736,0.056418174,0.076284986,0.206603356,0.001120675,0.854945079,0.435758686,0.64017668,0.004039614,8.09418E-05,0.00086299,0.021038039,0.006566233,0.023840719,0.003677752,0.00141969,1.205924479,0.034987977,0.009874458,0.002289714,0.006986231,0.001686771,0.00109254,0.050698031,0.012661984,1.827713354,0.011018462,0.036187433,0.123555004,0.003006914,0.001811956,0.002937409,0.090226441,0.01402837,1.031987412,0.059786669,1.677223358,0.005144906,0.020702996,0.003498123,0.000125802,0.000213375
QC5-2.FIN,1828133,0.000209983,0.000255657,0.000617301,8.50415E-05,0.000151694,0.000420858,0.001875557,0.071466691,0.000725691,0.000161198,0.004674695,0.001473197,0.009616172,0.035015506,0.008441349,0.00023966,0.000534141,0.001789015,2.8329E-05,0.00168517,0.005181486,0.130729958,0.004270128,0.001384926,0.000128367,0.006100021,0.139205704,0.002522383,0.00104314,0.000147007,0.00168765,0.007502934,1.21037E-05,0.006265515,0.001232145,0.000194856,0.001181153,0.177918602,0.020211758,0.000418574,0.00029547,0.037127048,0.053892145,0.171617243,0.002736782,0.635687324,0.304865615,0.473421091,0.003451185,0.002540534,0.001318644,0.018776318,0.000527051,0.019532056,0.00586669,0.000543439,0.906680197,0.024317936,0.008653365,0.002257917,0.005068931,0.001280168,0.000409548,0.030857857,0.016591545,1.557451764,0.008341061,0.02392109,0.123843944,0.002008763,0.006236022,0.002225478,0.091200107,0.009343626,0.784153439,0.042787931,1.322114123,0.004684863,0.013126103,0.002852458,0.000878255,0.00037776
