"","L.....lactic.acid","glycolic.acid","pipecolic.acid.2","pyruvic.acid","Beta..alanine..2","benzoic.acid","L.serine.1","phosphoric.acid","L.threonine.1","nicotinic.acid","maleic.acid","glycine","succinic.acid","catechol","glyceric.acid","glyoxylic.acid","fumaric.acid","methyltartronic.acid","X4.Acetoxyphenol","aspartic.acid.1","ribonic.acid.gamma.lactone.2","D.malic.acid","D.threitol","L.pyroglutamic.acid","ribose","L.glutamic.acid.1","threonic.acid","phenethylamine","alpha.ketoglutaric.acid","X2.isopropylmalic.acid","X3.phenyllactic.acid","tartaric.acid","phloroglucinol","arabinose","xylose.1","D.sphingosine..3","rhamnose.2","gluconic.acid.lactone.2","isopropyl.beta.D.1.thiogalactopyranoside.","D.sorbitol","X4.hydroxycinnamic.acid","shikimic.acid","citric.acid","dehydroascorbic.acid..1","myristic.acid","quinic.acid","fructose.1","D.glucose.1","galactitol","galacturonic.acid.2","D.mannitol","L.ascorbic.acid","gluconic.acid.2","galactonic.acid.2","D.saccharic.acid","mucic.acid","myo.inositol","N.acetyl.D.glucosamine.1","caffeic.acid","D.ribose.5.phosphate.1","D.glucose.6.phosphate.1","lactobionic.acid.1","cellobiose.2","phenyl.beta.glucopyranoside","lactose.2","D.....trehalose"
"1",0.000304788,0.000774039,0.000122147,9.82175e-05,0.000184699,0.000967079,0.001321132,0.134317024,0.000387376,0.000226163,0.006819852,0.00222532,0.011930801,0.000708334,0.006619198,0.000362692,0.001492731,0.004852765,8.22209e-05,0.001287906,0.008554146,0.170318479,0.007444532,0.001234921,9.62985e-05,0.003050431,0.12316638,0.000155082,0.000902469,0.000150004,0.002351325,0.011116975,3.09402e-05,0.00288256,0.003400708,0.011925106,0.001573171,0.313225772,0.00545727,0.001281539,0.000775099,0.049989579,0.123215111,0.22778612,0.001770153,0.807597153,0.116311881,0.177931713,0.011623547,0.000114713,0.002277854,0.012208605,0.002563951,0.018106479,0.004595288,0.002154842,0.874823691,0.029885419,0.00668279,0.001444159,0.007219657,0.001424691,0.000580915,0.024473319,0.033666514,0.002354457
"2",0.000189227,0.000609129,3.95398e-05,7.53563e-05,0.000347582,0.001308243,0.00102658,0.116229078,0.000238565,0.000206698,0.005361095,0.001471316,0.007885605,0.00061552,0.004660986,0.000384786,0.000656356,0.004984042,0.000116185,0.000722057,0.010493514,0.117400461,0.007367284,0.001700965,0.00023993,0.00083831,0.046239665,7.3163e-05,NA,NA,0.002797957,0.008516395,4.03086e-05,0.002238318,0.002740999,4.30747e-05,0.000949513,0.28368423,0.00767244,0.002781654,0.000833509,0.027495847,0.129502588,0.200332406,0.006484656,0.786212465,0.083124918,0.113356963,0.005067968,0.000166375,0.001000961,0.011157188,0.001550547,0.016296805,0.009803806,0.00177856,0.811980288,0.02998488,0.007096535,0.00188659,0.005759734,0.001485705,0.000554643,0.029595813,0.02525973,0.004554253
"3",0.000321961,0.000566437,0.000128826,6.8573e-05,4.30465e-05,0.000684703,0.000988606,0.105988931,0.000252654,0.000129428,0.00570937,0.001136063,0.007733327,0.001680695,0.003827857,0.000178945,0.001355354,0.003124275,4.75609e-05,0.00089568,0.006310994,0.134153623,0.005978253,0.001243862,0.000153776,0.001650942,0.073216625,0.003221681,0.000839545,8.58141e-05,0.002081769,0.006358506,9.66479e-06,0.002397273,0.002098027,9.49898e-05,0.00082517,0.232912711,0.006261075,0.001014959,0.000450963,0.028115238,0.142642833,0.169012369,0.00201838,0.520418407,0.084254653,0.125350811,0.003634811,5.79643e-05,0.00174176,0.022737415,0.001489698,0.016603943,0.009123863,0.001778248,0.575922602,0.023176791,0.005102768,0.001023881,0.004824583,0.001222434,0.001064051,0.014019743,0.018565171,0.002220255
"4",0.000243529,0.000701344,0.00047167,0.00010107,0.000212804,0.001138744,0.002160078,0.12902442,0.000567258,0.000363753,0.006978248,0.002510325,0.009889279,0.000351111,0.010654908,0.000517155,0.000998347,0.004903783,6.7886e-05,0.002934275,0.007923142,0.171429583,0.004426234,0.003200295,6.29544e-05,0.004644087,0.174674185,0.000202878,0.000682969,0.000144333,NA,0.008478955,5.24782e-05,0.00420363,0.004794487,0.01075914,0.001072119,0.25911563,0.002804493,0.000867423,0.000756511,0.050765788,0.051929712,0.238141539,0.002326846,0.736702849,0.404407803,0.480701518,0.004127503,0.000352428,0.002222385,0.022816054,0.001110367,0.017582112,0.007357994,0.000938284,0.910501524,0.034546591,0.007306965,0.002223088,0.008097879,0.000901791,0.001446314,0.032486155,0.028315166,0.00082944
"5",0.000324631,0.001847902,0.000490413,8.33547e-05,0.00013065,0.000989883,0.00171915,0.058756356,0.000319863,0.000290073,0.004456171,0.003282769,0.010493498,0.000216925,0.009079172,0.000418461,0.00064519,0.002746601,7.05913e-05,0.000957652,0.006720986,0.08928399,0.00388657,0.00163136,6.66224e-05,0.00290495,0.061282331,0.000726564,0.000402329,NA,0.0018034,0.004259071,5.13537e-05,0.002630082,0.002182586,0.011717805,0.000815709,0.202880995,0.003979032,0.000890365,0.000605571,0.030107851,0.05716544,0.181110196,0.002078894,0.655153439,0.184863342,0.231105837,0.006898107,0.000189149,0.000513614,0.020607758,0.00092257,0.009549555,0.005888986,0.000973042,0.766289991,0.02539093,0.006428919,0.001234048,0.003227747,0.000775552,0.000485172,0.019992543,0.017459282,0.000931525
"6",0.000310606,0.000715474,0.00013311,7.00243e-05,0.000163667,0.000755345,0.000500666,0.091298467,0.00037035,0.000193651,0.005751822,0.001343396,0.008449836,0.0002011,0.004940291,0.000244872,0.000597815,0.003194166,8.53352e-05,0.000658314,0.010143311,0.132654345,0.004719971,0.001551218,0.00022897,0.000977691,0.035148661,0.002986043,0.000257646,NA,0.002637638,0.005068067,3.52489e-05,0.002008315,0.00198629,0.00012688,0.001314274,0.24877236,0.007044147,0.001237044,0.000532952,0.025517085,0.163850678,0.210947516,0.001345965,0.567729161,0.085137258,0.116942925,0.010177683,0.000244169,0.001039826,0.034276979,0.001123089,0.012662226,0.007431106,0.00141469,0.616990109,0.028261069,0.006577337,0.001569693,0.00449333,0.001050308,0.000613993,0.033042715,0.021398643,0.00195557
"7",0.000586704,0.00077364,0.000944806,9.15535e-05,0.000331883,0.001186756,0.001180336,0.073023631,0.000566825,0.000345215,0.007793126,0.003154199,0.010727249,0.001911056,0.006973458,0.000329682,0.001722506,0.004512724,5.38055e-05,0.001364611,0.009952265,0.192156267,0.00586324,0.002789232,0.000163117,0.002146197,0.149093675,0.000246344,0.001864433,0.000256823,0.000387539,0.006515135,2.6577e-05,0.0026795,0.002958237,2.76655e-05,0.001371404,0.278289246,0.005875809,0.001923737,0.000589874,0.034159288,0.163868586,0.295553423,0.00175215,0.753049694,0.171109355,0.23224768,0.004197169,0.000276345,0.002061738,0.034499989,0.001400921,0.017139253,0.009042546,0.001428888,1.024311088,0.031170287,0.007731026,0.001399324,0.003796512,0.001989245,0.000724809,0.029440868,0.027626959,0.003891252
"8",0.001266216,0.00084539,0.00018944,0.000202716,0.000707764,0.001634853,0.000732093,0.064247557,0.000117518,0.000502404,0.007239201,0.002375176,0.009714023,0.012014979,0.007913264,0.001299466,0.000997165,0.006145575,0.000102049,NA,0.004757516,0.1689866,0.005525893,0.002435204,0.000162752,0.001167501,0.103075701,0.000947935,0.000643636,NA,0.001979221,0.008833054,0.000120116,0.002607943,0.000849851,0.017744429,0.00114966,0.264934821,0.049351468,0.001706775,0.000851518,0.028734715,0.102608904,0.24631136,0.006119999,1.026511988,0.171000754,0.185106329,0.009373966,0.000588999,0.001227559,0.02408045,0.006324276,0.018621102,0.002035224,0.000774625,1.108869622,0.032117313,0.010773889,0.001225757,0.00559328,0.0010137,0.009783557,0.018337979,0.01669407,0.002025387
"9",0.000359954,0.001321822,0.000123228,6.94046e-05,0.000230456,0.000681972,0.001159213,0.092324587,0.000613424,0.000132506,0.005175749,0.00258228,0.013704968,0.000938939,0.007677897,0.000149321,0.000523928,0.004000499,1.60331e-05,0.001526934,0.010748617,0.221211571,0.005654666,0.001551897,8.48022e-05,0.005031866,0.155907455,0.00035359,0.000994702,0.000100449,0.000403497,0.010031853,NA,0.006098792,0.00269912,0.011186156,0.001387339,0.262223925,0.003319657,0.001360869,0.00061589,0.070349661,0.055319538,0.12564031,0.003092242,0.533784547,0.215919556,0.268350377,0.006615127,0.006654894,0.000681308,0.022643619,0.001687736,0.018025978,0.006032306,0.001064587,0.636837556,0.030399238,0.003172026,0.001764672,0.005697432,0.002271484,0.008492887,0.107712159,0.023710083,0.001206889
"10",0.001347702,0.001140481,0.000340289,0.000232919,0.000893471,0.002097339,0.001504323,0.111900271,0.000209894,0.000259408,0.008222031,0.003380209,0.01268449,0.007408836,0.008985495,0.000485164,0.00150757,0.006883837,0.000112125,0.001136006,0.008652414,0.225754264,0.006279743,0.002548137,0.000280956,0.003628011,0.257422532,0.00095692,0.000380776,0.000256565,0.002415334,0.013178976,4.187e-05,0.004294342,0.001477041,0.018593866,0.001612501,0.40618673,0.006199359,0.002589619,0.001022561,0.037548327,0.140463057,0.32099828,0.009055299,0.831861761,0.203128632,0.253165197,0.00746444,NA,0.001552951,0.032192568,0.007928956,0.02556469,0.006550632,0.000813988,1.375207638,0.045653915,0.012373767,0.002609148,0.008570585,0.00121479,0.000632494,0.021690213,0.023846403,0.002906339
