"","L.....lactic.acid","glycolic.acid","pyruvic.acid","Beta..alanine..2","benzoic.acid","phosphoric.acid","maleic.acid","glycine","succinic.acid","catechol","glyceric.acid","glyoxylic.acid","fumaric.acid","methyltartronic.acid","ribonic.acid.gamma.lactone.2","D.malic.acid","D.threitol","L.pyroglutamic.acid","ribose","threonic.acid","phenethylamine","tartaric.acid","arabinose","D.sphingosine..3","gluconic.acid.lactone.2","D.sorbitol","X4.hydroxycinnamic.acid","citric.acid","dehydroascorbic.acid..1","quinic.acid","fructose.1","D.glucose.1","galactitol","D.mannitol","L.ascorbic.acid","mucic.acid","myo.inositol","N.acetyl.D.glucosamine.1","caffeic.acid","D.ribose.5.phosphate.1","D.glucose.6.phosphate.1","lactobionic.acid.1","cellobiose.2","phenyl.beta.glucopyranoside","lactose.2","Sucrose","maltose..2","loganin","X....epicatechin","trans.coutaric.acid","D.....trehalose","taxifolin.","galactinol.2","kaempferol.2","chlorogenic.acid.2","isoquercitrin.1","maltotriose.1","D.....melezitose","Raffinose","ID","event_short.x","event_short.y","block","PLGG1_2022","GDH_2022","MS_2022"
"1",0.000304788,0.000774039,9.82175e-05,0.000184699,0.000967079,0.134317024,0.006819852,0.00222532,0.011930801,0.000708334,0.006619198,0.000362692,0.001492731,0.004852765,0.008554146,0.170318479,0.007444532,0.001234921,9.62985e-05,0.12316638,0.000155082,0.011116975,0.00288256,0.011925106,0.313225772,0.001281539,0.000775099,0.123215111,0.22778612,0.807597153,0.116311881,0.177931713,0.011623547,0.002277854,0.012208605,0.002154842,0.874823691,0.029885419,0.00668279,0.001444159,0.007219657,0.001424691,0.000580915,0.024473319,0.033666514,0.845365927,0.006654295,0.019802385,0.258324298,0.003415569,0.002354457,0.006957808,0.061987166,0.014503585,0.93984457,0.085847597,1.663857286,0.004786271,0.015091131,"LCOR-035","5C","5C","large",0.46,1.05,0.99
"2",0.000189227,0.000609129,7.53563e-05,0.000347582,0.001308243,0.116229078,0.005361095,0.001471316,0.007885605,0.00061552,0.004660986,0.000384786,0.000656356,0.004984042,0.010493514,0.117400461,0.007367284,0.001700965,0.00023993,0.046239665,7.3163e-05,0.008516395,0.002238318,4.30747e-05,0.28368423,0.002781654,0.000833509,0.129502588,0.200332406,0.786212465,0.083124918,0.113356963,0.005067968,0.001000961,0.011157188,0.00177856,0.811980288,0.02998488,0.007096535,0.00188659,0.005759734,0.001485705,0.000554643,0.029595813,0.02525973,0.842614341,0.007438186,0.054742885,0.254365912,0.004478964,0.004554253,0.003001905,0.053371413,0.013514186,0.934791258,0.077331335,2.137455769,0.005993069,0.012022843,"LCOR-040","5C","5C","large",0.36,1.31,0.83
"3",0.000321961,0.000566437,6.8573e-05,4.30465e-05,0.000684703,0.105988931,0.00570937,0.001136063,0.007733327,0.001680695,0.003827857,0.000178945,0.001355354,0.003124275,0.006310994,0.134153623,0.005978253,0.001243862,0.000153776,0.073216625,0.003221681,0.006358506,0.002397273,9.49898e-05,0.232912711,0.001014959,0.000450963,0.142642833,0.169012369,0.520418407,0.084254653,0.125350811,0.003634811,0.00174176,0.022737415,0.001778248,0.575922602,0.023176791,0.005102768,0.001023881,0.004824583,0.001222434,0.001064051,0.014019743,0.018565171,0.621982646,0.005607812,0.026765489,0.169613053,0.002776714,0.002220255,0.002909815,0.05361061,0.010593316,0.636802878,0.064466642,1.046278608,0.002376731,0.016246933,"LCOR-085","8-9D","8-9D","large",0.81,0,0
"4",0.000243529,0.000701344,0.00010107,0.000212804,0.001138744,0.12902442,0.006978248,0.002510325,0.009889279,0.000351111,0.010654908,0.000517155,0.000998347,0.004903783,0.007923142,0.171429583,0.004426234,0.003200295,6.29544e-05,0.174674185,0.000202878,0.008478955,0.00420363,0.01075914,0.25911563,0.000867423,0.000756511,0.051929712,0.238141539,0.736702849,0.404407803,0.480701518,0.004127503,0.002222385,0.022816054,0.000938284,0.910501524,0.034546591,0.007306965,0.002223088,0.008097879,0.000901791,0.001446314,0.032486155,0.028315166,1.039779559,0.006254175,0.015510573,0.165299951,0.00254633,0.00082944,0.003618756,0.101719665,0.010540325,0.918083404,0.08661606,1.878913741,0.005211575,0.013418576,"LCOR-185","13-15B","13-15B","large",0.09,0.92,1.11
"5",0.000324631,0.001847902,8.33547e-05,0.00013065,0.000989883,0.058756356,0.004456171,0.003282769,0.010493498,0.000216925,0.009079172,0.000418461,0.00064519,0.002746601,0.006720986,0.08928399,0.00388657,0.00163136,6.66224e-05,0.061282331,0.000726564,0.004259071,0.002630082,0.011717805,0.202880995,0.000890365,0.000605571,0.05716544,0.181110196,0.655153439,0.184863342,0.231105837,0.006898107,0.000513614,0.020607758,0.000973042,0.766289991,0.02539093,0.006428919,0.001234048,0.003227747,0.000775552,0.000485172,0.019992543,0.017459282,0.890172292,0.008118708,0.024065634,0.354891412,0.001651256,0.000931525,0.001623684,0.0637823,0.009713842,0.828595798,0.052554032,1.427264529,0.003298869,0.01606836,"LCOR-213","2H","2H","large",0.14,1.31,1.72
"6",0.000310606,0.000715474,7.00243e-05,0.000163667,0.000755345,0.091298467,0.005751822,0.001343396,0.008449836,0.0002011,0.004940291,0.000244872,0.000597815,0.003194166,0.010143311,0.132654345,0.004719971,0.001551218,0.00022897,0.035148661,0.002986043,0.005068067,0.002008315,0.00012688,0.24877236,0.001237044,0.000532952,0.163850678,0.210947516,0.567729161,0.085137258,0.116942925,0.010177683,0.001039826,0.034276979,0.00141469,0.616990109,0.028261069,0.006577337,0.001569693,0.00449333,0.001050308,0.000613993,0.033042715,0.021398643,0.572401164,0.006372173,0.045234338,0.298371982,0.003716599,0.00195557,0.003461291,0.083249997,0.011173526,0.702583704,0.068226227,1.213510296,0.003243385,0.014492946,"LCOR-281","8-9D","8-9D","large",0.59,0,0
"7",0.000586704,0.00077364,9.15535e-05,0.000331883,0.001186756,0.073023631,0.007793126,0.003154199,0.010727249,0.001911056,0.006973458,0.000329682,0.001722506,0.004512724,0.009952265,0.192156267,0.00586324,0.002789232,0.000163117,0.149093675,0.000246344,0.006515135,0.0026795,2.76655e-05,0.278289246,0.001923737,0.000589874,0.163868586,0.295553423,0.753049694,0.171109355,0.23224768,0.004197169,0.002061738,0.034499989,0.001428888,1.024311088,0.031170287,0.007731026,0.001399324,0.003796512,0.001989245,0.000724809,0.029440868,0.027626959,1.089422795,0.00578826,0.032437226,0.30254104,0.001512846,0.003891252,0.004687186,0.074602081,0.014835438,0.976893208,0.076241464,1.562738551,0.005012085,0.020555385,"LCOR-288","8-9D","8-9D","small",0.97,0,0
"8",0.001266216,0.00084539,0.000202716,0.000707764,0.001634853,0.064247557,0.007239201,0.002375176,0.009714023,0.012014979,0.007913264,0.001299466,0.000997165,0.006145575,0.004757516,0.1689866,0.005525893,0.002435204,0.000162752,0.103075701,0.000947935,0.008833054,0.002607943,0.017744429,0.264934821,0.001706775,0.000851518,0.102608904,0.24631136,1.026511988,0.171000754,0.185106329,0.009373966,0.001227559,0.02408045,0.000774625,1.108869622,0.032117313,0.010773889,0.001225757,0.00559328,0.0010137,0.009783557,0.018337979,0.01669407,1.683957463,0.010645333,0.039157012,0.400952395,0.002490126,0.002025387,0.004132908,0.042496208,0.012350186,1.115169284,0.065576234,2.633559524,0.006397911,0.016145259,"LCOR-297","13-15E","13-15E","large",0.31,1.46,1.14
"9",0.000359954,0.001321822,6.94046e-05,0.000230456,0.000681972,0.092324587,0.005175749,0.00258228,0.013704968,0.000938939,0.007677897,0.000149321,0.000523928,0.004000499,0.010748617,0.221211571,0.005654666,0.001551897,8.48022e-05,0.155907455,0.00035359,0.010031853,0.006098792,0.011186156,0.262223925,0.001360869,0.00061589,0.055319538,0.12564031,0.533784547,0.215919556,0.268350377,0.006615127,0.000681308,0.022643619,0.001064587,0.636837556,0.030399238,0.003172026,0.001764672,0.005697432,0.002271484,0.008492887,0.107712159,0.023710083,0.672172098,0.00671222,0.021346312,0.151875851,0.002682357,0.001206889,0.005268992,0.063863363,0.019351938,0.726898298,0.075383437,1.493136938,0.005643369,0.012131267,"LCOR-032","5C","5C","small",0.7,1.1,1.25
"10",0.001347702,0.001140481,0.000232919,0.000893471,0.002097339,0.111900271,0.008222031,0.003380209,0.01268449,0.007408836,0.008985495,0.000485164,0.00150757,0.006883837,0.008652414,0.225754264,0.006279743,0.002548137,0.000280956,0.257422532,0.00095692,0.013178976,0.004294342,0.018593866,0.40618673,0.002589619,0.001022561,0.140463057,0.32099828,0.831861761,0.203128632,0.253165197,0.00746444,0.001552951,0.032192568,0.000813988,1.375207638,0.045653915,0.012373767,0.002609148,0.008570585,0.00121479,0.000632494,0.021690213,0.023846403,1.888749263,0.014868242,0.039445063,0.324553675,0.001880687,0.002906339,0.002666802,0.051295509,0.016990423,1.288354407,0.092743264,2.511567609,0.008077529,0.022757813,"LCOR-338","CT3","CT3","large",1.12,0,0
