"","tree","Vcmax","Jmax","Rd","Jmax_Vcmax_ratio","A_A_410","A_A_400a","A_A_200","A_A_100","A_A_50","A_A_0","A_A_400b","A_A_400c","A_A_600","A_A_800","A_A_1000","A_A_1200","A_A_1500","A_A_2000","A_A_300","gsw_A_410","gsw_A_400a","gsw_A_200","gsw_A_100","gsw_A_50","gsw_A_0","gsw_A_400b","gsw_A_400c","gsw_A_600","gsw_A_800","gsw_A_1000","gsw_A_1200","gsw_A_1500","gsw_A_2000","gsw_A_300","Ci_A_410","Ci_A_400a","Ci_A_200","Ci_A_100","Ci_A_50","Ci_A_0","Ci_A_400b","Ci_A_400c","Ci_A_600","Ci_A_800","Ci_A_1000","Ci_A_1200","Ci_A_1500","Ci_A_2000","Ci_A_300","Air_temp","Air_VPD","spad"
"1","LCOR-578",54.1635326442576,85.4546666442126,0.718685391191427,1.5777158998375,13.42769987,13.53416595,5.921360961,1.769911089,-0.392353182,-2.579392286,12.8104145,12.46628776,16.41432624,16.91256177,17.55993714,17.94858936,17.97733495,18.17114333,NA,0.295270767,0.275009559,0.295161668,0.290586635,0.290304095,0.289717657,0.293786688,0.298375064,0.274724693,0.294786562,0.31048903,0.308579716,0.311047384,0.312089392,NA,309.8017493,293.9522369,155.272166,85.55751148,51.43986664,21.1904084,303.9274932,307.1679627,468.4213746,666.9334675,861.8517147,1054.44697,1347.738471,1834.564913,NA,18.8446428571429,0.620357142857143,25.35
"2","LCOR-269",72.8719007658216,115.037765256343,0.793467594209251,1.57862995266206,17.89655705,18.13235292,8.072864223,2.490170755,-0.463664437,-3.195042943,17.42106992,16.72541226,21.60037998,23.06707583,23.72279007,24.03155104,24.29724089,24.71177222,NA,0.348673909,0.3568664,0.365029401,0.367465968,0.371163554,0.392529995,0.384671441,0.369887777,0.363864891,0.366663954,0.379719466,0.36541099,0.390361239,0.381850914,NA,294.106728,284.9097828,148.923057,83.39964668,51.29780371,20.86143028,294.773558,295.6053496,461.5701932,649.0252105,843.853764,1033.023914,1330.467463,1814.004815,NA,19.8696428571429,0.747321428571429,29.4
"3","LCOR-211",62.7247740361078,82.3186116424252,0.823900059160768,1.31237797038596,14.46233068,14.51448024,6.716723059,2.040215013,-0.543642471,-2.823259526,13.78020678,12.66671629,15.61102678,16.39179634,17.46283018,16.83475814,16.91306535,17.5156711,NA,0.328395029,0.34584687,0.329031558,0.330874507,0.351928509,0.353947099,0.372079867,0.3793748,0.362470614,0.369268418,0.359629685,0.380803107,0.359064277,0.364773232,NA,310.457137,303.7898196,153.5442283,84.92268547,51.93860704,20.13131443,312.8005925,320.1173172,495.428522,687.3865491,874.7493409,1077.098031,1363.901272,1849.874291,NA,20.325,0.8,25.65
"4","LCOR-152",85.8292447857619,106.237291583793,0.846744385051058,1.23777497808552,18.1639207,17.9348442,7.934706764,2.429108201,-0.537209275,-3.300665056,17.12102069,16.36188171,19.97773621,21.42951922,21.91258022,21.57751711,21.51652526,22.61534789,NA,0.331570841,0.326539398,0.339606003,0.356660456,0.362509267,0.356487024,0.338582698,0.350378419,0.364205363,0.355931136,0.362698614,0.382258327,0.361832212,0.341216107,NA,288.5110477,278.489528,147.3280047,83.45166965,51.82325252,22.66707363,286.8115142,294.0002558,470.9312313,655.1682115,849.6868251,1051.901923,1339.293023,1813.739704,NA,21.35,0.98,32.05
"5","LCOR-566",70.4812708135979,85.6804943897829,0.639207014333647,1.2156491135976,14.14165536,13.76673115,6.208362091,1.92727523,-0.396421299,-2.646990044,13.09514423,12.88156218,17.0524032,17.59177921,17.82028278,17.55397823,17.98091642,18.62559074,10.34747292,0.318107847,0.317201318,0.326979392,0.337999599,0.33602879,0.322064763,0.340741801,0.36983608,0.362862074,0.361760371,0.353491905,0.358079811,0.343819515,0.357956964,0.312184356,307.3928278,299.6760189,155.3561045,85.41479448,51.23606416,20.75839733,308.7654256,314.8629204,483.8849037,675.0871203,866.9921435,1064.58302,1350.485091,1837.718555,223.8115555,19.525,0.665,24.6
"6","LCOR-079",120.656037159879,141.721153937921,1.17160017456913,1.17458817042142,20.94780125,21.19020165,9.023108337,2.633040806,-0.605178039,-4.020941247,20.31375812,20.69709293,26.28801524,26.85537093,26.62691079,29.6341309,29.27805593,29.94563336,15.44817194,0.267428359,0.297698445,0.322036982,0.357134304,0.336788097,0.345297898,0.347792829,0.352858606,0.349532881,0.385839669,0.375363197,0.34175093,0.357198018,0.363264734,0.305993094,244.8581862,246.5605161,137.4810228,82.02324442,52.4558014,27.73056326,268.041483,267.1213429,427.756047,631.3092769,823.3650724,989.2159657,1289.582275,1775.232111,190.1298884,21.325,0.8825,32.6
"7","LCOR-318",65.7366415309941,83.6237405289666,0.8190171050305,1.27210241626869,12.5294285,12.14072568,5.270571959,1.448407298,-0.504271076,-2.454305655,11.59020931,11.428173,15.62615897,16.44640694,16.84051084,17.15384154,17.45089434,17.93502648,8.894013182,0.197384334,0.182439978,0.197613125,0.214021249,0.225412961,0.225831767,0.230200941,0.237076901,0.247773909,0.251646247,0.253074184,0.248500473,0.224750381,0.238942555,0.184330346,281.7737085,267.4426245,145.434542,84.77849303,53.09133552,24.14793785,294.1157475,297.6729562,463.5130757,653.1472726,845.9524571,1036.985677,1315.999425,1807.201523,203.5618213,21.5,0.905,25.7
"8","LCOR-160",94.2402233509761,123.348148997173,0.976906090564447,1.30886944673073,19.47884443,18.94701171,8.395319886,2.48588,-0.706714668,-3.71111987,18.19157062,17.5720516,22.70624892,24.3684819,25.14475697,25.13623963,25.1361268,26.12243226,14.04889197,0.363997516,0.389890386,0.385214911,0.39435602,0.38824725,0.398005205,0.373970328,0.399869378,0.408607155,0.410136726,0.423741547,0.418133236,0.425664597,0.395368562,0.389901325,286.3905147,285.3547738,148.2197322,83.88426349,52.59023534,23.29891593,286.4603029,294.7468569,463.8326398,649.7688904,843.7327652,1037.19591,1331.482951,1806.402982,214.9162368,22.8,1.1125,30.7
"9","LCOR-106",92.7190637624926,118.1170227989,1.06055324572331,1.27392380817678,18.29400383,18.1790352,7.841701389,2.342142578,-0.589115768,-3.420339558,17.26022965,16.94844217,21.89633699,23.24275085,23.3937608,23.7515459,24.56473448,24.73352732,13.11915035,0.26891485,0.290974767,0.301921234,0.303031435,0.317865535,0.297281173,0.322118711,0.320772094,0.304580763,0.324348688,0.331193752,0.337683221,0.315408748,0.336649398,0.304141468,265.5023735,264.949266,142.5721319,81.88922693,52.57762173,26.3836147,280.2698647,281.9123451,439.281132,632.8646807,829.3741605,1024.012186,1303.13784,1797.175435,205.2048166,23.25,1.135,26.8
"10","LCOR-509",120.076868415431,132.131274038563,1.04279331796907,1.10038907395076,20.6249547,20.42546902,8.720877641,2.444922919,-0.752378733,-4.045060029,19.53103917,19.45244076,24.69138628,25.14883685,25.62271116,26.88346889,27.42096588,27.20338818,14.83733629,0.275306481,0.308343968,0.327456526,0.326466403,0.337465536,0.330804712,0.343263457,0.346688472,0.347198935,0.357119377,0.343944115,0.336525116,0.325501338,0.343887489,0.314038255,251.3082098,255.5854907,140.1257788,82.0498395,53.42962666,28.56501491,271.5730612,272.9204218,436.552766,631.7472489,819.5636761,1004.720126,1288.825188,1785.616579,196.3331815,24.65,1.369,33.9
"11","LCOR-474",80.9422622081027,108.742481426224,0.952236252280213,1.3434574035829,15.73463336,15.41133011,6.615577961,1.75833272,-0.810114958,-3.393661591,14.67030084,14.53067153,19.17231392,20.99359138,21.72459518,22.3500132,22.94110861,22.42163859,11.30179985,0.292980121,0.336676385,0.336702456,0.342269579,0.364474757,0.331807125,0.355372746,0.358632665,0.362478555,0.369532346,0.370106371,0.362938161,0.352910938,0.380359926,0.328884631,291.7036665,295.2767666,154.2478535,86.77983127,53.43911533,24.26413499,303.3826789,304.6801231,473.2158986,659.7089577,849.9807625,1040.002721,1324.904015,1823.408743,221.7673191,25,1.4275,22.4
"12","LCOR-217",87.5236811334032,115.565428424861,0.686603091557344,1.32039040095579,16.0196163,15.92692316,6.630573607,1.709049423,-0.816208587,-3.353520357,14.9273251,14.90987126,20.17915093,21.90315667,23.05537251,24.33434643,24.31759952,24.38192679,11.45210014,0.300060416,0.331902864,0.353822667,0.355874387,0.337656016,0.368012983,0.364612643,0.377205111,0.372979831,0.385348777,0.388944942,0.356508242,0.384177626,0.381148401,0.333313167,291.1323692,290.2534195,155.2383397,87.16373932,53.63819251,22.51942061,302.9136249,304.9833536,468.6649999,656.2897526,845.23972,1023.420641,1323.311577,1808.357955,221.0076938,28.1483333333333,1.988,26.7
"13","LCOR-231",102.781150439523,113.54577194079,0.94927705256673,1.10473342101382,18.61216128,16.51129067,7.074656273,1.766914244,-0.912157636,-3.594694407,16.4373547,16.95020938,21.27219504,21.92437464,21.88150584,22.87813337,22.78284408,22.75047201,12.17681225,0.261266156,0.215437969,0.264387644,0.270538798,0.297778903,0.292204848,0.2954164,0.282105177,0.30294596,0.311518891,0.322735129,0.330884625,0.33475969,0.311043148,0.260930895,257.6309414,244.5841106,142.3056418,84.54054236,54.86081236,29.45962104,278.2948564,270.3433151,442.7223686,636.7020412,835.9410581,1027.267575,1321.764155,1800.017606,200.9764655,24.5,1.3325,32.3
"14","LCOR-108",106.951504054908,130.658962312937,0.966012068507406,1.22166549659608,19.34464644,19.14684062,8.053406982,2.164930967,-0.805947158,-3.788801906,18.14587006,18.21419139,23.92625605,26.42991701,26.74930447,26.91426757,26.6942235,25.60223583,13.75615784,0.311248992,0.337607163,0.34943904,0.354753844,0.365750787,0.350299997,0.367641971,0.369843796,0.36985675,0.381035853,0.384548762,0.38710334,0.360679786,0.391339718,0.341584598,273.0468625,272.2607561,146.7440061,84.68732547,53.4130548,26.20157136,285.486987,285.4106037,447.4732875,631.4091925,825.279447,1020.495129,1305.029042,1808.001642,208.6917022,26.2116666666667,1.66833333333333,29.9
