obs,time,elapsed,date,hhmmss,mdh,Air_temp,Air_VPD,averaging,instrument,row,column,spad1,spad2,spad,operator,temp,event,event_short,block,leaf,tree,TIME,E,Emm,A,Csetpoint,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,PhiPS2_PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,,
11,1657252264,1225.9,20220707 22:51:04,10:51:04 AM,7 7 10 ,18.475,0.5625,none,Carlos,8,49,25.9,24.8,25.35,CH,25,LC-102 5A,5A,small,13,LCOR-578,1657252264,0.003575806,3.575806334,13.42769987,A_410,395.187,309.8017493,31.41950696,40.07911745,0.295270767,1.91887202,0.27215397,0.172022116,241.7304611,27.132261,27.132261,3.607057107,66.9533951,2.313428155,3.455281321,1.293628951,-157.6930593,-75.58704725,-8.481338285,-0.030983782,0,0,1,0,25918.50959,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.177201,13.42769987,#DIV/0!,0.010646957,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.96,1261.177201,0.840807222,0.161157938,6,0.5,0: Broadleaf,2,1657252264,395.187,410.02,22.8108,19.3184,395.137,22.6094,600.316,101.318,0.100107,26.4016,26.0905,999.9,0,0,5001.25,0,790.085,,
12,1657252469,1430.9,20220707 22:54:29,10:54:29 AM,7 7 10 ,18.475,0.5625,none,Carlos,8,49,25.9,24.8,25.35,CH,25,LC-102 5A,5A,small,13,LCOR-578,1657252469,0.003405536,3.405536122,13.53416595,A_400a,385.21,293.9522369,29.81121255,39.06613301,0.275009559,1.921803852,0.2548687,0.160979419,241.7703611,27.28383147,27.28383147,3.639260628,66.91472261,2.323999336,3.473076246,1.315261292,-150.184143,-82.38221158,-9.240725874,-0.036719368,0,0,1,0,25985.05359,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.387201,13.53416595,#DIV/0!,0.010729589,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.21,1261.387201,0.840807087,0.161157679,6,0.5,0: Broadleaf,2,1657252469,385.21,400.048,22.9157,19.59,385.143,22.8027,600.324,101.315,0.100158,26.4887,26.2953,999.9,0,0,5013.75,0,859.687,,
12,1657252469,1430.9,20220707 22:54:29,10:54:29 AM,7 7 10 ,18.475,0.5625,none,Carlos,8,49,25.9,24.8,25.35,CH,25,LC-102 5A,5A,small,13,LCOR-578,1657252526,0.003507548,3.507547721,9.727763456,A_300,289.286,224.6122015,22.77890023,29.33775916,0.285085614,1.921495491,0.263477721,0.166478124,241.7470001,27.26456092,27.26456092,3.635154448,66.85346423,2.324596214,3.477155207,1.310558235,-154.6828545,-78.31190175,-8.785524989,-0.033281143,0,0,1,0,25975.58817,#DIV/0!,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!,0.5,1261.261501,9.727763456,#DIV/0!,0.007712425,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.06,1261.261501,0.840807368,0.161158221,6,0.5,#DIV/0!,2,1657252526,289.286,300.014,22.92185,19.49595,289.15,22.7644,600.2215,101.314,0.099988,26.5086,26.31285,999.9,0,0,5012.5,0,769.787,,
13,1657252582,1543.4,20220707 22:56:21,10:56:21 AM,7 7 10 ,18.475,0.5625,none,Carlos,8,49,25.9,24.8,25.35,CH,25,LC-102 5A,5A,small,13,LCOR-578,1657252582,0.003609559,3.609559319,5.921360961,A_200,193.362,155.272166,15.74658791,19.60938531,0.295161668,1.92118713,0.272086741,0.171976828,241.7236391,27.24529037,27.24529037,3.631048268,66.79220584,2.325193091,3.481234168,1.305855177,-159.181566,-74.24159191,-8.330324103,-0.029842917,0,0,1,0,25966.12275,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.135801,5.921360961,#DIV/0!,0.00469526,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.91,1261.135801,0.840807649,0.161158762,6,0.5,0: Broadleaf,2,1657252582,193.362,199.98,22.928,19.4019,193.157,22.7261,600.119,101.313,0.099818,26.5285,26.3304,999.9,0,0,5011.25,0,679.887,,
14,1657252676,1637.9,20220707 22:57:56,10:57:56 AM,7 7 10 ,18.475,0.5625,none,Carlos,8,49,25.9,24.8,25.35,CH,25,LC-102 5A,5A,small,13,LCOR-578,1657252676,0.003500453,3.500453015,1.769911089,A_100,97.8948,85.55751148,8.676711879,9.92788312,0.290586635,1.920755074,0.268187805,0.169485717,241.7336531,27.1290354,27.1290354,3.60637449,67.30857236,2.321382037,3.44886536,1.284992453,-154.3699779,-78.5890872,-8.808011147,-0.033423214,0,0,1,0,25968.91739,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.194001,1.769911089,#DIV/0!,0.001403361,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.98,1261.194001,0.840807211,0.161157917,6,0.5,0: Broadleaf,2,1657252676,97.8948,100.007,22.8902,19.4705,97.6878,22.6893,600.11,101.314,0.0997944,26.3701,26.1272,999.9,0,0,5009.38,0,673.455,,
15,1657252768,1729.9,20220707 22:59:28,10:59:28 AM,7 7 10 ,18.475,0.5625,none,Carlos,8,49,25.9,24.8,25.35,CH,25,LC-102 5A,5A,small,13,LCOR-578,1657252768,0.003568401,3.568401133,-0.392353182,A_50,50.1935,51.43986664,5.216513913,5.090119944,0.290304095,1.916553021,0.26790204,0.169307221,241.7651195,26.84201818,26.84201818,3.546084062,65.78328956,2.233817647,3.395722017,1.312266415,-157.36649,-75.92524048,-8.504665155,-0.031276099,0,0,1,0,25885.77668,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.354192,-0.392353182,#DIV/0!,-0.000311057,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.17,1261.354192,0.840807503,0.161158482,6,0.5,0: Broadleaf,2,1657252768,50.1935,49.9803,22.0276,18.5385,50.0045,21.8504,600.12,101.31,0.0999424,26.1072,25.7244,999.9,0,0,4991.88,0,776.927,,
16,1657252861,1822.9,20220707 23:01:01,11:01:01 AM,7 7 11,19.05,0.6525,none,Carlos,8,49,25.9,24.8,25.35,CH,25,LC-102 5A,5A,small,13,LCOR-578,1657252861,0.003504421,3.504420511,-2.579392286,A_0,6.21332,21.1904084,2.148923596,0.630094036,0.289717657,1.921448537,0.267454468,0.169016509,241.7607851,26.84132328,26.84132328,3.545939165,66.50474542,2.255180354,3.391006672,1.290758811,-154.5449445,-78.48153873,-8.767545801,-0.033244001,0,0,1,0,26011.46341,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.336801,-2.579392286,#DIV/0!,-0.002044967,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.15,1261.336801,0.84080712,0.161157741,6,0.5,0: Broadleaf,2,1657252861,6.21332,3.65741,22.2382,18.814,5.89932,22.0553,600.401,101.31,0.100202,26.0837,25.7288,999.9,0,0,5012.5,0,902.379,,
17,1657252958,1919.9,20220707 23:02:38,11:02:38 AM,7 7 11,19.05,0.6525,none,Carlos,8,49,25.9,24.8,25.35,CH,25,LC-102 5A,5A,small,13,LCOR-578,1657252958,0.003590391,3.590391105,12.8104145,A_400b,385.994,303.9274932,30.8206507,39.14284331,0.293786688,1.914598016,0.270845202,0.171189917,241.7713781,26.85638048,26.85638048,3.549079937,65.97284665,2.243183446,3.400161673,1.305896491,-158.3362477,-75.04910821,-8.416646994,-0.03062488,0,0,1,0,25834.58604,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.395301,12.8104145,#DIV/0!,0.010155749,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.22,1261.395301,0.840806882,0.161157282,6,0.5,0: Broadleaf,2,1657252958,385.994,400.19,22.1204,18.6095,385.93,21.9407,600.012,101.308,0.0999061,26.1293,25.7989,999.9,0,0,4983.75,0,743.243,,
18,1657253062,2024,20220707 23:04:22,11:04:22 AM,7 7 11,19.05,0.6525,none,Carlos,8,49,25.9,24.8,25.35,CH,25,LC-102 5A,5A,small,13,LCOR-578,1657253062,0.003637695,3.637694848,12.46628776,A_400c,386.184,307.1679627,31.1477067,39.16015803,0.298375064,1.922405511,0.274830116,0.173729153,241.7310401,26.74262631,26.74262631,3.525412052,65.68717441,2.221259839,3.381573129,1.304152213,-160.4223428,-73.17307883,-8.164476153,-0.028857707,0,0,1,0,26040.02054,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.177501,12.46628776,#DIV/0!,0.009884642,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.96,1261.177501,0.840807422,0.161158324,6,0.5,0: Broadleaf,2,1657253062,386.184,400.05,21.9053,18.3486,386.11,21.7314,600.221,101.303,0.0998495,26.0366,25.6685,999.9,0,0,5016.88,0,634.206,,
19,1657253138,2099.5,20220707 23:05:37,11:05:37 AM,7 7 11,19.05,0.6525,none,Carlos,8,49,25.9,24.8,25.35,CH,25,LC-102 5A,5A,small,13,LCOR-578,1657253138,0.003418224,3.418224178,16.41432624,A_600,581.637,468.4213746,47.49688501,58.97669748,0.274724693,1.923976148,0.254644821,0.160834634,241.7282861,26.97054988,26.97054988,3.572973569,65.99848571,2.25094948,3.410607768,1.322024089,-150.7436863,-81.87563349,-9.145078976,-0.036112647,0,0,1,0,26067.30608,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.168501,16.41432624,#DIV/0!,0.013015173,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.95,1261.168501,0.840807027,0.161157563,6,0.5,0: Broadleaf,2,1657253138,581.637,600.031,22.1992,18.8584,581.572,22.0982,600.277,101.298,0.0997747,26.1812,25.7899,999.9,0,0,5023.75,0,692.553,,
