obs,time,elapsed,date,hhmmss,averaging,intrument,row,column,spad1,spad2,spad,operator,temp,event,event_short,block,leaf,tree,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,ID,Duration,Fo,F1,F2,Fmax,T@HIR,T@F1,T@F2,T@Fmax,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1657339439,0,20220708 23:03:59,11:03:59,none,Carlos,6,53,24.7,24.5,24.6,CH,25,LC-102 5C,5C,small,11,LCOR-566,1657339439,0.003825887,3.82588746,14.14165536,391.337,307.3928278,31.23936455,39.77034629,0.318107847,1.922212644,0.291491937,0.184387859,241.75293,26.66701095,26.66701095,3.509755744,65.47072892,2.213442938,3.380813036,1.296312806,-168.721637,-65.7234893,-7.331084983,-0.023281287,0,0,1,0,26026.5452,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.257,14.14165536,#DIV/0!,0.01121235,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.05,1261.257,0.840809973,0.161163248,6,0.5,0: Broadleaf,2,1657339439,391.337,410.1,21.7801,17.2899,390.777,21.6451,500.097,101.527,0.0998492,26.0328,25.9103,999.9,0,0,5005,0,279.878,-18.8501,400.012,417.315,4.61536,410.1,17.2899,2.22398,1.75539,19.1361,15.3951,1500.05,0.973001,0.0269987,0,2.4809,0,13859.1,13304,36.375,38.5,37.437,35.937,36.437,1459.55,40.5,0,1657339438,0,2.225788462,0.107798292,349.907692,13845.06154,15,1657339464,23:04:23,1657339464,1657339463,1,0.092,-0.012,0.56,0.135,410,17,0.11,0.02,-18.78309024,-0.379452962,0.053322438,0,4.591497317,-0.134724878,0.026114077,1,1,2,2-Jan,2.93675,2.76331,0.100102,0.104358,0.113472,0.0969587,28746.3,22300,29981.5,24341.5,35307.4,32119.9,43790.5,39740.2,2.0007,2.06675,0.169218,0,23.1316,999.9,51.7,34.6,28.1296,30.7746,36.5905,1,-0.107111,-0.658946,20.2677,5.22358,11.908,4.96305,3.29133,9999,9999,7809.9,981.8,1.87714,1.87545,1.87408,1.87332,1.87484,1.86974,1.87393,1.87899,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,0.56,0.135,0.267769346,0.001442917,-2.66E-06,7.96E-10,-0.035928005,-0.006035291,0.001226161,-1.46E-05,5,1967,1,28,1299.4,1299.4,1.05469,2.42188,1.42578,2.28638,1.54785,2.34253,36.105,15.174,18,503.587,533.271,24.9986,25.9516,30.0001,25.968,25.9157,21.1542,39.6323,0,25,410,17.2263,101.021,101.081
2,1657339684,245,20220708 23:08:04,11:08:04,none,Carlos,6,53,24.7,24.5,24.6,CH,25,LC-102 5C,5C,small,11,LCOR-566,1657339684,0.003865959,3.865959407,13.76673115,381.697,299.6760189,30.45364826,38.78877669,0.317201318,1.922451216,0.290733125,0.183901865,241.727394,27.0077522,27.0077522,3.58078963,65.69702949,2.268383864,3.452795174,1.312405767,-170.4888099,-64.08799501,-7.17277265,-0.02218352,0,0,1,0,26001.76812,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.1226,13.76673115,#DIV/0!,0.010916251,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.89,1261.1226,0.840810059,0.161163415,6,0.5,0: Broadleaf,2,1657339684,381.697,399.983,22.3218,17.7874,381.129,22.0628,500.132,101.522,0.0999061,26.3894,27.2652,999.9,0,0,5006.25,0,276.571,-18.2855,390.412,407.226,4.53449,399.983,17.7874,2.26617,1.80582,19.4379,15.8372,1499.89,0.973001,0.0269987,0,2.0693,0,13510.1,13302.6,39.125,41.812,40.125,40.312,39.062,1459.39,40.5,0,1657339683,0,2.29105,0.086041019,20.88888887,13492.83077,15,1657339464,23:04:23,1657339464,1657339463,1,0.092,-0.012,0.56,0.135,410,17,0.11,0.02,-18.25578049,-0.214076655,0.035633557,0,4.493854146,0.263596725,0.026158472,1,1,2,2-Jan,2.93662,2.76337,0.0981529,0.102353,0.114969,0.0988978,28800.6,22341.5,29974.1,24333,35236.5,32038.6,43777.9,39726.3,1.99995,2.06735,0.22354,0,23.5999,999.9,52,34.3,27.8279,31.0046,36.6306,1,-0.0914075,-0.40738,20.2709,5.22777,11.9081,4.9652,3.292,9999,9999,7809.9,981.9,1.87714,1.87543,1.87408,1.87325,1.87485,1.86971,1.87393,1.87897,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,0.568,0.259,0.360218338,0.001442917,-2.66E-06,7.96E-10,-0.048052867,-0.006035291,0.001226161,-1.46E-05,5,1967,1,28,3.7,3.7,1.03516,2.42188,1.42578,2.28638,1.54785,2.38037,35.7078,15.1302,18,504.188,534.89,24.9997,26.1098,30.0007,26.0924,26.0414,20.7555,36.6995,0,25,400,17.8505,100.993,101.046
3,1657339760,320.5,20220708 23:09:19,11:09:19,none,Carlos,6,53,24.7,24.5,24.6,CH,25,LC-102 5C,5C,small,11,LCOR-566,1657339760,0.00380003,3.800030336,10.34747292,286.28,223.8115555,22.74507381,29.09349214,0.312184356,1.916253164,0.286434822,0.181157938,241.756701,27.10517068,27.10517068,3.601327622,66.11241568,2.29218466,3.467101658,1.309142962,-167.5813378,-66.70361881,-7.49594408,-0.024199722,0,0,1,0,25839.10855,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.2741,10.34747292,#DIV/0!,0.008203984,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.07,1261.2741,0.840810162,0.161163613,6,0.5,0: Broadleaf,2,1657339760,286.28,300,22.5551,18.0987,285.817,22.2899,500.088,101.526,0.100003,26.4595,28.1942,999.9,0,0,4980,0,280.175,-13.609,292.999,305.53,4.45645,300,18.0987,2.28993,1.83748,19.6057,16.1094,1500.07,0.972996,0.0270038,0,2.0763,0,14474.6,13304.2,38.187,40.375,39.187,38.312,38.125,1459.56,40.51,0,1657339759,0,2.369592308,-0.201018797,-14.54700642,14729.39615,15,1657339777,23:09:37,1657339777,1657339463,2,-0.113,-0.012,0.463,0.135,300,17,0.14,0.02,-13.56773,-0.232288931,0.042290798,0,4.47506875,-0.045889644,0.008146571,1,1,2,2-Jan,2.93638,2.76335,0.077906,0.0814797,0.115778,0.100103,29438.7,22856.2,29966.1,24328.4,35193.8,31988.2,43766.6,39718.6,1.9992,2.06717,0.276871,0,23.6581,999.9,52.1,34.2,27.7252,31.0946,36.7188,1,-0.0818572,-0.428913,20.2692,5.22822,11.9081,4.96555,3.292,9999,9999,7809.9,981.9,1.8771,1.87534,1.87407,1.87326,1.87483,1.86967,1.87393,1.87897,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,0.463,0.2652,0.360218338,0.001442917,-2.66E-06,7.96E-10,-0.048052867,-0.006035291,0.001226161,-1.46E-05,5,1967,1,28,4.9,5,0.821533,2.44141,1.42578,2.28638,1.54785,2.38037,35.6148,15.1127,18,504.509,535.643,24.9996,26.2135,30.0006,26.1841,26.1316,16.4477,35.5423,0,25,300,18.1102,100.967,101.026
4,1657339853,414,20220708 23:10:53,11:10:53,none,Carlos,6,53,24.7,24.5,24.6,CH,25,LC-102 5C,5C,small,11,LCOR-566,1657339853,0.003840139,3.840138534,6.208362091,191.692,155.3561045,15.78835907,19.48106343,0.326979392,1.929043102,0.299018516,0.189199094,241.715643,26.95753896,26.95753896,3.570243544,66.92328436,2.302814707,3.440976827,1.267428838,-169.3501094,-65.12795774,-7.26032049,-0.022744583,0,0,1,0,26173.13025,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.0635,6.208362091,#DIV/0!,0.004923116,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.82,1261.0635,0.840809897,0.161163102,6,0.5,0: Broadleaf,2,1657339853,191.692,200.024,22.6595,18.1565,191.146,22.3916,500.083,101.527,0.0998985,26.3313,27.3319,999.9,0,0,5033.75,0,230.984,-8.44563,196.02,203.722,4.503,200.024,18.1565,2.30055,1.84338,19.6803,16.1595,1499.82,0.973001,0.0269987,0,2.7431,0,13180.9,13302,36.625,38.875,37.687,36.562,36.812,1459.33,40.49,0,1657339852,0,2.349419231,1.19845812,-45.59316227,13159.55385,15,1657339873,23:11:13,1657339873,1657339463,3,0.11,-0.012,0.546,0.135,200,17,0.18,0.02,-8.41364975,-0.193246266,0.03340365,0,4.5115515,-0.482254334,0.049022553,1,1,2,2-Jan,2.93622,2.76349,0.0549988,0.0575835,0.11612,0.100305,30164,23445.9,29960.8,24323.8,35172.6,31974.1,43758.3,39711,1.99758,2.06582,0.221118,0,23.7069,999.9,52.3,34.1,27.677,30.5346,36.4062,1,-0.0720655,-0.457056,20.2686,5.22373,11.9081,4.96455,3.29125,9999,9999,7809.9,981.9,1.87712,1.87537,1.87408,1.87328,1.87485,1.86967,1.87393,1.87897,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,0.546,0.2679,0.247790197,0.001442917,-2.66E-06,7.96E-10,-0.048052867,-0.006035291,0.001226161,-1.46E-05,5,1967,1,28,1.3,6.5,0.595703,2.46582,1.42578,2.28638,1.54785,2.33765,35.4986,15.0952,18,504.443,535.745,24.9962,26.331,30.0005,26.294,26.237,11.9477,35.564,0,25,200,18.0912,100.948,101.007
5,1657339949,510,20220708 23:12:29,11:12:29,none,Carlos,6,53,24.7,24.5,24.6,CH,25,LC-102 5C,5C,small,11,LCOR-566,1657339949,0.004063789,4.063788597,1.92727523,97.2036,85.41479448,8.680383122,9.878434924,0.337999599,1.912085153,0.307975022,0.194959235,241.740741,26.87102202,26.87102202,3.552136334,65.3940029,2.249435515,3.439819272,1.302700819,-179.2130771,-56.22446651,-6.320446561,-0.017249181,0,0,1,0,25745.48322,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.1901,1.92727523,#DIV/0!,0.00152814,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.97,1261.1901,0.840810216,0.161163717,6,0.5,0: Broadleaf,2,1657339949,97.2036,99.989,22.1344,17.3681,96.7396,21.8802,500.242,101.526,0.100225,26.3256,27.4311,999.9,0,0,4962.5,0,276.028,-2.77656,99.4129,101.756,4.76631,99.989,17.3681,2.24723,1.76332,19.303,15.4654,1499.97,0.972991,0.0270089,0,1.8307,0,17304.2,13303.3,36.187,38.812,37.187,36.687,36.375,1459.46,40.51,0,1657339948,0,2.385057692,-0.009603424,86.96752204,17259.43077,15,1657339972,23:12:51,1657339972,1657339463,4,-0.011,-0.012,0.464,0.135,100,17,0.26,0.02,-2.773641,-0.244024165,0.031354294,0,4.76210625,0.10030773,0.015177819,1,1,2,2-Jan,2.93658,2.76351,0.0289638,0.0300806,0.114233,0.0971821,30992.9,24129,29958.9,24322.8,35245.8,32085,43754.6,39709.9,1.99745,2.06428,0.236139,0,23.5596,999.9,52.5,33.9,27.4738,30.9846,35.621,1,-0.0686128,-0.411721,20.2713,5.22822,11.9081,4.96385,3.292,9999,9999,7809.9,981.9,1.87704,1.87537,1.87408,1.87323,1.87478,1.86968,1.8739,1.87897,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,0.464,0.2542,0.357498619,0.001442917,-2.66E-06,7.96E-10,-0.048052867,-0.006035291,0.001226161,-1.46E-05,5,1967,1,28,1.3,8.1,0.362549,2.4939,1.42578,2.28638,1.54785,2.28394,35.3596,15.0777,18,504.881,535.253,25.0017,26.3834,30.0001,26.3545,26.295,7.2985,38.8955,0,25,100,17.2774,100.941,101.004
6,1657340048,608.5,20220708 23:14:07,11:14:07,none,Carlos,6,53,24.7,24.5,24.6,CH,25,LC-102 5C,5C,small,11,LCOR-566,1657340048,0.00400026,4.000260455,-0.396421299,50.2388,51.23606416,5.206810766,5.105464852,0.33602879,1.922474663,0.306482242,0.193989079,241.741179,27.02181939,27.02181939,3.583748977,66.23231035,2.295705154,3.466140834,1.288043823,-176.4114861,-58.76841549,-6.579936686,-0.018659261,0,0,1,0,25996.60155,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.1979,-0.396421299,#DIV/0!,-0.000314321,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.98,1261.1979,0.840809811,0.161162935,6,0.5,0: Broadleaf,2,1657340048,50.2388,50.0043,22.5902,17.8992,49.7188,22.3241,500.093,101.524,0.0999411,26.4548,26.9228,999.9,0,0,5006.25,0,264.25,0.125946,51.2888,50.9156,4.69098,50.0043,17.8992,2.29345,1.8172,19.6305,15.9356,1499.98,0.973006,0.0269936,0,2.253,0,17085.8,13303.4,37.875,41.125,38.875,38.687,37.937,1459.49,40.49,0,1657340047,0,2.354346154,0.065688889,658.1914529,16972.15,15,1657340076,23:14:35,1657340076,1657339463,5,0.109,-0.012,0.52,0.135,50,17,0.33,0.02,0.129018685,-0.077752154,0.018622367,1,4.654976341,0.211935261,0.023625763,1,2,2,2-Feb,2.93605,2.76341,0.0149957,0.0151703,0.115826,0.0992545,31430,24495.3,29951.2,24318.6,35171.2,32003.9,43743,39702.7,1.996,2.06442,0.17925,0,23.9839,999.9,52.8,33.8,27.4805,30.5546,36.5825,1,-0.0589253,-0.334096,20.271,5.22837,11.9081,4.96535,3.292,9999,9999,7809.9,982,1.8771,1.87532,1.87407,1.87321,1.8748,1.86966,1.87393,1.87897,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,0.52,0.2661,0.346175374,0.001442917,-2.66E-06,7.96E-10,-0.048052867,-0.006035291,0.001226161,-1.46E-05,5,1967,1,28,1.3,9.8,0.247803,2.5,1.42578,2.28638,1.54785,2.39258,35.244,15.0689,18,504.881,536.414,25.0023,26.4864,30.0007,26.4599,26.4052,4.99452,36.5563,0,25,50,17.838,100.914,100.986
7,1657340152,712.5,20220708 23:15:51,11:15:51,none,Carlos,6,53,24.7,24.5,24.6,CH,25,LC-102 5C,5C,small,11,LCOR-566,1657340152,0.003998547,3.998547011,-2.646990044,6.86121,20.75839733,2.109343444,0.69719488,0.322064763,1.919682299,0.294780282,0.186496075,241.748721,27.34939645,27.34939645,3.653268502,65.52911471,2.315406712,3.533401485,1.33786179,-176.3359232,-58.81522275,-6.616359368,-0.018784302,0,0,1,0,25898.30217,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.2321,-2.646990044,#DIV/0!,-0.002098733,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.02,1261.2321,0.840810189,0.161163665,6,0.5,0: Broadleaf,2,1657340152,6.86121,3.71863,22.7863,18.0987,6.26821,22.6343,500.141,101.514,0.0999835,26.7811,27.1214,999.9,0,0,4995,0,276.47,3.01401,6.8905,3.78717,4.81015,3.71863,18.0987,2.32557,1.83727,19.8546,16.1075,1500.02,0.972991,0.0270089,0,2.1563,0,16956.2,13303.7,38.062,40.812,39,38.625,37.937,1459.51,40.51,0,1657340150,0,2.245812,0.379930777,-517.7230761,17023.676,15,1657340179,23:16:19,1657340177,1657340179,6,0.133,-0.002,0.593,0.152,4,18,0.4,0.03,3.04350225,-0.109769268,0.015700425,0,4.81665475,-0.051055047,0.005009056,1,1,2,2-Jan,2.93593,2.7634,0.00188243,0.00112277,0.116894,0.0999858,31835.1,24835.4,29939.6,24310.3,35114.9,31966.1,43727.2,39688.9,1.99455,2.06227,0.159457,0,24.5085,999.9,53.2,33.7,27.5361,30.9646,35.7772,1,-0.0414761,-0.107285,20.2691,5.22837,11.9081,4.9638,3.292,9999,9999,7809.9,982,1.8771,1.87537,1.87408,1.87324,1.87483,1.8697,1.87393,1.87897,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,0.593,0.152,0.455497131,0.001442917,-2.66E-06,7.96E-10,-0.048052867,-0.006035291,0.001226161,-1.46E-05,5,1967,1,28,1.3,11.5,0.0317383,4.99756,1.42578,2.28638,1.54785,2.30225,35.2209,15.0339,18,505.446,536.623,25.0014,26.6888,30.0009,26.632,26.5791,0,36.0022,0,25,0,18.0897,100.877,100.951
8,1657340255,816,20220708 23:17:35,11:17:35,none,Carlos,6,53,24.7,24.5,24.6,CH,25,LC-102 5C,5C,small,11,LCOR-566,1657340255,0.004055942,4.055942241,13.09514423,382.557,308.7654256,31.37611122,38.87466013,0.340741801,1.917349841,0.3103273,0.196460453,241.772082,27.34319874,27.34319874,3.651942359,66.82034735,2.363115389,3.536520659,1.288826971,-178.8670528,-56.55259306,-6.369846141,-0.017410033,0,0,1,0,25838.05605,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.3578,13.09514423,#DIV/0!,0.010381784,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.17,1261.3578,0.840809908,0.161163123,6,0.5,0: Broadleaf,2,1657340255,382.557,400.13,23.2549,18.5018,381.883,22.9735,500.089,101.518,0.0999553,26.7961,26.6199,999.9,0,0,4985,0,273.357,-17.4517,391.79,407.673,4.75309,400.13,18.5018,2.36079,1.87826,20.0973,16.4538,1500.17,0.973001,0.0269987,0,2.5118,0,16465,13305.1,37,39.75,37.937,37.5,37.062,1459.67,40.5,0,1657340254,0,2.273219231,-0.329008548,-1031.552137,16582.68846,15,1657340272,23:17:52,1657340272,1657340179,7,-0.117,-0.002,0.674,0.152,401,18,0.11,0.03,-16.43043415,-8.963523345,0.915089519,0,4.774663415,-0.143712125,0.014563441,1,1,2,2-Jan,2.93546,2.76332,0.098113,0.102187,0.118061,0.101507,28751.1,22311.6,29925.8,24299.4,35056.8,31901.9,43707.9,39672.5,1.99137,2.0614,0.106946,0,24.8673,999.9,53.7,33.6,27.6373,31.1646,35.9736,1,-0.0192048,5.45E-05,20.2695,5.22897,11.9081,4.96505,3.292,9999,9999,7809.9,982,1.87706,1.87534,1.87407,1.8732,1.87478,1.86967,1.87393,1.87897,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,0.674,0.2814,0.588239703,0.001442917,-2.66E-06,7.96E-10,-0.050351557,-0.006035291,0.001226161,-1.46E-05,5,1967,1,28,1.3,1.3,1.0437,2.4707,1.42578,2.2876,1.54785,2.33276,35.2902,15.0251,18,505.387,538.106,24.9991,26.9547,30.0009,26.8576,26.7958,20.9022,34.9637,0,25,400,18.4975,100.831,100.908
9,1657340348,909,20220708 23:19:08,11:19:08,none,Carlos,6,53,24.7,24.5,24.6,CH,25,LC-102 5C,5C,small,11,LCOR-566,1657340348,0.004280869,4.280869399,12.88156218,382.707,314.8629204,31.99574213,38.88992222,0.36983608,1.921215534,0.334359778,0.211877958,241.766277,26.89261292,26.89261292,3.556647589,66.24309336,2.293061114,3.461585198,1.263586474,-188.7863405,-47.65691904,-5.335299175,-0.012281728,0,0,1,0,25966.99233,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.3245,12.88156218,#DIV/0!,0.010212727,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.13,1261.3245,0.84081013,0.16116355,6,0.5,0: Broadleaf,2,1657340348,382.707,400.128,22.5655,17.5452,382.028,22.3023,500.082,101.518,0.100006,26.4325,26.1558,999.9,0,0,5001.25,0,250.778,-17.4212,391.542,407.273,5.02029,400.128,17.5452,2.2908,1.78115,19.6118,15.6223,1500.13,0.972996,0.0270038,0,2.4215,0,16444.4,13304.7,36.062,39.062,37.187,36.375,36.25,1459.62,40.51,0,1657340347,0,2.273672,0.943484614,207.6999994,16383.576,15,1657340272,23:17:52,1657340272,1657340179,7,-0.117,-0.002,0.674,0.152,401,18,0.11,0.03,-17.30320488,-0.237698258,0.032867375,0,5.037468537,-0.203435749,0.025180301,1,1,2,2-Jan,2.93523,2.76345,0.0980945,0.102137,0.115588,0.0977255,28741.9,22307.2,29916.5,24294,35147.7,32031.3,43695.1,39663.8,1.98962,2.05743,0.0984669,0,24.5411,999.9,54,33.5,27.6385,30.8946,35.4447,1,-0.00475356,-0.11201,20.2691,5.22388,11.9081,4.96325,3.29125,9999,9999,7809.9,982.1,1.87708,1.87532,1.87406,1.87319,1.87481,1.86967,1.87393,1.87897,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,0.679,0.2632,0.471607028,0.001442917,-2.66E-06,7.96E-10,-0.050351557,-0.006035291,0.001226161,-1.46E-05,5,1967,1,28,1.3,2.8,1.03882,2.46704,1.42578,2.2876,1.54785,2.27539,35.2902,15.0076,18,505.658,536.856,24.9979,27.1262,30.0006,27.0183,26.9487,20.8033,39.1413,0,25,400,17.3966,100.801,100.886
10,1657340424,984.5,20220708 23:20:23,11:20:23,none,Carlos,6,53,24.7,24.5,24.6,CH,25,LC-102 5C,5C,small,11,LCOR-566,1657340424,0.004272566,4.272565827,17.0524032,576.671,483.8849037,49.1709729,58.59962545,0.362862074,1.920312031,0.328630468,0.208199843,241.75728,26.6714158,26.6714158,3.510666108,65.1882725,2.226826617,3.41599268,1.283839491,-188.420153,-47.98679963,-5.362772893,-0.012445478,0,0,1,0,25963.70207,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.2744,17.0524032,#DIV/0!,0.013519979,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.07,1261.2744,0.840810362,0.161163999,6,0.5,0: Broadleaf,2,1657340424,576.671,600.082,21.9139,16.901,575.955,21.6676,500.182,101.517,0.100084,26.2079,25.8247,999.9,0,0,4997.5,0,226.745,-23.5546,589.444,610.398,5.01286,600.082,16.901,2.22462,1.71573,19.1407,15.0395,1500.07,0.972991,0.0270089,0,2.2343,0,16526,13304.2,35.375,38.375,36.5,35.875,35.562,1459.55,40.52,0,1657340423,0,2.292844,0.288523073,-221.4615378,16631.796,15,1657340451,23:20:51,1657340451,1657340179,8,0.164,-0.002,0.716,0.152,600,18,0.2,0.03,-23.9531875,2.613594371,0.252638531,0,4.9697205,-0.056683902,0.011147475,1,1,2,2-Jan,2.93543,2.76351,0.132933,0.137428,0.113246,0.095142,27631.2,21429.6,29916.1,24293.2,35243.5,32124.6,43693.7,39662.5,1.989,2.05693,0.105925,0,24.0866,999.9,54.2,33.5,27.7415,31.2846,35.3486,1,-0.00107215,-0.19101,20.2691,5.22867,11.9081,4.9649,3.292,9999,9999,7809.9,982.1,1.87702,1.87533,1.87407,1.87319,1.87473,1.86966,1.87391,1.87896,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,0.716,0.2463,0.471607028,0.001442917,-2.66E-06,7.96E-10,-0.050351557,-0.006035291,0.001226161,-1.46E-05,5,1967,1,28,2.5,4.1,1.44287,2.46094,1.42578,2.28882,1.54785,2.31201,35.2209,14.9901,18,505.842,537.127,24.9996,27.1773,30.0001,27.0861,27.0129,28.899,40.835,0,25,600,16.8711,100.799,100.882
