obs,time,elapsed,date,hhmmss,averaging,instrument,row,column,spad1,spad2,spad,operator,temp,event,event_short,block,leaf,tree,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,ID,Duration,Fo,F1,F2,Fmax,T@HIR,T@F1,T@F2,T@Fmax,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1657766511,0,20220713 21:41:51,9:41:51,none,Carlos,12,19,32.7,32.5,32.6,CH,25,LC-102 7,7,large,12,LCOR-383,1657766511,0.002943065,2.943065177,17.9162446,390.926,259.0184008,26.25579053,39.62680312,0.241105103,2.145828575,0.22700251,0.143074842,241.78485,27.07597938,27.07597938,3.595162681,67.94418825,2.31929609,3.413531238,1.275866591,-129.7891743,-101.835921,-10.20468002,-0.044925332,0,0,1,0,31727.82644,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.425,17.9162446,#DIV/0!,0.014203179,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.25,1261.425,0.840809865,0.161163039,6,0.5,0: Broadleaf,2,1657766511,390.926,409.978,22.8803,20.0068,381.746,21.0739,600.465,101.266,0.100507,26.1957,25.836,999.9,0,0,5985,0,1259.78,-18.909,400.226,418.348,2.87352,409.978,20.0068,2.31699,2.026,19.795,17.649,1500.25,0.973006,0.0269938,0,2.8199,0,18143.8,13305.8,38.25,39,38.812,38.187,38.437,1459.75,40.5,0,1657766513,0,2.37716,0.830353844,-838.1538411,18317.616,15,1657766536,21:42:16,1657766536,1657696037,1,-0.267,0.003,9.18,1.349,410,19,0.11,0.02,-18.83910732,0.035778397,0.053321045,1,2.894040732,-0.173015958,0.019141091,1,2,2,2-Feb,3.18252,2.76965,0.0986145,0.104681,0.111646,0.107757,28628.8,22326.6,29798.9,24370.8,34271,31738.2,42421.8,39754.9,2.21575,1.9599,0.126772,0,23.7553,999.9,58.4,29.2,23.4633,34.1073,39.3389,1,-0.265528,-0.769657,20.2641,5.22358,11.9059,4.96425,3.29125,9999,9999,9999,999.4,1.87675,1.87508,1.87372,1.87286,1.87439,1.86935,1.87362,1.87867,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,9.18,1.8064,6.139081103,0.010206238,-5.35E-06,1.23E-09,0.685976154,0.067986658,-0.001481673,3.69E-05,-1,1969,0,20,1172.7,1174.6,1.04614,2.38647,1.42578,2.28516,1.54785,2.37305,31.9365,15.7957,18,625.663,446.704,24.9976,23.9264,30.0009,23.7848,23.7354,20.9726,21.2136,100,25,410,19.8944,98.8965,101.151
2,1657766733,222,20220713 21:45:33,9:45:33,none,Carlos,12,19,32.7,32.5,32.6,CH,25,LC-102 7,7,large,12,LCOR-383,1657766733,0.003088205,3.088204822,17.61662835,380.991,252.2052497,25.56429939,38.61841893,0.243408998,2.148603856,0.229061598,0.144382031,241.741758,26.65733365,26.65733365,3.507756427,65.25218058,2.179518953,3.340147309,1.328237474,-136.1898327,-96.01996935,-9.571691077,-0.039735084,0,0,1,0,31838.5896,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.1982,17.61662835,#DIV/0!,0.013968168,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.98,1261.1982,0.840810011,0.161163321,6,0.5,0: Broadleaf,2,1657766733,380.991,399.773,21.5021,18.4821,372,19.7659,600.358,101.263,0.100074,25.8284,25.3317,999.9,0,0,5997.5,0,1204.28,-18.7822,389.363,407.301,3.02005,399.773,18.4821,2.17738,1.87156,18.7968,16.3976,1499.98,0.973001,0.0269989,0,2.248,0,17976.3,13303.4,39.312,40.312,39.562,40.125,39.062,1459.48,40.5,0,1657766735,0,2.28556,-0.542661568,-432.5846136,18061.472,15,1657766536,21:42:16,1657766536,1657696037,1,-0.267,0.003,9.18,1.349,410,19,0.11,0.02,-18.76915854,-0.229960976,0.045282856,0,3.077018537,-0.420981324,0.043529646,1,1,2,2-Jan,3.18188,2.76928,0.0965557,0.102584,0.106607,0.101837,28679.9,22367.2,29785.9,24359.6,34458,31940.5,42404.4,39738.7,2.21068,1.95133,0.135593,0,23.1041,999.9,58.1,29.2,23.3438,34.2874,39.1947,1,-0.237236,-0.844036,20.2661,5.22732,11.9081,4.96515,3.292,9999,9999,9999,999.5,1.87671,1.87504,1.87367,1.87285,1.8744,1.86932,1.87359,1.87866,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,8.991,1.7362,5.872115236,0.010206238,-5.35E-06,1.23E-09,0.685976154,0.067986658,-0.001481673,3.69E-05,-1,1969,0,20,3.3,1178.3,1.02905,2.3938,1.42578,2.28271,1.54785,2.33276,31.8927,15.7606,18,625.791,444.466,25.0007,24.2678,30.0005,24.1222,24.0637,20.6422,25.7153,98.8494,25,400,18.4932,98.8548,101.107
3,1657766809,297.5,20220713 21:46:48,9:46:48,none,Carlos,12,19,32.7,32.5,32.6,CH,25,LC-102 7,7,large,12,LCOR-383,1657766809,0.003242929,3.242928704,12.74007978,286.301,199.7820806,20.25071201,29.02061628,0.26480396,2.14509896,0.247891691,0.15636171,241.741179,26.6194853,26.6194853,3.49994656,66.14510349,2.211255791,3.343037767,1.288690769,-143.0131559,-89.79786501,-8.965023374,-0.034865242,0,0,1,0,31746.4936,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.1979,12.74007978,#DIV/0!,0.010101571,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.98,1261.1979,0.840809811,0.161162935,6,0.5,0: Broadleaf,2,1657766809,286.301,299.964,21.815,18.6441,277.835,20.063,600.243,101.264,0.100006,25.843,25.2967,999.9,0,0,5981.88,0,1238.34,-13.8083,292.538,305.663,3.17082,299.964,18.6441,2.20908,1.88799,19.0283,16.535,1499.98,0.973006,0.0269938,0,2.4923,0,17784.6,13303.4,40.062,40.875,40.25,40.937,39.812,1459.49,40.49,0,1657766810,0,2.253669231,0.942126493,-263.8017096,17749.22308,15,1657766836,21:47:15,1657766836,1657696037,2,0.044,0.003,8.466,1.349,300,19,0.24,0.02,-13.777495,-0.091010882,0.029368299,1,3.0781005,0.368565478,0.036218963,1,2,2,2-Feb,3.18152,2.76913,0.07631,0.0817138,0.10772,0.102446,29316.8,22882.3,29780.8,24354.8,34407.5,31911.3,42397.4,39730.7,2.20942,1.95098,0.131417,0,23.1377,999.9,57.9,29.2,23.262,34.3774,39.4191,1,-0.230025,-0.826362,20.2664,5.22717,11.9077,4.9651,3.292,9999,9999,9999,999.5,1.87672,1.875,1.87364,1.87286,1.8744,1.86934,1.87359,1.87866,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,8.466,1.752,5.872115236,0.010206238,-5.35E-06,1.23E-09,0.685976154,0.067986658,-0.001481673,3.69E-05,-1,1969,0,20,4.5,1179.5,0.81543,2.41089,1.42578,2.28271,1.54785,2.30103,31.8707,15.7431,18,625.907,444.99,25.0013,24.3576,30.0006,24.2133,24.1517,16.3479,24.8893,98.1025,25,300,18.529,98.8383,101.087
4,1657766912,400.5,20220713 21:48:31,9:48:31,none,Carlos,12,19,32.7,32.5,32.6,CH,25,LC-102 7,7,large,12,LCOR-383,1657766912,0.00338887,3.388869535,7.675023418,191.633,140.5950599,14.25170801,19.425274,0.273875893,2.143728031,0.255816606,0.161408595,241.773099,26.24615374,26.24615374,3.423720714,64.57080885,2.117588314,3.279482404,1.3061324,-149.4491465,-83.99286675,-8.361558567,-0.030472796,0,0,1,0,31745.38417,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.3659,7.675023418,#DIV/0!,0.006084692,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.18,1261.3659,0.840809703,0.161162726,6,0.5,0: Broadleaf,2,1657766912,191.633,199.956,20.8903,17.5728,183.949,19.1845,600.104,101.267,0.100061,25.5194,24.8686,999.9,0,0,5975.62,0,1236.39,-8.38684,195.656,203.533,3.3175,199.956,17.5728,2.1155,1.77954,18.3363,15.6082,1500.18,0.973011,0.0269888,0,2.3491,0,17821.4,13305.3,40.625,41.187,40.875,40,40,1459.69,40.49,0,1657766914,0,2.258446154,0.410735041,237.9760677,17735.3,15,1657766938,21:48:57,1657766938,1657696037,3,-0.005,0.003,7.684,1.349,200,19,0.15,0.02,-8.42649325,0.240349531,0.040070405,0,3.35543475,0.101950131,0.025024811,1,1,2,2-Jan,3.18109,2.76915,0.0533094,0.057764,0.104324,0.0982261,30039.8,23476.2,29774.4,24352.2,34533.4,32059.9,42387.5,39726.2,2.20813,1.94678,0.136066,0,22.6314,999.9,58,29.2,23.3035,34.4074,40.0641,1,-0.222012,-0.917304,20.2662,5.22732,11.9081,4.96495,3.292,9999,9999,9999,999.5,1.87669,1.87502,1.87371,1.87286,1.87439,1.86934,1.87362,1.87866,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,7.684,1.7058,5.916591534,0.010206238,-5.35E-06,1.23E-09,0.685976154,0.067986658,-0.001481673,3.69E-05,-1,1969,0,20,1.3,1181.2,0.59082,2.43164,1.42578,2.28271,1.54785,2.323,31.8049,15.7256,18,626.025,443.333,24.9998,24.4438,30.0003,24.308,24.2457,11.8364,29.8613,97.5293,25,200,17.5234,98.8159,101.076
5,1657767014,502.5,20220713 21:50:13,9:50:13,none,Carlos,12,19,32.7,32.5,32.6,CH,25,LC-102 7,7,large,12,LCOR-383,1657767014,0.003278407,3.278406839,2.368850635,97.2661,79.95614228,8.105160859,9.859872727,0.259897013,2.147852789,0.24360452,0.153631452,241.759314,26.73314338,26.73314338,3.523445255,65.24825949,2.197713558,3.36823323,1.325731697,-144.5777416,-88.39137647,-8.823918566,-0.033722636,0,0,1,0,31803.93098,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.2906,2.368850635,#DIV/0!,0.001878116,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.09,1261.2906,0.840809951,0.161163206,6,0.5,0: Broadleaf,2,1657767014,97.2661,99.9533,21.6801,18.4734,90.3321,19.935,600.118,101.27,0.100084,25.9698,25.2975,999.9,0,0,5993.75,0,1052.51,-2.83005,99.2756,101.835,3.20674,99.9533,18.4734,2.19555,1.8708,18.9299,16.3913,1500.09,0.973001,0.0269989,0,1.9177,0,17757.5,13304.3,41.5,41.562,41.562,41.375,40.937,1459.59,40.5,0,1657767016,0,2.251907692,0.375042739,62.43760622,17783.01923,15,1657767030,21:50:29,1657767030,1657696037,4,0.118,0.003,6.934,1.349,100,19,0.27,0.02,-2.862032683,0.320295052,0.044665523,0,3.180225122,0.192405784,0.019250883,1,1,2,2-Jan,3.18109,2.76928,0.0272003,0.0301919,0.107197,0.101751,30867.5,24161.4,29773.9,24350.6,34418.1,31929.2,42386.9,39723.7,2.20765,1.9487,0.146858,0,22.8843,999.9,58.1,29.2,23.3417,37.1674,39.972,1,-0.221197,-0.906754,20.2665,5.22732,11.908,4.96515,3.292,9999,9999,9999,999.5,1.87669,1.87502,1.87367,1.87286,1.87442,1.86935,1.87355,1.87866,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,6.934,1.7451,5.912059051,0.010206238,-5.35E-06,1.23E-09,0.685976154,0.067986658,-0.001481673,3.69E-05,-1,1969,0,20,1.3,1182.9,0.358887,2.46216,1.42578,2.28271,1.54785,2.29614,31.8488,15.6993,18,626.371,444.949,25.0023,24.4875,30,24.3696,24.3068,7.21222,25.7097,96.8632,25,100,18.5505,98.8145,101.069
6,1657767106,594.5,20220713 21:51:45,9:51:45,none,Carlos,12,19,32.7,32.5,32.6,CH,25,LC-102 7,7,large,12,LCOR-383,1657767106,0.00327572,3.275720188,-0.469557501,50.2516,52.22105222,5.293596991,5.093955546,0.259117461,2.1492467,0.242929093,0.153200788,241.742775,27.05996682,27.05996682,3.591784888,65.94168013,2.264381213,3.433914952,1.327403675,-144.4592603,-88.46304455,-8.854277432,-0.033807256,0,0,1,0,31805.1936,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.2063,-0.469557501,#DIV/0!,-0.000372308,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.99,1261.2063,0.840809805,0.161162924,6,0.5,0: Broadleaf,2,1657767106,50.2516,49.9468,22.338,19.137,43.4226,20.5595,600.29,101.269,0.100022,26.2965,25.6986,999.9,0,0,6000,0,449.807,-0.060627,51.026,50.9213,3.20096,49.9468,19.137,2.26215,1.93799,19.4094,16.9466,1499.99,0.973006,0.0269938,0,2.2484,0,17800.7,13303.5,40.375,40.25,40.687,40.062,40.062,1459.5,40.49,0,1657767107,0,2.283552,-0.708853841,-67.29230708,17904.24,15,1657767122,21:52:02,1657767122,1657696037,5,0.368,0.003,6.829,1.349,50,19,0.37,0.02,-0.074901665,0.143422206,0.020448347,0,3.2893215,-0.217269118,0.025391156,1,1,2,2-Jan,3.18137,2.76925,0.0131549,0.0152177,0.109541,0.104288,31306.4,24529.4,29767.8,24345.8,34316.7,31830.7,42377.2,39716.1,2.20695,1.9489,0.136144,0,23.4633,999.9,58.3,29.2,23.4231,36.8674,39.1867,1,-0.213549,-0.768385,20.2645,5.22463,11.9078,4.9648,3.2913,9999,9999,9999,999.6,1.8767,1.87503,1.87365,1.87285,1.8744,1.86935,1.87357,1.87866,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,6.829,1.7785,6.030428932,0.010206238,-5.35E-06,1.23E-09,0.685976154,0.067986658,-0.001481673,3.69E-05,-1,1969,0,20,1.3,1184.5,0.244141,2.4646,1.42578,2.28271,1.54785,2.37671,31.9146,15.6906,18,626.878,445.867,25.0005,24.5805,30.0004,24.4605,24.4044,4.91058,22.8355,97.324,25,50,19.2655,98.7927,101.05
7,1657767198,686.5999999,20220713 21:53:17,9:53:17,none,Carlos,12,19,32.7,32.5,32.6,CH,25,LC-102 7,7,large,12,LCOR-383,1657767198,0.003408824,3.408823675,-3.184920868,7.460046,26.27656106,2.663731586,0.756246608,0.28246942,2.150144187,0.263354619,0.166206111,241.750317,27.01328811,27.01328811,3.581953976,67.21107369,2.307916602,3.433833854,1.274037374,-150.3291241,-83.13542235,-8.315600344,-0.029829765,0,0,1,0,31828.26523,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.2405,-3.184920868,#DIV/0!,-0.002525229,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.03,1261.2405,0.840810184,0.161163655,6,0.5,0: Broadleaf,2,1657767198,7.460046,4.30095,22.7666,19.4358,0.398046,20.966,600.075,101.273,0.0999148,26.2961,25.8095,999.9,0,0,6003.75,0,160.319,2.49986,6.95925,4.3862,3.33078,4.30095,19.4358,2.30564,1.96833,19.7159,17.1918,1500.03,0.972991,0.027009,0,2.5522,0,17889.2,13303.8,38,38.312,38.437,37.625,37.937,1459.52,40.51,0,1657767200,0,2.385976,0.695938469,-62.00000153,17890.156,15,1657767220,21:53:40,1657767220,1657696037,6,0.691,0.003,7.062,1.349,4,19,0.41,0.02,2.52697825,-0.354455797,0.036968191,0,3.30308025,0.331131445,0.03356445,1,1,2,2-Jan,3.18071,2.76916,0.000119918,0.00130468,0.111037,0.105399,31707.9,24869.5,29757.2,24339.9,34244,31782.7,42360.7,39706.8,2.20543,1.94657,0.120573,0,23.8306,999.9,58.4,29.2,23.4626,37.0119,39.9239,1,-0.2019,-0.629858,20.2655,5.22448,11.9081,4.96455,3.29135,9999,9999,9999,999.6,1.87683,1.87511,1.87374,1.87286,1.87446,1.86935,1.87363,1.87872,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,7.062,1.8006,6.398706132,0.010206238,-5.35E-06,1.23E-09,0.685976154,0.067986658,-0.001481673,3.69E-05,-1,1969,0,20,1.3,1186,0.0317383,4.99756,1.42578,2.28149,1.54785,2.36572,32.0684,15.6643,18,627.282,445.649,25.0011,24.7245,30.0007,24.596,24.5424,0,22.8165,97.4153,25,0,19.2553,98.7556,101.026
8,1657767296,785.0999999,20220713 21:54:56,9:54:56,none,Carlos,12,19,32.7,32.5,32.6,CH,25,LC-102 7,7,large,12,LCOR-383,1657767296,0.003536161,3.536161057,16.90821041,381.887,274.3172579,27.80676796,38.7108098,0.285668555,2.148375749,0.26611948,0.167969468,241.738566,26.96764738,26.96764738,3.572364393,65.94540053,2.264188105,3.433428393,1.308176288,-155.9447026,-78.01243592,-7.807734483,-0.02630704,0,0,1,0,31783.04627,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.1814,16.90821041,#DIV/0!,0.013406644,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.96,1261.1814,0.840810022,0.161163342,6,0.5,0: Broadleaf,2,1657767296,381.887,400.141,22.3365,18.8802,372.49,20.5581,600.152,101.267,0.100184,26.2941,25.7799,999.9,0,0,5996.25,0,169.06,-17.4388,391.446,407.842,3.45626,400.141,18.8802,2.26194,1.91194,19.4079,16.7333,1499.96,0.972996,0.027004,0,2.6852,0,17211.7,13303.2,38.5,39.375,39,38.812,38.5,1459.46,40.5,0,1657767298,0,2.378492,0.660869237,-660.176925,17386.504,15,1657767318,21:55:17,1657767318,1657696037,7,-0.939,0.003,9.397,1.349,401,19,0.12,0.02,-16.77832927,-5.637315679,0.591844423,0,3.470435854,-0.105215331,0.011983071,1,1,2,2-Jan,3.18074,2.76939,0.096517,0.10251,0.109469,0.10324,28646.1,22347.6,29752.7,24338.6,34304.6,31863.9,42353.8,39705.8,2.20435,1.94675,0.117406,0,23.853,999.9,58.8,29.3,23.7626,37.1919,39.8277,1,-0.195005,-0.528696,20.2681,5.22837,11.908,4.96555,3.292,9999,9999,9999,999.6,1.87678,1.87506,1.87369,1.87286,1.87439,1.86935,1.87358,1.87866,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,9.397,1.7784,7.09011024,0.010206238,-5.35E-06,1.23E-09,0.685976154,0.067986658,-0.001481673,3.69E-05,-1,1969,0,20,1.3,1187.7,1.0437,2.43652,1.42578,2.28394,1.54785,2.34863,32.2225,15.6643,18,627.74,446.588,24.9999,24.849,30,24.7072,24.6443,20.9186,25.4078,99.6289,25,400,18.9471,98.74,101.022
9,1657767394,882.5999999,20220713 21:56:33,9:56:33,none,Carlos,12,19,32.7,32.5,32.6,CH,25,LC-102 7,7,large,12,LCOR-383,1657767394,0.003496846,3.496846385,16.97284356,381.799,274.39901,27.81529531,38.70222394,0.287021341,2.148107616,0.267291251,0.168716546,241.755543,26.9498899,26.9498899,3.568639424,66.55186873,2.28075094,3.427027645,1.287888484,-154.2109256,-79.60578388,-7.966228046,-0.027394521,0,0,1,0,31779.45674,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.2735,16.97284356,#DIV/0!,0.01345691,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.07,1261.2735,0.840809762,0.161162841,6,0.5,0: Broadleaf,2,1657767394,381.799,400.098,22.4997,19.0832,372.526,20.713,600.293,101.268,0.10006,26.2625,25.7066,999.9,0,0,5995,0,161.951,-18.299,390.587,407.882,3.41654,400.098,19.0832,2.2785,1.93252,19.5252,16.902,1500.07,0.973006,0.0269938,0,2.2282,0,17601.3,13304.2,39.75,40.5,40,40.187,39.625,1459.58,40.49,0,1657767396,0,2.370173077,-0.187935048,19.75042967,17591.81923,15,1657767318,21:55:17,1657767318,1657696037,7,-0.939,0.003,9.397,1.349,401,19,0.12,0.02,-18.1750625,-0.65192758,0.070865893,0,3.426888,-0.110606229,0.01146014,1,1,2,2-Jan,3.18099,2.76926,0.0965076,0.102484,0.110034,0.104001,28645.2,22346.6,29751.7,24337.1,34280.6,31834.3,42351.5,39703.3,2.2031,1.9462,0.114046,0,23.8347,999.9,58.9,29.3,23.8001,36.7419,39.0345,1,-0.191654,-0.49594,20.2681,5.22762,11.9081,4.9652,3.292,9999,9999,9999,999.6,1.87677,1.87514,1.87375,1.87286,1.87446,1.86935,1.87362,1.87866,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,9.273,1.7867,6.151159523,0.010206238,-5.35E-06,1.23E-09,0.685976154,0.067986658,-0.001481673,3.69E-05,-1,1969,0,20,1.3,1189.3,1.04004,2.41577,1.42578,2.28394,1.54785,2.38647,32.3328,15.6556,18,627.672,446.931,24.9993,24.9092,30.0006,24.7829,24.7253,20.8569,24.7708,99.6291,25,400,19.0795,98.7355,101.016
10,1657767469,958.0999999,20220713 21:57:49,9:57:49,none,Carlos,12,19,32.7,32.5,32.6,CH,25,LC-102 7,7,large,12,LCOR-383,1657767469,0.003637005,3.637004595,20.11397101,577.852,455.1838704,46.14027153,58.574677,0.306294145,2.139064085,0.28384895,0.179284947,241.737408,26.39236872,26.39236872,3.453400003,65.88998608,2.190737035,3.324840639,1.262662969,-160.3919026,-73.97495699,-7.394321081,-0.02377272,0,0,1,0,31600.40376,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.1808,20.11397101,#DIV/0!,0.015948523,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.96,1261.1808,0.840809622,0.16116257,6,0.5,0: Broadleaf,2,1657767469,577.852,600.057,21.6121,18.0554,566.865,19.8703,600.287,101.266,0.100227,25.7509,25.0896,999.9,0,0,5955,0,153.853,-22.7516,590.057,611.09,3.55665,600.057,18.0554,2.18858,1.82841,18.8789,16.0318,1499.96,0.973011,0.0269888,0,2.3091,0,17917.4,13303.2,40.125,40.937,40.125,39.75,39.812,1459.48,40.48,0,1657767471,0,2.354156,-1.420830759,-1232.9,18167.792,15,1657767498,21:58:17,1657767498,1657696037,8,0.43,0.003,10.987,1.349,600,19,0.09,0.02,-23.35914878,3.367475958,0.33656049,0,3.523582683,0.129943275,0.033781934,1,1,2,2-Jan,3.18091,2.76922,0.131797,0.137831,0.106826,0.100002,27522.3,21465,29746.8,24334.9,34401.9,31977.6,42342.6,39699.7,2.20257,1.9417,0.109352,0,23.2931,999.9,58.4,29.3,23.5996,37.3119,38.8221,1,-0.185124,-0.624927,20.2674,5.22418,11.9081,4.9645,3.29125,9999,9999,9999,999.7,1.87683,1.87512,1.87372,1.87286,1.87451,1.86935,1.87363,1.87869,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,10.987,1.7418,6.151159523,0.010206238,-5.35E-06,1.23E-09,0.685976154,0.067986658,-0.001481673,3.69E-05,-1,1969,0,20,2.5,1190.5,1.44775,2.44873,1.42578,2.28271,1.54785,2.26196,32.377,15.6293,18,627.954,444.786,24.9982,24.964,30.0004,24.8426,24.7832,28.9829,27.9641,98.8587,25,600,17.9375,98.7166,101.007
