obs,time,elapsed,date,hhmmss,averaging,instrument,row,column,spad1,spad2,spad,operator,temp,event,event_short,block,leaf,tree,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,ID,Duration,Fo,F1,F2,Fmax,T@HIR,T@F1,T@F2,T@Fmax,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1659018650,0,20220728 09:30:49,9:30:49,none,Carlos,7,7,31.5,33.6,32.5,ch,30,LC-10 7,7,large,10,LCOR-148,1659018650,0.005335272,5.33527208,25.78271974,410.1,286.0497777,28.91102701,41.44877255,0.378125879,2.951115393,0.35312475,0.222811322,241.763085,30.41175133,30.41175133,4.362256677,66.39396567,2.890003285,4.352810163,1.472253392,-235.2854987,-6.022166015,-0.455505539,-8.52E-05,0,0,1,0,52928.93687,RECT-558-20220727-13_55_51,16631.3,708.8384615,3847.94,0.815787548,-5.516621199,RECT-563-20220728-09_30_48,16617.2,878.5676923,1396.73,0.370982443,0.5,1261.3077,25.78271974,233.961506,0.024814992,1.754963379,535.6653092,DARK-564-20220728-09_30_54,609.13,609.13,0.563888511,0.65790034,0.756824266,0.753261639,0.780863559,0.456136548,0.543863452,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1500.11,1261.3077,0.840810141,0.161163571,6,0.5,0: Broadleaf,2,1659018650,410.1,438.062,28.5941,23.413,381.089,24.4007,600.187,100.97,0.099916,30.3739,29.9715,999.9,0,0,10026.2,0,275.071,-27.9619,422.172,448.564,5.18106,438.062,23.413,2.88713,2.364,23.3909,20.1193,1500.11,0.972996,0.027004,0,878.005,0.0999862,17389.7,13303.6,36.562,37.812,37,37,38.125,1459.5,40.51,0,1659018651,0,878.5676923,2.201367463,-28.16410243,17388.52308,15,0,--:--:--,1659012046,1659012040,0,0.38,-0.007,32.772,1.612,519,0,0.81,0.11,-29.107015,1.413982739,0.568170266,1,5.14367825,0.459188105,0.046326613,1,5,5,5-May,3.17803,2.79711,0.0974076,0.10889,0.122429,0.118952,27901.9,22054.8,29021,24202.1,31724.5,31152.3,39753.7,39519.1,2.17878,1.88687,0.140257,0,27.6846,999.9,58.1,30.2,24.7993,62.05,42.1795,1,0.0158994,-4.04534,20.1993,5.22822,11.9087,4.96375,3.292,9999,9999,9999,999.9,1.87698,1.8753,1.87393,1.87317,1.87469,1.86966,1.87379,1.87895,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,29.011,4.1934,19.70586612,0.027860171,-9.54E-06,1.34E-09,4.193347232,0,0,0,-15,1992,-1,22,110.1,110.2,0.998535,2.36694,1.42578,2.28271,1.54785,2.41577,33.9865,15.8832,18,634.445,430.183,30.1549,27.3143,30.0038,27.0338,26.9548,20.0058,12.2913,39.9256,30.784,437.133,23.3142,94.1777,100.512
2,1659018831,181,20220728 09:33:50,9:33:50,none,Carlos,7,7,31.5,33.6,32.5,ch,30,LC-10 7,7,large,10,LCOR-148,1659018831,0.005443387,5.443386573,27.26102356,399.854,268.7669951,27.16382866,40.41257203,0.376458563,2.941522075,0.351594559,0.221843537,241.746546,30.29912466,30.29912466,4.334200937,65.2135683,2.824879758,4.331736219,1.509321179,-240.0533478,-1.573886395,-0.119317634,-5.86E-06,0,0,1,0,52667.52287,RECT-558-20220727-13_55_51,16631.3,708.8384615,3847.94,0.815787548,-5.516621199,RECT-565-20220728-09_33_49,16605.3,866.3852,1392.23,0.377699662,0.5,1261.2234,27.26102356,238.1818258,0.02598877,1.763868039,535.002119,DARK-566-20220728-09_33_55,608.4,608.4,0.563003239,0.670865877,0.758042809,0.769463434,0.78229709,0.471100844,0.528899156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1500.01,1261.2234,0.840809995,0.16116329,6,0.5,0: Broadleaf,2,1659018831,399.854,429.283,27.9502,22.6605,371.056,23.7568,600.175,100.968,0.10032,30.2892,29.9254,999.9,0,0,9971.88,0,257.782,-29.4293,411.351,439.236,5.28965,429.283,22.6605,2.82207,2.28799,23.0138,19.5921,1500.01,0.973001,0.026999,0,864.99,0.0999862,16868.1,13302.8,38.187,39.75,38.5,39.25,40,1459.41,40.5,0,180.3,0,866.3852,-10.55730771,638.4538479,16780.876,15,0,--:--:--,1659012046,1659012040,0,0.38,-0.007,32.772,1.612,519,0,0.81,0.11,-29.325755,-0.266942589,0.217258783,1,5.32659375,-0.169905028,0.017159177,1,5,5,5-May,3.17748,2.79704,0.0952938,0.107121,0.12005,0.116185,27945.4,22085.3,29000.4,24189.1,31793.2,31235.6,39728,39497.7,2.17335,1.87812,0.144735,0,27.5651,999.9,61,30.4,26.3365,62.55,42.2957,1,0.0449721,-1.84868,20.2506,5.22358,11.9081,4.9647,3.292,9999,9999,9999,999.9,1.87704,1.87532,1.87407,1.87319,1.87472,1.86966,1.87391,1.879,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,28.798,4.1934,19.70586612,0.027860171,-9.54E-06,1.34E-09,4.193347232,0,0,0,-15,1992,-1,22,113.1,113.2,0.948486,2.38892,1.42578,2.28149,1.54785,2.33643,34.3725,15.8657,18,634.915,428.296,30.8681,27.7056,30.0008,27.4524,27.3714,19.0049,20.0591,46.5242,30.9193,430.13,22.588,94.1141,100.458
3,1659018940,290.5,20220728 09:35:40,9:35:40,none,Carlos,7,7,31.5,33.6,32.5,ch,30,LC-10 7,7,large,10,LCOR-148,1659018940,0.005161938,5.161938179,18.57261526,301.155,205.4446861,20.76414732,30.43752022,0.351097309,2.946052209,0.329398024,0.207711505,241.730007,30.66624483,30.66624483,4.42623542,65.82343874,2.899799041,4.405420162,1.526436379,-227.6414737,-13.09451164,-0.994426668,-0.000404996,0,0,1,0,52746.63755,RECT-558-20220727-13_55_51,16631.3,708.8384615,3847.94,0.815787548,-5.516621199,RECT-567-20220728-09_35_38,16587.3,790.6474,1207.01,0.344953729,0.5,1261.1391,18.57261526,217.5173174,0.019101173,2.187993471,505.2105137,DARK-568-20220728-09_35_45,595,595,0.507046338,0.680319929,0.811859426,0.835781589,0.841301235,0.511973299,0.488026701,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1499.91,1261.1391,0.840809849,0.161163008,6,0.5,0: Broadleaf,2,1659018940,301.155,321.278,28.6912,23.6784,274.493,24.4979,600.124,100.969,0.100284,30.5838,30.1144,999.9,0,0,9997.5,0,234.516,-20.1227,310.051,329.07,5.01279,321.278,23.6784,2.89692,2.39078,23.447,20.3015,1499.91,0.973006,0.026994,0,788.455,0.0999862,13470.1,13301.9,40.25,41.375,40.375,41.812,41.875,1459.32,40.49,0,108.8999999,0,790.6474,-18.28615387,-2893.830774,13825.016,15,0,--:--:--,1659012046,1659012040,0,0.38,-0.007,32.772,1.612,519,0,0.81,0.11,-20.7035725,-1.386687805,0.498713372,1,4.983173,0.071141313,0.027344529,1,5,5,5-May,3.17724,2.79722,0.0746352,0.0853967,0.122596,0.119716,28571.6,22616.3,28988.9,24182.8,31686.9,31100.8,39713.2,39488.2,2.17125,1.87735,0.167474,0,27.3834,999.9,61.8,30.5,26.8361,62.23,41.6106,1,0.054873,-1.32995,20.2561,5.22822,11.9081,4.96405,3.292,9999,9999,9999,999.9,1.87708,1.87532,1.87408,1.87321,1.87473,1.86967,1.87389,1.87903,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,26.662,4.1933,19.70586612,0.027860171,-9.54E-06,1.34E-09,4.193347232,0,0,0,-15,1992,-1,22,114.9,115,0.769043,2.38892,1.42578,2.28149,1.54785,2.39502,34.5777,15.8569,18,635.294,429.183,31.1093,27.839,30.0004,27.6339,27.5504,15.4185,16.345,49.7938,31.0743,321.309,23.6103,94.0782,100.433
4,1659019062,412,20220728 09:37:41,9:37:41,none,Carlos,7,7,31.5,33.6,32.5,ch,30,LC-10 7,7,large,10,LCOR-148,1659019062,0.005442036,5.442035777,10.31211513,199.632,149.6638055,15.12672496,20.17707854,0.38287377,2.939037888,0.357165988,0.225394481,241.782675,30.43439286,30.43439286,4.367915834,66.04739087,2.883161729,4.365292393,1.484754104,-239.9937778,-1.662586694,-0.126317118,-6.55E-06,0,0,1,0,52572.82436,RECT-558-20220727-13_55_51,16631.3,708.8384615,3847.94,0.815787548,-5.516621199,RECT-569-20220728-09_37_40,16595.2,730.8438,1041.23,0.298095714,0.5,1261.4163,10.31211513,188.0113961,0.012548384,2.695571584,473.6458811,DARK-570-20220728-09_37_46,569.87,569.87,0.45269537,0.65849075,0.856208074,0.933796935,0.894112524,0.513453249,0.486546751,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1500.24,1261.4163,0.84080967,0.161162664,6,0.5,0: Broadleaf,2,1659019062,199.632,211.026,28.526,23.2413,175.327,24.3327,600.238,100.971,0.100364,30.4239,30.0015,999.9,0,0,9957.5,0,241.245,-11.3938,205.494,216.047,5.28474,211.026,23.2413,2.88029,2.34668,23.3516,20.0005,1500.24,0.973006,0.026994,0,729.74,0.0999862,12210.3,13304.8,38.937,39.437,39.25,38.75,40.25,1459.65,40.49,0,120.8,0,730.8438,-15.05153845,282.6076918,12191.572,15,0,--:--:--,1659012046,1659012040,0,0.38,-0.007,32.772,1.612,519,0,0.81,0.11,-11.09063415,1.006678746,0.255801823,1,5.268983902,0.322728084,0.040659689,1,5,5,5-May,3.17731,2.79695,0.05037,0.0598205,0.121985,0.118152,29316.8,23247.8,28985.6,24182.3,31706,31155.5,39709.4,39487.1,2.17015,1.87418,0.150803,0,27.5424,999.9,62.7,30.6,27.3824,62.34,41.9952,1,0.0606377,-1.21967,20.2559,5.22598,11.9081,4.96395,3.292,9999,9999,9999,999.9,1.87709,1.87533,1.87408,1.87329,1.87473,1.86968,1.87393,1.87901,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,24.305,4.1933,19.70586612,0.027860171,-9.54E-06,1.34E-09,4.193347232,0,0,0,-15,1992,-1,22,116.9,117,0.539551,2.41577,1.42578,2.28149,1.54785,2.33643,34.7379,15.8219,18,635.89,428.388,30.2899,27.9618,29.9998,27.7664,27.6886,10.8048,19.9764,53.795,30.2485,211.844,23.1751,94.0684,100.431
5,1659019149,499,20220728 09:39:08,9:39:08,none,Carlos,7,7,31.5,33.6,32.5,ch,30,LC-10 7,7,large,10,LCOR-148,1659019149,0.005562369,5.56236932,2.083852301,101.016,89.48954955,9.044696155,10.20967288,0.385273083,2.945849644,0.359309648,0.226755272,241.732182,30.32671383,30.32671383,4.341058924,65.15829893,2.831947128,4.346257,1.509111796,-245.300487,3.317071688,0.25120734,-2.59E-05,0,0,1,0,52781.90033,RECT-558-20220727-13_55_51,16631.3,708.8384615,3847.94,0.815787548,-5.516621199,RECT-571-20220728-09_39_07,16599.5,702.5805769,927.58,0.242566057,0.5,1261.1478,2.083852301,152.9558245,0.006026632,3.148364562,448.6410369,DARK-572-20220728-09_39_13,563.47,563.47,0.392537571,0.617943542,0.889141932,1.028608579,0.930317151,0.495591053,0.504408947,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1499.92,1261.1478,0.840810043,0.161163383,6,0.5,0: Broadleaf,2,1659019149,101.016,103.661,28.0197,22.6147,79.1633,23.8263,600.168,100.97,0.099859,30.3476,29.9888,999.9,0,0,9996.25,0,234.706,-2.64537,103.928,106.059,5.40499,103.661,22.6147,2.82915,2.28341,23.0552,19.5598,1499.92,0.972996,0.0270041,0,700.345,0.0999862,11558.7,13302,38.062,38.812,38.437,37.875,39.437,1459.32,40.5,0,86.39999986,0,702.5805769,-14.17145304,-177.4324786,11580.75769,15,0,--:--:--,1659012046,1659012040,0,0.38,-0.007,32.772,1.612,519,0,0.81,0.11,-2.440994634,-0.727996307,0.082568525,1,5.409202195,-0.039479791,0.004121092,1,5,5,5-May,3.17713,2.79679,0.023561,0.0308443,0.120195,0.115926,30144,23965.3,28985.2,24183.4,31770.9,31235.5,39709,39488.6,2.16972,1.8721,0.148669,0,27.5646,999.9,62.8,30.7,27.5823,62.31,41.2139,1,0.0615041,-1.46172,20.2549,5.22732,11.9081,4.9643,3.292,9999,9999,9999,999.9,1.87712,1.87532,1.87408,1.87329,1.87471,1.8697,1.87393,1.87899,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,21.853,4.1934,19.70586612,0.027860171,-9.54E-06,1.34E-09,4.193347232,0,0,0,-15,1992,-1,22,118.4,118.5,0.311279,2.42798,1.42578,2.28149,1.54785,2.38892,34.8066,15.8132,18,636.134,427.58,30.3716,27.9797,30,27.8188,27.7398,6.25959,22.697,53.795,30.3731,104.087,22.6377,94.0674,100.435
6,1659019233,583,20220728 09:40:32,9:40:32,none,Carlos,7,7,31.5,33.6,32.5,ch,30,LC-10 7,7,large,10,LCOR-148,1659019233,0.005528511,5.528510707,-1.149715728,50.5432,54.34828102,5.492879349,5.10830691,0.383823655,2.946143892,0.358050588,0.225952847,241.766277,30.32625429,30.32625429,4.340944617,65.28209668,2.835800024,4.343916891,1.505144593,-243.8073222,1.897367256,0.143669413,-8.49E-06,0,0,1,0,52791.96152,RECT-558-20220727-13_55_51,16631.3,708.8384615,3847.94,0.815787548,-5.516621199,RECT-573-20220728-09_40_31,16603.3,694.5198,874.96,0.206226799,0.5,1261.3245,-1.149715728,130.059457,0.003462159,3.397846759,435.9599392,DARK-574-20220728-09_40_37,551,551,0.370256926,0.556982961,0.901739188,1.08619389,0.947079909,0.441884611,0.558115389,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1500.13,1261.3245,0.84081013,0.161163551,6,0.5,0: Broadleaf,2,1659019233,50.5432,49.6733,28.0583,22.6873,30.0098,23.865,600.267,100.968,0.100134,30.3382,29.9982,999.9,0,0,9998.12,0,226.619,0.869884,52.0023,50.8264,5.37098,49.6733,22.6873,2.833,2.2907,23.0777,19.6112,1500.13,0.972996,0.0270041,0,691.845,0.0999862,11496.6,13303.8,37.625,38.437,37.937,37.687,39.062,1459.52,40.51,0,83.5999999,0,694.5198,2.828077098,-63.8538463,11501.124,15,0,--:--:--,1659012046,1659012040,0,0.38,-0.007,32.772,1.612,519,0,0.81,0.11,0.98135635,-0.144263617,0.049872782,1,5.3989935,-0.036577711,0.00921231,1,5,5,5-May,3.17737,2.79708,0.00896027,0.014924,0.120326,0.11618,30596.5,24361,28986.7,24185.3,31767,31228.4,39711,39491.8,2.16995,1.87188,0.156283,0,27.4495,999.9,62.7,30.8,27.6979,62.55,41.4623,1,0.0585696,-1.51341,20.2544,5.22568,11.9081,4.9644,3.292,9999,9999,9999,999.9,1.87706,1.87531,1.87408,1.87326,1.87471,1.86968,1.87392,1.879,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,20.533,4.1933,19.70586612,0.027860171,-9.54E-06,1.34E-09,4.193347232,0,0,0,-15,1992,-1,22,119.8,119.9,0.20874,2.46704,1.42578,2.28027,1.54785,2.35352,34.8296,15.7957,18,636.403,427.522,30.4067,27.9602,29.9998,27.8283,27.7495,4.21971,20.8778,53.4179,30.4205,50.3479,22.7619,94.0722,100.443
7,1659019316,666.5,20220728 09:41:56,9:41:56,none,Carlos,7,7,31.5,33.6,32.5,ch,30,LC-10 7,7,large,10,LCOR-148,1659019316,0.005579654,5.579653592,-2.842542011,19.5108,31.31848099,3.165239581,1.971882239,0.388858585,2.942587096,0.362400255,0.228727142,241.737549,30.30515729,30.30515729,4.335699692,65.2889334,2.834846018,4.342000811,1.500853675,-246.0627234,4.020386356,0.304749841,-3.82E-05,0,0,1,0,52690.9335,RECT-558-20220727-13_55_51,16631.3,708.8384615,3847.94,0.815787548,-5.516621199,RECT-575-20220728-09_41_54,16605.3,701.0398,846.13,0.171475069,0.5,1261.1733,-2.842542011,108.1298892,0.002120311,3.547693617,428.6821194,DARK-576-20220728-09_42_01,565.33,565.33,0.331863898,0.516702991,0.914458312,1.056803658,0.956264066,0.416677772,0.583322228,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1499.95,1261.1733,0.840810227,0.161163738,6,0.5,0: Broadleaf,2,1659019316,19.5108,16.7777,28.0494,22.6274,-0.189783,23.856,600.127,100.966,0.100191,30.3305,30.0052,999.9,0,0,9978.12,0,227.078,2.73305,20.0739,17.1662,5.42202,16.7777,22.6274,2.83203,2.28459,23.072,19.5682,1499.95,0.972991,0.0270091,0,702.61,0.0999862,11555.1,13302.2,37.25,38.125,37.562,37.437,38.687,1459.34,40.51,0,83,0,701.0398,2.669230883,122.0000001,11542.024,15,0,--:--:--,1659012046,1659012040,0,0.38,-0.007,32.772,1.612,519,0,0.81,0.11,2.743360244,-0.443885226,0.048663401,1,5.391784634,0.19917324,0.019924535,1,5,5,5-May,3.17711,2.79696,-5.64E-05,0.0050327,0.120301,0.115972,30879.2,24610.3,28990.5,24189.6,31771.3,31240.6,39716,39498.5,2.17045,1.8721,0.160236,0,27.392,999.9,62.5,30.8,27.6101,62.67,41.9912,1,0.0523145,-1.5572,20.2547,5.22717,11.9081,4.96435,3.292,9999,9999,9999,999.9,1.87714,1.87542,1.8741,1.87332,1.87484,1.86975,1.87393,1.87909,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,19.701,4.1934,19.70586612,0.027860171,-9.54E-06,1.34E-09,4.193347232,0,0,0,-15,1992,-1,22,121.2,121.3,0.0317383,4.99756,1.42578,2.28027,1.54785,2.44629,34.8755,15.7694,18,636.435,427.424,30.5377,27.8998,29.9997,27.7963,27.7187,0,20.8095,53.0463,30.5371,47.7919,22.6043,94.0841,100.46
8,1659019689,1039.1,20220728 09:48:08,9:48:08,none,Carlos,7,7,31.5,33.6,32.5,ch,30,LC-10 7,7,large,10,LCOR-148,1659019689,0.00546321,5.46321048,24.67810417,410.43,292.4654636,29.55893282,41.48138603,0.383025933,2.938323825,0.357292648,0.225475706,241.7852881,30.41903208,30.41903208,4.364075775,65.87538456,2.874023424,4.362818438,1.490052351,-240.9275822,-0.797136813,-0.060570627,-1.51E-06,0,0,1,0,52553.96654,RECT-558-20220727-13_55_51,16631.3,708.8384615,3847.94,0.815787548,-5.516621199,RECT-577-20220728-09_48_07,16603.1,808.8482308,1253.37,0.354661249,0.5,1261.4328,24.67810417,223.690666,0.023936848,2.070075078,513.1551559,DARK-578-20220728-09_48_13,583.31,583.31,0.5346067,0.663405918,0.794751626,0.816337967,0.826532678,0.47842264,0.52157736,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1500.26,1261.4328,0.84080946,0.161162257,6,0.5,0: Broadleaf,2,1659019689,410.43,437.344,28.4365,23.1299,380.668,24.2311,600.142,100.968,0.100114,30.414,30.0124,999.9,0,0,9953.75,0,235.988,-27.4944,421.845,447.699,5.30665,437.344,23.1299,2.87118,2.33538,23.2991,19.9225,1500.26,0.973011,0.0269889,0,811.87,0.499931,13131,13301.5,39.5,40.5,39.687,40.687,40.937,1459.28,40.48,0,372.2,0,808.8482308,15.33203414,214.5264958,13101.35769,15,1659019718,9:48:38,1659019718,1659019629,3,0.076,0.012,29.762,3.938,435,22,0.11,0.04,-27.511765,0.514484803,0.087228796,1,5.32058575,-0.199375497,0.028253815,1,5,5,5-May,3.17738,2.79667,0.097194,0.108614,0.121691,0.117819,27893.4,22060,29007.1,24201.7,31739.6,31194.3,39737,39519.7,2.1701,1.8772,0.168201,0,27.269,999.9,66.7,31,29.805,62.2746,41.242,1,0.0280894,-0.884123,20.2594,5.22807,11.9081,4.9644,3.292,9999,9999,9999,999.9,1.87704,1.87535,1.87408,1.87328,1.87472,1.86968,1.87392,1.87897,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,29.762,4.2054,19.88448105,0.027860171,-9.54E-06,1.34E-09,4.205439852,0,0,0,-15,1992,-1,22,0.9,1,1.1084,2.39746,1.42578,2.27905,1.54785,2.43896,34.9444,15.6993,18,633.435,428.427,29.9917,27.657,29.9999,27.5399,27.4599,22.2025,25.4889,77.9738,29.9876,437.387,23.1106,94.1356,100.513
9,1659019879,1229.1,20220728 09:51:18,9:51:18,none,Carlos,7,7,31.5,33.6,32.5,ch,30,LC-10 7,7,large,10,LCOR-148,1659019879,0.005679429,5.679428652,24.82986354,400.021,288.6742748,29.17489359,40.42816117,0.410261564,2.946422426,0.38096354,0.240559939,241.7369701,30.14902953,30.14902953,4.297056114,65.98190018,2.843597889,4.30966353,1.453458225,-250.4628036,8.112418239,0.613260257,-0.000154966,1,0,1,0,52823.9629,RECT-558-20220727-13_55_51,16631.3,708.8384615,3847.94,0.815787548,-5.516621199,RECT-579-20220728-09_51_17,16615.4,834.5253846,1315.9,0.365813979,0.5,1261.173,24.82986354,230.6773569,0.024062111,1.924188768,523.3367594,DARK-580-20220728-09_51_23,593.06,593.06,0.549312258,0.665949056,0.777921152,0.792958514,0.806612965,0.473260316,0.526739684,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1499.95,1261.173,0.840810027,0.161163352,6,0.5,0: Broadleaf,2,1659019879,400.021,427.101,28.1363,22.6211,371.026,23.9429,600.482,100.965,0.100097,30.2001,29.9594,999.9,0,0,10000,0,245.909,-27.0797,411.602,436.986,5.51516,427.101,22.6211,2.84078,2.28394,23.123,19.5636,1499.95,0.972991,0.0270091,0,836.433,0.499931,13529.4,13298.7,37.5,38.375,37.812,37.875,39,1458.95,40.5,0,189.5,0,834.5253846,11.28451283,242.6256413,13510.37692,15,1659019849,9:50:49,1659019837,1659019849,4,-0.057,-0.012,29.562,3.944,427,23,0.08,0.02,-28.4741725,8.866508443,1.310310263,0,5.25800475,2.345624353,0.234523048,0,2,5,5-Feb,3.17836,2.79705,0.0953,0.106721,0.120716,0.116057,27959.4,22112.4,29013.9,24207,31781.9,31263.9,39745.7,39528.2,2.17073,1.877,0.153333,0,27.4588,999.9,66.3,31.1,29.794,62.0246,40.3446,1,0.0163237,-1.48763,20.2555,5.22777,11.9081,4.96525,3.29192,9999,9999,9999,999.9,1.87703,1.87531,1.87403,1.87323,1.87469,1.86966,1.87387,1.87897,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,28.995,4.1934,19.90370192,0.027860171,-9.54E-06,1.34E-09,4.193419309,0,0,0,-15,1992,-1,22,0.7,0.5,1.08887,2.40601,1.42578,2.27905,1.54785,2.33887,34.9674,15.6643,18,632.387,427.239,30.3207,27.4734,29.9997,27.3982,27.3152,21.828,28.3891,77.3067,30.3425,427.21,22.3695,94.157,100.534
10,1659019966,1316.6,20220728 09:52:46,9:52:46,none,Carlos,7,7,31.5,33.6,32.5,ch,30,LC-10 7,7,large,10,LCOR-148,1659019966,0.005776848,5.776847599,17.62554749,300.7,219.2242855,22.15480804,30.38874441,0.399729913,2.94754905,0.371871872,0.234760864,241.7485801,30.13408046,30.13408046,4.293371827,64.43132299,2.778382164,4.312160662,1.514989663,-254.7589791,12.09602425,0.914030508,-0.000344267,0,0,1,0,52854.53982,RECT-558-20220727-13_55_51,16631.3,708.8384615,3847.94,0.815787548,-5.516621199,RECT-581-20220728-09_52_44,16618.2,778.2900769,1165.58,0.332272279,0.5,1261.2396,17.62554749,209.5374782,0.018348749,2.301309219,497.8043544,DARK-582-20220728-09_52_51,588.57,588.57,0.495041095,0.671201406,0.822968856,0.847941101,0.854499279,0.507585826,0.492414174,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1500.03,1261.2396,0.840809584,0.161162497,6,0.5,0: Broadleaf,2,1659019966,300.7,320.056,27.4924,21.8763,274.08,23.299,600.206,100.96,0.100008,30.2102,30.0171,999.9,0,0,10006.9,0,269.962,-19.1252,309.438,327.214,5.61604,320.056,21.8763,2.77562,2.20863,22.7398,19.025,1500.03,0.973006,0.0269939,0,777.914,0.499931,14230.6,13299.5,36.937,37.812,37.187,37.312,38.437,1459.05,40.48,0,87.10000014,0,778.2900769,-4.083692272,2305.818806,13735.72308,15,1659019995,9:53:14,1659019995,1659019849,5,-0.624,-0.012,26.62,3.944,318,23,0.14,0.02,-18.88176,-1.398443527,0.140354943,1,5.65773325,-0.452793659,0.046358256,1,5,5,5-May,3.17785,2.79702,0.0745967,0.085187,0.118459,0.11341,28602.8,22649.7,29017,24211.1,31867.9,31363.1,39750,39534.5,2.173,1.87645,0.152297,0,27.5337,999.9,66.1,31.1,29.7069,62.1946,41.2019,1,0.0103176,-0.82881,20.2587,5.22837,11.9081,4.9652,3.292,9999,9999,9999,999.9,1.87706,1.87531,1.87402,1.87321,1.8747,1.86967,1.8739,1.87898,0,0,0,0,0,iiiiiiii,off,on,on,off,0,100,100,26.62,4.1934,19.90370192,0.027860171,-9.54E-06,1.34E-09,4.193419309,0,0,0,-15,1992,-1,22,2.2,1.9,0.861816,2.40967,1.42578,2.27905,1.54785,2.43042,34.9444,15.6468,18,633.099,426.329,30.8584,27.3739,29.9994,27.307,27.2347,17.2697,28.4974,75.0367,30.622,319.841,21.8941,94.1671,100.551
