obs,time,elapsed,date,hhmmss,averaging,instrument,row,column,spad1,spad2,,operator,temp,event,event_short,block,leaf,tree,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1659025914,0,20220728 09:31:54,9:31:54,5,Gandalf,8,16,32.2,30.1,31.15,fg,30,LC-102 16-20,16-20,large,10,LCOR-516,1659025906,0.007276979,7.276978553,24.09768282,410.3855333,320.4035197,32.35734339,41.44456851,0.515104831,2.945176558,0.469787007,0.297355548,241.7203864,29.05328308,29.05328308,4.034189589,60.83031924,2.520636291,4.143717018,1.513553299,-320.9147542,73.6598369,5.521813058,-0.012717798,24.09768282,7.276978553,24.49176632,445.3940235,420.4689818,-0.00129611,67.24678498,7.252737308,17.9158741,24.98452606,0.000199787,79.11675053,0,0,1,0,52905.64013,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-167-20220728-09_31_55,10168.4,915.9140769,1215.48,0.246458949,0.5,1261.123261,24.09768282,155.4075565,0.027221063,1.653412644,793.4137269,-,0,793.4137269,0.347242466,0.709760391,0.826435619,-2.456995931,1.0645862,0.614832386,0.385167614,1499.895667,1261.123261,0.840807323,0.161158134,6,0.5,0: Broadleaf,2,FALSE,1659025906,410.3855333,437.4626,24.95942667,17.86590667,412.2245333,24.65979333,600.1547333,100.8893333,0.100017277,29.51719333,28.74943,999.9,0,0,10000.41567,0,1257.720333,1499.895667,0.972999267,0.02700085,0,915.9752667,4.99935,15764.9,14583.88667,34.7289,37.96846667,35.17893333,34.74973333,36.8289,1454.532333,40.36333333,0,1659025914,0,915.9140769,-19.47986327,-368.882051,15762.68462,15,1659025947,9:32:26,1659025947,1658950232,1,0.287,0.002,-1.839,0.052,435,18,0.14,0.17,100,100,-1.839,0.3005,-1.340033035,-0.001994519,4.10E-07,7.06E-11,-0.059605308,-0.004442259,0.000978152,-8.41E-06,4,2101,2,25,1261.4,1261.4,1.10107,2.33032,1.59912,2.33887,1.59424,2.44385,33.1545,15.9358,18,615.814,403.944,30.0004,27.1684,30.0012,26.8105,26.7774,22.0806,41.2807,54.4358,30,437.862,17.9567,100.165,100.312
2,1659026164,249.5,20220728 09:36:03,9:36:03,5,Gandalf,8,16,32.2,30.1,31.15,fg,30,LC-102 16-20,16-20,large,10,LCOR-516,1659026156,0.006862506,6.862505647,23.80739663,400.3469355,310.9113719,31.40148158,40.4343104,0.507857622,2.944980417,0.463744933,0.293483964,241.7409007,29.59696102,29.59696102,4.162808728,63.99358656,2.719155658,4.249106519,1.44365307,-302.636499,56.62247004,4.265588819,-0.007539476,23.80739663,6.862505647,23.35938966,434.9988225,411.1623636,0.000422949,67.24873656,6.855497678,19.96588154,26.78176364,-0.027602395,79.34521668,0,0,1,0,52823.96968,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-168-20220728-09_36_04,10144.5,860.6495385,1142.93,0.246979659,0.5,1261.228781,23.80739663,155.748927,0.026988625,1.821843857,761.8464496,-,0,761.8464496,0.333426851,0.740731163,0.845296997,-1.451510037,1.103017863,0.655694777,0.344305223,1500.020968,1261.228781,0.840807434,0.161158348,6,0.5,0: Broadleaf,2,FALSE,1659026156,400.3469355,426.8932903,26.92281935,20.24719032,402.2094516,26.56763226,600.1904194,100.8981613,0.100015094,29.95359355,29.10824516,999.9,0,0,9998.425806,0,460.3215484,1500.020968,0.972995323,0.027005023,0,860.6587742,4.99935,13990.76129,14585.09677,38.98358065,41.84251613,38.70745161,41.94529032,41.06832258,1454.649032,40.37225806,0,248.1000001,0,860.6495385,-2.300376064,-75.69914514,13990.13077,15,1659026130,9:35:30,1659026118,1658950232,2,-0.078,0.002,-1.906,0.052,427,18,0.26,0.17,100,100,-1.862,0.3508,-1.131258388,-0.001994519,4.10E-07,7.06E-11,-0.059605308,-0.004442259,0.000978152,-8.41E-06,4,2101,2,25,0.8,1265.5,1.08154,2.36328,1.59912,2.33765,1.59424,2.30347,33.6254,15.8832,18,616.699,404.208,29.9994,27.7971,30.0006,27.4392,27.3965,21.6841,32.2261,52.4075,30,426.48,19.47,100.067,100.212
3,1659026246,331.5,20220728 09:37:25,9:37:25,5,Gandalf,8,16,32.2,30.1,31.15,fg,30,LC-102 16-20,16-20,large,10,LCOR-516,1659026238,0.007115391,7.115390577,16.77669199,301.859871,238.1016719,24.04801107,30.48752015,0.507430343,2.945539546,0.46339599,0.293259704,241.7431205,29.50028802,29.50028802,4.139680695,62.26455737,2.640911871,4.241436835,1.498768823,-313.7887245,66.99241977,5.04263794,-0.010546235,16.77669199,7.115390577,16.94511545,326.6445686,309.3769818,-0.000909069,67.24873656,7.096507526,19.22640084,26.13571879,-9.36E-05,79.34521668,0,0,1,0,52845.57524,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-169-20220728-09_37_26,10155.5,831.6921154,1061.6,0.216567337,0.5,1261.243123,16.77669199,136.572032,0.021413893,2.038027506,724.8316967,-,0,724.8316967,0.317227113,0.682688609,0.865310905,-0.833592597,1.146100525,0.594972988,0.405027012,1500.038387,1261.243123,0.840807231,0.161157956,6,0.5,0: Broadleaf,2,FALSE,1659026238,301.859871,320.7783548,26.14792258,19.22080323,303.471871,25.81495161,600.1921613,100.8989032,0.10001411,29.92215484,29.00740968,999.9,0,0,10001.53065,0,400.7956452,1500.038387,0.973002871,0.02699689,0,831.7729032,4.99935,13400.5871,14585.29355,37.43919355,40.16703226,37.55619355,37.68922581,39.64083871,1454.676129,40.36258065,0,81.5,0,831.6921154,-6.858564115,-73.49743604,13399.06923,15,1659026271,9:37:50,1659026271,1658950232,3,0.112,0.002,-1.612,0.052,318,18,0.3,0.17,100,100,-1.612,0.3327,-1.131258388,-0.001994519,4.10E-07,7.06E-11,-0.059605308,-0.004442259,0.000978152,-8.41E-06,4,2101,2,25,2.1,1266.9,0.861816,2.35962,1.59912,2.33765,1.59424,2.36938,33.7155,15.8745,18,618.179,404.011,29.9982,27.8681,30,27.5429,27.5017,17.2894,32.0828,51.2029,30,319.929,19.354,100.058,100.205
4,1659026350,435.5,20220728 09:39:09,9:39:09,5,Gandalf,8,16,32.2,30.1,31.15,fg,30,LC-102 16-20,16-20,large,10,LCOR-516,1659026342,0.007223921,7.223921003,9.649671758,201.7903226,164.9005314,16.65483715,20.38068,0.515347227,2.945143622,0.469988292,0.297484596,241.7439776,29.40423816,29.40423816,4.116812753,61.92227584,2.616154723,4.224900793,1.50065803,-318.5749162,71.44481561,5.374131237,-0.011991748,9.649671758,7.223921003,9.885219129,216.5990214,206.5718182,-0.010035702,67.25689768,7.237356273,18.86784609,25.91435273,0.000216805,79.28968443,0,0,1,0,52846.03265,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-170-20220728-09_39_10,10165.2,825.2039615,1012.5,0.184983742,0.5,1261.244544,9.649671758,116.6548675,0.015763085,2.185353086,701.6014819,-,0,701.6014819,0.307060265,0.602434645,0.87680203,-0.576466395,1.1721101,0.51219948,0.48780052,1500.039677,1261.244544,0.840807455,0.161158389,6,0.5,0: Broadleaf,2,FALSE,1659026342,201.7903226,212.8943226,25.90270323,18.86804839,203.1633226,25.57667419,600.183129,100.8993226,0.099970819,29.85420323,29.00006452,999.9,0,0,9999.238387,0,352.5493871,1500.039677,0.972994903,0.027005148,0,825.2223871,4.99935,13152.99032,14585.26774,35.65903226,38.29216129,35.98758065,35.73170968,37.81629032,1454.667742,40.37387097,0,103.0999999,0,825.2039615,-2.21781197,-100.5025641,13152.41154,15,1659026377,9:39:36,1659026377,1658950232,4,0.05,0.002,-1.373,0.052,210,18,0.72,0.17,100,100,-1.373,0.3264,-1.019721761,-0.001994519,4.10E-07,7.06E-11,-0.059605308,-0.004442259,0.000978152,-8.41E-06,4,2101,2,25,1.3,1268.6,0.628662,2.3877,1.59912,2.33765,1.59424,2.36694,33.7606,15.8569,18,619.112,403.755,29.9998,27.8385,29.9997,27.5808,27.5379,12.6258,34.0535,50.4292,30,212.624,18.9019,100.067,100.22
5,1659026498,583.5,20220728 09:41:37,9:41:37,5,Gandalf,8,16,32.2,30.1,31.15,fg,30,LC-102 16-20,16-20,large,10,LCOR-516,1659026490,0.00721742,7.217420027,2.573462595,101.1602258,90.36015371,9.126262882,10.2170567,0.524339075,2.945335294,0.477463249,0.30227614,241.7274936,29.49226501,29.49226501,4.137766314,62.70582459,2.662447686,4.245933617,1.475318628,-318.2882232,71.18960224,5.359215819,-0.011911517,2.573462595,7.217420027,2.706999563,106.2494971,103.4910848,-0.000191895,67.26,7.13399277,19.31902979,26.27352364,-0.002026641,79.23910974,0,0,1,0,52836.47134,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-171-20220728-09_41_38,10146.2,827.2663462,973.67,0.150362704,0.5,1261.162471,2.573462595,94.81589958,0.010153249,2.3123851,682.7344796,-,0,682.7344796,0.298803003,0.503216842,0.885568181,-0.402502359,1.192679383,0.415299728,0.584700272,1499.942581,1261.162471,0.840807167,0.161157831,6,0.5,0: Broadleaf,2,FALSE,1659026490,101.1602258,104.4624839,26.36119355,19.33684194,102.5193226,26.05700645,600.2399032,100.8987419,0.100011458,29.94059355,29.12449032,999.9,0,0,10000.38548,0,347.6488387,1499.942581,0.973004419,0.026995474,0,827.2867742,4.99935,13267.08065,14584.36452,38.11670968,39.88677419,38.15703226,37.80425806,39.69129032,1454.586129,40.35677419,0,147.0999999,0,827.2663462,-1.281401707,16.15384614,13267.41923,15,1659026445,9:40:45,1659026434,1659026445,5,-0.189,-0.036,-1.375,0.116,109,19,0.67,0.03,100,100,-1.359,0.3016,-1.159038094,-0.001994519,4.10E-07,7.06E-11,-0.095502705,-0.004442259,0.000978152,-8.41E-06,4,2101,2,25,1.1,0.9,0.385742,2.42065,1.5979,2.33398,1.59424,2.26807,33.8961,15.8307,18,619.878,404.549,29.9987,27.7193,29.9998,27.5371,27.4955,7.74917,32.112,50.4762,30,103.912,19.3173,100.1,100.252
6,1659026575,661,20220728 09:42:55,9:42:55,5,Gandalf,8,16,32.2,30.1,31.15,fg,30,LC-102 16-20,16-20,large,10,LCOR-516,1659026567,0.007114599,7.114599063,-1.227776379,51.00001,53.9653129,5.450188765,5.150710087,0.4978418,2.945670119,0.455383096,0.288126816,241.7333569,29.48305603,29.48305603,4.135569899,61.60673787,2.610400232,4.237199246,1.525169666,-313.7538187,66.97005821,5.03986652,-0.010537055,-1.227776379,7.114599063,-1.084393228,50.89000296,52.01808364,-0.005161655,67.26,7.125456378,18.99117716,25.92719818,0.000429538,79.23910974,0,0,1,0,52852.27277,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-172-20220728-09_42_56,10139.2,834.02764,957.39,0.128852777,0.5,1261.187789,-1.227776379,81.25377433,0.00713903,2.368710766,674.6897825,-,0,674.6897825,0.295282192,0.436371649,0.889158043,-0.324626125,1.201303332,0.353004479,0.646995521,1499.972,1261.187789,0.840807554,0.16115858,6,0.5,0: Broadleaf,2,FALSE,1659026567,51.00001,50.13538,25.84700667,18.91871667,52.38201,25.55743333,600.2094,100.8943,0.09999563,29.90476333,28.99042333,999.9,0,0,10002.72933,0,349.6772333,1499.972,0.9729925,0.02700772,0,834.0419,4.99935,13434.77,14584.61,39.4206,40.64546667,39.17886667,38.47473333,40.81646667,1454.597333,40.377,0,76.89999986,0,834.02764,-0.911384616,34.06923085,13435.204,15,1659026599,9:43:19,1659026599,1659026445,6,-0.123,-0.036,-1.382,0.116,48,19,0.74,0.03,100,100,-1.382,0.2919,-1.159038094,-0.001994519,4.10E-07,7.06E-11,-0.095502705,-0.004442259,0.000978152,-8.41E-06,4,2101,2,25,2.4,2.2,0.263672,2.42065,1.5979,2.33398,1.59424,2.45117,33.9413,15.8307,18,620.53,404.106,29.9995,27.6158,29.9995,27.4671,27.4271,5.31234,32.4609,49.3412,30,49.4005,19.023,100.124,100.271
7,1659026720,806.0999999,20220728 09:45:20,9:45:20,5,Gandalf,8,16,32.2,30.1,31.15,fg,30,LC-102 16-20,16-20,large,10,LCOR-516,1659026712,0.007154354,7.154354167,-4.034855468,5.809570667,18.86407657,1.905039227,0.586695032,0.52441677,2.945221205,0.477526073,0.302316571,241.7425218,29.67303626,29.67303626,4.181088071,63.45415183,2.719773124,4.286201999,1.461314947,-315.5070188,68.58151742,5.171911548,-0.011067992,-4.034855468,7.154354167,-3.996136436,1.929623035,6.002526303,0.000684794,67.24579422,7.079226468,19.83039081,26.79584182,-0.014862215,79.3592698,0,0,1,0,52804.29762,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-173-20220728-09_45_21,10146.6,856.55176,944.66,0.09326979,0.5,1261.23949,-4.034855468,58.81777132,0.004913086,2.414106663,668.3427986,-,0,668.3427986,0.292504395,0.318866287,0.891929654,-0.224340327,1.208046751,0.248802228,0.751197772,1500.034,1261.23949,0.840807269,0.161158028,6,0.5,0: Broadleaf,2,FALSE,1659026712,5.809570667,1.817849667,26.93173333,19.97279667,7.083177667,26.60670667,600.2361,100.8876333,0.100041333,30.10495667,29.18778667,999.9,0,0,10000.838,0,352.0692667,1500.034,0.973001933,0.026998193,0,856.3217,4.99935,13721.01667,14585.26,38.8372,40.308,38.89146667,38.02893333,40.66226667,1454.67,40.36433333,0,144.5,0,856.55176,16.43338461,139.6923077,13722.72,15,1659026669,9:44:29,1659026659,1659026669,7,0.023,0.005,-1.266,0.132,2,20,0.37,0.02,100,100,-1.274,0.3209,-1.259500579,-0.001994519,4.10E-07,7.06E-11,-0.090919065,-0.004442259,0.000978152,-8.41E-06,4,2101,2,25,1,0.8,0.0317383,4.99756,1.5979,2.33154,1.59424,2.4231,34.0545,15.7694,18,620.905,404.858,30.0003,27.4121,29.9996,27.3095,27.2699,0,29.4965,49.5976,30,52.3606,19.6821,100.159,100.31
8,1659026836,921.5999999,20220728 09:47:15,9:47:15,5,Gandalf,8,16,32.2,30.1,31.15,fg,30,LC-102 16-20,16-20,large,10,LCOR-516,1659026828,0.007103275,7.103274957,20.55546389,399.0182667,320.0081287,32.31648722,40.29544114,0.505979044,2.94556747,0.462184961,0.292483795,241.7405914,29.66277371,29.66277371,4.178618114,62.59340353,2.679266312,4.280429184,1.499351802,-313.2544256,66.49062965,5.012804885,-0.01039965,20.55546389,7.103274957,20.60872134,430.9114703,409.920697,-0.005006735,67.24579422,7.113287709,19.62014089,26.54205818,-6.84E-06,79.3592698,0,0,1,0,52818.33333,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-174-20220728-09_47_16,10160.6,817.93632,1032.31,0.207664054,0.5,1261.231169,20.55546389,130.9561891,0.024410194,2.12422625,711.056755,-,0,711.056755,0.311198424,0.667304326,0.872220058,-0.702648766,1.161616217,0.580107811,0.419892189,1500.024333,1261.231169,0.84080714,0.16115778,6,0.5,0: Broadleaf,2,FALSE,1659026828,399.0182667,422.3992667,26.53094667,19.61873,400.7472667,26.21746667,600.2258333,100.8864667,0.09999061,30.08147667,29.23949333,999.9,0,0,10002.92233,0,357.0723333,1500.024333,0.973005967,0.026994053,0,817.5187667,4.99935,13030.41333,14585.18,36.22263333,38.42273333,36.5935,36.25823333,38.2768,1454.668,40.35766667,0,114.9000001,0,817.93632,36.11738462,504.8923076,13036.328,15,1659026873,9:47:53,1659026873,1659026669,8,0.296,0.005,-1.729,0.132,421,20,0.18,0.02,100,100,-1.729,0.3137,-1.259500579,-0.001994519,4.10E-07,7.06E-11,-0.090919065,-0.004442259,0.000978152,-8.41E-06,4,2101,2,25,2.9,2.8,1.08521,2.40845,1.59912,2.33276,1.59424,2.40601,34.1678,15.7694,18,621.293,405.347,30.0009,27.2851,29.9997,27.1878,27.1526,21.7411,29.377,48.8527,30,422.482,19.6147,100.185,100.335
9,1659026949,1035.1,20220728 09:49:09,9:49:09,5,Gandalf,8,16,32.2,30.1,31.15,fg,30,LC-102 16-20,16-20,large,10,LCOR-516,1659026941,0.00731222,7.312219795,21.93169556,399.5786129,317.9139054,32.10474935,40.35171472,0.521346566,2.944875638,0.474972416,0.300679789,241.7324185,29.64539899,29.64539899,4.17443932,62.3030826,2.672464951,4.289458626,1.501974369,-322.468893,75.06230695,5.660905835,-0.013261702,21.93169556,7.312219795,22.01933212,433.000441,410.5487879,0.001321448,67.25608293,7.310660285,19.32373543,26.43882242,-4.87E-05,79.29666685,0,0,1,0,52792.00258,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-175-20220728-09_49_10,10149.6,834.2898077,1077.54,0.225745858,0.5,1261.185299,21.93169556,142.353679,0.025502303,1.993086104,732.2273601,-,0,732.2273601,0.320463871,0.704434661,0.861483921,-0.936068542,1.137656684,0.618257981,0.381742019,1499.969355,1261.185299,0.840807377,0.161158238,6,0.5,0: Broadleaf,2,FALSE,1659026941,399.5786129,424.4232258,26.46380323,19.34763871,401.2723871,26.15223226,600.2146774,100.8856774,0.099994523,30.11819032,29.35795806,999.9,0,0,9999.067419,0,362.2096452,1499.969355,0.972997871,0.0270023,0,834.2996129,4.99935,13344.18065,14584.60323,37.51790323,39.24570968,37.67116129,38.52393548,39.25977419,1454.602903,40.36806452,0,112.7,0,834.2898077,0.550803426,64.94017092,13344.66538,15,1659026873,9:47:53,1659026873,1659026669,8,0.296,0.005,-1.729,0.132,421,20,0.18,0.02,100,100,-1.694,0.3108,-0.963887281,-0.001994519,4.10E-07,7.06E-11,-0.090919065,-0.004442259,0.000978152,-8.41E-06,4,2101,2,25,1.3,4.7,1.08398,2.39624,1.5979,2.33398,1.59424,2.40601,34.236,15.7519,18,621.496,404.652,30.0002,27.1954,29.9998,27.0885,27.0528,21.7432,31.1322,48.9907,30,424.623,19.3422,100.199,100.355
10,1659027082,1167.6,20220728 09:51:21,9:51:21,5,Gandalf,8,16,32.2,30.1,31.15,fg,30,LC-102 16-20,16-20,large,10,LCOR-516,1659027074,0.007168223,7.168223372,29.1035205,598.2332581,485.7123467,49.04800852,60.41054987,0.507295341,2.944079437,0.463263527,0.293176639,241.7336379,29.8392149,29.8392149,4.221260953,62.66799268,2.712383941,4.328180664,1.508877012,-316.1186507,69.14837032,5.225369528,-0.011272981,29.1035205,7.168223372,28.4623963,644.5428574,615.4780727,0.008075146,67.25839476,7.172585169,19.88679218,26.86435212,-7.24E-05,79.27262328,0,0,1,0,52741.73481,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-176-20220728-09_51_22,10134.2,880.458,1174.73,0.250501817,0.5,1261.193748,29.1035205,157.9656631,0.031188669,1.745456403,775.8459446,-,0,775.8459446,0.339553817,0.737738187,0.837145251,-1.80897147,1.086172558,0.650083458,0.349916542,1499.979677,1261.193748,0.840807224,0.161157942,6,0.5,0: Broadleaf,2,FALSE,1659027074,598.2332581,631.6120323,26.86018065,19.88721613,600.5952581,26.53721935,600.2339677,100.8815484,0.100048765,30.27487419,29.44849355,999.9,0,0,9994.95129,0,405.0323548,1499.979677,0.973001355,0.026998432,0,880.5014516,4.99935,14251.7871,14584.70323,40.27396774,41.15096774,39.93722581,41.5723871,41.84448387,1454.619677,40.36064516,0,131.6000001,0,880.458,-6.888410261,-2.714529813,14251.78462,15,1659027113,9:51:52,1659027113,1659026669,9,-0.319,0.005,-2.362,0.132,630,20,0.12,0.02,100,100,-2.362,0.3231,-0.963887281,-0.001994519,4.10E-07,7.06E-11,-0.090919065,-0.004442259,0.000978152,-8.41E-06,4,2101,2,25,3.5,6.9,1.49414,2.36938,1.5979,2.33276,1.59424,2.43652,34.3042,15.7344,18,621.614,405.036,30.0002,27.0819,29.9997,26.968,26.9319,29.9261,28.1113,49.9269,30,632.553,19.9397,100.219,100.379
