Timestamps,date,hour,mdh, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, kPa Vapor Pressure, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, kPa VPD,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
,,,,,,,,,,,,,,,,,,,,,,
6/28/22 19:00,6/28/22,19:00:00,6 28 19,66,0,0,0,275,1.63,3.09,21.1,1.406,101.31,1.2,0.4,0,22.7,1.09,100,8317,101.22,22.8
6/28/22 19:15,6/28/22,19:15:00,6 28 19,51.7,0,0,0,282,1.64,3.12,20.5,1.413,101.31,1.1,0.5,0,21.4,0.99,100,8282,101.23,21.8
6/28/22 19:30,6/28/22,19:30:00,6 28 19,60.1,0,0,0,284,1.73,3.35,20.1,1.427,101.31,1.1,0.5,0,20.7,0.92,100,8308,101.23,21.1
6/28/22 19:45,6/28/22,19:45:00,6 28 19,116.7,0,0,0,281,1.72,3.16,19.6,1.43,101.31,1,0.5,0,20.4,0.86,100,8304,101.24,20.7
6/28/22 20:00,6/28/22,20:00:00,6 28 20,122.4,0,0,0,278,1.56,2.93,19.1,1.448,101.32,1,0.4,0,20.3,0.76,100,8300,101.25,20.7
6/28/22 20:15,6/28/22,20:15:00,6 28 20,90,0,0,0,272,1.46,3.17,18.6,1.444,101.32,1.1,0.5,0,19.9,0.7,100,8295,101.25,20.3
6/28/22 20:30,6/28/22,20:30:00,6 28 20,60.9,0,0,0,282,1.01,2.77,18.2,1.434,101.34,1,0.5,0,19.2,0.65,100,8297,101.27,19.7
6/28/22 20:45,6/28/22,20:45:00,6 28 20,27.9,0,0,0,256,0.53,1.15,17.6,1.42,101.35,1,0.5,0,18.3,0.59,100,8292,101.28,19
6/28/22 21:00,6/28/22,21:00:00,6 28 21,6.9,0,0,0,233,0.75,1.53,16.4,1.406,101.36,1,0.5,0,17.1,0.46,100,8288,101.29,17.7
6/28/22 21:15,6/28/22,21:15:00,6 28 21,2.1,0,0,0,254,0.81,1.35,15.5,1.361,101.35,0.9,0.5,0,15.9,0.4,100,8286,101.3,16.4
6/28/22 21:30,6/28/22,21:30:00,6 28 21,0,0,0,0,232,0.21,0.6,15,1.351,101.34,0.8,0.6,0,14.9,0.35,100,8280,101.29,15.3
6/28/22 21:45,6/28/22,21:45:00,6 28 21,0,0,0,0,84,0.43,0.78,14.5,1.355,101.34,0.8,0.5,0,14.1,0.29,100,8279,101.3,14.4
6/28/22 22:00,6/28/22,22:00:00,6 28 22,0,0,0,0,77,0.64,1.08,13.9,1.351,101.35,0.7,0.5,0,13.6,0.23,100,8277,101.31,13.8
6/28/22 22:15,6/28/22,22:15:00,6 28 22,0,0,0,0,68,0.64,1.33,13.5,1.341,101.35,0.7,0.5,0,13,0.2,100,8276,101.32,13.2
6/28/22 22:30,6/28/22,22:30:00,6 28 22,0,0,0,0,113,0.42,1.08,13.2,1.342,101.36,0.6,0.5,0,12.7,0.18,100,8274,101.33,12.7
6/28/22 22:45,6/28/22,22:45:00,6 28 22,0,0,0,0,69,0.6,1.12,13.2,1.351,101.37,0.7,0.5,0,12.5,0.16,100,8272,101.34,12.5
6/28/22 23:00,6/28/22,23:00:00,6 28 23,0,0,0,0,68,0.33,1.04,12.6,1.339,101.37,0.7,0.5,0,12.2,0.12,100,8273,101.34,12.2
6/28/22 23:15,6/28/22,23:15:00,6 28 23,0,0,0,0,46,0.29,0.6,12.3,1.314,101.38,0.7,0.6,0,11.8,0.11,100,8268,101.35,11.8
6/28/22 23:30,6/28/22,23:30:00,6 28 23,0,0,0,0,81,0.77,1.16,12.2,1.313,101.37,0.7,0.5,0,11.6,0.11,100,8268,101.35,11.6
6/28/22 23:45,6/28/22,23:45:00,6 28 23,0,0,0,0,90,0.72,1.31,12.5,1.319,101.37,0.7,0.5,0,11.6,0.13,100,8269,101.35,11.6
6/29/22 0:00,6/29/22,0:00:00,6 29 0,0,0,0,0,85,0.78,2.08,12.7,1.329,101.39,0.7,0.5,0,11.7,0.13,100,8268,101.37,11.6
6/29/22 0:15,6/29/22,0:15:00,6 29 0,0,0,0,0,85,0.56,1.06,12.2,1.325,101.39,0.7,0.6,0,11.6,0.1,100,8238,101.38,11.7
6/29/22 0:30,6/29/22,0:30:00,6 29 0,0,0,0,0,94,0.41,0.72,12.1,1.309,101.39,0.6,0.6,0,11.4,0.1,100,8250,101.38,11.4
6/29/22 0:45,6/29/22,0:45:00,6 29 0,0,0,0,0,96,0.45,0.82,11.9,1.301,101.38,0.7,0.6,0,11.2,0.09,100,8250,101.37,11.1
6/29/22 1:00,6/29/22,1:00:00,6 29 1,0,0,0,0,66,0.18,0.36,11.3,1.271,101.38,0.7,0.5,0,10.9,0.07,100,8249,101.37,10.8
6/29/22 1:15,6/29/22,1:15:00,6 29 1,0,0,0,0,328,0.28,0.53,11.1,1.251,101.37,0.6,0.5,0,10.6,0.07,100,8248,101.37,10.5
6/29/22 1:30,6/29/22,1:30:00,6 29 1,0,0,0,0,300,0.39,0.75,10.6,1.217,101.37,0.6,0.6,0,10.2,0.06,100,8248,101.37,10.1
6/29/22 1:45,6/29/22,1:45:00,6 29 1,0,0,0,0,71,0.27,0.49,10.5,1.197,101.37,0.6,0.5,0,9.9,0.07,100,8245,101.37,9.9
6/29/22 2:00,6/29/22,2:00:00,6 29 2,0,0,0,0,48,0.39,0.9,10.7,1.203,101.37,0.5,0.5,0,9.9,0.08,100,8244,101.37,9.7
6/29/22 2:15,6/29/22,2:15:00,6 29 2,0,0,0,0,85,0.39,0.82,10.6,1.214,101.38,0.7,0.5,0,10,0.06,100,8244,101.38,9.9
6/29/22 2:30,6/29/22,2:30:00,6 29 2,0,0,0,0,88,0.52,0.83,10.9,1.239,101.38,0.6,0.5,0,10.2,0.06,100,8241,101.38,10.2
6/29/22 2:45,6/29/22,2:45:00,6 29 2,0,0,0,0,86,0.63,0.95,11.4,1.272,101.38,0.6,0.5,0,10.7,0.08,100,8242,101.38,10.8
6/29/22 3:00,6/29/22,3:00:00,6 29 3,0,0,0,0,90,0.41,1.17,11.8,1.315,101.39,0.7,0.5,0,11.2,0.07,100,8246,101.38,11.2
6/29/22 3:15,6/29/22,3:15:00,6 29 3,0,0,0,0,109,0.27,0.6,12,1.341,101.39,0.7,0.5,0,11.4,0.06,100,8244,101.39,11.6
6/29/22 3:30,6/29/22,3:30:00,6 29 3,0,0,0,0,89,0.46,0.71,12.3,1.365,101.4,0.7,0.6,0,11.7,0.06,100,8241,101.39,11.9
6/29/22 3:45,6/29/22,3:45:00,6 29 3,0,0.017,0,0,109,0.51,0.68,12.4,1.384,101.41,0.7,0.6,1,11.9,0.06,100,8242,101.39,12.1
6/29/22 4:00,6/29/22,4:00:00,6 29 4,0,0,0,0,88,0.46,0.92,12.5,1.397,101.4,0.7,0.6,0,12.1,0.05,100,8243,101.39,12.3
6/29/22 4:15,6/29/22,4:15:00,6 29 4,0,0,0,0,94,0.57,0.84,12.6,1.4,101.41,0.7,0.5,0,12.1,0.06,100,8240,101.39,12.4
6/29/22 4:30,6/29/22,4:30:00,6 29 4,0,0,0,0,72,0.49,0.72,12.6,1.405,101.41,0.7,0.5,0,12.1,0.05,100,8241,101.4,12.4
6/29/22 4:45,6/29/22,4:45:00,6 29 4,0,0,0,0,81,0.48,0.84,12.6,1.407,101.42,0.7,0.6,0,12.2,0.05,100,8239,101.4,12.5
6/29/22 5:00,6/29/22,5:00:00,6 29 5,0,0,0,0,123,0.45,0.77,12.6,1.413,101.42,0.7,0.5,0,12.3,0.05,100,8237,101.4,12.6
6/29/22 5:15,6/29/22,5:15:00,6 29 5,0,0,0,0,92,0.4,0.8,12.7,1.413,101.42,0.8,0.5,0,12.3,0.06,100,8237,101.41,12.6
6/29/22 5:30,6/29/22,5:30:00,6 29 5,0,0,0,0,106,0.31,0.49,12.8,1.417,101.43,0.7,0.6,0,12.4,0.06,100,8236,101.42,12.7
6/29/22 5:45,6/29/22,5:45:00,6 29 5,2.2,0,0,0,33,0.2,0.46,12.8,1.423,101.44,0.7,0.5,0,12.5,0.06,100,8232,101.43,12.8
6/29/22 6:00,6/29/22,6:00:00,6 29 6,7.9,0,0,0,154,0.38,0.62,12.9,1.427,101.45,0.8,0.5,0,12.6,0.06,100,8235,101.44,12.8
6/29/22 6:15,6/29/22,6:15:00,6 29 6,15.5,0,0,0,28,0.27,0.53,13,1.429,101.46,0.8,0.6,0,12.7,0.06,100,8235,101.44,12.9
6/29/22 6:30,6/29/22,6:30:00,6 29 6,27,0,0,0,95,0.47,1.29,13.1,1.425,101.46,0.8,0.6,0,12.9,0.08,100,8235,101.45,13
6/29/22 6:45,6/29/22,6:45:00,6 29 6,40.7,0,0,0,66,1.23,2.21,13,1.424,101.46,0.8,0.6,0,13,0.08,100,8231,101.45,13
6/29/22 7:00,6/29/22,7:00:00,6 29 7,51.3,0,0,0,73,0.83,1.73,13,1.428,101.47,0.8,0.5,0,13.1,0.07,100,8232,101.45,13.1
6/29/22 7:15,6/29/22,7:15:00,6 29 7,61.6,0,0,0,66,0.75,1.53,13.1,1.425,101.47,0.8,0.5,0,13.2,0.08,100,8229,101.46,13.3
6/29/22 7:30,6/29/22,7:30:00,6 29 7,73.3,0,0,0,83,0.83,1.41,13.2,1.433,101.48,0.8,0.6,0,13.4,0.08,100,8229,101.46,13.4
6/29/22 7:45,6/29/22,7:45:00,6 29 7,80.7,0,0,0,80,0.66,1.61,13.3,1.431,101.49,0.8,0.5,0,13.6,0.09,100,8230,101.47,13.6
6/29/22 8:00,6/29/22,8:00:00,6 29 8,86.6,0,0,0,70,0.85,1.61,13.4,1.429,101.5,0.8,0.5,0,13.8,0.11,100,8227,101.48,13.9
6/29/22 8:15,6/29/22,8:15:00,6 29 8,104.3,0,0,0,78,1,1.97,13.5,1.401,101.51,0.8,0.6,0,13.9,0.14,100,8227,101.49,14.1
6/29/22 8:30,6/29/22,8:30:00,6 29 8,137.3,0,0,0,82,0.91,2.02,13.5,1.396,101.51,0.9,0.5,0,14.2,0.15,100,8229,101.49,14.4
6/29/22 8:45,6/29/22,8:45:00,6 29 8,144.8,0,0,0,72,0.78,1.55,13.7,1.397,101.51,0.9,0.6,0,14.4,0.17,100,8230,101.49,14.8
6/29/22 9:00,6/29/22,9:00:00,6 29 9,130.7,0,0,0,75,0.85,1.88,13.8,1.391,101.51,0.9,0.5,0,14.6,0.19,100,8231,101.48,15
6/29/22 9:15,6/29/22,9:15:00,6 29 9,147.9,0,0,0,79,0.69,1.86,13.9,1.389,101.52,0.7,0.4,0,14.9,0.2,100,8232,101.49,15.3
6/29/22 9:30,6/29/22,9:30:00,6 29 9,190.7,0,0,0,74,0.78,1.79,14.1,1.393,101.51,1,0.7,0,15.2,0.21,100,8232,101.48,15.6
6/29/22 9:45,6/29/22,9:45:00,6 29 9,242.4,0,0,0,32,0.73,1.68,14.3,1.399,101.5,0.9,0.5,0,15.7,0.23,100,8235,101.47,16.1
6/29/22 10:00,6/29/22,10:00:00,6 29 10,263.7,0,0,0,266,1.04,1.9,14.6,1.403,101.5,1,0.5,0,16.3,0.26,100,8238,101.47,16.6
6/29/22 10:15,6/29/22,10:15:00,6 29 10,259.1,0,0,0,267,1.43,2.66,14.8,1.407,101.51,1,0.5,0,16.6,0.28,100,8240,101.47,17
6/29/22 10:30,6/29/22,10:30:00,6 29 10,268.4,0,0,0,270,1.45,2.37,14.9,1.389,101.51,1,0.5,0,16.8,0.3,100,8244,101.47,17.1
6/29/22 10:45,6/29/22,10:45:00,6 29 10,334.2,0,0,0,263,1.65,2.63,15.2,1.414,101.5,1,0.5,0,17.1,0.31,100,8250,101.46,17.3
6/29/22 11:00,6/29/22,11:00:00,6 29 11,435.7,0,0,0,273,1.44,2.49,15.4,1.403,101.5,1,0.6,0,17.8,0.35,100,8263,101.46,17.9
6/29/22 11:15,6/29/22,11:15:00,6 29 11,431.7,0,0,0,258,1.56,3.23,15.7,1.411,101.51,1.1,0.6,0,18.4,0.37,100,8267,101.46,18.5
6/29/22 11:30,6/29/22,11:30:00,6 29 11,434.3,0,0,0,291,1.49,2.93,15.9,1.378,101.5,1,0.6,0,18.8,0.42,100,8273,101.45,18.9
6/29/22 11:45,6/29/22,11:45:00,6 29 11,484.6,0,0,0,251,1.52,3.16,16.2,1.373,101.49,1.1,0.5,0,19.2,0.47,100,8280,101.45,19.3
6/29/22 12:00,6/29/22,12:00:00,6 29 12,956.5,0,0,0,211,1.2,4.58,17.3,1.419,101.46,1.1,0.5,0,20.8,0.56,100,8311,101.42,20.4
6/29/22 12:15,6/29/22,12:15:00,6 29 12,873.9,0,0,0,220,1.31,2.88,17.9,1.414,101.44,1.3,0.5,0,22.7,0.63,100,8325,101.4,22.3
6/29/22 12:30,6/29/22,12:30:00,6 29 12,613.4,0,0,0,92,1.44,4.01,17.7,1.389,101.45,1.3,0.5,0,22.4,0.64,100,8332,101.39,22.6
