Obs#,Time,Observation,ID,,,time(hour),leaf,gsw,E_apparent,VPDleaf,Fs,Fm',PhiPS2,ETR,Tleaf,Qamb
1,10:59:18,1,717 Control 3,,,10,16,0.517351,5.776072,1.296363,128.585815,245.907471,0.477097,260.663696,23.38,1366
2,11:01:29,2,Ptmyb_Control_2,,,10,15,0.535422,6.616686,1.440889,95.431923,215.142349,0.556424,309.934967,24.55,1393
3,11:02:51,3,Ptmyb_122_1,,,10,16,0.186591,2.800301,1.572611,81.509109,258.148804,0.684255,426.694489,24.88,1559
4,11:03:50,4,Ptmyb_124_4,,,10,15,0.261389,4.838596,1.980802,94.774246,229.344437,0.58676,403.245728,27.37,1718
5,11:04:48,5,Vvmyb_59-3,,,10,17,0.274839,5.707816,2.228988,48.507214,97.416016,0.502061,363.529816,28.52,1810
6,11:05:27,6,Ptmyb_92-2_3,,,10,15,0.454526,7.143479,1.784355,116.941093,240.147522,0.513045,353.509766,26.88,1723
7,11:07:37,7,Vvmyb_68-1,,,10,13,0.463556,7.175294,1.762259,87.398529,160.239685,0.454576,299.159851,26.85,1645
8,11:08:32,8,717 control   ,,,10,16,0.244737,4.015765,1.74765,66.436172,87.886818,0.244071,142.800568,26.59,1463
9,11:10:52,9,Ptmyb_131-1_1,,,10,17,0.249246,5.088354,2.172168,97.926735,201.40416,0.51378,353.555847,28.65,1720
10,11:11:52,10,Ptmyb_Control_5,,,10,19,0.325362,5.379608,1.803584,197.800034,328.618103,0.398085,232.6586,27.36,1461
11,11:12:52,11,Ptmyb_125-1_3,,,10,15,0.318743,6.381232,2.175533,88.678482,181.502197,0.511419,374.96347,28.96,1833
12,11:14:07,12,Ptmyb_125-1_1,,,10,16,0.418979,7.283325,1.948135,128.327606,297.725555,0.568973,412.483063,28.3,1812
13,11:16:11,13,Ptmyb_122_5,,,10,16,0.389261,6.420972,1.834354,114.661934,324.050415,0.64616,362.429626,27.41,1402
14,11:17:13,14,Vvmyb 84-1_4,,,10,7,0.153603,3.693579,2.475463,14.602304,32.53381,0.551165,391.894867,30.28,1778
15,11:18:27,15,717_CONTROL_2,,,10,16,0.470973,5.994608,1.453873,100.643631,363.20816,0.722904,456.244141,25.35,1578
16,11:20:44,16,Vvmyb 7-1,,,10,10,0.225193,3.907277,1.834529,57.870983,163.699677,0.646481,336.162292,27.33,1300
17,11:23:08,17,Ptmyb_131-1_2,,,10,16,0.198813,4.155036,2.188139,160.934326,274.977936,0.414737,273.836884,28.68,1651
18,11:24:59,18,Ptmyb_30_4,,,10,16,0.185249,4.083683,2.297112,135.741943,243.53476,0.442618,302.155457,29.1,1707
19,11:25:54,19,VVmybA1_84-1_1,,,10,9,0.103198,2.588605,2.541914,22.158981,41.187702,0.462,295.604279,30.15,1600
20,11:26:41,20,Vvmyb 57-1,,,10,15,0.405194,7.184237,1.978686,61.999798,152.42421,0.593242,408.612915,28.46,1722
