SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Observation,ID,Leaf,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,,,,,,,,,,,,,,,,,,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,10:08:47,8/15/22,Auto gsw+F,LI-COR Default,,1,,,0.490529,2.91825,0.419941,4.876856,1.699344,1.562205,2.847847,1.148503,15.441389,16.796911,28.14912,0.441786,PSF-00281_20220815100847,0,0,0,94.777107,1000.89856,0.905308,0.5,0.8,145.006439,51.87,47.68,25.5,23.16,101.17,156.3,156.9,-0.4,400,4.089,20,-149,169,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,9:58:41,8/15/22,-0.73,0.002,0.001,0.009,0.028,0.373,1.912,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,367.594238,25,-566.639587,0.711679,189.185577,-188.473892,2.486408,2.517907,1.657042,0.932826,0.267303,-0.025436,0.132231,0.478876,94.777107,0.001072,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20220815100847,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
2,10:09:18,8/15/22,Auto gsw+F,LI-COR Default,Flag,2,LCOR-038,12,0.500337,2.918548,0.427115,4.979902,1.699708,1.559707,2.852735,1.153027,15.416884,16.800718,28.197784,0.441786,PSF-00281_20220815100918,0,0,0,92.517258,395.622589,0.766148,0.5,0.8,93.138145,51.68,47.43,25.57,23.19,101.17,156.3,156.8,-0.3,304,4.088,20,-141,173,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:09:05,8/15/22,-0.67,0.002,0.002,0.013,0.069,-0.006,-0.103,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,374.354492,25,-14.549868,384.006134,374.779846,9.226288,2.486069,2.51757,1.657358,0.932737,0.266633,-0.025835,0.135328,0.389126,92.517258,0.001084,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20220815100918,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
3,10:10:10,8/15/22,Auto gsw+F,LI-COR Default,,3,LCOR-038,13,0.706181,2.920192,0.568663,6.119772,1.724583,1.552816,2.78896,1.064377,15.349951,17.047903,27.569513,0.441786,PSF-00281_20220815101010,0,0,0,88.011864,368.352356,0.761066,0.5,0.8,193.507782,52.37,47.15,25.59,22.82,101.16,156.5,157.4,-0.6,636,4.083,13,-154,166,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:09:05,8/15/22,-0.67,0,-0.001,0.015,0.087,0.458,1.191,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,350.947021,25,-11.28894,363.213654,352.180908,11.032745,2.485716,2.518475,1.659109,0.934203,0.2664,-0.030182,0.140615,0.697599,88.011864,0.001101,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20220815101010,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
4,10:14:04,8/15/22,Auto gsw+F,LI-COR Default,,4,LCOR-444,10,0.688826,2.918449,0.557291,7.781225,1.813146,1.594627,3.190768,1.377622,15.762286,17.922264,31.539541,0.441786,PSF-00281_20220815101404,0,0,0,110.308525,359.17572,0.692884,0.5,0.8,227.973236,54.72,48.13,25.69,25.06,101.17,156.3,156.5,-0.1,823,4.082,20,-164,170,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:09:05,8/15/22,-0.67,0,0.002,0.034,0.551,2.025,5.368,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,325.462097,25,-23.020657,327.636475,326.198547,1.437927,2.486951,2.521553,1.657253,0.93185,0.265303,-0.006528,0.163757,0.8714,110.308525,0.001086,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20220815101404,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
5,10:14:49,8/15/22,Auto gsw+F,LI-COR Default,,5,LCOR-444,11,0.834141,2.919176,0.648761,9.067974,1.801272,1.546739,3.180474,1.379202,15.289311,17.805332,31.438562,0.441786,PSF-00281_20220815101449,0,0,0,105.484131,244.872498,0.569228,0.5,0.8,300.493652,54.2,46.54,25.74,25,101.16,156.4,154.8,1,1320,4.081,-5,-176,168,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:09:05,8/15/22,-0.67,0.004,0.002,0.015,-0.2,-1.738,-1.935,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,221.507553,25,-16.059656,221.058731,221.866989,-0.808258,2.484898,2.520858,1.658026,0.927556,0.264766,-0.007713,0.167919,1.333732,105.484131,0.001098,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20220815101449,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
6,10:15:43,8/15/22,Auto gsw+F,LI-COR Default,,6,LCOR-050,11,0.751827,2.919142,0.59785,8.777849,1.777167,1.530691,3.225896,1.44873,15.129441,17.565622,31.884953,0.441786,PSF-00281_20220815101543,0,0,0,131.840225,306.682556,0.570108,0.5,0.8,408.263214,53.21,45.83,25.83,25.24,101.17,156.4,153.1,2.1,1790,4.078,-16,166,150,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:09:05,8/15/22,-0.67,0.003,0.001,0.009,-3.13,-4.147,-8.471,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,278.3078,25,-19.589151,279.273376,278.621033,0.652344,2.483959,2.519537,1.65799,0.923286,0.263872,-0.006004,0.173025,1.771289,131.840225,0.001083,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20220815101543,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
7,10:16:37,8/15/22,Auto gsw+F,LI-COR Default,,7,LCOR-050,13,0.812969,2.921118,0.635973,9.779116,1.892401,1.618554,3.407365,1.514964,15.997767,18.704462,33.678345,0.441786,PSF-00281_20220815101637,0,0,0,138.907669,300.574829,0.53786,0.5,0.8,353.556549,56.17,48.04,25.98,26.17,101.17,156.6,155,1.1,1643,4.077,-10,171,162,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:09:05,8/15/22,-0.67,0.008,-0.003,0.05,-1.523,1.426,11.257,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,269.688599,25,-21.719551,266.999969,269.461517,-2.461548,2.486786,2.523399,1.660098,0.92797,0.262334,0.002751,0.178087,1.634652,138.907669,0.001078,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20220815101637,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
8,10:17:47,8/15/22,Auto gsw+F,LI-COR Default,,8,LCOR-597,11,0.95656,2.919461,0.720491,7.410802,1.840813,1.632908,2.857296,1.016482,16.139723,18.194664,28.24161,0.441786,PSF-00281_20220815101747,0,0,0,86.400391,374.854126,0.769509,0.5,0.8,39.137672,53.87,47.79,26.21,23.22,101.17,156.4,156.5,0,127,4.077,44,-149,178,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:09:05,8/15/22,-0.67,-0.005,-0.003,0.021,0.171,0.533,1.454,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,367.076752,25,-4.794307,384.810455,367.986267,16.824188,2.486418,2.520346,1.658329,0.931876,0.259855,-0.032863,0.184315,0.224753,86.400391,0.00108,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20220815101747,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
