flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00281_20220815105134,10:51:34,2022-08-15,PFA-00299,PSA-00311,PSF-00281,0.000000,0.000000,0.000000,0.663535,1.934409,-1.915309,354.265778

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,0.425577,6980.787598,1
0.010000,0.640512,6980.787598,1
0.020000,0.641584,6980.787598,1
0.030000,0.638723,6980.787598,1
0.040000,0.650883,6980.787598,1
0.050000,0.646234,6980.787598,1
0.060000,0.638723,6980.787598,1
0.070000,0.639796,6980.787598,1
0.080000,0.640869,6980.787598,1
0.090000,0.643730,6980.787598,1
0.100000,0.639796,6980.787598,1
0.110000,0.642300,6980.787598,1
0.120000,0.640512,6980.787598,1
0.130000,0.645518,6980.787598,1
0.140000,0.641942,6980.787598,1
0.150000,0.646234,6980.787598,1
0.160000,0.644445,6980.787598,1
0.170000,0.643730,6980.787598,1
0.180000,0.636578,6980.787598,1
0.190000,0.644803,6980.787598,1
0.200000,0.634074,6980.787598,1
0.210000,0.645518,6980.787598,1
0.220000,0.640154,6980.787598,1
0.230000,0.638008,6980.787598,1
0.240000,0.644445,6980.787598,1
0.250000,0.647306,6980.787598,1
0.260000,0.638723,6980.787598,1
0.270000,0.644088,6980.787598,1
0.280000,0.636220,6980.787598,1
0.290000,0.651598,6980.787598,1
0.300000,0.644088,6922.618164,2
0.310000,0.639439,6864.448242,2
0.320000,0.635147,6806.278809,2
0.330000,0.646591,6748.108887,2
0.340000,0.636220,6689.939453,2
0.350000,0.633359,6631.769531,2
0.360000,0.648022,6573.600098,2
0.370000,0.640869,6515.430176,2
0.380000,0.640512,6457.260742,2
0.390000,0.639796,6399.090820,2
0.400000,0.636935,6340.921387,2
0.410000,0.638723,6282.751465,2
0.420000,0.638723,6224.582031,2
0.430000,0.644803,6166.412109,2
0.440000,0.631928,6108.242676,2
0.450000,0.630140,6050.072754,2
0.460000,0.631571,5991.903320,2
0.470000,0.635505,5933.733398,2
0.480000,0.636220,5875.563965,2
0.490000,0.639796,5817.394043,2
0.500000,0.633001,5759.224609,2
0.510000,0.644803,5701.054688,2
0.520000,0.640512,5642.885254,2
0.530000,0.625849,5584.715332,2
0.540000,0.633717,5526.545898,2
0.550000,0.634432,5468.375977,2
0.560000,0.634789,5410.206543,2
0.570000,0.629425,5352.036621,2
0.580000,0.639439,5293.867188,2
0.590000,0.635147,5235.697266,2
0.600000,0.640512,6980.787598,3
0.610000,0.634074,6980.787598,3
0.620000,0.638723,6980.787598,3
0.630000,0.631928,6980.787598,3
0.640000,0.643373,6980.787598,3
0.650000,0.638366,6980.787598,3
0.660000,0.634432,6980.787598,3
0.670000,0.633717,6980.787598,3
0.680000,0.642300,6980.787598,3
0.690000,0.634432,6980.787598,3
0.700000,0.636578,6980.787598,3
0.710000,0.635505,6980.787598,3
0.720000,0.636220,6980.787598,3
0.730000,0.631571,6980.787598,3
0.740000,0.627637,6980.787598,3
0.750000,0.641942,6980.787598,3
0.760000,0.637650,6980.787598,3
0.770000,0.634789,6980.787598,3
0.780000,0.636220,6980.787598,3
0.790000,0.638008,6980.787598,3
0.800000,0.624776,6980.787598,3
0.810000,0.633001,6980.787598,3
0.820000,0.639439,6980.787598,3
0.830000,0.639081,6980.787598,3
0.839999,0.633717,6980.787598,3
0.849999,0.640512,6980.787598,3
0.859999,0.636220,6980.787598,3
0.869999,0.631213,6980.787598,3
0.879999,0.630140,6980.787598,3
0.889999,0.639081,6980.787598,3
