Row,Column,ID,soil moisture,fv/fm,obs,Bar,MPa,
3,45,LCOR-316,0.104,0.8,2,8,-0.8,
5,45,LCOR-304,0.124,0.82,3,7,-0.7,
7,45,LCOR-439,0.276,0.84,4,6.5,-0.65,
12,45,LCOR-234,0.357,0.81,5,5,-0.5,
14,45,LCOR-519,0.204,0.81,6,4,-0.4,
3,46,LCOR-190,0.223,0.81,13,4,-0.4,
5,46,LCOR-446,0.214,0.83,12,4.5,-0.45,
7,46,LCOR-492,0.272,0.83,11,5.5,-0.55,
10,46,LCOR-432,0.295,0.82,10,4.5,-0.45,
11,46,LCOR-025,0.36,0.82,9,6,-0.6,
14,46,LCOR-155,0.185,0.84,8,6,-0.6,
15,46,LCOR-490,0.117,0.84,7,4.5,-0.45,
2,47,LCOR-374,0.119,0.84,14,6.5,-0.65,
4,47,LCOR-232,0.189,0.82,15,4.5,-0.45,
6,47,LCOR-419,0.21,0.85,16,7.5,-0.75,
8,47,LCOR-480,0.265,0.85,17,6.5,-0.65,
10,47,LCOR-453,0.277,0.85,18,5.5,-0.55,
13,47,LCOR-216,0.298,0.82,19,6,-0.6,
15,47,LCOR-426,0.187,0.85,20,3.5,-0.35,
7,48,LCOR-509,0.244,0.84,21,4.5,-0.45,
8,48,LCOR-549,0.363,0.85,22,4,-0.4,
13,48,LCOR-555,0.228,0.8,23,5.5,-0.55,
3,49,LCOR-270,/,0.85,27,/,#VALUE!,diseased
6,49,LCOR-029,0.266,0.82,26,4.5,-0.45,
9,49,LCOR-586,0.296,0.81,25,5.5,-0.55,
13,49,LCOR-615,0.235,0.81,24,4.5,-0.45,
2,50,LCOR-500,0.179,0.84,28,4.5,-0.45,
8,50,LCOR-501,0.259,0.82,29,6.5,-0.65,
12,50,LCOR-081,0.32,0.83,30,5.5,-0.55,
4,51,LCOR-219,0.227,0.84,36,6,-0.6,
5,51,LCOR-532,0.223,0.85,35,3.5,-0.35,
7,51,LCOR-479,0.281,0.88,34,3.5,-0.35,
9,51,LCOR-108,0.239,?,33,0.5,-0.05,
11,51,LCOR-225,0.36,0.85,32,5.5,-0.55,
14,51,LCOR-567,0.224,0.85,31,7.5,-0.75,
3,52,LCOR-389,0.194,0.85,37,4.5,-0.45,
7,52,LCOR-465,0.201,0.84,38,4.5,-0.45,
13,52,LCOR-187,0.279,0.84,39,6,-0.6,
15,52,LCOR-576,0.353,0.84,40,4,-0.4,
4,53,LCOR-407,0.192,0.84,43,4,-0.4,
7,53,LCOR-097,0.118,0.84,42,5.5,-0.55,
13,53,LCOR-050,0.218,0.85,41,9.5,-0.95,
Priority 2,,,,,,,0,
,,,,,,,,
Row,Column,ID,Soil Mositure (m/ m3),Fv/Fm,obs,Bar,mPA,
6,45,LCOR-494,,,,,,
8,45,LCOR-378,,,,,,
8,46,LCOR-311,,,,,,
11,47,LCOR-223,,,,,,
14,47,LCOR-159,,,,,,
9,48,LCOR-466,,,,,,
10,48,LCOR-547,,,,,,
7,49,LCOR-056,,,,,,
11,50,LCOR-172,,,,,,
15,51,LCOR-413,,,,,,
6,52,LCOR-430,,,,,,
6,53,LCOR-566,,,,,,
,,,,,,,,
Priority 3,,,,,,,,
Row,Column,ID,Soil Mositure (m/ m3),Fv/Fm,obs,Bar,mPA,
13,46,LCOR-102,,,,,,
7,47,LCOR-365,,,,,,
4,48,LCOR-153,,,,,,
6,48,LCOR-412,,,,,,
12,48,LCOR-464,,,,,,
15,48,LCOR-447,,,,,,
11,49,LCOR-477,,,,,,
6,50,LCOR-457,,,,,,
13,50,LCOR-210,,,,,,
6,51,LCOR-431,,,,,,
5,53,LCOR-580,,,,,,
3,54,LCOR-038,,,,,,
Extra,,,,,,,,
,,,,,,,,
Row,Column,ID,Soil Mositure (m/ m3),Fv/Fm,obs,Bar,mPA,
4,45,LCOR-100,,,,,,
11,45,LCOR-371,,,,,,
13,45,LCOR-461,,,,,,
2,46,LCOR-112,,,,,,
4,46,LCOR-313,,,,,,
6,46,LCOR-032,,,,,,
9,46,LCOR-523,,,,,,
3,47,LCOR-521,,,,,,
5,47,LCOR-315,,,,,,
9,47,LCOR-433,,,,,,
3,48,LCOR-505,,,,,,
14,48,LCOR-189,,,,,,
8,49,LCOR-578,,,,,,
10,49,LCOR-531,,,,,,
12,49,LCOR-460,,,,,,
15,49,LCOR-456,,,,,,
4,50,LCOR-375,,,,,,
5,50,LCOR-208,,,,,,
7,50,LCOR-440,,,,,,
10,50,LCOR-262,,,,,,
14,50,LCOR-417,,,,,,
15,50,LCOR-390,,,,,,
10,51,LCOR-312,,,,,,
13,51,LCOR-478,,,,,,
3,52,LCOR-389,,,,,,
4,52,LCOR-246,,,,,,
9,52,LCOR-183,,,,,,
12,52,LCOR-215,,,,,,
3,53,LCOR-288,,,,,,
10,53,LCOR-451,,,,,,
14,53,LCOR-444,,,,,,
