Obs#,Time,Date,configName,configAuthor,ID,,,,Fv/Fm,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
2,5:02:43,8/19/22,Night sampling,CH,LCOR-316,,,,0.802651,0.052256,2.918551,0.051337,0.425216,1.471904,1.459968,2.291131,0.819228,14.485463,14.603888,22.732073,0.441786,PSF-00336_20220819050243,105.552078,534.849304,0,0,0,0.5,0.8,0.022676,58.34,57.86,21.18,19.61,100.79,156.3,153,2.1,0,4.11,8,179,88,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,4:59:20,8/19/22,-0.49,0,-0.001,-0.002,-0.534,-0.745,-2.296,1,150,0.005,2,1,rectangular,6000,5,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.477089,2.466258,1.658546,0.921695,0.317816,-0.017767,0.108477,0.106841,105.552078,0.00159,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220819050243,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-08-18T22:29:00.659Z
3,5:03:57,8/19/22,Night sampling,CH,LCOR-304,,,,0.819668,0.048484,2.917864,0.047692,0.361998,1.482296,1.472129,2.233304,0.751007,14.604529,14.705392,22.155899,0.441786,PSF-00336_20220819050357,100.168701,555.469421,0,0,0,0.5,0.8,0.014918,59.49,59.08,20.97,19.2,100.8,156.2,151.9,2.8,0,4.109,32,-166,86,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,4:59:20,8/19/22,-0.49,-0.002,-0.001,-0.007,-0.458,-0.84,-2.073,1,150,0.005,2,1,rectangular,6000,5,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.478787,2.467894,1.657817,0.919119,0.32044,-0.020012,0.117104,0.106818,100.168701,0.001579,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220819050357,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-08-18T22:29:00.659Z
4,5:05:02,8/19/22,Night sampling,CH,LCOR-439,,,,0.84392,0.047438,2.915222,0.046678,0.342161,1.482372,1.472743,2.20772,0.725348,14.610722,14.706255,21.902254,0.441786,PSF-00336_20220819050502,83.084824,532.322632,0,0,0,0.5,0.8,0.035241,60.14,59.75,20.8,19.02,100.8,155.9,155,0.6,0,4.107,-23,170,117,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,4:59:20,8/19/22,-0.49,-0.002,-0.004,-0.027,-0.082,-0.468,-0.907,1,150,0.005,2,1,rectangular,6000,5,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.479727,2.468826,1.655025,0.926697,0.322697,-0.02007,0.124235,0.106872,83.084824,0.001588,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220819050502,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-08-18T22:29:00.659Z
5,5:06:52,8/19/22,Night sampling,CH,LCOR-234,,,,0.806901,0.100953,2.916527,0.097576,0.776625,1.494879,1.473048,2.282104,0.787225,14.614153,14.830741,22.640823,0.441786,PSF-00336_20220819050652,104.586121,541.618835,0,0,0,0.5,0.8,0.094273,61.64,60.74,20.53,19.55,100.8,156.1,154.1,1.2,0,4.104,-38,-131,9,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,4:59:20,8/19/22,-0.49,0.001,0.002,-0.001,-0.333,0.229,-1.681,1,150,0.005,2,1,rectangular,6000,5,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.481133,2.470945,1.656402,0.924666,0.326136,-0.011096,0.136415,0.107043,104.586121,0.001585,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220819050652,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-08-18T22:29:00.659Z
6,5:09:16,8/19/22,Night sampling,CH,LCOR-519,,,,0.80633,0.098897,2.915797,0.095653,0.703447,1.507911,1.488128,2.235399,0.727489,14.76413,14.960396,22.178011,0.441786,PSF-00336_20220819050916,104.043961,537.223572,0,0,0,0.5,0.8,0.007963,63.3,62.47,20.24,19.22,100.79,156,155.3,0.4,0,4.101,-21,-116,21,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,4:59:20,8/19/22,-0.49,0,0,0.001,-0.902,-0.919,-2.066,1,150,0.005,2,1,rectangular,6000,5,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.483529,2.473285,1.655632,0.927536,0.329963,-0.011497,0.151708,0.106799,104.043961,0.001727,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220819050916,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-08-18T22:29:00.659Z
7,5:10:44,8/19/22,Night sampling,CH,LCOR-490,,,,0.842382,0.090593,2.916141,0.087864,0.57795,1.498067,1.481815,2.149125,0.651058,14.700326,14.861551,21.320366,0.441786,PSF-00336_20220819051044,85.380081,541.69104,0,0,0,0.5,0.8,0.006996,63.42,62.73,20.11,18.59,100.8,156,155.8,0.2,0,4.098,-10,174,126,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,5:10:34,8/19/22,-0.46,-0.002,-0.003,-0.011,-0.111,-0.321,-0.522,1,150,0.005,2,1,rectangular,6000,5,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.483918,2.473445,1.655995,0.928761,0.331774,-0.016971,0.160784,0.106796,85.380081,0.00159,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220819051044,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-08-18T22:29:00.659Z
8,5:11:50,8/19/22,Night sampling,CH,LCOR-155,,,,0.842461,0.123838,2.915583,0.118793,0.767866,1.503903,1.482304,2.14366,0.639757,14.705793,14.920078,21.267048,0.441786,PSF-00336_20220819051150,82.941414,526.48291,0,0,0,0.5,0.8,0.007261,64.06,63.14,20.01,18.55,100.8,155.9,155.4,0.4,0,4.098,-54,-167,111,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,5:10:34,8/19/22,-0.46,-0.005,-0.005,-0.013,-0.284,-0.606,-0.947,1,150,0.005,2,1,rectangular,6000,5,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.484482,2.474331,1.655406,0.927806,0.33308,-0.016309,0.167517,0.106797,82.941414,0.001564,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220819051150,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-08-18T22:29:00.659Z
9,5:13:35,8/19/22,Night sampling,CH,LCOR-025,,,,0.815125,0.083967,2.916665,0.081618,0.555821,1.509993,1.494373,2.183824,0.673831,14.826118,14.981089,21.666372,0.441786,PSF-00336_20220819051335,95.829605,518.34729,0,0,0,0.5,0.8,0.006385,64.92,64.25,19.86,18.84,100.79,156.1,155.7,0.2,0,4.095,-19,-129,72,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,5:10:34,8/19/22,-0.46,-0.001,-0.002,-0.002,-0.603,-0.828,-2.144,1,150,0.005,2,1,rectangular,6000,5,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.486001,2.475541,1.656548,0.928661,0.335101,-0.011291,0.1776,0.106795,95.829605,0.001559,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220819051335,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-08-18T22:29:00.659Z
10,5:14:57,8/19/22,Night sampling,CH,LCOR-432,,,,0.817819,0.083278,2.913932,0.080965,0.511418,1.510021,1.495617,2.135222,0.625201,14.837398,14.980293,21.182655,0.441786,PSF-00336_20220819051457,95.770241,525.68866,0,0,0,0.5,0.8,0.006663,65.3,64.68,19.76,18.48,100.8,155.7,148.4,4.7,0,4.093,-48,177,171,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,5:10:34,8/19/22,-0.46,0.001,-0.002,-0.001,-0.4,-0.838,-2.069,1,150,0.005,2,1,rectangular,6000,5,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.486609,2.476093,1.653669,0.910304,0.33639,-0.014207,0.185414,0.106796,95.770241,0.00159,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220819051457,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-08-18T22:29:00.659Z
11,5:16:04,8/19/22,Night sampling,CH,LCOR-492,,,,0.827279,0.077325,2.916567,0.075328,0.476302,1.505978,1.492591,2.131836,0.625858,14.80756,14.940373,21.149328,0.441786,PSF-00336_20220819051604,91.751572,531.212952,0,0,0,0.5,0.8,0.017135,65.4,64.82,19.7,18.46,100.8,156.1,155.6,0.3,0,4.091,20,164,124,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,5:10:34,8/19/22,-0.46,-0.001,-0.003,-0.009,-0.338,-0.573,-1.188,1,150,0.005,2,1,rectangular,6000,5,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.486805,2.476237,1.656445,0.928295,0.337282,-0.01374,0.191667,0.106824,91.751572,0.001534,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220819051604,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-08-18T22:29:00.659Z
