Row,Column,ID,soil moisture,fv/fm,obs,Bar,MPa,
3,45,LCOR-316,0.1,0.76,1,1.5,-0.15,
5,45,LCOR-304,0.099,0.66,2,1.5,-0.15,
7,45,LCOR-439,0.151,0.74,3,3,-0.3,
12,45,LCOR-234,0.128,0.65,4,2,-0.2,
13,45,LCOR-461,0.141,0.63,5,NA,#VALUE!,stem broke
14,45,LCOR-519,0.15,0.66,6,4.5,-0.45,
6,46,LCOR-032,0.107,0.65,7,3,-0.3,
7,46,LCOR-492,0.173,0.65,8,2.5,-0.25,
9,46,LCOR-523,0.141,0.65,9,2.5,-0.25,
11,46,LCOR-025,0.177,0.63,10,4,-0.4,
13,46,LCOR-102,0.062,0.72,11,4,-0.4,
14,46,LCOR-155,0.162,0.62,12,3,-0.3,
15,46,LCOR-490,0.167,0.7,13,2,-0.2,
2,47,LCOR-374,0.063,0.7,14,2.5,-0.25,
4,47,LCOR-232,0.08,0.63,15,2.5,-0.25,
6,47,LCOR-419,0.155,0.67,16,NA,#VALUE!,stem broke
10,47,LCOR-453,0.163,0.69,17,4.5,-0.45,
11,47,LCOR-223,0.165,0.72,18,1.5,-0.15,
14,47,LCOR-159,0.158,0.64,19,3,-0.3,
4,48,LCOR-153,0.112,0.7,20,3.5,-0.35,
7,48,LCOR-509,0.157,0.64,21,5.5,-0.55,
9,48,LCOR-466,0.149,0.74,22,1,-0.1,
13,48,LCOR-555,0.13,0.73,23,1.5,-0.15,
15,48,LCOR-447,0.127,0.72,24,1,-0.1,
3,49,LCOR-270,0.039,0.74,25,3,-0.3,
11,49,LCOR-477,0.208,0.68,26,1.5,-0.15,
13,49,LCOR-615,0.176,0.73,27,2,-0.2,
7,50,LCOR-440,0.133,0.72,28,1,-0.1,
8,50,LCOR-501,0.206,0.7,29,2.5,-0.25,
10,50,LCOR-262,0.17,0.68,30,2,-0.2,
12,50,LCOR-081,0.193,0.67,31,2,-0.2,
13,50,LCOR-210,0.103,0.71,32,3,-0.3,
14,50,LCOR-417,0.237,0.76,33,2,-0.2,
11,51,LCOR-225,0.197,0.7,34,2,-0.2,
13,51,LCOR-478,0.238,0.66,35,5,-0.5,
14,51,LCOR-567,0.191,0.76,36,2.5,-0.25,
3,52,LCOR-389,0.063,0.69,37,5,-0.5,
4,52,LCOR-246,0.11,0.65,38,3,-0.3,
6,52,LCOR-430,0.148,0.63,39,2,-0.2,
7,52,LCOR-465,0.101,0.76,40,2.5,-0.25,
9,52,LCOR-183,0.219,0.77,41,1,-0.1,
3,53,LCOR-288,0.155,0.8,42,4,-0.4,
