flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00281_20220902144309,14:43:09,2022-09-02,PFA-00299,PSA-00311,PSF-00281,0.000000,0.000000,0.000000,306.704376,136.205429,0.555906,1292.457520

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,195.653915,6980.787598,1
0.010000,243.968719,6980.787598,1
0.020000,261.717438,6980.787598,1
0.030000,269.034515,6980.787598,1
0.040000,272.342194,6980.787598,1
0.050000,274.099243,6980.787598,1
0.060000,275.132782,6980.787598,1
0.070000,275.772583,6980.787598,1
0.080000,276.201019,6980.787598,1
0.090000,276.486389,6980.787598,1
0.100000,276.690948,6980.787598,1
0.110000,276.831512,6980.787598,1
0.120000,276.944153,6980.787598,1
0.130000,277.047516,6980.787598,1
0.140000,277.123322,6980.787598,1
0.150000,277.205933,6980.787598,1
0.160000,277.271027,6980.787598,1
0.170000,277.342560,6980.787598,1
0.180000,277.395142,6980.787598,1
0.190000,277.470947,6980.787598,1
0.200000,277.518860,6980.787598,1
0.210000,277.566437,6980.787598,1
0.220000,277.622589,6980.787598,1
0.230000,277.652985,6980.787598,1
0.240000,277.716644,6980.787598,1
0.250000,277.762054,6980.787598,1
0.260000,277.805695,6980.787598,1
0.270000,277.832520,6980.787598,1
0.280000,277.856110,6980.787598,1
0.290000,277.875061,6980.787598,1
0.300000,277.910828,6922.618164,2
0.310000,277.538544,6864.448242,2
0.320000,277.462372,6806.278809,2
0.330000,277.092590,6748.108887,2
0.340000,276.999237,6689.939453,2
0.350000,276.587616,6631.769531,2
0.360000,276.518585,6573.600098,2
0.370000,276.095856,6515.430176,2
0.380000,276.026489,6457.260742,2
0.390000,275.626648,6399.090820,2
0.400000,275.178558,6340.921387,2
0.410000,275.046936,6282.751465,2
0.420000,274.667145,6224.582031,2
0.430000,274.550201,6166.412109,2
0.440000,274.169678,6108.242676,2
0.450000,273.686890,6050.072754,2
0.460000,273.547058,5991.903320,2
0.470000,273.132568,5933.733398,2
0.480000,272.655853,5875.563965,2
0.490000,272.536743,5817.394043,2
0.500000,272.154083,5759.224609,2
0.510000,271.661652,5701.054688,2
0.520000,271.540771,5642.885254,2
0.530000,271.116272,5584.715332,2
0.540000,270.626678,5526.545898,2
0.550000,270.129913,5468.375977,2
0.560000,269.977203,5410.206543,2
0.570000,269.543060,5352.036621,2
0.580000,269.057404,5293.867188,2
0.590000,268.554932,5235.697266,2
0.600000,275.624146,6980.787598,3
0.610000,277.271759,6980.787598,3
0.620000,277.686584,6980.787598,3
0.630000,277.838959,6980.787598,3
0.640000,277.897247,6980.787598,3
0.650000,277.930511,6980.787598,3
0.660000,277.924774,6980.787598,3
0.670000,277.942291,6980.787598,3
0.680000,277.943359,6980.787598,3
0.690000,277.943726,6980.787598,3
0.700000,277.935852,6980.787598,3
0.710000,277.913330,6980.787598,3
0.720000,277.885803,6980.787598,3
0.730000,277.861847,6980.787598,3
0.740000,277.835358,6980.787598,3
0.750000,277.818573,6980.787598,3
0.760000,277.795685,6980.787598,3
0.770000,277.773865,6980.787598,3
0.780000,277.741302,6980.787598,3
0.790000,277.695892,6980.787598,3
0.800000,277.665863,6980.787598,3
0.810000,277.643311,6980.787598,3
0.820000,277.622223,6980.787598,3
0.830000,277.611481,6980.787598,3
0.839999,277.592194,6980.787598,3
0.849999,277.577148,6980.787598,3
0.859999,277.528534,6980.787598,3
0.869999,277.503479,6980.787598,3
0.879999,277.468811,6980.787598,3
0.889999,277.438416,6980.787598,3
