flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00336_20220902165856,16:58:56,2022-09-02,PFA-00364,PSA-00381,PSF-00336,0.000000,0.000000,0.000000,0.850081,20.990253,-23.692049,487.151031

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,0.773549,6999.915527,1
0.010000,0.837922,6999.915527,1
0.020000,0.844717,6999.915527,1
0.030000,0.828266,6999.915527,1
0.040000,0.824332,6999.915527,1
0.050000,0.833273,6999.915527,1
0.060000,0.838995,6999.915527,1
0.070000,0.825047,6999.915527,1
0.080000,0.846505,6999.915527,1
0.090000,0.827551,6999.915527,1
0.100000,0.836134,6999.915527,1
0.110000,0.850081,6999.915527,1
0.120000,0.829697,6999.915527,1
0.130000,0.823617,6999.915527,1
0.140000,0.834346,6999.915527,1
0.150000,0.831485,6999.915527,1
0.160000,0.844002,6999.915527,1
0.170000,0.828266,6999.915527,1
0.180000,0.827551,6999.915527,1
0.190000,0.832915,6999.915527,1
0.200000,0.818610,6999.915527,1
0.210000,0.827909,6999.915527,1
0.220000,0.826478,6999.915527,1
0.230000,0.823975,6999.915527,1
0.240000,0.827551,6999.915527,1
0.250000,0.819325,6999.915527,1
0.260000,0.822186,6999.915527,1
0.270000,0.832200,6999.915527,1
0.280000,0.820756,6999.915527,1
0.290000,0.826120,6999.915527,1
0.300000,0.821114,6941.582520,2
0.310000,0.820398,6883.250000,2
0.320000,0.822186,6824.917480,2
0.330000,0.828624,6766.584961,2
0.340000,0.820756,6708.251953,2
0.350000,0.818610,6649.919434,2
0.360000,0.820041,6591.586914,2
0.370000,0.812173,6533.254395,2
0.380000,0.823259,6474.921875,2
0.390000,0.828624,6416.588867,2
0.400000,0.833273,6358.256348,2
0.410000,0.822902,6299.923828,2
0.420000,0.801802,6241.591309,2
0.430000,0.817895,6183.258301,2
0.440000,0.812173,6124.925781,2
0.450000,0.815749,6066.593262,2
0.460000,0.822544,6008.260742,2
0.470000,0.812531,5949.928223,2
0.480000,0.815392,5891.595215,2
0.490000,0.824690,5833.262695,2
0.500000,0.814319,5774.930176,2
0.510000,0.817537,5716.597656,2
0.520000,0.816464,5658.264648,2
0.530000,0.828981,5599.932129,2
0.540000,0.807166,5541.599609,2
0.550000,0.826120,5483.267090,2
0.560000,0.825405,5424.934570,2
0.570000,0.822544,5366.601562,2
0.580000,0.804663,5308.269043,2
0.590000,0.820756,5249.936523,2
0.600000,0.817895,6999.915527,3
0.610000,0.817895,6999.915527,3
0.620000,0.822902,6999.915527,3
0.630000,0.821829,6999.915527,3
0.640000,0.826120,6999.915527,3
0.650000,0.817895,6999.915527,3
0.660000,0.822186,6999.915527,3
0.670000,0.810027,6999.915527,3
0.680000,0.818610,6999.915527,3
0.690000,0.826478,6999.915527,3
0.700000,0.825763,6999.915527,3
0.710000,0.823259,6999.915527,3
0.720000,0.814676,6999.915527,3
0.730000,0.817537,6999.915527,3
0.740000,0.821829,6999.915527,3
0.750000,0.820756,6999.915527,3
0.760000,0.828981,6999.915527,3
0.770000,0.822186,6999.915527,3
0.780000,0.827551,6999.915527,3
0.790000,0.818253,6999.915527,3
0.800000,0.818253,6999.915527,3
0.810000,0.817537,6999.915527,3
0.820000,0.829339,6999.915527,3
0.830000,0.824332,6999.915527,3
0.839999,0.813603,6999.915527,3
0.849999,0.817537,6999.915527,3
0.859999,0.821829,6999.915527,3
0.869999,0.824690,6999.915527,3
0.879999,0.824332,6999.915527,3
0.889999,0.812888,6999.915527,3
