Obs#,Time,Date,configName,configAuthor,ID,,,Fv/Fm,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
2,5:34:24,9/22/22,Night sampling,CH,LCOR-304,,,0.815775,0.433574,2.916686,0.377463,2.447945,1.333591,1.264373,1.979368,0.645777,12.489792,13.173548,19.552692,0.441786,PSF-00336_20220922053424,87.111351,472.852722,0.815775,0,0,0,0.5,0.8,0.060203,56.99,54.04,19.95,17.28,101.23,156.1,155.7,0.2,0,4.12,4,175,102,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,5:31:35,9/22/22,-0.47,-0.021,-0.05,-0.128,-0.374,-0.224,-0.071,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.47226,2.464756,1.65657,0.928565,0.33381,-0.029669,0.192214,0.106945,87.111351,0.00035,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922053424,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
3,5:37:10,9/22/22,Night sampling,CH,LCOR-100,,,0.822226,0.03666,2.912692,0.036204,0.282367,1.319524,1.311516,2.0956,0.776076,12.958039,13.037169,20.704954,0.441786,PSF-00336_20220922053710,83.285812,468.492859,0.822226,0,0,0,0.5,0.8,0.317022,58.2,57.85,19.45,18.19,101.21,155.6,155.8,-0.1,1,4.118,-30,-150,94,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,5:31:35,9/22/22,-0.47,-0.001,-0.002,-0.003,0.024,-0.199,-0.141,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.47757,2.46656,1.652368,0.928802,0.340696,-0.013927,0.208102,0.107655,83.234665,0.000372,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922053710,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
4,5:39:11,9/22/22,Night sampling,CH,LCOR-494,,,0.811961,0.079987,2.915818,0.077851,0.547099,1.353287,1.337811,2.052672,0.699385,13.216274,13.369163,20.278412,0.441786,PSF-00336_20220922053911,85.537788,454.892639,0.811961,0,0,0,0.5,0.8,0.48344,61.09,60.39,19.07,17.86,101.22,156,155.4,0.4,1,4.111,-8,-154,68,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,5:31:35,9/22/22,-0.47,-0.001,-0.003,-0.004,-0.026,0.037,-0.146,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.4811,2.470616,1.655654,0.927723,0.345836,-0.013351,0.218654,0.108133,85.537788,0.000378,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922053911,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
5,5:43:07,9/22/22,Night sampling,CH,LCOR-234,,,0.84025,0.137997,2.917783,0.131765,0.840976,1.371635,1.347887,2.006914,0.635279,13.315721,13.550328,19.82622,0.441786,PSF-00336_20220922054307,78.714966,492.737183,0.84025,0,0,0,0.5,0.8,0.025322,63.84,62.73,18.58,17.5,101.23,156.2,156.1,0.1,0,4.109,-61,165,93,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,5:42:37,9/22/22,-0.29,0.001,-0.001,0.002,0.008,0.085,-0.122,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.484378,2.474251,1.657731,0.929621,0.352705,-0.011775,0.23883,0.106846,78.714966,0.000353,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922054307,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
6,5:45:17,9/22/22,Night sampling,CH,LCOR-025,,,0.840572,0.129409,2.914444,0.123907,0.738935,1.365618,1.344693,1.959447,0.593829,13.282521,13.489218,19.354906,0.441786,PSF-00336_20220922054517,75.572845,474.024658,0.840572,0,0,0,0.5,0.8,0.460869,64.63,63.64,18.32,17.12,101.24,155.8,155.6,0.1,1,4.105,-49,122,130,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,5:42:37,9/22/22,-0.29,-0.002,-0.001,-0.004,-0.131,0.032,-0.176,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.485666,2.475404,1.654207,0.928365,0.35651,-0.012938,0.249305,0.108025,75.572845,0.000365,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922054517,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
7,5:47:45,9/22/22,Night sampling,CH,LCOR-490,,,0.826007,0.080039,2.917074,0.077901,0.462433,1.37817,1.365103,1.969228,0.591058,13.483462,13.612531,19.450556,0.441786,PSF-00336_20220922054745,89.342949,513.484985,0.826007,0,0,0,0.5,0.8,0.5808,65.51,64.88,18.25,17.2,101.24,156.1,155.3,0.5,2,4.102,-46,172,110,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,5:42:37,9/22/22,-0.29,-0.001,-0.003,-0.004,-0.087,-0.222,-0.276,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.487341,2.476608,1.65698,0.927655,0.357497,-0.0113,0.261205,0.108378,89.342949,0.000358,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922054745,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
8,5:50:10,9/22/22,Night sampling,CH,LCOR-492,,,0.832677,0.139333,2.915416,0.132977,0.771189,1.37186,1.35004,1.94934,0.57748,13.335502,13.551042,19.255308,0.441786,PSF-00336_20220922055010,77.319862,462.098846,0.832677,0,0,0,0.5,0.8,0.012539,64.98,63.95,18.3,17.04,101.24,155.9,155.8,0.1,0,4.099,-11,169,125,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,5:42:37,9/22/22,-0.29,-0.001,-0.004,-0.006,-0.064,-0.004,-0.135,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.48608,2.475883,1.655231,0.928898,0.356706,-0.013681,0.272478,0.106811,77.319862,0.000368,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922055010,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
9,5:52:23,9/22/22,Night sampling,CH,LCOR-032,,,0.834876,0.106247,2.916269,0.102512,0.56788,1.398615,1.382563,1.950127,0.551512,13.657443,13.816011,19.264038,0.441786,PSF-00336_20220922055223,75.495956,457.208984,0.834876,0,0,0,0.5,0.8,1.7538,66.08,65.32,18.34,17.05,101.23,156,152,2.6,5,4.094,-77,101,156,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,5:42:37,9/22/22,-0.29,0,-0.002,-0.005,-0.266,-0.117,-0.177,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.487891,2.477352,1.65613,0.919322,0.356124,-0.014068,0.282479,0.11156,75.495956,0.000372,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922055223,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
10,5:54:32,9/22/22,Night sampling,CH,LCOR-311,,,0.830734,0.168632,2.915881,0.159413,0.814032,1.419404,1.396389,1.927851,0.508447,13.792418,14.019742,19.041771,0.441786,PSF-00336_20220922055432,81.635353,482.290161,0.830734,0,0,0,0.5,0.8,0.170124,67.14,66.05,18.33,16.86,101.24,156,154.3,1.1,1,4.093,-48,-167,84,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,5:54:18,9/22/22,-0.24,-0.002,-0.007,-0.02,0.24,-0.014,-0.303,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.488861,2.478714,1.65572,0.925062,0.356385,-0.01585,0.291504,0.107243,81.635353,0.000387,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922055432,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
11,5:56:28,9/22/22,Night sampling,CH,LCOR-446,,,0.837931,0.069866,2.916141,0.068231,0.375723,1.40694,1.396319,1.955184,0.548243,13.791891,13.896805,19.311983,0.441786,PSF-00336_20220922055628,78.189613,482.447144,0.837931,0,0,0,0.5,0.8,0.046046,66.3,65.8,18.39,17.09,101.24,156,155.6,0.3,0,4.09,-53,-177,88,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,5:54:18,9/22/22,-0.24,0.001,0,-0.001,0.191,-0.05,-0.276,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.488513,2.47757,1.655995,0.928217,0.355535,-0.014082,0.299538,0.106902,78.189613,0.000353,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922055628,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
