ID,fv/fm,obs,bar,MPa,leaf,order_water_press
LCOR-494,0.81,4,11.5,-1.15,,30
LCOR-492,0.83,8,6.5,-0.65,,11
LCOR-501,0.82,33,6.5,-0.65,,16
LCOR-440,0.83,32,5.5,-0.55,,4
LCOR-447,0.81,22,6.5,-0.65,,27
LCOR-446,0.84,11,5.5,-0.55,,9
LCOR-183,0.82,41,,0,,
LCOR-466,0.83,17,11,-1.1,,32
LCOR-190,0.84,12,5.5,-0.55,,6
LCOR-615,0.84,24,8,-0.8,,18
LCOR-081,0.83,35,3.5,-0.35,,2
LCOR-304,0.82,2,7.5,-0.75,,12
LCOR-100,0.82,3,9,-0.9,,31
LCOR-102,0.84,23,5,-0.5,,3
LCOR-311,0.83,10,7,-0.7,,10
LCOR-490,0.83,7,6.5,-0.65,,31
LCOR-172,0.83,34,8,-0.8,,13
LCOR-477,0.83,29,7,-0.7,,5
LCOR-453,,16,8,-0.8,,25
LCOR-457,0.83,31,9,-0.9,,24
LCOR-456,0.84,25,8,-0.8,,23
LCOR-225,0.82,37,7,-0.7,,15
LCOR-232,0.84,13,9,-0.9,,22
LCOR-234,0.84,5,10,-1,,29
LCOR-025,0.84,6,6,-0.6,,14
LCOR-430,0.82,40,,0,,
LCOR-431,0.83,38,10.5,-1.05,,19
LCOR-531,0.82,26,6.5,-0.65,,28
LCOR-521,0.83,14,9,-0.9,,
LCOR-532,0.83,39,,0,,
LCOR-578,0.82,28,6,-0.6,,17
LCOR-576,0.83,42,,0,,
LCOR-586,0.81,27,6,-0.6,,8
LCOR-029,0.84,30,7.5,-0.75,,7
LCOR-032,0.83,9,5.5,-0.55,,33
LCOR-038,0.83,44,,0,,
LCOR-547,0.82,19,12.5,-1.25,,26
LCOR-153,0.84,21,7,-0.7,,20
LCOR-549,0.84,20,5.5,-0.55,,1
LCOR-419,0.84,15,7.5,-0.75,,33
LCOR-288,0.81,43,,0,,
LCOR-417,0.82,36,7,-0.7,,21
