row,column,ID,event_short,H497,leaf,6:00,8:00,10:00,12:00,14:00,16:00,18:00
11,4,LCOR-268,5C,3870.96,,,,,,,,
2,5,LCOR-344,CT3,3596.64,,,,,,,,
10,5,LCOR-092,8-9D,3322.32,,,,,,,,
12,5,LCOR-563,5C,3535.68,,,,,,,,
10,6,LCOR-251,5A,4480.56,,,,,,,,
3,9,LCOR-001,4A,4968.24,,,,,,,,
2,11,LCOR-164,5A,3688.08,,,,,,,,
9,12,LCOR-588,5A,3413.76,,,,,,,,
11,12,LCOR-035,5C,3718.56,,,,,,,,
13,12,LCOR-218,2H,3352.8,,,,,,,,
15,16,LCOR-614,13-15E,2712.72,,,,,,,,
13,17,LCOR-502,CT3,3322.32,,,,,,,,
2,18,LCOR-058,2H,3139.44,,,,,,,,
12,20,LCOR-230,4A,3916.68,,,,,,,,
15,20,LCOR-493,CT3,3108.96,,,,,,,,
2,22,LCOR-616,13-15E,2926.08,,,,,,,,
13,22,LCOR-514,16-20,3261.36,,,,,,,,
14,24,LCOR-309,16-20,3992.88,,,,,,,,
8,26,LCOR-300,13-15E,3017.52,,,,,,,,
10,27,LCOR-322,16-20,3413.76,,,,,,,,
4,30,LCOR-093,8-9D,2621.28,,,,,,,,
13,45,LCOR-461,2H,3261.36,,,,,,,,
4,47,LCOR-232,4A,3048,,,,,,,,
15,51,LCOR-413,8-9D,2407.92,,,,,,,,
