"","row","column","ID","event","event_short","block","H497","method"
"1",13,7,"LCOR-296","LC-102 13-15E","13-15E","large",3931.92,"Li6800"
"2",15,16,"LCOR-614","LC-102 13-15E","13-15E","large",2712.72,"Li6800"
"3",10,18,"LCOR-306","LC-102 13-15E","13-15E","large",3596.64,"Li6800"
"4",3,14,"LCOR-604","LC-102 13-15E","13-15E","large",4480.56,"Li6800"
"5",14,5,"LCOR-314","LC-102 16-20","16-20","large",3749.04,"Li6800"
"6",9,13,"LCOR-320","LC-102 16-20","16-20","large",3596.64,"Li6800"
"7",4,7,"LCOR-510","LC-102 16-20","16-20","large",3169.92,"Li6800"
"8",8,20,"LCOR-101","LC-102 16-20","16-20","large",3962.4,"Li6800"
"9",9,20,"LCOR-067","LC-102 2H","2H","large",3505.2,"Li6800"
"10",10,47,"LCOR-453","LC-102 2H","2H","small",2225.04,"Li6800"
"11",7,20,"LCOR-059","LC-102 2H","2H","large",3870.96,"Li6800"
"12",7,5,"LCOR-068","LC-102 2H","2H","large",3688.08,"Li6800"
"13",4,47,"LCOR-232","LC-102 4A","4A","small",3048,"Li6800"
"14",5,10,"LCOR-010","LC-102 4A","4A","large",3566.16,"Li6800"
"15",12,45,"LCOR-234","LC-102 4A","4A","small",3276.6,"Li6800"
"16",11,51,"LCOR-225","LC-102 4A","4A","small",2346.96,"Li6800"
"17",14,46,"LCOR-155","LC-102 5A","5A","small",3261.36,"Li6800"
"18",5,20,"LCOR-166","LC-102 5A","5A","large",3322.32,"Li6800"
"19",9,12,"LCOR-588","LC-102 5A","5A","large",3413.76,"Li6800"
"20",8,5,"LCOR-575","LC-102 5A","5A","large",5273.04,"Li6800"
"21",14,11,"LCOR-040","LC-102 5C","5C","large",2895.6,"Li6800"
"22",13,19,"LCOR-568","LC-102 5C","5C","large",2819.4,"Li6800"
"23",15,9,"LCOR-041","LC-102 5C","5C","large",3733.8,"Li6800"
"24",6,46,"LCOR-032","LC-102 5C","5C","small",3703.32,"Li6800"
"25",10,5,"LCOR-092","LC-102 8-9D","8-9D","large",3322.32,"Li6800"
"26",2,21,"LCOR-098","LC-102 8-9D","8-9D","large",2956.56,"Li6800"
"27",2,26,"LCOR-293","LC-102 8-9D","8-9D","large",3870.96,"Li6800"
"28",6,10,"LCOR-292","LC-102 8-9D","8-9D","large",3566.16,"Li6800"
"29",5,50,"LCOR-208","CT717 3","CT3","small",2621.28,"Li6800"
"30",14,4,"LCOR-201","CT717 3","CT3","large",3749.04,"Li6800"
"31",15,21,"LCOR-204","CT717 3","CT3","large",3413.76,"Li6800"
"32",10,28,"LCOR-337","CT717 3","CT3","large",3413.76,"Li6800"
