,,,,,,Pre-dawn,,8:00,,10,,12,,,,,,,,14,,16,,18,,,,,,,,,,,,,,,
row,column,ID,event_short,method,treatment,Mpa,FvFm,A(obs),gsw,A(obs),gsw,A(obs),gsw,row,column,ID,event_short,method,treatment,A(obs),gsw,A(obs),gsw,A(obs),gsw,,,,,,,,,,,,,,
3,3,LCOR-064,2H,both,drought,,,,,,,,,3,3,LCOR-064,2H,both,drought,,,,,,,,,,,,,,,,,,,,
5,3,LCOR-104,16-20,Li600/MiniPAM,drought,,,,,,,,,5,3,LCOR-104,16-20,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
8,3,LCOR-228,4A,Li600/MiniPAM,drought,,,,,,,,,8,3,LCOR-228,4A,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
15,3,LCOR-213,2H,both,control,,,,,,,,,15,3,LCOR-213,2H,both,control,,,,,,,,,,,,,,,,,,,,
3,4,LCOR-308,13-15E,Li600/MiniPAM,drought,,,,,,,,,3,4,LCOR-308,13-15E,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
4,4,LCOR-249,5A,Li600/MiniPAM,drought,,,,,,,,,4,4,LCOR-249,5A,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
13,4,LCOR-107,16-20,Li600/MiniPAM,drought,,,,,,,,,13,4,LCOR-107,16-20,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
14,4,LCOR-201,CT3,both,control,,,,,,,,,14,4,LCOR-201,CT3,both,control,,,,,,,,,,,,,,,,,,,,
15,4,LCOR-211,2H,Li600/MiniPAM,drought,,,,,,,,,15,4,LCOR-211,2H,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
3,5,LCOR-070,2H,Li600/MiniPAM,drought,,,,,,,,,3,5,LCOR-070,2H,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
4,5,LCOR-282,8-9D,both,drought,,,,,,,,,4,5,LCOR-282,8-9D,both,drought,,,,,,,,,,,,,,,,,,,,
6,5,LCOR-573,5C,Li600/MiniPAM,drought,,,,,,,,,6,5,LCOR-573,5C,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
7,5,LCOR-068,2H,Li600/MiniPAM,drought,,,,,,,,,7,5,LCOR-068,2H,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
8,5,LCOR-575,5A,Li600/MiniPAM,drought,,,,,,,,,8,5,LCOR-575,5A,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
9,5,LCOR-346,CT3,both,control,,,,,,,,,9,5,LCOR-346,CT3,both,control,,,,,,,,,,,,,,,,,,,,
10,5,LCOR-092,8-9D,Li600/MiniPAM,drought,,,,,,,,,10,5,LCOR-092,8-9D,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
14,5,LCOR-314,16-20,Li600/MiniPAM,drought,,,,,,,,,14,5,LCOR-314,16-20,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
3,6,LCOR-069,2H,Li600/MiniPAM,drought,,,,,,,,,3,6,LCOR-069,2H,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
5,6,LCOR-062,2H,both,drought,,,,,,,,,5,6,LCOR-062,2H,both,drought,,,,,,,,,,,,,,,,,,,,
7,6,LCOR-003,4A,Li600/MiniPAM,drought,,,,,,,,,7,6,LCOR-003,4A,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
9,6,LCOR-310,16-20,both,control,,,,,,,,,9,6,LCOR-310,16-20,both,control,,,,,,,,,,,,,,,,,,,,
10,6,LCOR-251,5A,Li600/MiniPAM,drought,,,,,,,,,10,6,LCOR-251,5A,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
3,7,LCOR-073,13-15E,Li600/MiniPAM,drought,,,,,,,,,3,7,LCOR-073,13-15E,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
4,7,LCOR-510,16-20,Li600/MiniPAM,drought,,,,,,,,,4,7,LCOR-510,16-20,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
13,7,LCOR-296,13-15E,both,control,,,,,,,,,13,7,LCOR-296,13-15E,both,control,,,,,,,,,,,,,,,,,,,,
4,8,LCOR-279,5C,both,drought,,,,,,,,,4,8,LCOR-279,5C,both,drought,,,,,,,,,,,,,,,,,,,,
8,8,LCOR-250,5A,both,drought,,,,,,,,,8,8,LCOR-250,5A,both,drought,,,,,,,,,,,,,,,,,,,,
11,8,LCOR-238,4A,both,drought,,,,,,,,,11,8,LCOR-238,4A,both,drought,,,,,,,,,,,,,,,,,,,,
14,8,LCOR-167,5A,Li600/MiniPAM,drought,,,,,,,,,14,8,LCOR-167,5A,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
15,8,LCOR-274,5C,Li600/MiniPAM,drought,,,,,,,,,15,8,LCOR-274,5C,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
