"","row","column","ID","event","event_short","block","H497","method"
"1",8,26,"LCOR-300","LC-102 13-15E","13-15E","large",3017.52,"Li6800"
"2",13,7,"LCOR-296","LC-102 13-15E","13-15E","large",3931.92,"Li6800"
"3",3,26,"LCOR-605","LC-102 13-15E","13-15E","large",3063.24,"Li6800"
"4",9,51,"LCOR-108","LC-102 16-20","16-20","small",2834.64,"Li6800"
"5",9,25,"LCOR-506","LC-102 16-20","16-20","large",3169.92,"Li6800"
"6",10,21,"LCOR-518","LC-102 16-20","16-20","large",3596.64,"Li6800"
"7",12,52,"LCOR-215","LC-102 2H","2H","small",2804.16,"Li6800"
"8",11,25,"LCOR-065","LC-102 2H","2H","large",3444.24,"Li6800"
"9",10,9,"LCOR-217","LC-102 2H","2H","large",3931.92,"Li6800"
"10",6,21,"LCOR-012","LC-102 4A","4A","large",3901.44,"Li6800"
"11",6,28,"LCOR-227","LC-102 4A","4A","large",3169.92,"Li6800"
"12",11,9,"LCOR-231","LC-102 4A","4A","large",3931.92,"Li6800"
"13",6,8,"LCOR-582","LC-102 5A","5A","large",4815.84,"Li6800"
"14",2,6,"LCOR-577","LC-102 5A","5A","large",3078.48,"Li6800"
"15",9,21,"LCOR-584","LC-102 5A","5A","large",3520.44,"Li6800"
"16",4,17,"LCOR-574","LC-102 5C","5C","large",3733.8,"Li6800"
"17",6,14,"LCOR-031","LC-102 5C","5C","large",3596.64,"Li6800"
"18",2,28,"LCOR-276","LC-102 5C","5C","large",2316.48,"Li6800"
"19",12,13,"LCOR-088","LC-102 8-9D","8-9D","large",3566.16,"Li6800"
"20",3,53,"LCOR-288","LC-102 8-9D","8-9D","small",2880.36,"Li6800"
"21",4,30,"LCOR-093","LC-102 8-9D","8-9D","large",2621.28,"Li6800"
"22",4,21,"LCOR-350","CT717 3","CT3","large",3078.48,"Li6800"
"23",14,4,"LCOR-201","CT717 3","CT3","large",3749.04,"Li6800"
"24",6,22,"LCOR-340","CT717 3","CT3","large",2529.84,"Li6800"
