number,row,column,ID,event,event_short,block,H497,method
1,15,28,LCOR-083,LC-102 13-15E,13-15E,large,3230.88,Li600
2,13,7,LCOR-296,LC-102 13-15E,13-15E,large,3931.92,Li600
3,12,9,LCOR-075,LC-102 13-15E,13-15E,large,2346.96,Li600
7,11,20,LCOR-103,LC-102 16-20,16-20,large,3291.84,Li600
8,5,23,LCOR-319,LC-102 16-20,16-20,large,2804.16,Li600
9,9,51,LCOR-108,LC-102 16-20,16-20,small,2834.64,Li600
13,11,25,LCOR-065,LC-102 2H,2H,large,3444.24,Li600
14,1,26,LCOR-462,LC-102 2H,2H,large,2895.6,Li600
15,12,52,LCOR-215,LC-102 2H,2H,small,2804.16,Li600
19,11,9,LCOR-231,LC-102 4A,4A,large,3931.92,Li600
20,10,24,LCOR-546,LC-102 4A,4A,large,3657.6,Li600
21,14,12,LCOR-002,LC-102 4A,4A,large,2529.84,Li600
25,9,21,LCOR-584,LC-102 5A,5A,large,3520.44,Li600
26,2,6,LCOR-577,LC-102 5A,5A,large,3078.48,Li600
27,12,12,LCOR-241,LC-102 5A,5A,large,3688.08,Li600
31,15,9,LCOR-041,LC-102 5C,5C,large,3733.8,Li600
32,6,14,LCOR-031,LC-102 5C,5C,large,3596.64,Li600
33,15,8,LCOR-274,LC-102 5C,5C,large,3078.48,Li600
37,12,13,LCOR-088,LC-102 8-9D,8-9D,large,3566.16,Li600
38,3,53,LCOR-288,LC-102 8-9D,8-9D,small,2880.36,Li600
39,4,30,LCOR-093,LC-102 8-9D,8-9D,large,2621.28,Li600
43,6,22,LCOR-340,CT717 3,CT3,large,2529.84,Li600
44,4,13,LCOR-200,CT717 3,CT3,large,3505.2,Li600
45,4,21,LCOR-350,CT717 3,CT3,large,3078.48,Li600
