row,column,ID,event_short,H497,6:00,8:00,10:00,12:00,14:00,16:00,18:00
11,4,LCOR-268,5C,3870.96,,,,,,,
2,5,LCOR-344,CT3,3596.64,,,,,,,
10,5,LCOR-092,8-9D,3322.32,,,,,,,
12,5,LCOR-563,5C,3535.68,,,,,,,
5,6,LCOR-062,2H,3108.96,,,,,,,
7,6,LCOR-003,4A,3962.4,,,,,,,
10,6,LCOR-251,5A,4480.56,,,,,,,
3,9,LCOR-001,4A,4968.24,,,,,,,
8,9,LCOR-163,5A,4754.88,,,,,,,
13,9,LCOR-504,CT3,2865.12,,,,,,,
2,11,LCOR-164,5A,3688.08,,,,,,,
13,11,LCOR-289,8-9D,3931.92,,,,,,,
14,11,LCOR-040,5C,2895.6,,,,,,,
5,12,LCOR-277,5C,3840.48,,,,,,,
7,12,LCOR-111,16-20,3779.52,,,,,,,
9,12,LCOR-588,5A,3413.76,,,,,,,
11,12,LCOR-035,5C,3718.56,,,,,,,
13,12,LCOR-218,2H,3352.8,,,,,,,
2,13,LCOR-066,2H,2941.32,,,,,,,
7,13,LCOR-338,CT3,3627.12,,,,,,,
10,13,LCOR-077,13-15E,3992.88,,,,,,,
3,14,LCOR-604,13-15E,4480.56,,,,,,,
15,16,LCOR-614,13-15E,2712.72,,,,,,,
5,17,LCOR-079,13-15E,2834.64,,,,,,,
13,17,LCOR-502,CT3,3322.32,,,,,,,
2,18,LCOR-058,2H,3139.44,,,,,,,
7,19,LCOR-585,5A,2407.92,,,,,,,
7,20,LCOR-059,2H,3870.96,,,,,,,
12,20,LCOR-230,4A,3916.68,,,,,,,
13,20,LCOR-534,4A,3596.64,,,,,,,
15,20,LCOR-493,CT3,3108.96,,,,,,,
9,21,LCOR-584,5A,3520.44,,,,,,,
2,22,LCOR-616,13-15E,2926.08,,,,,,,
13,22,LCOR-514,16-20,3261.36,,,,,,,
14,23,LCOR-290,8-9D,4084.32,,,,,,,
14,24,LCOR-309,16-20,3992.88,,,,,,,
8,26,LCOR-300,13-15E,3017.52,,,,,,,
15,26,LCOR-508,16-20,3840.48,,,,,,,
7,27,LCOR-197,CT3,3017.52,,,,,,,
10,27,LCOR-322,16-20,3413.76,,,,,,,
1,28,LCOR-537,4A,3108.96,,,,,,,
3,28,LCOR-086,8-9D,2255.52,,,,,,,
4,30,LCOR-093,8-9D,2621.28,,,,,,,
13,45,LCOR-461,2H,3261.36,,,,,,,
4,47,LCOR-232,4A,3048,,,,,,,
7,48,LCOR-509,16-20,2834.64,,,,,,,
15,51,LCOR-413,8-9D,2407.92,,,,,,,
6,53,LCOR-566,5C,2529.84,,,,,,,
