"","row","column","ID","event","event_short","block","H497"
"1",3,7,"LCOR-073","LC-102 13-15E","13-15E","large",3749.04
"2",13,7,"LCOR-296","LC-102 13-15E","13-15E","large",3931.92
"3",7,26,"LCOR-613","LC-102 13-15E","13-15E","large",3200.4
"4",10,13,"LCOR-077","LC-102 13-15E","13-15E","large",3992.88
"5",3,16,"LCOR-611","LC-102 13-15E","13-15E","large",2819.4
"6",14,19,"LCOR-080","LC-102 13-15E","13-15E","large",2697.48
"7",12,9,"LCOR-075","LC-102 13-15E","13-15E","large",2346.96
"8",4,24,"LCOR-608","LC-102 13-15E","13-15E","large",3322.32
"9",7,9,"LCOR-076","LC-102 13-15E","13-15E","large",3931.92
"10",10,18,"LCOR-306","LC-102 13-15E","13-15E","large",3596.64
"11",13,4,"LCOR-107","LC-102 16-20","16-20","large",3230.88
"12",13,46,"LCOR-102","LC-102 16-20","16-20","small",3169.92
"13",8,46,"LCOR-311","LC-102 16-20","16-20","small",2560.32
"14",10,51,"LCOR-312","LC-102 16-20","16-20","small",2346.96
"15",14,5,"LCOR-314","LC-102 16-20","16-20","large",3749.04
"16",9,51,"LCOR-108","LC-102 16-20","16-20","small",2834.64
"17",10,27,"LCOR-322","LC-102 16-20","16-20","large",3413.76
"18",14,24,"LCOR-309","LC-102 16-20","16-20","large",3992.88
"19",3,48,"LCOR-505","LC-102 16-20","16-20","small",3474.72
"20",9,25,"LCOR-506","LC-102 16-20","16-20","large",3169.92
"21",5,6,"LCOR-062","LC-102 2H","2H","large",3108.96
"22",6,50,"LCOR-457","LC-102 2H","2H","small",2560.32
"23",7,5,"LCOR-068","LC-102 2H","2H","large",3688.08
"24",12,52,"LCOR-215","LC-102 2H","2H","small",2804.16
"25",15,4,"LCOR-211","LC-102 2H","2H","large",3505.2
"26",10,9,"LCOR-217","LC-102 2H","2H","large",3931.92
"27",9,20,"LCOR-067","LC-102 2H","2H","large",3505.2
"28",2,14,"LCOR-060","LC-102 2H","2H","large",3017.52
"29",4,51,"LCOR-219","LC-102 2H","2H","small",2255.52
"30",3,5,"LCOR-070","LC-102 2H","2H","large",3291.84
"31",10,24,"LCOR-546","LC-102 4A","4A","large",3657.6
"32",11,51,"LCOR-225","LC-102 4A","4A","small",2346.96
"33",9,11,"LCOR-233","LC-102 4A","4A","large",3596.64
"34",12,45,"LCOR-234","LC-102 4A","4A","small",3276.6
"35",8,3,"LCOR-228","LC-102 4A","4A","large",2895.6
"36",8,13,"LCOR-544","LC-102 4A","4A","large",2987.04
"37",5,24,"LCOR-229","LC-102 4A","4A","large",3688.08
"38",4,47,"LCOR-232","LC-102 4A","4A","small",3048
"39",11,8,"LCOR-238","LC-102 4A","4A","large",3596.64
"40",6,28,"LCOR-227","LC-102 4A","4A","large",3169.92
"41",7,19,"LCOR-585","LC-102 5A","5A","large",2407.92
"42",8,5,"LCOR-575","LC-102 5A","5A","large",5273.04
"43",7,21,"LCOR-248","LC-102 5A","5A","large",3810
"44",8,10,"LCOR-157","LC-102 5A","5A","large",3931.92
"45",10,6,"LCOR-251","LC-102 5A","5A","large",4480.56
"46",4,52,"LCOR-246","LC-102 5A","5A","small",2499.36
"47",2,9,"LCOR-581","LC-102 5A","5A","large",4846.32
"48",2,20,"LCOR-162","LC-102 5A","5A","large",3474.72
"49",6,8,"LCOR-582","LC-102 5A","5A","large",4815.84
"50",4,22,"LCOR-165","LC-102 5A","5A","large",2895.6
"51",10,12,"LCOR-561","LC-102 5C","5C","large",3749.04
"52",15,8,"LCOR-274","LC-102 5C","5C","large",3078.48
"53",6,26,"LCOR-278","LC-102 5C","5C","large",3505.2
"54",13,15,"LCOR-562","LC-102 5C","5C","large",3992.88
"55",5,12,"LCOR-277","LC-102 5C","5C","large",3840.48
"56",15,9,"LCOR-041","LC-102 5C","5C","large",3733.8
"57",13,18,"LCOR-572","LC-102 5C","5C","large",3383.28
"58",10,16,"LCOR-033","LC-102 5C","5C","large",3291.84
"59",2,28,"LCOR-276","LC-102 5C","5C","large",2316.48
"60",14,10,"LCOR-039","LC-102 5C","5C","large",3474.72
"61",15,51,"LCOR-413","LC-102 8-9D","8-9D","small",2407.92
"62",11,28,"LCOR-096","LC-102 8-9D","8-9D","large",3078.48
"63",4,19,"LCOR-089","LC-102 8-9D","8-9D","large",3185.16
"64",13,11,"LCOR-289","LC-102 8-9D","8-9D","large",3931.92
"65",6,48,"LCOR-412","LC-102 8-9D","8-9D","small",2895.6
"66",11,23,"LCOR-090","LC-102 8-9D","8-9D","large",4297.68
"67",10,26,"LCOR-095","LC-102 8-9D","8-9D","large",2529.84
"68",10,5,"LCOR-092","LC-102 8-9D","8-9D","large",3322.32
"69",14,23,"LCOR-290","LC-102 8-9D","8-9D","large",4084.32
"70",14,14,"LCOR-091","LC-102 8-9D","8-9D","large",3992.88
"71",9,5,"LCOR-346","CT717 3","CT3","large",3840.48
"72",4,9,"LCOR-342","CT717 3","CT3","large",4053.84
"73",13,50,"LCOR-210","CT717 3","CT3","small",2606.04
"74",15,10,"LCOR-203","CT717 3","CT3","large",3474.72
"75",5,22,"LCOR-209","CT717 3","CT3","large",3505.2
"76",15,20,"LCOR-493","CT717 3","CT3","large",3108.96
"77",7,24,"LCOR-339","CT717 3","CT3","large",3611.88
"78",6,22,"LCOR-340","CT717 3","CT3","large",2529.84
"79",2,50,"LCOR-500","CT717 3","CT3","small",2225.04
"80",8,25,"LCOR-199","CT717 3","CT3","large",2926.08
