"","row","column","ID","event","event_short","block","H497"
"1",9,15,"LCOR-307","LC-102 13-15E","13-15E","large",2788.92
"2",13,24,"LCOR-084","LC-102 13-15E","13-15E","large",4297.68
"3",8,26,"LCOR-300","LC-102 13-15E","13-15E","large",3017.52
"4",15,16,"LCOR-614","LC-102 13-15E","13-15E","large",2712.72
"5",4,24,"LCOR-608","LC-102 13-15E","13-15E","large",3322.32
"6",13,22,"LCOR-514","LC-102 16-20","16-20","large",3261.36
"7",6,23,"LCOR-106","LC-102 16-20","16-20","large",2987.04
"8",14,9,"LCOR-511","LC-102 16-20","16-20","large",3413.76
"9",4,7,"LCOR-510","LC-102 16-20","16-20","large",3169.92
"10",14,5,"LCOR-314","LC-102 16-20","16-20","large",3749.04
"11",12,49,"LCOR-460","LC-102 2H","2H","small",2545.08
"12",11,21,"LCOR-450","LC-102 2H","2H","large",3169.92
"13",3,3,"LCOR-064","LC-102 2H","2H","large",2712.72
"14",7,5,"LCOR-068","LC-102 2H","2H","large",3688.08
"15",15,49,"LCOR-456","LC-102 2H","2H","small",2438.4
"16",3,9,"LCOR-001","LC-102 4A","4A","large",4968.24
"17",8,13,"LCOR-544","LC-102 4A","4A","large",2987.04
"18",6,28,"LCOR-227","LC-102 4A","4A","large",3169.92
"19",6,21,"LCOR-012","LC-102 4A","4A","large",3901.44
"20",4,47,"LCOR-232","LC-102 4A","4A","small",3048
"21",8,8,"LCOR-250","LC-102 5A","5A","large",4236.72
"22",9,21,"LCOR-584","LC-102 5A","5A","large",3520.44
"23",4,22,"LCOR-165","LC-102 5A","5A","large",2895.6
"24",5,20,"LCOR-166","LC-102 5A","5A","large",3322.32
"25",7,25,"LCOR-160","LC-102 5A","5A","large",4145.28
"26",6,5,"LCOR-573","LC-102 5C","5C","large",3810
"27",15,17,"LCOR-271","LC-102 5C","5C","large",3749.04
"28",13,18,"LCOR-572","LC-102 5C","5C","large",3383.28
"29",3,8,"LCOR-036","LC-102 5C","5C","large",5212.08
"30",12,5,"LCOR-563","LC-102 5C","5C","large",3535.68
"31",2,21,"LCOR-098","LC-102 8-9D","8-9D","large",2956.56
"32",14,23,"LCOR-290","LC-102 8-9D","8-9D","large",4084.32
"33",5,18,"LCOR-085","LC-102 8-9D","8-9D","large",3444.24
"34",6,48,"LCOR-412","LC-102 8-9D","8-9D","small",2895.6
"35",11,23,"LCOR-090","LC-102 8-9D","8-9D","large",4297.68
"36",9,26,"LCOR-341","CT717 3","CT3","large",2865.12
"37",9,5,"LCOR-346","CT717 3","CT3","large",3840.48
"38",15,10,"LCOR-203","CT717 3","CT3","large",3474.72
"39",5,50,"LCOR-208","CT717 3","CT3","small",2621.28
"40",13,17,"LCOR-502","CT717 3","CT3","large",3322.32
