"","row","column","ID","event","event_short","block","H497"
"1",14,19,"LCOR-080","LC-102 13-15E","13-15E","large",2697.48
"2",3,16,"LCOR-611","LC-102 13-15E","13-15E","large",2819.4
"3",3,7,"LCOR-073","LC-102 13-15E","13-15E","large",3749.04
"4",13,24,"LCOR-084","LC-102 13-15E","13-15E","large",4297.68
"5",15,25,"LCOR-301","LC-102 13-15E","13-15E","large",3627.12
"6",7,26,"LCOR-613","LC-102 13-15E","13-15E","large",3200.4
"7",4,25,"LCOR-606","LC-102 13-15E","13-15E","large",2956.56
"8",8,12,"LCOR-303","LC-102 13-15E","13-15E","large",3505.2
"9",14,24,"LCOR-309","LC-102 16-20","16-20","large",3992.88
"10",15,24,"LCOR-318","LC-102 16-20","16-20","large",3108.96
"11",15,26,"LCOR-508","LC-102 16-20","16-20","large",3840.48
"12",5,23,"LCOR-319","LC-102 16-20","16-20","large",2804.16
"13",13,16,"LCOR-105","LC-102 16-20","16-20","large",2560.32
"14",5,47,"LCOR-315","LC-102 16-20","16-20","small",4328.16
"15",13,46,"LCOR-102","LC-102 16-20","16-20","small",3169.92
"16",14,9,"LCOR-511","LC-102 16-20","16-20","large",3413.76
"17",2,14,"LCOR-060","LC-102 2H","2H","large",3017.52
"18",3,5,"LCOR-070","LC-102 2H","2H","large",3291.84
"19",1,26,"LCOR-462","LC-102 2H","2H","large",2895.6
"20",11,24,"LCOR-212","LC-102 2H","2H","large",3535.68
"21",5,6,"LCOR-062","LC-102 2H","2H","large",3108.96
"22",7,5,"LCOR-068","LC-102 2H","2H","large",3688.08
"23",4,51,"LCOR-219","LC-102 2H","2H","small",2255.52
"24",3,3,"LCOR-064","LC-102 2H","2H","large",2712.72
"25",8,13,"LCOR-544","LC-102 4A","4A","large",2987.04
"26",7,6,"LCOR-003","LC-102 4A","4A","large",3962.4
"27",12,45,"LCOR-234","LC-102 4A","4A","small",3276.6
"28",5,10,"LCOR-010","LC-102 4A","4A","large",3566.16
"29",1,28,"LCOR-537","LC-102 4A","4A","large",3108.96
"30",13,14,"LCOR-014","LC-102 4A","4A","large",4145.28
"31",14,12,"LCOR-002","LC-102 4A","4A","large",2529.84
"32",11,51,"LCOR-225","LC-102 4A","4A","small",2346.96
"33",12,18,"LCOR-243","LC-102 5A","5A","large",4175.76
"34",3,30,"LCOR-583","LC-102 5A","5A","large",2316.48
"35",8,8,"LCOR-250","LC-102 5A","5A","large",4236.72
"36",2,16,"LCOR-247","LC-102 5A","5A","large",3596.64
"37",4,4,"LCOR-249","LC-102 5A","5A","large",2895.6
"38",12,12,"LCOR-241","LC-102 5A","5A","large",3688.08
"39",2,6,"LCOR-577","LC-102 5A","5A","large",3078.48
"40",4,22,"LCOR-165","LC-102 5A","5A","large",2895.6
"41",9,8,"LCOR-034","LC-102 5C","5C","large",4572
"42",12,5,"LCOR-563","LC-102 5C","5C","large",3535.68
"43",15,8,"LCOR-274","LC-102 5C","5C","large",3078.48
"44",13,19,"LCOR-568","LC-102 5C","5C","large",2819.4
"45",15,9,"LCOR-041","LC-102 5C","5C","large",3733.8
"46",4,8,"LCOR-279","LC-102 5C","5C","large",4511.04
"47",9,16,"LCOR-280","LC-102 5C","5C","large",3261.36
"48",2,28,"LCOR-276","LC-102 5C","5C","large",2316.48
"49",4,19,"LCOR-089","LC-102 8-9D","8-9D","large",3185.16
"50",11,28,"LCOR-096","LC-102 8-9D","8-9D","large",3078.48
"51",5,18,"LCOR-085","LC-102 8-9D","8-9D","large",3444.24
"52",7,10,"LCOR-420","LC-102 8-9D","8-9D","large",3901.44
"53",15,51,"LCOR-413","LC-102 8-9D","8-9D","small",2407.92
"54",14,23,"LCOR-290","LC-102 8-9D","8-9D","large",4084.32
"55",14,14,"LCOR-091","LC-102 8-9D","8-9D","large",3992.88
"56",6,10,"LCOR-292","LC-102 8-9D","8-9D","large",3566.16
"57",13,17,"LCOR-502","CT717 3","CT3","large",3322.32
"58",9,27,"LCOR-206","CT717 3","CT3","large",3048
"59",2,5,"LCOR-344","CT717 3","CT3","large",3596.64
"60",8,50,"LCOR-501","CT717 3","CT3","small",2651.76
"61",15,7,"LCOR-198","CT717 3","CT3","large",2773.68
"62",6,22,"LCOR-340","CT717 3","CT3","large",2529.84
"63",7,27,"LCOR-197","CT717 3","CT3","large",3017.52
"64",15,21,"LCOR-204","CT717 3","CT3","large",3413.76
