"","row","column","ID","event","event_short","block","H497","section"
"1",10,13,"LCOR-077","LC-102 13-15E","13-15E","large",3992.88,4
"2",13,7,"LCOR-296","LC-102 13-15E","13-15E","large",3931.92,2
"3",9,15,"LCOR-307","LC-102 13-15E","13-15E","large",2788.92,4
"4",13,4,"LCOR-107","LC-102 16-20","16-20","large",3230.88,2
"5",9,13,"LCOR-320","LC-102 16-20","16-20","large",3596.64,4
"6",14,9,"LCOR-511","LC-102 16-20","16-20","large",3413.76,4
"7",10,15,"LCOR-449","LC-102 2H","2H","large",3992.88,4
"8",15,3,"LCOR-213","LC-102 2H","2H","large",2895.6,2
"9",15,4,"LCOR-211","LC-102 2H","2H","large",3505.2,2
"10",13,14,"LCOR-014","LC-102 4A","4A","large",4145.28,4
"11",11,9,"LCOR-231","LC-102 4A","4A","large",3931.92,4
"12",9,11,"LCOR-233","LC-102 4A","4A","large",3596.64,4
"13",9,12,"LCOR-588","LC-102 5A","5A","large",3413.76,4
"14",14,8,"LCOR-167","LC-102 5A","5A","large",5273.04,2
"15",14,13,"LCOR-156","LC-102 5A","5A","large",3627.12,4
"16",13,13,"LCOR-030","LC-102 5C","5C","large",3931.92,4
"17",14,10,"LCOR-039","LC-102 5C","5C","large",3474.72,4
"18",10,12,"LCOR-561","LC-102 5C","5C","large",3749.04,4
"19",14,14,"LCOR-091","LC-102 8-9D","8-9D","large",3992.88,4
"20",13,11,"LCOR-289","LC-102 8-9D","8-9D","large",3931.92,4
"21",10,5,"LCOR-092","LC-102 8-9D","8-9D","large",3322.32,2
"22",13,9,"LCOR-504","CT717 3","CT3","large",2865.12,4
"23",9,5,"LCOR-346","CT717 3","CT3","large",3840.48,2
"24",15,10,"LCOR-203","CT717 3","CT3","large",3474.72,4
