,event_short,n,row,column,ID,event,block,H497,section
1,2H,2,15,3,LCOR-213,LC-102 2H,large,2895.6,2
4,5C,3,11,4,LCOR-268,LC-102 5C,large,3870.96,2
9,CT3,2,14,4,LCOR-201,CT717 3,large,3749.04,2
8,CT3,2,9,5,LCOR-346,CT717 3,large,3840.48,2
7,16-20,2,9,6,LCOR-310,LC-102 16-20,large,2895.6,2
11,8-9D,3,12,7,LCOR-094,LC-102 8-9D,large,3596.64,2
17,13-15E,2,13,7,LCOR-296,LC-102 13-15E,large,3931.92,2
6,16-20,2,14,9,LCOR-511,LC-102 16-20,large,3413.76,4
3,5C,3,15,9,LCOR-041,LC-102 5C,large,3733.8,4
12,8-9D,3,12,10,LCOR-286,LC-102 8-9D,large,3413.76,4
19,4A,2,9,11,LCOR-233,LC-102 4A,large,3596.64,4
13,5A,3,10,11,LCOR-161,LC-102 5A,large,3444.24,4
10,8-9D,3,13,11,LCOR-289,LC-102 8-9D,large,3931.92,4
14,5A,3,9,12,LCOR-588,LC-102 5A,large,3413.76,4
2,2H,2,13,12,LCOR-218,LC-102 2H,large,3352.8,4
16,13-15E,2,10,13,LCOR-077,LC-102 13-15E,large,3992.88,4
15,5A,3,14,13,LCOR-156,LC-102 5A,large,3627.12,4
5,5C,3,9,14,LCOR-269,LC-102 5C,large,3901.44,4
18,4A,2,13,14,LCOR-014,LC-102 4A,large,4145.28,4
