row,column,ID,event_short,backup,A,gsw,ETR,Rd
3,4,LCOR-308,13-15E,,,,,
4,4,LCOR-249,5A,yes,,,,
3,5,LCOR-070,2H,,,,,
7,5,LCOR-068,2H,,,,,
10,5,LCOR-092,8-9D,,,,,
3,6,LCOR-069,2H,,,,,
9,6,LCOR-310,16-20,,,,,
10,6,LCOR-251,5A,,,,,
12,7,LCOR-094,8-9D,,,,,
13,7,LCOR-296,13-15E,,,,,
8,9,LCOR-163,5A,,,,,
10,9,LCOR-217,2H,,,,,
8,10,LCOR-157,5A,,,,,
13,11,LCOR-289,8-9D,,,,,
9,12,LCOR-588,5A,,,,,
12,12,LCOR-241,5A,,,,,
2,13,LCOR-066,2H,,,,,
12,13,LCOR-088,8-9D,,,,,
14,13,LCOR-156,5A,,,,,
10,15,LCOR-449,2H,,,,,
11,15,LCOR-507,16-20,,,,,
3,16,LCOR-611,13-15E,,,,,
13,16,LCOR-105,16-20,,,,,
10,18,LCOR-306,13-15E,,,,,
14,19,LCOR-080,13-15E,,,,,
2,20,LCOR-162,5A,,,,,
3,20,LCOR-242,5A,,,,,
2,21,LCOR-098,8-9D,,,,,
10,21,LCOR-518,16-20,,,,,
11,21,LCOR-450,2H,,,,,
2,22,LCOR-616,13-15E,,,,,
11,22,LCOR-063,2H,yes,,,,
13,22,LCOR-514,16-20,,,,,
6,23,LCOR-106,16-20,,,,,
11,23,LCOR-090,8-9D,,,,,
14,23,LCOR-290,8-9D,,,,,
11,24,LCOR-212,2H,,,,,
13,24,LCOR-084,13-15E,,,,,
15,24,LCOR-318,16-20,,,,,
7,25,LCOR-160,5A,,,,,
15,25,LCOR-301,13-15E,,,,,
2,26,LCOR-293,8-9D,,,,,
7,26,LCOR-613,13-15E,,,,,
15,26,LCOR-508,16-20,,,,,
11,28,LCOR-096,8-9D,yes,,,,
15,28,LCOR-083,13-15E,,,,,
13,46,LCOR-102,16-20,,,,,
6,47,LCOR-419,8-9D,,,,,
14,47,LCOR-159,5A,,,,,
3,48,LCOR-505,16-20,,,,,
7,48,LCOR-509,16-20,yes,,,,
6,50,LCOR-457,2H,,,,,
12,52,LCOR-215,2H,,,,,
3,53,LCOR-288,8-9D,,,,,
