"","row","column","ID","event_short","H497","Drought.Score"
"1",10,18,"LCOR-306","13-15E",3596.64,0
"2",13,24,"LCOR-084","13-15E",4297.68,0
"3",3,16,"LCOR-611","13-15E",2819.4,1
"4",15,25,"LCOR-301","13-15E",3627.12,1
"5",13,46,"LCOR-102","16-20",3169.92,0
"6",11,15,"LCOR-507","16-20",3931.92,2
"7",3,48,"LCOR-505","16-20",3474.72,0
"8",6,23,"LCOR-106","16-20",2987.04,4
"9",11,21,"LCOR-450","2H",3169.92,2
"10",7,5,"LCOR-068","2H",3688.08,4
"11",10,9,"LCOR-217","2H",3931.92,1
"12",10,15,"LCOR-449","2H",3992.88,0
"13",8,9,"LCOR-163","5A",4754.88,0
"14",12,12,"LCOR-241","5A",3688.08,0
"15",8,10,"LCOR-157","5A",3931.92,1
"16",10,6,"LCOR-251","5A",4480.56,3
"17",10,5,"LCOR-092","8-9D",3322.32,0
"18",3,53,"LCOR-288","8-9D",2880.36,3
"19",2,21,"LCOR-098","8-9D",2956.56,0
"20",14,23,"LCOR-290","8-9D",4084.32,0
"21",3,4,"LCOR-308","13-15E",3566.16,2
"22",15,28,"LCOR-083","13-15E",3230.88,2
"23",14,19,"LCOR-080","13-15E",2697.48,1
"24",7,26,"LCOR-613","13-15E",3200.4,0
"25",6,23,"LCOR-106","16-20",2987.04,4
"26",10,21,"LCOR-518","16-20",3596.64,3
"27",13,22,"LCOR-514","16-20",3261.36,2
"28",7,48,"LCOR-509","16-20",2834.64,1
"29",12,52,"LCOR-215","2H",2804.16,0
"30",2,13,"LCOR-066","2H",2941.32,1
"31",3,5,"LCOR-070","2H",3291.84,0
"32",11,24,"LCOR-212","2H",3535.68,2
"33",10,6,"LCOR-251","5A",4480.56,3
"34",14,47,"LCOR-159","5A",3169.92,1
"35",4,4,"LCOR-249","5A",2895.6,1
"36",7,25,"LCOR-160","5A",4145.28,1
"37",6,47,"LCOR-419","8-9D",3291.84,0
"38",11,28,"LCOR-096","8-9D",3078.48,2
"39",11,23,"LCOR-090","8-9D",4297.68,0
"40",3,53,"LCOR-288","8-9D",2880.36,3
"41",5,8,"LCOR-078","13-15E",3566.16,2
"42",3,29,"LCOR-297","13-15E",2164.08,2
"43",14,24,"LCOR-309","16-20",3992.88,2
"44",8,16,"LCOR-516","16-20",2286,1
"45",13,45,"LCOR-461","2H",3261.36,1
"46",11,47,"LCOR-223","2H",1158.24,0
"47",2,11,"LCOR-164","5A",3688.08,0
"48",8,8,"LCOR-250","5A",4236.72,1
"49",4,5,"LCOR-282","8-9D",3596.64,2
"50",3,28,"LCOR-086","8-9D",2255.52,1
