row,column,ID,event_short,H497,Plate,Well,barcode
15,25,LCOR-301,13-15E,3627.12,1,A1,4034487598
4,25,LCOR-606,13-15E,2956.56,1,B1,4077862704
3,16,LCOR-611,13-15E,2819.4,1,C1,4077862638
10,18,LCOR-306,13-15E,3596.64,1,D1,4077864866
1,5,LCOR-082,13-15E,3230.88,1,E1,4077864020
13,24,LCOR-084,13-15E,4297.68,1,F1,4077864928
9,6,LCOR-310,16-20,2895.6,1,A2,4034487558
6,23,LCOR-106,16-20,2987.04,1,B2,4077864171
10,21,LCOR-518,16-20,3596.64,1,C2,4034487557
3,48,LCOR-505,16-20,3474.72,1,D2,4077865255
13,46,LCOR-102,16-20,3169.92,1,E2,4077864888
11,15,LCOR-507,16-20,3931.92,1,F2,4077864207
3,6,LCOR-069,2H,3749.04,1,A3,4077864195
6,50,LCOR-457,2H,2560.32,1,B3,4077864902
10,15,LCOR-449,2H,3992.88,1,C3,4077864000
7,5,LCOR-068,2H,3688.08,1,D3,4077865230
10,9,LCOR-217,2H,3931.92,1,E3,4077863989
11,21,LCOR-450,2H,3169.92,1,F3,4034487567
13,20,LCOR-534,4A,3596.64,1,A4,4077864178
6,28,LCOR-227,4A,3169.92,1,B4,4077862760
6,21,LCOR-012,4A,3901.44,1,C4,4077863981
1,28,LCOR-537,4A,3108.96,1,D4,4077864918
12,45,LCOR-234,4A,3276.6,1,E4,4077864922
8,13,LCOR-544,4A,2987.04,1,F4,4077862807
12,12,LCOR-241,5A,3688.08,1,A5,4077864847
8,10,LCOR-157,5A,3931.92,1,B5,4077862821
2,20,LCOR-162,5A,3474.72,1,C5,4034487578
8,9,LCOR-163,5A,4754.88,1,D5,4077862819
3,20,LCOR-242,5A,3535.68,1,E5,4077864190
10,6,LCOR-251,5A,4480.56,1,F5,4077865262
13,15,LCOR-562,5C,3992.88,1,A6,4077864187
13,18,LCOR-572,5C,3383.28,1,B6,4077862690
9,17,LCOR-275,5C,3200.4,1,C6,4077865239
15,8,LCOR-274,5C,3078.48,1,D6,4077865247
12,5,LCOR-563,5C,3535.68,1,E6,4077864899
10,16,LCOR-033,5C,3291.84,1,F6,4077863991
13,11,LCOR-289,8-9D,3931.92,1,A7,4077864904
3,53,LCOR-288,8-9D,2880.36,1,B7,4034487592
10,5,LCOR-092,8-9D,3322.32,1,C7,4077864135
14,23,LCOR-290,8-9D,4084.32,1,D7,4077864895
2,26,LCOR-293,8-9D,3870.96,1,E7,4077862667
2,21,LCOR-098,8-9D,2956.56,1,F7,4077862755
9,26,LCOR-341,CT3,2865.12,1,A8,4077863940
10,23,LCOR-207,CT3,3566.16,1,B8,4077864192
8,50,LCOR-501,CT3,2651.76,1,C8,4077862771
7,27,LCOR-197,CT3,3017.52,1,D8,4077862745
13,21,LCOR-495,CT3,3992.88,1,E8,4034487563
15,21,LCOR-204,CT3,3413.76,1,F8,4077862742
