row,column,ID,event_short,H497,Drought.Score,Plate,Barcode,ETR
3,3,LCOR-064,2H,2712.72,1,,,
10,5,LCOR-092,8-9D,3322.32,0,,,
15,5,LCOR-042,5C,3505.2,1,,,
3,6,LCOR-069,2H,3749.04,2,,,
7,6,LCOR-003,4A,3962.4,0,,,
4,8,LCOR-279,5C,4511.04,1,,,
6,8,LCOR-582,5A,4815.84,2,,,
3,9,LCOR-001,4A,4968.24,0,,,
8,9,LCOR-163,5A,4754.88,0,,,
6,10,LCOR-292,8-9D,3566.16,1,,,
8,12,LCOR-303,13-15E,3505.2,1,,,
8,13,LCOR-544,4A,2987.04,1,,,
7,14,LCOR-347,CT3,3566.16,2,,,
10,15,LCOR-449,2H,3992.88,0,,,
11,15,LCOR-507,16-20,3931.92,2,,,
3,16,LCOR-611,13-15E,2819.4,1,,,
7,16,LCOR-610,13-15E,3185.16,1,,,
10,16,LCOR-033,5C,3291.84,1,,,
5,17,LCOR-079,13-15E,2834.64,1,,,
9,17,LCOR-275,5C,3200.4,1,,,
13,17,LCOR-502,CT3,3322.32,2,,,
13,18,LCOR-572,5C,3383.28,1,,,
7,19,LCOR-585,5A,2407.92,2,,,
13,19,LCOR-568,5C,2819.4,2,,,
2,20,LCOR-162,5A,3474.72,1,,,
3,20,LCOR-242,5A,3535.68,1,,,
8,20,LCOR-101,16-20,3962.4,2,,,
12,20,LCOR-230,4A,3916.68,2,,,
2,21,LCOR-098,8-9D,2956.56,0,,,
11,21,LCOR-450,2H,3169.92,2,,,
13,21,LCOR-495,CT3,3992.88,2,,,
5,23,LCOR-319,16-20,2804.16,1,,,
10,23,LCOR-207,CT3,3566.16,2,,,
14,23,LCOR-290,8-9D,4084.32,0,,,
13,24,LCOR-084,13-15E,4297.68,0,,,
9,25,LCOR-506,16-20,3169.92,1,,,
15,25,LCOR-301,13-15E,3627.12,1,,,
10,26,LCOR-095,8-9D,2529.84,2,,,
6,28,LCOR-227,4A,3169.92,1,,,
6,45,LCOR-494,CT3,1828.8,1,,,
12,45,LCOR-234,4A,3276.6,0,,,
13,45,LCOR-461,2H,3261.36,1,,,
13,46,LCOR-102,16-20,3169.92,0,,,
3,48,LCOR-505,16-20,3474.72,0,,,
9,49,LCOR-586,5A,2499.36,1,,,
12,49,LCOR-460,2H,2545.08,0,,,
8,50,LCOR-501,CT3,2651.76,1,,,
14,50,LCOR-417,8-9D,2240.28,1,,,
