,row,column,ID,event,event_short,block,H497
1,1,5,LCOR-082,LC-102 13-15E,13-15E,large,3230.88
2,3,26,LCOR-605,LC-102 13-15E,13-15E,large,3063.24
3,7,26,LCOR-613,LC-102 13-15E,13-15E,large,3200.4
4,3,16,LCOR-611,LC-102 13-15E,13-15E,large,2819.4
5,7,16,LCOR-610,LC-102 13-15E,13-15E,large,3185.16
6,3,7,LCOR-073,LC-102 13-15E,13-15E,large,3749.04
7,12,9,LCOR-075,LC-102 13-15E,13-15E,large,2346.96
8,10,18,LCOR-306,LC-102 13-15E,13-15E,large,3596.64
9,11,20,LCOR-103,LC-102 16-20,16-20,large,3291.84
10,14,24,LCOR-309,LC-102 16-20,16-20,large,3992.88
11,14,9,LCOR-511,LC-102 16-20,16-20,large,3413.76
12,13,4,LCOR-107,LC-102 16-20,16-20,large,3230.88
13,4,7,LCOR-510,LC-102 16-20,16-20,large,3169.92
14,8,16,LCOR-516,LC-102 16-20,16-20,large,2286
15,9,25,LCOR-506,LC-102 16-20,16-20,large,3169.92
16,9,6,LCOR-310,LC-102 16-20,16-20,large,2895.6
17,7,20,LCOR-059,LC-102 2H,2H,large,3870.96
18,1,26,LCOR-462,LC-102 2H,2H,large,2895.6
19,2,18,LCOR-058,LC-102 2H,2H,large,3139.44
20,3,3,LCOR-064,LC-102 2H,2H,large,2712.72
21,3,5,LCOR-070,LC-102 2H,2H,large,3291.84
22,1,25,LCOR-214,LC-102 2H,2H,large,3063.24
23,15,3,LCOR-213,LC-102 2H,2H,large,2895.6
24,11,21,LCOR-450,LC-102 2H,2H,large,3169.92
25,6,21,LCOR-012,LC-102 4A,4A,large,3901.44
26,12,20,LCOR-230,LC-102 4A,4A,large,3916.68
27,6,28,LCOR-227,LC-102 4A,4A,large,3169.92
28,13,20,LCOR-534,LC-102 4A,4A,large,3596.64
29,8,3,LCOR-228,LC-102 4A,4A,large,2895.6
30,8,13,LCOR-544,LC-102 4A,4A,large,2987.04
31,1,28,LCOR-537,LC-102 4A,4A,large,3108.96
32,5,24,LCOR-229,LC-102 4A,4A,large,3688.08
33,5,20,LCOR-166,LC-102 5A,5A,large,3322.32
34,10,6,LCOR-251,LC-102 5A,5A,large,4480.56
35,8,5,LCOR-575,LC-102 5A,5A,large,5273.04
36,14,8,LCOR-167,LC-102 5A,5A,large,5273.04
37,12,12,LCOR-241,LC-102 5A,5A,large,3688.08
38,2,16,LCOR-247,LC-102 5A,5A,large,3596.64
39,8,8,LCOR-250,LC-102 5A,5A,large,4236.72
40,4,22,LCOR-165,LC-102 5A,5A,large,2895.6
41,9,14,LCOR-269,LC-102 5C,5C,large,3901.44
42,6,5,LCOR-573,LC-102 5C,5C,large,3810
43,9,8,LCOR-034,LC-102 5C,5C,large,4572
44,11,12,LCOR-035,LC-102 5C,5C,large,3718.56
45,13,19,LCOR-568,LC-102 5C,5C,large,2819.4
46,6,26,LCOR-278,LC-102 5C,5C,large,3505.2
47,13,15,LCOR-562,LC-102 5C,5C,large,3992.88
48,13,18,LCOR-572,LC-102 5C,5C,large,3383.28
49,12,7,LCOR-094,LC-102 8-9D,8-9D,large,3596.64
50,7,17,LCOR-411,LC-102 8-9D,8-9D,large,3657.6
51,2,26,LCOR-293,LC-102 8-9D,8-9D,large,3870.96
52,11,23,LCOR-090,LC-102 8-9D,8-9D,large,4297.68
53,9,23,LCOR-291,LC-102 8-9D,8-9D,large,3200.4
54,4,5,LCOR-282,LC-102 8-9D,8-9D,large,3596.64
55,11,28,LCOR-096,LC-102 8-9D,8-9D,large,3078.48
56,4,30,LCOR-093,LC-102 8-9D,8-9D,large,2621.28
57,5,19,LCOR-491,CT717 3,CT3,large,2956.56
58,15,7,LCOR-198,CT717 3,CT3,large,2773.68
59,13,17,LCOR-502,CT717 3,CT3,large,3322.32
60,4,9,LCOR-342,CT717 3,CT3,large,4053.84
61,9,27,LCOR-206,CT717 3,CT3,large,3048
62,7,14,LCOR-347,CT717 3,CT3,large,3566.16
63,7,24,LCOR-339,CT717 3,CT3,large,3611.88
64,2,5,LCOR-344,CT717 3,CT3,large,3596.64
