"","row","column","ID","event_short","backup","A","gsw","ETR","Rd"
"1",13,24,"LCOR-084","13-15E","",NA,NA,NA,NA
"2",3,4,"LCOR-308","13-15E","",NA,NA,NA,NA
"3",3,16,"LCOR-611","13-15E","",NA,NA,NA,NA
"4",14,19,"LCOR-080","13-15E","",NA,NA,NA,NA
"5",15,25,"LCOR-301","13-15E","",NA,NA,NA,NA
"6",6,23,"LCOR-106","16-20","",NA,NA,NA,NA
"7",13,22,"LCOR-514","16-20","",NA,NA,NA,NA
"8",15,24,"LCOR-318","16-20","",NA,NA,NA,NA
"9",9,6,"LCOR-310","16-20","",NA,NA,NA,NA
"10",10,21,"LCOR-518","16-20","",NA,NA,NA,NA
"11",11,24,"LCOR-212","2H","",NA,NA,NA,NA
"12",10,9,"LCOR-217","2H","",NA,NA,NA,NA
"13",10,15,"LCOR-449","2H","",NA,NA,NA,NA
"14",7,5,"LCOR-068","2H","",NA,NA,NA,NA
"15",3,6,"LCOR-069","2H","",NA,NA,NA,NA
"16",14,13,"LCOR-156","5A","",NA,NA,NA,NA
"17",14,47,"LCOR-159","5A","",NA,NA,NA,NA
"18",7,25,"LCOR-160","5A","",NA,NA,NA,NA
"19",12,12,"LCOR-241","5A","",NA,NA,NA,NA
"20",9,12,"LCOR-588","5A","",NA,NA,NA,NA
"21",13,11,"LCOR-289","8-9D","",NA,NA,NA,NA
"22",2,26,"LCOR-293","8-9D","",NA,NA,NA,NA
"23",2,21,"LCOR-098","8-9D","",NA,NA,NA,NA
"24",12,7,"LCOR-094","8-9D","",NA,NA,NA,NA
"25",12,13,"LCOR-088","8-9D","",NA,NA,NA,NA
