row,column,ID,event_short,block,H497,SPAD,Leaf
9,15,LCOR-307,13-15E,large,2788.92,,
13,7,LCOR-296,13-15E,large,3931.92,,
13,49,LCOR-615,13-15E,small,2103.12,,
15,24,LCOR-318,16-20,large,3108.96,,
7,12,LCOR-111,16-20,large,3779.52,,
14,9,LCOR-511,16-20,large,3413.76,,
11,22,LCOR-063,2H,large,3657.6,,
9,20,LCOR-067,2H,large,3505.2,,
10,9,LCOR-217,2H,large,3931.92,,
10,24,LCOR-546,4A,large,3657.6,,
7,6,LCOR-003,4A,large,3962.4,,
5,24,LCOR-229,4A,large,3688.08,,
10,6,LCOR-251,5A,large,4480.56,,
9,49,LCOR-586,5A,small,2499.36,,
14,46,LCOR-155,5A,small,3261.36,,
11,4,LCOR-268,5C,large,3870.96,,
4,17,LCOR-574,5C,large,3733.8,,
9,14,LCOR-269,5C,large,3901.44,,
6,48,LCOR-412,8-9D,small,2895.6,,
4,30,LCOR-093,8-9D,large,2621.28,,
4,19,LCOR-089,8-9D,large,3185.16,,
15,7,LCOR-198,CT3,large,2773.68,,
7,14,LCOR-347,CT3,large,3566.16,,
13,50,LCOR-210,CT3,small,2606.04,,
